municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
CHIMORE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,8,8
COLQUECHACA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,8,8
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,18,18
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
MAIRANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,7,7
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
SAN RAMON SCZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,5,5
SENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,12,12
TARATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-09-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,3,3
BETANZOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,13,13
COLCAPIRHUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,13,13
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,22,22
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
MAIRANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,11,11
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,3,3
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,3,3
RAVELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,2,2
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,21,21
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,6,6
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
VIACHA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,3,3
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-10-01,1,1
ACHOCALLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,2,2
BERMEJO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,3,3
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,12,12
COTAGAITA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,2,2
CULPINA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,14,14
GUTIERREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,14,14
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,3,3
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,2,2
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
REYES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
ROBORE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,3,3
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,6,6
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,7,7
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,3,3
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,2,2
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-11-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,2,2
CAJUATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,2,2
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,5,5
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,14,14
"COLCHA ""K""",atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
COPACABANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,2,2
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,18,18
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,2,2
JESUS DE MACHACA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,18,18
MOJOCOYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,5,5
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,4,4
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,3,3
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,6,6
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,2,2
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,2,2
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,7,7
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,5,5
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,3,3
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-12-01,2,2
