municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vitamina A,TOTAL
SACABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
SACACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,49,49
SAIPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,4,4
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,3,3
SAMAIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,3,3
SAN AGUSTIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,3,3
SAN ANDRES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,5,5
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,4,4
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,8,8
SAN BENITO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,6,6
SAN BORJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,39,39
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,15,15
SAN CARLOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,40,40
SAN IGNACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,50,50
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,95,95
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,2,2
SAN JAVIER(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,16,16
SAN JOAQUIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,9,9
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,32,32
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,6,6
SAN JULIAN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,26,26
SAN LORENZO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,10,10
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,11,11
SAN LUCAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,57,57
SAN MATIAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,19,19
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,15,15
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,2,2
SAN PEDRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,17,17
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,34,34
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,3,3
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,4,4
SAN PEDRO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,1,1
SAN RAFAEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,8,8
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,11,11
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,24,24
SANTA ANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,30,30
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,768,768
SANTA ROSA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,16,16
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,17,17
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,3,3
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,9,9
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,3,3
SANTIVAÑES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,5,5
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,4,4
SAPAHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,5,5
SENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,4,4
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,15,15
SICAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,4,4
SIPE SIPE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,22,22
SOPACHUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
SORACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
SORATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,22,22
SUCRE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,428,428
TACACOMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,14,14
TACOBAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
TACOPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,13,13
TAHUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,1,1
TAPACARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,36,36
TARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,27,27
TARACO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,6,6
TARATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,11,11
TARIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,95,95
TARVITA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,20,20
TEOPONTE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,5,5
TIAWANACU,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,8,8
TINGUIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,35,35
TIPUANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,18,18
TIQUIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,46,46
TIRAQUE (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,55,55
TOCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,6,6
TOLATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,4,4
TOLEDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,10,10
TOMAVE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,15,15
TOMINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
TORO TORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,17,17
TOTORA(CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,17,17
TOTORA(ORR),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,3,3
TRINIDAD,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,36,36
TUPIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,57,57
TURCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,5,5
UMALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,6,6
UNCIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,34,34
URIONDO (A. CONCEPCION),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,17,17
URUBICHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
UYUNI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,48,48
VACAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,11,11
VALLEGRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,29,29
VIACHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,37,37
VILA VILA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,8,8
VILLA MONTES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,74,74
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,1,1
VILLA RIVERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,3,3
VILLA SERRANO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,11,11
VILLA TUNARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,112,112
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,4,4
VILLAZON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,61,61
VINTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,59,59
VITICHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
WALDO BALLIVIAN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,1,1
WARNES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,76,76
YACO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
YACUIBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,109,109
YAMPARAEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,9,9
YANACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,2,2
YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,67,67
YOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,2,2
YOTALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,7,7
YUNCHARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,5,5
ZUDAÑEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-02-01,6,6
ACACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,14,14
ACHACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,51,51
ACHOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,16,16
AIQUILE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,36,36
ALALAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,5,5
ALCALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
ANCORAIMES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,19,19
ANDAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,8,8
ANTEQUERA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
ANZALDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,12,12
APOLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,22,22
ARAMPAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,11,11
ARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,8,8
ARBIETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,17,17
ARQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,17,17
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,21,21
ATOCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,5,5
AUCAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,3,3
AYATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,14,14
AYO AYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,30,30
AZURDUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,19,19
BATALLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,18,18
BAURES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
BELEN DE ANDAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
BELLA FLOR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
BERMEJO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,52,52
BETANZOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,47,47
BOLIVAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,13,13
BOLPEBRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,2,2
BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,15,15
CABEZAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,19,19
CAIROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,10,10
"CAIZA ""D""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,14,14
CAJUATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,20,20
CALACOTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,6,6
CALAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,8,8
CAMARGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,29,29
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,2,2
CAMIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,70,70
CAPINOTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,22,22
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,16,16
CARACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,23,23
CARANAVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,94,94
CARANGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
CARAPARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,18,18
CARIPUYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,21,21
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,7,7
CHACARILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,2,2
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,53,53
CHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,10,10
CHARAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,57,57
CHARAÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
CHAYANTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,30,30
CHIMORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,13,13
CHIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
CHOQUE COTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,37,37
CHUMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,10,10
CLIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,15,15
COBIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,139,139
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1030,1030
COIPASA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,2,2
COLCAPIRHUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,60,60
"COLCHA ""K""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,14,14
COLLANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
COLOMI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,22,22
COLPA BELGICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,11,11
COLQUECHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,41,41
COLQUENCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,10,10
COLQUIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,29,29
COMANCHE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,2,2
COMARAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,52,52
COMBAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
CONCEPCION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,5,5
COPACABANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,15,15
CORIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,9,9
CORO CORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,12,12
COROICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,5,5
CORQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,9,9
COTAGAITA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,28,28
COTOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,54,54
CUATRO CAÑADAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,36,36
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,3,3
CUEVO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,5,5
CULPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,28,28
CURAHUARA DE CARANGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,12,12
CURVA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,3,3
DESAGUADERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,6,6
EL ALTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1250,1250
EL CHORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,6,6
EL PUENTE(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,10,10
EL PUENTE(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,9,9
EL TORNO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,68,68
EL VILLAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,5,5
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,24,24
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,19,19
EUCALIPTUS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,6,6
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,3,3
EXALTACION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
FERNANDEZ ALONSO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,14,14
FILADELFIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,6,6
GENERAL SAAVEDRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,23,23
GUANAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,19,19
GUAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,10,10
GUAYARAMERIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,136,136
GUTIERREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,16,16
HUACARETA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,8,8
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1,1
HUACHACALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,2,2
HUANUNI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,23,23
HUARACAJE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
HUAYLLAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
ICHOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
ICLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,21,21
INCAHUASI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,45,45
INGAVI (HUMAITA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,2,2
INQUISIVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,14,14
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,18,18
IXIAMAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,14,14
JESUS DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,23,23
LA ASUNTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,36,36
LA GUARDIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,49,49
LA PAZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,1213,1213
LAGUNILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,7,7
LAJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,13,13
LAS CARRERAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
LICOMA PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,4,4
LLALLAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,62,62
LLICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,9,9
LORETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,6,6
LURIBAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-03-01,16,16
