municipality,group,variable,month,Control del niño de 2 años a menor de 5 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
SAN JOAQUIN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,114,114,,
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,5,5,,
SAN JULIAN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,162,162,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,74,74,,
SAN LUCAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,222,222,,
SAN MATIAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,29,29,,
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,18,18,,
SAN PEDRO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,77,77,,
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,6,6,,
SAN PEDRO(PND),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,5,5,,
SAN RAFAEL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,2,2,,
SAN RAMON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,36,36,,
SAN RAMON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,42,42,,
SANTA ANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,5,5,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,2260,2260,,
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,27,27,,
SAPAHAQUI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,1,1,,
SENA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,22,22,,
SIPE SIPE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,206,206,,
SORACACHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,29,29,,
SUCRE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,1981,1981,,
TARABUCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,449,449,,
TARATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,43,43,,
TARIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,145,145,,
TINGUIPAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,38,38,,
TIQUIPAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,405,405,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,70,70,,
TOCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,16,16,,
TOLATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,39,39,,
TOLEDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,10,10,,
TOMAVE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,3,3,,
TORO TORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,213,213,,
TOTORA(CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,73,73,,
TOTORA(ORR),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,30,30,,
TRIGAL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,4,4,,
TRINIDAD,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,664,664,,
TURCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,23,23,,
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,48,48,,
UYUNI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,1,1,,
VALLEGRANDE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,28,28,,
VIACHA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,29,29,,
VILLA MONTES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,31,31,,
VILLA RIVERO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,29,29,,
VILLA TUNARI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,154,154,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,97,97,,
VILLAZON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,23,23,,
VINTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,17,17,,
VITICHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,2,2,,
WARNES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,295,295,,
YACUIBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,122,122,,
YAMPARAEZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,273,273,,
YOTALA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,34,34,,
YUNCHARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-03-01,109,109,,
ACACIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,104,104,,
ACHACACHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,50,50,,
AIQUILE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,46,46,,
ALALAY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,32,32,,
ALCALA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
ANCORAIMES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2,2,,
ANDAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
ANTEQUERA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,6,6,,
ANZALDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,84,84,,
ARAMPAMPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,81,81,,
ARBIETO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,9,9,,
ARQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,56,56,,
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2,2,,
ATOCHA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,5,5,,
AYATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,25,25,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,59,59,,
AZURDUY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,28,28,,
BATALLAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,14,14,,
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
BELEN DE URMIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,20,20,,
BELLA FLOR,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,25,25,,
BERMEJO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,59,59,,
BOLPEBRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2,2,,
BOYUIBE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
BUENA VISTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,41,41,,
CABEZAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,5,5,,
CAIROMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,22,22,,
CAJUATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,7,7,,
CALAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,4,4,,
CAMARGO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,117,117,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,5,5,,
CAMIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,174,174,,
CARACOLLO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,18,18,,
CARANAVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,134,134,,
CARANGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,7,7,,
CARAPARI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
CARIPUYO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,9,9,,
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,40,40,,
CATACORA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,4,4,,
CHACARILLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,19,19,,
CHALLAPATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,15,15,,
CHARAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,31,31,,
CHARAÑA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,4,4,,
CHIMORE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,54,54,,
CHUMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
COBIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,37,37,,
COCHABAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1402,1402,,
COIPASA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2,2,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,50,50,,
COLOMI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,165,165,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
COLQUENCHA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
COLQUIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
COMANCHE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
COMARAPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
COMBAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,11,11,,
CONCEPCION,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,6,6,,
COPACABANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,12,12,,
CORO CORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
CORQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,8,8,,
COTAGAITA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,13,13,,
COTOCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2,2,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,253,253,,
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
CULPINA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,173,173,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,7,7,,
CURVA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,9,9,,
EL ALTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2244,2244,,
EL CHORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,12,12,,
EL PUENTE(STC),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,146,146,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2,2,,
EL TORNO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,28,28,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,108,108,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,31,31,,
EXALTACION,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,19,19,,
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,30,30,,
FILADELFIA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,19,19,,
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,127,127,,
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,24,24,,
GUANAY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,107,107,,
GUAYARAMERIN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,152,152,,
GUTIERREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,49,49,,
HUACARETA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,73,73,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
HUACHACALLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
HUANUNI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,6,6,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2,2,,
ICLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,262,262,,
INCAHUASI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,196,196,,
INGAVI (HUMAITA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,27,27,,
INQUISIVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,16,16,,
IXIAMAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,59,59,,
JESUS DE MACHACA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
LA GUARDIA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,24,24,,
LA PAZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,481,481,,
LAGUNILLAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
LAJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,36,36,,
LAS CARRERAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,8,8,,
LLALLAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,91,91,,
LORETO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,55,55,,
LURIBAY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,12,12,,
MACHARETI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,53,53,,
MALLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,13,13,,
MAPIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,45,45,,
MECAPACA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,85,85,,
MINEROS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,310,310,,
MIZQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,69,69,,
MOCOMOCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,2,2,,
MOJINETE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,4,4,,
MOJOCOYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,68,68,,
MONTEAGUDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,150,150,,
MONTERO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,212,212,,
MORO MORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,6,6,,
MOROCHATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,183,183,,
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,11,11,,
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,11,11,,
OKINAWA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,18,18,,
OMEREQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
ORURO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,402,402,,
PADCAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,30,30,,
PADILLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,14,14,,
PALCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,9,9,,
PALOS BLANCOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,119,119,,
PAMPA AULLAGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
PASORAPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,29,29,,
PATACAMAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,24,24,,
POCONA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,105,105,,
POJO (CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,64,64,,
POOPO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,21,21,,
PORCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,58,58,,
POROMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,137,137,,
PORONGO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,23,23,,
PORTACHUELO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,213,213,,
PORVENIR,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,20,20,,
POSTRER VALLE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
POTOSI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,370,370,,
PUCARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
PUCARANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,15,15,,
PUERTO ACOSTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,19,19,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,4,4,,
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,7,7,,
PUERTO PEREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,18,18,,
PUERTO QUIJARRO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,4,4,,
PUERTO RICO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,22,22,,
PUERTO SUAREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,13,13,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,86,86,,
PUNA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,47,47,,
PUNATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,156,156,,
QUIABAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,34,34,,
QUILLACOLLO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,333,333,,
QUIME,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,6,6,,
REYES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,60,60,,
RIBERALTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,104,104,,
ROBORE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,11,11,,
RURRENABAQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,6,6,,
SABAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,12,12,,
SACABA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,376,376,,
SACABAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,21,21,,
SACACA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,381,381,,
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
SAN ANDRES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,66,66,,
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
SAN BENITO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,89,89,,
SAN BORJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,60,60,,
SAN BUENA VENTURA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,19,19,,
SAN IGNACIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,94,94,,
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,87,87,,
SAN JAVIER(BNI),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,25,25,,
SAN JAVIER(STC),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
SAN JOAQUIN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,23,23,,
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
SAN JULIAN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,78,78,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,46,46,,
SAN LUCAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,122,122,,
SAN MATIAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,29,29,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,10,10,,
SAN PEDRO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,23,23,,
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,13,13,,
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
SAN PEDRO(PND),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,4,4,,
SAN RAFAEL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1,1,,
SAN RAMON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,5,5,,
SAN RAMON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,29,29,,
SANTA ANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,18,18,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1874,1874,,
SANTA ROSA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,22,22,,
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,15,15,,
SAPAHAQUI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,3,3,,
SENA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,9,9,,
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,5,5,,
SIPE SIPE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,94,94,,
SORACACHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,11,11,,
SORATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,16,16,,
SUCRE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,1396,1396,,
TACACOMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,46,46,,
TACOBAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,227,227,,
TAPACARI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,144,144,,
TARABUCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,447,447,,
TARACO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,29,29,,
TARATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,9,9,,
TARIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,217,217,,
TARVITA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,19,19,,
TEOPONTE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,56,56,,
TINGUIPAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,261,261,,
TIPUANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,11,11,,
TIQUIPAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,196,196,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-04-01,156,156,,
