municipality,group,variable,month,Control del niño menor de 1 año NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
SANTA ROSA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,25,25,,
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,48,48,,
SAPAHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,19,19,,
SENA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,27,27,,
SIPE SIPE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,173,173,,
SORACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,28,28,,
SUCRE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1636,1636,,
TARATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,129,129,,
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,5,5,,
TOCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,13,13,,
TOLATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,38,38,,
TOLEDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
TOMAVE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
TORO TORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,33,33,,
TOTORA(CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,46,46,,
TOTORA(ORR),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,13,13,,
TRINIDAD,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,70,70,,
TUPIZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,26,26,,
TURCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,15,15,,
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,44,44,,
UYUNI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,49,49,,
VACAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,17,17,,
VALLEGRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,28,28,,
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,4,4,,
VILLA RIVERO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,47,47,,
VILLA TUNARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,345,345,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,116,116,,
VILLAZON,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,51,51,,
VINTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,56,56,,
VITICHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,5,5,,
WALDO BALLIVIAN,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,5,5,,
WARNES,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,3,3,,
YACUIBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,203,203,,
