municipality,group,variable,month,Control del niño de 1 año a menor de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
URUBICHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,41,41,,
VACAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,12,12,,
VALLEGRANDE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,7,7,,
VIACHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,85,85,,
VILA VILA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,12,12,,
VILLA MONTES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,17,17,,
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,13,13,,
VILLA RIVERO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,24,24,,
VILLA TUNARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,114,114,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,7,7,,
VILLAZON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,2,2,,
VINTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,19,19,,
WARNES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,147,147,,
YACUIBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,66,66,,
YAMPARAEZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,91,91,,
YOCALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,10,10,,
YOTALA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,26,26,,
YUNCHARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-04-01,41,41,,
ACACIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,47,47,,
ACHACACHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
ACHOCALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,26,26,,
AIQUILE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,28,28,,
ALALAY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
ANDAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
ANTEQUERA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
ANZALDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,47,47,,
ARAMPAMPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,45,45,,
ARANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
ARBIETO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,10,10,,
ARQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,22,22,,
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,10,10,,
ATOCHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
AYATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,67,67,,
AZURDUY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
BATALLAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,12,12,,
BAURES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
BELEN DE URMIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,5,5,,
BELLA FLOR,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,17,17,,
BERMEJO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
BETANZOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
BOLPEBRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
BOYUIBE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,9,9,,
BUENA VISTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,84,84,,
CABEZAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,23,23,,
"CAIZA ""D""",control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
CAJUATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
CALAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
CAMARGO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,65,65,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
CAMIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,88,88,,
CAPINOTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,84,84,,
CARACOLLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
CARANAVI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,129,129,,
CARANGAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,5,5,,
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,33,33,,
CHALLAPATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,20,20,,
CHARAGUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,11,11,,
CHARAÑA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
CHIMORE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,124,124,,
CHIPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
CHUMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,15,15,,
CLIZA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,10,10,,
COBIJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,122,122,,
COCHABAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,939,939,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,46,46,,
COLOMI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,67,67,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,5,5,,
COLQUECHACA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,52,52,,
COLQUENCHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
COLQUIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
CONCEPCION,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,99,99,,
CORQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,19,19,,
COTAGAITA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,55,55,,
COTOCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,137,137,,
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
CULPINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,41,41,,
EL ALTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1915,1915,,
EL CHORO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
EL PUENTE(STC),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,20,20,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
EL TORNO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,33,33,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,22,22,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,109,109,,
ESCARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
EUCALIPTUS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
EXALTACION,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,21,21,,
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,31,31,,
FILADELFIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,19,19,,
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,63,63,,
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
GUAQUI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
GUAYARAMERIN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,73,73,,
GUTIERREZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,148,148,,
HUACARETA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
HUANUNI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
ICLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,62,62,,
INCAHUASI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,49,49,,
INQUISIVI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
IXIAMAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
LA GUARDIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,8,8,,
LA PAZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,735,735,,
LAGUNILLAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,10,10,,
LAJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,47,47,,
LAS CARRERAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,12,12,,
LLALLAGUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,15,15,,
LLICA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
LORETO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
LURIBAY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,8,8,,
MACHARETI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
MAGDALENA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
MALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,5,5,,
MECAPACA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,16,16,,
MIZQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,66,66,,
MOCOMOCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
MOJOCOYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,44,44,,
MONTEAGUDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,27,27,,
MONTERO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,81,81,,
MOROCHATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,79,79,,
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
OCURI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
OKINAWA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
ORURO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,223,223,,
PADCAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,9,9,,
PADILLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
PALCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,50,50,,
PAPEL PAMPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
PASORAPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,11,11,,
PATACAMAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,33,33,,
PELECHUCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
POCONA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,91,91,,
POJO (CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,92,92,,
POOPO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
PORCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,70,70,,
POROMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,47,47,,
PORONGO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,16,16,,
PORTACHUELO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,9,9,,
PORVENIR,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,8,8,,
POTOSI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,625,625,,
PRESTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,54,54,,
PUCARANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
PUERTO ACOSTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,11,11,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
PUERTO PEREZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,38,38,,
PUERTO QUIJARRO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,31,31,,
PUERTO RICO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,18,18,,
PUERTO SILES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,9,9,,
PUERTO SUAREZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,28,28,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,34,34,,
PUNA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,44,44,,
PUNATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,103,103,,
QUIABAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
QUILLACOLLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,388,388,,
REYES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,9,9,,
RIBERALTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,56,56,,
ROBORE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,19,19,,
RURRENABAQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
SABAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
SACABA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,229,229,,
SACABAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,21,21,,
SACACA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,128,128,,
SAIPINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,66,66,,
SAN ANDRES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,62,62,,
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,9,9,,
SAN BENITO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,5,5,,
SAN BORJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,172,172,,
SAN BUENA VENTURA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,5,5,,
SAN CARLOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,39,39,,
SAN IGNACIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,196,196,,
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
SAN JAVIER(BNI),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,51,51,,
SAN JOAQUIN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
SAN JULIAN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,132,132,,
SAN LORENZO(PND),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,51,51,,
SAN LUCAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,54,54,,
SAN MATIAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,33,33,,
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,12,12,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,16,16,,
SAN PEDRO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,33,33,,
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,64,64,,
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,11,11,,
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
SAN PEDRO(PND),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
SAN RAFAEL,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
SAN RAMON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
SAN RAMON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,17,17,,
SANTA ANA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,2,2,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1812,1812,,
SANTA ROSA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,28,28,,
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
SAPAHAQUI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,9,9,,
SENA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
SIPE SIPE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,57,57,,
SORACACHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,21,21,,
SORATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,25,25,,
SUCRE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,325,325,,
TACACOMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
TACOBAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,101,101,,
TACOPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
TAPACARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,198,198,,
TARABUCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,108,108,,
TARACO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,5,5,,
TARATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,18,18,,
TARIJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,19753,19753,,
TARVITA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
TEOPONTE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
TIAWANACU,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
TINGUIPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,203,203,,
TIQUIPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,206,206,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,63,63,,
TOCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
TOLATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
TOLEDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
TOMAVE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,51,51,,
TORO TORO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,76,76,,
TOTORA(CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,50,50,,
TOTORA(ORR),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
TRINIDAD,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,295,295,,
TUPIZA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,30,30,,
TURCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
UMALA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
UNCIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,16,16,,
UYUNI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,1,1,,
VACAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,4,4,,
VALLEGRANDE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,7,7,,
VIACHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,56,56,,
VILA VILA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,3,3,,
VILLA MONTES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,14,14,,
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,15,15,,
VILLA RIVERO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,21,21,,
VILLA TUNARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,232,232,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
VILLAZON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,8,8,,
VINTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,42,42,,
WARNES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,99,99,,
YACO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,6,6,,
YACUIBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,73,73,,
YAMPARAEZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,12,12,,
YOCALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,29,29,,
YOTALA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,5,5,,
YUNCHARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-05-01,33,33,,
ACACIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,4,4,,
ACHACACHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,26,26,,
ACHOCALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,52,52,,
AIQUILE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,12,12,,
ALALAY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,4,4,,
ANCORAIMES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,1,1,,
ANDAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,2,2,,
ANZALDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,33,33,,
APOLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,112,112,,
ARANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,41,41,,
