municipality,group,variable,month,Total N° de perros y gatos con vacuna antirrábica,TOTAL
PUERTO VILLARROEL,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,30,30
PUNA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,2,2
PUNATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,158,158
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,3823,3823
QUIME,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,60,60
ROBORE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,231,231
SACABA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,1660,1660
SACABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,11,11
SAN BENITO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,10,10
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,40,40
SAN LORENZO(PND),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,751,751
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,8,8
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,519,519
SANTA ROSA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,1437,1437
SENA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,412,412
SIPE SIPE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,481,481
SORACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,3,3
TACOBAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,10,10
TAPACARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,2488,2488
TARATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,69,69
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,120,120
TIRAQUE (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,20,20
TITO YUPANQUI (PARQUIPUJIO),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,10,10
TOCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,55,55
TOLATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,6,6
TORO TORO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,30,30
TOTORA(CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,1544,1544
VACAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,10,10
VILLA MONTES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,131,131
VILLA NUEVA (LOMA ALTA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,10,10
VILLA TUNARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,12,12
VINTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,80,80
WARNES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,188,188
YAPACANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-05-01,268,268
ACACIO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,31,31
AIQUILE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,475,475
ANZALDO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,224,224
ARBIETO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,500,500
BELEN DE URMIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,6,6
BELLA FLOR,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,30,30
BETANZOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,10,10
CARAPARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,90,90
CLIZA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,111,111
COCHABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,481,481
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,8936,8936
COLOMI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,42,42
COMARAPA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,310,310
CONCEPCION,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,340,340
COTAGAITA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,360,360
EL ALTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,762,762
EL PUENTE(TJA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,50,50
EL TORNO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,446,446
ENTRE RIOS TRJ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,68,68
ENTRE RIOS CBBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,35,35
EUREKA (SANTOS MERCADO),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,20,20
INGAVI (HUMAITA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,250,250
LA PAZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,192,192
LORETO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,53,53
MIZQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,51,51
MONTERO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,26,26
NACEBE (SANTA ROSA DEL ABUNA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,37,37
NUEVO MANOA (NUEVA ESPERANZA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,40,40
OMEREQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,22,22
ORURO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,1634,1634
PAILON,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,10,10
PALOS BLANCOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,15,15
POCONA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,527,527
POJO (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,493,493
PORVENIR,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,360,360
PUCARANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,18,18
PUERTO RICO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,396,396
PUNA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,18,18
PUNATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,99,99
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,35259,35259
ROBORE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,20,20
SACABA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,1534,1534
SACABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,12,12
SACACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,90,90
SAN BORJA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,1466,1466
SAN CARLOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,147,147
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,50,50
SAN JAVIER(BNI),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,350,350
SAN LORENZO(TJA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,46,46
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,8,8
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,107,107
SANTA ROSA DEL SARA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,7,7
SANTIVAÑES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,401,401
SENA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,37,37
SIPE SIPE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,200,200
TAPACARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,226,226
TARATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,31,31
TARIJA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,5203,5203
TOCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,84,84
TOLATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,7,7
TOMINA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,130,130
TOTORA(CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,369,369
VACAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,16,16
VALLEGRANDE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,173,173
VILA VILA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,78,78
VILLA MONTES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,612,612
VILLA NUEVA (LOMA ALTA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,28,28
VILLAZON,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,2,2
VINTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,60,60
WARNES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,14,14
YAPACANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-06-01,4,4
AIQUILE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,295,295
ALALAY,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,142,142
ALCALA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1639,1639
ANZALDO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,146,146
ARANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,3707,3707
ARBIETO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2420,2420
ARQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,21,21
AZURDUY,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2780,2780
BELEN DE URMIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,5,5
BERMEJO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,11873,11873
BETANZOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,50,50
BOLIVAR,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,46,46
BUENA VISTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,120,120
CABEZAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,117,117
"CAIZA ""D""",n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,10,10
CAMARGO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1506,1506
CAMATAQUI (C. VILLA ABECIA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,640,640
CAPINOTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,3862,3862
CARAPARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,4571,4571
CHIMORE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1734,1734
CLIZA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,239,239
COBIJA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,20,20
COCAPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2633,2633
COCHABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,225375,225375
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,3451,3451
COLOMI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,4526,4526
COMARAPA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1262,1262
CONCEPCION,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,121,121
COTAGAITA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,635,635
COTOCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,145,145
CUCHUMUELA (V. G. VILLARROEL),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,930,930
CULPINA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1611,1611
EL ALTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,322,322
EL PUENTE(TJA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,28,28
EL TORNO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,57,57
EL VILLAR,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,670,670
ENTRE RIOS CBBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,4369,4369
EUREKA (SANTOS MERCADO),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,20,20
HUACARETA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,3644,3644
HUACAYA (VILLA DE HUACAYA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,787,787
ICLA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2407,2407
INCAHUASI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1742,1742
INGAVI (HUMAITA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,180,180
IRUPANA (VILLA DE LANZA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,252,252
LA PAZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,229,229
LAS CARRERAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,758,758
LLALLAGUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,220,220
MACHARETI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1971,1971
MIZQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,3645,3645
MOJOCOYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1560,1560
MONTEAGUDO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,7037,7037
MONTERO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,776,776
MOROCHATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,29,29
NACEBE (SANTA ROSA DEL ABUNA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,187,187
NUEVO MANOA (NUEVA ESPERANZA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,108,108
OMEREQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,517,517
ORURO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,691,691
PADILLA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,4788,4788
PAILON,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,36,36
PALOS BLANCOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,71,71
POCONA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,262,262
POJO (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,216,216
POROMA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2253,2253
POTOSI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,270,270
PRESTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2054,2054
PUCARANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,40,40
PUERTO GONZALO MORENO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1057,1057
PUERTO RICO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,331,331
PUERTO VILLARROEL,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,7481,7481
PUNA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,10,10
PUNATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,9362,9362
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,5815,5815
ROBORE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,26,26
SACABA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,48520,48520
SACABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,109,109
SACACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,627,627
SAN BENITO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,5383,5383
SAN BORJA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1308,1308
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,70,70
SAN LORENZO(TJA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,119,119
SAN LUCAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1136,1136
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,7,7
SAN PEDRO DE BUENA VISTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,68,68
SAN PEDRO(PND),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,93,93
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1548,1548
SANTIVAÑES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1492,1492
SHINAOTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2320,2320
SICAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,404,404
SIPE SIPE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2545,2545
SOPACHUY,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1842,1842
SUCRE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,4111,4111
TACOPAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,419,419
TAPACARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,172,172
TARABUCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1383,1383
TARATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,130,130
TARVITA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,4031,4031
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,20610,20610
TIRAQUE (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,3892,3892
TOCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,317,317
TOLATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,6,6
TOMINA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,3596,3596
TOTORA(CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,551,551
TRINIDAD,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,80,80
URIONDO (A. CONCEPCION),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,4368,4368
VACAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1758,1758
VILA VILA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,264,264
VILLA CHARCAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2099,2099
VILLA MONTES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,672,672
VILLA NUEVA (LOMA ALTA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,120,120
VILLA RIVERO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2485,2485
VILLA SERRANO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2367,2367
VILLA TUNARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,3172,3172
VILLA VACA GUZMAN (MUYUPAMPA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2088,2088
VILLAZON,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,117,117
VINTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,19396,19396
WARNES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,30,30
YAMPARAEZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2384,2384
YAPACANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,52,52
YOTALA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,1324,1324
ZUDAÑEZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-07-01,2390,2390
ACACIO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,262,262
ACHACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,3849,3849
ACHOCALLA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2379,2379
AIQUILE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,4609,4609
ALALAY,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,144,144
ALCALA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,20,20
ALTO BENI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2140,2140
ANCORAIMES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2840,2840
