municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
ICLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,12,12
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,3,3
POCOATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,13,13
PUCARANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,10,10
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,3,3
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,4,4
POCOATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,6,6
RAVELO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
