,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTALES,TOTALES,TOTALES
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,68,220,68,220,288
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,60,61,60,61,121
PALOS BLANCOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,78,247,78,247,325
PAMPA AULLAGAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,15,37,15,37,52
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,22,52,22,52,74
PAPEL PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,19,21,19,21,40
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,3,32,3,32,35
PATACAMAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,42,145,42,145,187
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,14,65,14,65,79
PELECHUCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,21,49,21,49,70
POCOATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,76,303,76,303,379
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,3,139,3,139,142
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,34,148,34,148,182
POOPO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,7,74,7,74,81
PORCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,26,140,26,140,166
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,101,136,101,136,237
PORONGO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,27,42,27,42,69
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,59,251,59,251,310
PORVENIR,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,9,82,9,82,91
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,2,23,2,23,25
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,676,1955,676,1955,2631
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,38,118,38,118,156
PUCARA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,2,17,2,17,19
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,71,254,71,254,325
PUERTO ACOSTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,77,114,77,114,191
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,25,110,25,110,135
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,7,69,7,69,76
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,13,34,13,34,47
PUERTO QUIJARRO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,42,174,42,174,216
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,11,78,11,78,89
PUERTO SILES,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,2,12,2,12,14
PUERTO SUAREZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,86,128,86,128,214
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,310,482,310,482,792
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,90,385,90,385,475
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,146,375,146,375,521
QUIABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,24,12,24,12,36
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,940,393,940,393,1333
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,27,118,27,118,145
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,1,21,1,21,22
RAVELO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,43,270,43,270,313
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,20,165,20,165,185
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,436,1781,436,1781,2217
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,49,179,49,179,228
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,33,211,33,211,244
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,10,28,10,28,38
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,498,1357,498,1357,1855
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,13,21,13,21,34
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,41,317,41,317,358
SAIPINA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,32,53,32,53,85
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,16,138,16,138,154
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,9,91,9,91,100
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,0,21,0,21,21
SAN ANDRES,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,49,132,49,132,181
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,3,30,3,30,33
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,4,23,4,23,27
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,15,109,15,109,124
SAN BENITO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,117,61,117,61,178
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,106,543,106,543,649
SAN BUENA VENTURA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,26,102,26,102,128
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,39,226,39,226,265
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,58,234,58,234,292
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,152,899,152,899,1051
SAN JAVIER(BNI),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,26,11,26,11,37
SAN JAVIER(STC),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,48,162,48,162,210
SAN JOAQUIN,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,14,88,14,88,102
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,121,92,121,92,213
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,29,181,29,181,210
SAN JULIAN,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,190,185,190,185,375
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,13,38,13,38,51
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,33,218,33,218,251
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,131,544,131,544,675
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,37,109,37,109,146
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,20,125,20,125,145
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,7,32,7,32,39
SAN PEDRO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,41,133,41,133,174
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,52,228,52,228,280
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,13,57,13,57,70
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,2,5,2,5,7
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,8,36,8,36,44
SAN PEDRO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,0,30,0,30,30
SAN RAFAEL,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,17,96,17,96,113
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,25,86,25,86,111
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,7,58,7,58,65
SANTA ANA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,186,192,186,192,378
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,4209,7117,4209,7117,11326
SANTA ROSA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,28,100,28,100,128
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,29,117,29,117,146
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,24,38,24,38,62
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,16,95,16,95,111
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,3,36,3,36,39
SANTIVAÑES,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,14,63,14,63,77
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,5,37,5,37,42
SAPAHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,18,55,18,55,73
SENA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,9,60,9,60,69
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,30,195,30,195,225
SICAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,2,38,2,38,40
SIPE SIPE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,84,392,84,392,476
SOPACHUY,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,21,122,21,122,143
SORACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,13,102,13,102,115
SORATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,78,123,78,123,201
SUCRE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,1344,1435,1344,1435,2779
TACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,0,11,0,11,11
TACACOMA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,21,46,21,46,67
TACOBAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,47,90,47,90,137
TACOPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,17,107,17,107,124
TAHUA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,0,6,0,6,6
TAPACARI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,116,211,116,211,327
TARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,36,244,36,244,280
TARACO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,16,27,16,27,43
TARATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,41,136,41,136,177
TARIJA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,1094,1930,1094,1930,3024
TARVITA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,33,210,33,210,243
TEOPONTE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,11,85,11,85,96
TIAWANACU,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,25,116,25,116,141
TINGUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,77,187,77,187,264
TIPUANI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,22,129,22,129,151
TIQUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,347,326,347,326,673
TIRAQUE (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,221,164,221,164,385
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,3,10,3,10,13
TOCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,44,29,44,29,73
TODOS SANTOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,1,3,1,3,4
TOLATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,15,48,15,48,63
TOLEDO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,14,35,14,35,49
TOMAVE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,21,134,21,134,155
TOMINA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,10,113,10,113,123
TORO TORO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,21,133,21,133,154
TOTORA(CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,100,138,100,138,238
TOTORA(ORR),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,11,50,11,50,61
TRIGAL,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,1,27,1,27,28
TRINIDAD,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,761,768,761,768,1529
TUPIZA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,81,500,81,500,581
TURCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,7,55,7,55,62
UMALA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,15,81,15,81,96
UNCIA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,84,208,84,208,292
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,41,168,41,168,209
UYUNI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,87,272,87,272,359
VACAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,23,72,23,72,95
VALLEGRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,33,148,33,148,181
VIACHA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,175,363,175,363,538
VILA VILA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,5,55,5,55,60
VILLA MONTES,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,100,454,100,454,554
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,9,46,9,46,55
VILLA RIVERO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,22,36,22,36,58
VILLA SERRANO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,22,154,22,154,176
VILLA TUNARI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,688,470,688,470,1158
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,22,123,22,123,145
VILLAZON,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,86,533,86,533,619
VINTO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,237,207,237,207,444
VITICHI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,13,130,13,130,143
WALDO BALLIVIAN,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,5,30,5,30,35
WARNES,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,122,499,122,499,621
YACO,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,19,50,19,50,69
YACUIBA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,196,854,196,854,1050
YAMPARAEZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,24,106,24,106,130
YANACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,7,56,7,56,63
YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,94,495,94,495,589
YOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,8,69,8,69,77
YOTALA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,24,98,24,98,122
YUNCHARA,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,9,96,9,96,105
ZUDAÑEZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-03-01,21,113,21,113,134
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,27,95,27,95,122
ACHACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,172,431,172,431,603
ACHOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,62,40,62,40,102
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,82,397,82,397,479
ALALAY,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,15,41,15,41,56
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,5,47,5,47,52
ANCORAIMES,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,22,89,22,89,111
ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,5,46,5,46,51
ANTEQUERA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,6,37,6,37,43
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,78,27,78,27,105
APOLO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,31,155,31,155,186
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,11,71,11,71,82
ARANI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,42,148,42,148,190
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,23,133,23,133,156
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,36,195,36,195,231
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,113,293,113,293,406
ATOCHA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,11,136,11,136,147
AUCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,22,17,22,17,39
AYATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,25,67,25,67,92
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,12,69,12,69,81
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,75,299,75,299,374
AZURDUY,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,21,207,21,207,228
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,32,144,32,144,176
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,11,53,11,53,64
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,2,9,2,9,11
BELEN DE URMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,0,30,0,30,30
BELLA FLOR,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,2,16,2,16,18
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,141,112,141,112,253
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,46,418,46,418,464
BOLIVAR,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,17,123,17,123,140
BOLPEBRA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,2,27,2,27,29
BOYUIBE,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,13,24,13,24,37
BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,21,121,21,121,142
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,45,202,45,202,247
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,34,97,34,97,131
"CAIZA ""D""",control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,25,127,25,127,152
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,19,181,19,181,200
CALACOTO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,9,55,9,55,64
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,23,122,23,122,145
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,28,234,28,234,262
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,5,35,5,35,40
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,132,555,132,555,687
CAPINOTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,90,278,90,278,368
CAQUIAVIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,23,113,23,113,136
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,48,223,48,223,271
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,231,575,231,575,806
CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,2,3,2,3,5
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,18,166,18,166,184
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,24,104,24,104,128
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,20,49,20,49,69
CATACORA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,1,6,1,6,7
CHACARILLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,5,7,5,7,12
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,63,372,63,372,435
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,19,81,19,81,100
CHARAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,58,317,58,317,375
CHARAÑA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,4,20,4,20,24
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,29,187,29,187,216
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,26,87,26,87,113
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,3,21,3,21,24
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,0,13,0,13,13
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,36,113,36,113,149
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,23,107,23,107,130
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,75,194,75,194,269
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,152,825,152,825,977
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,2741,3392,2741,3392,6133
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,2,1,2,1,3
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,271,452,271,452,723
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,0,4,0,4,4
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,2,25,2,25,27
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,110,167,110,167,277
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,15,64,15,64,79
COLQUECHACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,82,411,82,411,493
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,14,92,14,92,106
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,100,168,100,168,268
COMANCHE,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,7,29,7,29,36
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,38,185,38,185,223
COMBAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,13,23,13,23,36
CONCEPCION,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,38,213,38,213,251
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,19,140,19,140,159
CORIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,72,107,72,107,179
CORO CORO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,17,101,17,101,118
COROICO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,43,153,43,153,196
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,18,63,18,63,81
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,67,310,67,310,377
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,92,408,92,408,500
CUATRO CAÑADAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,84,100,84,100,184
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,6,8,6,8,14
CUEVO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,1,58,1,58,59
CULPINA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,37,234,37,234,271
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,14,62,14,62,76
CURVA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,7,16,7,16,23
DESAGUADERO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,11,49,11,49,60
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,3506,8595,3506,8595,12101
EL CHORO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,20,52,20,52,72
EL PUENTE(STC),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,53,121,53,121,174
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,11,71,11,71,82
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,120,370,120,370,490
EL VILLAR,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,5,68,5,68,73
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,197,131,197,131,328
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,37,303,37,303,340
ESCARA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,4,0,4,0,4
ESMERALDA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,0,1,0,1,1
EUCALIPTUS,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,14,71,14,71,85
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,2,20,2,20,22
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,4,41,4,41,45
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,33,96,33,96,129
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,8,41,8,41,49
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,28,163,28,163,191
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,44,81,44,81,125
GUANAY,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,20,124,20,124,144
GUAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,22,43,22,43,65
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,110,602,110,602,712
GUTIERREZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,24,210,24,210,234
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,20,111,20,111,131
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,3,34,3,34,37
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-04-01,1,18,1,18,19
