,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
LA PAZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1402,3161,1402,3161,4563
LA RIVERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,4,0,4,4
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,2,115,2,115,117
LAJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,12,77,12,77,89
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,38,6,38,44
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,38,6,38,44
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,89,314,89,314,403
LLICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,45,5,45,50
LORETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,10,22,10,22,32
LURIBAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,17,75,17,75,92
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,11,53,11,53,64
MACHARETI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,23,93,23,93,116
MAGDALENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,18,70,18,70,88
MAIRANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,17,57,17,57,74
MALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,31,4,31,35
MAPIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,9,91,9,91,100
MECAPACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,22,23,22,23,45
MINEROS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,2,246,2,246,248
MIZQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,49,166,49,166,215
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,24,54,24,54,78
MOJINETE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,4,0,4,4
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,101,6,101,107
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,65,364,65,364,429
MONTERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,26,674,26,674,700
MORO MORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,34,3,34,37
MOROCHATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,146,310,146,310,456
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,34,0,34,34
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,5,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,13,5,13,18
OCURI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,352,3,352,355
OKINAWA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,7,73,7,73,80
OMEREQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,20,33,20,33,53
ORURO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,406,1751,406,1751,2157
PADCAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,59,313,59,313,372
PADILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,148,4,148,152
PAILON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,142,8,142,150
PALCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,17,35,17,35,52
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,16,249,16,249,265
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,25,8,25,33
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,16,6,16,22
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,25,4,25,29
PASORAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,34,4,34,38
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,7,66,7,66,73
PAZÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,74,8,74,82
PELECHUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,27,5,27,32
POCOATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,44,311,44,311,355
POCONA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,90,5,90,95
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,33,136,33,136,169
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,13,59,13,59,72
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,122,8,122,130
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,101,147,101,147,248
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,32,20,32,20,52
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,163,0,163,163
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,9,65,9,65,74
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,14,4,14,18
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,289,1032,289,1032,1321
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,30,154,30,154,184
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,23,5,23,28
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,65,70,65,70,135
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,65,67,65,67,132
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,17,68,17,68,85
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,7,56,7,56,63
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,36,8,36,44
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,91,8,91,99
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,2,87,2,87,89
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1,19,1,19,20
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,44,48,44,48,92
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,160,431,160,431,591
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,43,404,43,404,447
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,64,222,64,222,286
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,16,5,16,5,21
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,523,258,523,258,781
QUIME,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,20,51,20,51,71
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,10,0,10,10
RAVELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,326,0,326,326
REYES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1,121,1,121,122
RIBERALTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,268,1275,268,1275,1543
ROBORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,181,0,181,181
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,166,0,166,166
SABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,28,6,28,34
SACABA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,197,861,197,861,1058
SACABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,20,37,20,37,57
SACACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,18,289,18,289,307
SAIPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,18,23,18,23,41
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,10,158,10,158,168
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,48,5,48,53
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,13,4,13,17
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,56,102,56,102,158
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,20,4,20,24
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1,20,1,20,21
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,21,95,21,95,116
SAN BENITO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,68,43,68,43,111
SAN BORJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,423,3,423,426
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,15,68,15,68,83
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,2,153,2,153,155
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,37,185,37,185,222
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,131,491,131,491,622
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,15,24,15,24,39
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,62,74,62,74,136
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,59,6,59,65
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,39,72,39,72,111
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,118,0,118,118
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,139,174,139,174,313
SAN LORENZO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,31,4,31,35
SAN LORENZO(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,13,231,13,231,244
SAN LUCAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,65,648,65,648,713
SAN MATIAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,10,66,10,66,76
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,20,62,20,62,82
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1,31,1,31,32
SAN PEDRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,22,114,22,114,136
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,36,248,36,248,284
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,45,3,45,48
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,4,0,4,4
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,32,6,32,38
SAN PEDRO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,2,19,2,19,21
SAN RAFAEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,14,79,14,79,93
SAN RAMON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,17,26,17,26,43
SAN RAMON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,52,3,52,55
SANTA ANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,91,105,91,105,196
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1824,4487,1824,4487,6311
SANTA ROSA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,77,3,77,80
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,82,0,82,82
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,37,5,37,42
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,12,92,12,92,104
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,18,0,18,18
SANTIVAÑES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,39,4,39,43
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,2,43,2,43,45
SAPAHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,15,50,15,50,65
SENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,59,3,59,62
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1,141,1,141,142
SICAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,65,0,65,65
SIPE SIPE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,51,290,51,290,341
SOPACHUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,114,8,114,122
SORACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,11,106,11,106,117
SORATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,44,112,44,112,156
SUCRE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,888,789,888,789,1677
TACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,5,0,5,5
TACACOMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,13,29,13,29,42
TACOBAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,23,63,23,63,86
TACOPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,24,136,24,136,160
TAHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,2,5,2,5,7
TAPACARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,92,216,92,216,308
TARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,21,274,21,274,295
TARACO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,29,6,29,35
TARATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,24,61,24,61,85
TARIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,585,1281,585,1281,1866
TARVITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,18,264,18,264,282
TEOPONTE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,68,8,68,76
TIAWANACU,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,27,73,27,73,100
TINGUIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,31,152,31,152,183
TIPUANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,22,82,22,82,104
TIQUIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,216,294,216,294,510
TIRAQUE (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,128,149,128,149,277
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1,6,1,6,7
TOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,35,28,35,28,63
TODOS SANTOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,1,4,1,4,5
TOLATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,38,4,38,42
TOLEDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,74,8,74,82
TOMAVE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,127,0,127,127
TOMINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,167,4,167,171
TORO TORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,157,8,157,165
TOTORA(CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,57,131,57,131,188
TOTORA(ORR),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,43,3,43,46
TRIGAL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,9,29,9,29,38
TRINIDAD,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,323,514,323,514,837
TUPIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,3,411,3,411,414
TURCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,58,4,58,62
UMALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,27,77,27,77,104
UNCIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,45,175,45,175,220
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,36,204,36,204,240
UYUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,10,259,10,259,269
VACAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,21,104,21,104,125
VALLEGRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,25,79,25,79,104
VIACHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,91,324,91,324,415
VILA VILA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,59,5,59,64
VILLA MONTES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,50,349,50,349,399
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,27,4,27,31
VILLA RIVERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,22,23,22,23,45
VILLA SERRANO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,162,4,162,166
VILLA TUNARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,452,397,452,397,849
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,26,114,26,114,140
VILLAZON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,31,355,31,355,386
VINTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,121,129,121,129,250
VITICHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,7,112,7,112,119
WALDO BALLIVIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,14,5,14,19
WARNES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,46,438,46,438,484
YACO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,8,48,8,48,56
YACUIBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,100,800,100,800,900
YAMPARAEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,5,153,5,153,158
YANACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,11,30,11,30,41
YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,0,338,0,338,338
YOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,6,69,6,69,75
YOTALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,12,98,12,98,110
YUNCHARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,9,97,9,97,106
ZUDAÑEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-03-01,4,101,4,101,105
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,17,83,17,83,100
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,119,217,119,217,336
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,51,33,51,33,84
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,61,303,61,303,364
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,9,39,9,39,48
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,0,41,0,41,41
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,15,61,15,61,76
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,7,56,7,56,63
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,8,28,8,28,36
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,88,35,88,35,123
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,27,136,27,136,163
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,6,63,6,63,69
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,35,87,35,87,122
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,5,136,5,136,141
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,0,203,0,203,203
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,11,340,11,340,351
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,0,104,0,104,104
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,21,17,21,17,38
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,35,78,35,78,113
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,11,39,11,39,50
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,40,279,40,279,319
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,1,215,1,215,216
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,20,72,20,72,92
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,0,46,0,46,46
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,2,19,2,19,21
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,0,13,0,13,13
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,5,20,5,20,25
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,102,120,102,120,222
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,36,479,36,479,515
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,12,162,12,162,174
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,1,21,1,21,22
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,16,15,16,15,31
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,0,159,0,159,159
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,19,168,19,168,187
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-04-01,10,59,10,59,69
