,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
TIRAQUE (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,195,259,195,259,454
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,2,26,2,26,28
TOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,29,39,29,39,68
TOLATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,4,37,4,37,41
TOLEDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,3,29,3,29,32
TOMAVE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,0,109,0,109,109
TOMINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,75,438,75,438,513
TORO TORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,19,222,19,222,241
TOTORA(CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,44,45,44,45,89
TOTORA(ORR),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,2,38,2,38,40
TRIGAL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,3,19,3,19,22
TRINIDAD,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,273,482,273,482,755
TUPIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,27,477,27,477,504
TURCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,5,41,5,41,46
UMALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,13,46,13,46,59
UNCIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,18,107,18,107,125
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,36,158,36,158,194
URUBICHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,0,471,0,471,471
UYUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,6,239,6,239,245
VACAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,15,37,15,37,52
VALLEGRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,11,113,11,113,124
VIACHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,64,285,64,285,349
VILA VILA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,0,73,0,73,73
VILLA MONTES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,16,272,16,272,288
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,0,13,0,13,13
VILLA RIVERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,19,12,19,12,31
VILLA SERRANO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,36,272,36,272,308
VILLA TUNARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,763,421,763,421,1184
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,180,97,180,97,277
VILLAZON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,13,326,13,326,339
VINTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,129,156,129,156,285
VITICHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,7,232,7,232,239
WALDO BALLIVIAN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,0,12,0,12,12
WARNES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,13,449,13,449,462
YACO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,14,84,14,84,98
YACUIBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,47,372,47,372,419
YAMPARAEZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,81,322,81,322,403
YANACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,4,47,4,47,51
YAPACANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,0,434,0,434,434
YOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,4,28,4,28,32
YOTALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,106,182,106,182,288
YUNCHARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,7,161,7,161,168
ZUDAÑEZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-02-01,35,225,35,225,260
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,13,212,13,212,225
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,43,351,43,351,394
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,22,22,22,22,44
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,40,493,40,493,533
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,35,3,35,38
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,179,4,179,183
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,10,178,10,178,188
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,5,135,5,135,140
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,10,33,10,33,43
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,40,56,40,56,96
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,39,240,39,240,279
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,5,92,5,92,97
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,26,118,26,118,144
ARBIETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,45,175,45,175,220
ARQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,315,3,315,318
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,5,0,5,0,5
ATOCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,149,0,149,149
AUCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,8,33,8,33,41
AYATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,22,91,22,91,113
AYO AYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,7,37,7,37,44
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,20,248,20,248,268
AZURDUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,104,449,104,449,553
BATALLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,62,157,62,157,219
BAURES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,94,0,94,94
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,31,2,31,33
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,33,0,33,33
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,13,85,13,85,98
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,11,77,11,77,88
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,14,585,14,585,599
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,5,181,5,181,186
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,70,4,70,74
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,22,56,22,56,78
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,26,306,26,306,332
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,53,265,53,265,318
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,20,242,20,242,262
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,131,3,131,134
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,31,137,31,137,168
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,16,80,16,80,96
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,7,140,7,140,147
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,10,191,10,191,201
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,13,79,13,79,92
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,118,788,118,788,906
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,62,208,62,208,270
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,6,134,6,134,140
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,35,112,35,112,147
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,106,590,106,590,696
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,4,0,4,4
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,223,3,223,226
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,14,306,14,306,320
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,12,63,12,63,75
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,21,3,21,24
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,30,0,30,0,30
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,17,396,17,396,413
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,79,2,79,81
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,380,4,380,384
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,1,18,1,18,19
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,19,252,19,252,271
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,64,164,64,164,228
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,45,0,45,45
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,20,2,20,22
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,20,72,20,72,92
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,131,4,131,135
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,13,204,13,204,217
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,77,492,77,492,569
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,1862,2856,1862,2856,4718
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,8,2,8,10
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,289,217,289,217,506
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,17,220,17,220,237
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,17,0,17,17
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,64,167,64,167,231
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,74,3,74,77
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,54,261,54,261,315
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,12,114,12,114,126
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,41,140,41,140,181
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,9,39,9,39,48
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,165,0,165,165
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,44,4,44,48
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,199,95,199,95,294
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,27,83,27,83,110
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,25,114,25,114,139
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,58,2,58,60
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,28,56,28,56,84
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,5,104,5,104,109
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,40,403,40,403,443
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,96,378,96,378,474
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,48,196,48,196,244
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,9,2,9,2,11
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,104,0,104,104
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,166,402,166,402,568
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,8,54,8,54,62
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,5,32,5,32,37
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,25,66,25,66,91
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2204,4521,2204,4521,6725
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,6,22,6,22,28
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,101,143,101,143,244
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,6,274,6,274,280
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,44,141,44,141,185
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,262,0,262,262
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,78,366,78,366,444
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,37,323,37,323,360
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,3,0,3,3
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,2,0,2,2
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,7,107,7,107,114
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,37,3,37,40
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,69,0,69,69
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,23,165,23,165,188
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,7,85,7,85,92
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,15,219,15,219,234
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,22,120,22,120,142
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,12,139,12,139,151
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,19,36,19,36,55
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,7,414,7,414,421
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,1,386,1,386,387
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,72,207,72,207,279
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,19,106,19,106,125
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,30,2,30,32
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,11,179,11,179,190
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,39,0,39,39
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,43,4,43,47
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,44,0,44,44
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,44,567,44,567,611
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,158,516,158,516,674
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,8,2,8,10
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,7,121,7,121,128
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,19,229,19,229,248
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,5,64,5,64,69
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,21,270,21,270,291
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,9,92,9,92,101
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,19,587,19,587,606
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2065,5030,2065,5030,7095
LA RIVERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,4,0,4,4
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,235,0,235,235
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,6,90,6,90,96
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,16,110,16,110,126
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,5,57,5,57,62
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,21,478,21,478,499
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,59,3,59,62
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,10,48,10,48,58
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,12,98,12,98,110
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,36,4,36,40
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,90,213,90,213,303
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,7,110,7,110,117
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,11,82,11,82,93
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,75,2,75,77
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,95,0,95,95
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,46,63,46,63,109
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,277,2,277,279
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,66,317,66,317,383
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,23,141,23,141,164
MOJINETE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,5,0,5,5
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,23,300,23,300,323
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,212,471,212,471,683
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,41,1044,41,1044,1085
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,37,4,37,41
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,225,290,225,290,515
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,34,0,34,34
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,11,3,11,14
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,1,16,1,16,17
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,1,394,1,394,395
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,8,114,8,114,122
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,18,39,18,39,57
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,578,1868,578,1868,2446
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,36,221,36,221,257
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,23,442,23,442,465
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,19,287,19,287,306
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,39,39,39,39,78
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,14,337,14,337,351
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,18,99,18,99,117
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,10,28,10,28,38
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,8,2,8,10
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,3,82,3,82,85
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,20,80,20,80,100
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,90,4,90,94
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,9,60,9,60,69
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,28,239,28,239,267
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,6,114,6,114,120
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,33,164,33,164,197
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,8,68,8,68,76
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,24,87,24,87,111
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,200,238,200,238,438
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,55,32,55,32,87
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,0,195,0,195,195
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,10,72,10,72,82
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,2,23,2,23,25
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,342,1198,342,1198,1540
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,90,245,90,245,335
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,4,44,4,44,48
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,70,121,70,121,191
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-03-01,65,141,65,141,206
