municipality,group,variable,month,Nº de comunidades que participaron en el CAI d,TOTAL
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,13,13
COLQUIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,7,7
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,16,16
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,21,21
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,9,9
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,33,33
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,10,10
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
GUTIERREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,10,10
HUACHACALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,6,6
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,11,11
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,11,11
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,19,19
LA ASUNTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,97,97
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,8,8
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,4,4
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,5,5
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,8,8
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,4,4
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
OMEREQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,5,5
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,6,6
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,20,20
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,7,7
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
POSTRER VALLE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,23,23
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,4,4
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,40,40
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,10,10
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,14,14
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,39,39
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
SAIPINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,13,13
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,6,6
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
SAN JAVIER(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
