municipality,group,variable,month,Niñas(os) menores de 6 meses con dosis completa de hierro,TOTAL
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
CORO CORO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,41,41
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,31,31
LAGUNILLAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,2,2
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,10,10
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,2,2
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,8,8
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,4,4
SAN JOAQUIN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
SAN MATIAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,3,3
SANTA ROSA DEL SARA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,2,2
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,228,228
