,group,variable,month,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
COCHABAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,638,531,2207,2056,2845,2587,5432
COIPASA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,8,7,8,7,15
COLCAPIRHUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,55,57,277,295,332,352,684
"COLCHA ""K""",control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,11,9,61,69,72,78,150
COLLANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,2,30,6,32,8,40
COLOMI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,12,7,148,154,160,161,321
COLPA BELGICA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,1,1,3,3,4,7
COLQUECHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,23,21,264,247,287,268,555
COLQUENCHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,8,49,58,56,66,122
COLQUIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,14,10,78,71,92,81,173
COMANCHE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,22,14,22,14,36
COMARAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,8,111,94,117,102,219
COMBAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,9,3,14,17,23,20,43
CONCEPCION,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,34,24,78,92,112,116,228
COPACABANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,11,5,59,53,70,58,128
CORIPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,17,9,97,79,114,88,202
CORO CORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,1,46,37,47,38,85
COROICO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,8,87,56,90,64,154
CORQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,1,36,42,38,43,81
COTAGAITA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,13,12,143,161,156,173,329
COTOCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,42,55,204,171,246,226,472
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,0,2,0,2,2
CUATRO CAÑADAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,30,36,51,52,81,88,169
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,1,6,5,9,6,15
CUEVO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,5,29,22,32,27,59
CULPINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,20,16,132,139,152,155,307
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,3,30,39,33,42,75
CURVA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,1,18,28,18,29,47
DESAGUADERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,10,8,27,28,37,36,73
EL ALTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,654,652,3950,3599,4604,4251,8855
EL CHORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,2,43,35,43,37,80
EL PUENTE(STC),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,7,68,67,75,74,149
EL PUENTE(TJA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,13,13,73,76,86,89,175
EL TORNO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,40,36,209,191,249,227,476
EL VILLAR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,2,33,25,36,27,63
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,13,15,173,152,186,167,353
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,25,15,228,222,253,237,490
ESCARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,0,2,0,2,2
ESCOMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,1,20,18,23,19,42
ESMERALDA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,0,0,3,1,3,4
EUCALIPTUS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,2,67,52,70,54,124
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,8,10,8,10,18
EXALTACION,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,1,5,8,7,9,16
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,3,107,93,111,96,207
FILADELFIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,9,9,56,36,65,45,110
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,11,103,75,108,86,194
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,8,69,63,73,71,144
GUANAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,8,11,109,123,117,134,251
GUAQUI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,7,21,33,28,40,68
GUAYARAMERIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,12,8,360,328,372,336,708
GUTIERREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,14,14,126,123,140,137,277
HUACARETA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,6,52,63,55,69,124
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,6,23,20,29,26,55
HUACHACALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,4,2,5,4,9,13
HUANUNI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,11,16,132,129,143,145,288
HUARACAJE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,4,18,24,18,28,46
HUARINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,5,20,27,22,32,54
HUATAJATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,5,7,15,11,20,31
HUAYLLAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,2,26,30,27,32,59
HUMANATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,3,30,18,36,21,57
ICHOCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,2,22,24,23,26,49
ICLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,2,61,60,65,62,127
INCAHUASI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,13,3,105,87,118,90,208
INGAVI (HUMAITA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,0,10,10,11,10,21
INQUISIVI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,7,78,48,83,55,138
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,17,11,49,51,66,62,128
IXIAMAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,10,9,38,44,48,53,101
JESUS DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,10,37,67,42,77,119
LA ASUNTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,22,35,253,169,275,204,479
LA GUARDIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,61,72,225,259,286,331,617
LA PAZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,848,676,2528,2204,3376,2880,6256
LA RIVERA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,2,0,0,3,2,5
LAGUNILLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,7,52,61,58,68,126
LAJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,9,72,82,78,91,169
LAS CARRERAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,0,21,22,24,22,46
LICOMA PAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,2,23,18,24,20,44
LLALLAGUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,39,46,249,206,288,252,540
LLICA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,2,29,27,29,29,58
LORETO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,1,12,7,15,8,23
LURIBAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,23,17,35,23,58,40,98
MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,3,28,27,33,30,63
MACHARETI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,4,50,39,52,43,95
MAGDALENA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,11,9,70,70,81,79,160
MAIRANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,15,18,74,58,89,76,165
MALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,1,6,8,7,9,16
MAPIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,4,57,70,58,74,132
MECAPACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,8,60,47,67,55,122
MINEROS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,27,21,122,121,149,142,291
MIZQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,33,29,239,208,272,237,509
MOCOMOCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,10,2,83,88,93,90,183
MOJINETE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,7,9,7,9,16
MOJOCOYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,11,4,52,46,63,50,113
MONTEAGUDO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,23,12,178,192,201,204,405
MONTERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,128,111,693,685,821,796,1617
MORO MORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,2,20,23,22,25,47
MOROCHATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,7,77,66,81,73,154
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,3,26,9,32,12,44
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,5,3,5,3,8
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,1,10,12,12,13,25
OCURI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,8,6,122,100,130,106,236
OKINAWA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,10,9,84,96,94,105,199
OMEREQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,10,14,68,36,78,50,128
ORURO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,288,258,1303,1241,1591,1499,3090
PADCAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,9,8,129,123,138,131,269
PADILLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,8,8,65,83,73,91,164
PAILON,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,18,25,97,82,115,107,222
PALCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,8,139,98,146,106,252
PALOS BLANCOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,24,24,181,184,205,208,413
PAMPA AULLAGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,1,20,22,27,23,50
PAMPA GRANDE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,8,7,42,55,50,62,112
PAPEL PAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,42,46,42,46,88
PASORAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,10,6,17,7,27,13,40
PATACAMAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,15,90,112,96,127,223
PAZÑA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,4,33,29,36,33,69
PELECHUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,1,48,36,49,37,86
POCOATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,20,22,149,165,169,187,356
POCONA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,9,96,74,99,83,182
POJO (CBBA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,4,98,86,103,90,193
POOPO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,5,37,49,42,54,96
PORCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,39,33,35,19,74,52,126
POROMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,10,9,94,112,104,121,225
PORONGO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,13,46,33,52,46,98
PORTACHUELO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,4,22,31,27,35,62
PORVENIR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,6,29,44,32,50,82
POSTRER VALLE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,0,13,13,14,13,27
POTOSI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,219,220,847,829,1066,1049,2115
PRESTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,12,4,65,61,77,65,142
PUCARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,0,17,4,20,4,24
PUCARANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,19,19,210,220,229,239,468
PUERTO ACOSTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,16,8,60,51,76,59,135
PUERTO CARABUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,6,83,60,87,66,153
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,5,60,78,64,83,147
PUERTO PEREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,3,38,47,42,50,92
PUERTO QUIJARRO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,78,88,0,0,78,88,166
PUERTO RICO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,8,53,57,57,65,122
PUERTO SILES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,1,6,5,6,6,12
PUERTO SUAREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,18,32,35,34,53,66,119
PUERTO VILLARROEL,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,54,43,386,398,440,441,881
PUNA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,22,18,134,130,156,148,304
PUNATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,18,15,150,112,168,127,295
QUIABAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,4,12,13,16,17,33
QUILLACOLLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,366,413,979,767,1345,1180,2525
QUIME,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,17,8,49,48,66,56,122
QUIRUSILLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,0,2,8,3,8,11
RAVELO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,13,131,103,137,116,253
REYES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,0,76,75,77,75,152
RIBERALTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,86,166,658,698,744,864,1608
ROBORE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,3,81,71,83,74,157
RURRENABAQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,4,79,62,82,66,148
SABAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,4,19,18,21,22,43
SACABA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,81,72,840,869,921,941,1862
SACABAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,3,40,23,47,26,73
SACACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,29,25,218,145,247,170,417
SAIPINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,47,38,47,38,85
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,9,8,110,97,119,105,224
SAMAIPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,2,52,43,59,45,104
SAN AGUSTIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,8,11,8,11,19
SAN ANDRES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,9,11,63,55,72,66,138
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,2,17,15,18,17,35
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,0,12,6,14,6,20
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,13,52,58,58,71,129
SAN BENITO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,7,62,83,67,90,157
SAN BORJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,2,215,231,215,233,448
SAN BUENA VENTURA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,1,42,59,44,60,104
SAN CARLOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,9,16,148,152,157,168,325
SAN IGNACIO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,26,20,167,135,193,155,348
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,45,54,352,349,397,403,800
SAN JAVIER(BNI),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,8,3,5,3,13,6,19
SAN JAVIER(STC),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,17,15,49,57,66,72,138
SAN JOAQUIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,25,27,25,27,52
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,58,40,32,31,90,71,161
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,15,9,46,36,61,45,106
SAN JULIAN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,133,108,257,274,390,382,772
SAN LORENZO(PND),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,1,46,50,49,51,100
SAN LORENZO(TJA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,15,12,154,139,169,151,320
SAN LUCAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,33,13,275,283,308,296,604
SAN MATIAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,21,20,45,30,66,50,116
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,11,103,80,109,91,200
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,13,11,13,11,24
SAN PEDRO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,9,13,97,100,106,113,219
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,18,26,181,198,199,224,423
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,2,23,22,25,24,49
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,2,1,3,2,5,7
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,1,30,19,33,20,53
SAN PEDRO(PND),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,2,17,11,18,13,31
SAN RAFAEL,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,6,56,48,59,54,113
SAN RAMON BENI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1,1,254,25,255,26,281
SAN RAMON SCZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,14,10,44,46,58,56,114
SANTA ANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,55,44,48,37,103,81,184
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,1061,988,2932,2690,3993,3678,7671
SANTA ROSA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,44,40,44,40,84
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,21,25,96,66,117,91,208
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,5,16,12,20,17,37
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,2,46,52,49,54,103
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,0,29,28,32,28,60
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,3,19,26,24,29,53
SANTIVAÑES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,4,43,32,49,36,85
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,1,22,24,24,25,49
SAPAHAQUI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,5,2,37,36,42,38,80
SENA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,1,13,10,13,11,24
SHINAOTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,18,22,241,176,259,198,457
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,17,13,116,119,133,132,265
SICAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,3,37,29,37,32,69
SIPE SIPE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,43,40,355,317,398,357,755
SOPACHUY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,8,4,41,48,49,52,101
SORACACHI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,13,5,73,79,86,84,170
SORATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,16,15,86,72,102,87,189
SUCRE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,415,440,1954,1783,2369,2223,4592
TACACHI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,0,3,9,3,9,12
TACACOMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,16,30,28,33,44,77
TACOBAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,11,15,77,70,88,85,173
TACOPAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,4,5,55,56,59,61,120
