,group,variable,month,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
TAHUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,0,0,8,7,8,7,15
TAPACARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,23,8,210,205,233,213,446
TARABUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,10,13,199,196,209,209,418
TARACO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,2,2,27,23,29,25,54
TARATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,3,1,58,52,61,53,114
TARIJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,347,301,836,814,1183,1115,2298
TARVITA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,9,4,209,193,218,197,415
TEOPONTE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,20,18,99,68,119,86,205
TIAWANACU,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,6,6,61,67,67,73,140
TINGUIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,13,16,94,72,107,88,195
TIPUANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,3,6,78,47,81,53,134
TIQUIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,65,77,383,352,448,429,877
TIRAQUE (CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,20,20,86,77,106,97,203
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,0,0,6,4,6,4,10
TOCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,6,5,23,37,29,42,71
TODOS SANTOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,0,0,1,0,1,0,1
TOLATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,9,22,35,32,44,54,98
TOLEDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,2,2,34,28,36,30,66
TOMAVE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,3,10,45,36,48,46,94
TOMINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,9,8,186,200,195,208,403
TORO TORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,4,2,77,68,81,70,151
TOTORA(CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,17,14,55,65,72,79,151
TOTORA(ORR),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,3,4,31,24,34,28,62
TRIGAL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,1,0,13,16,14,16,30
TRINIDAD,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,142,160,309,291,451,451,902
TUPIZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,38,22,225,197,263,219,482
TURCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,3,0,19,24,22,24,46
UMALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,1,1,47,57,48,58,106
UNCIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,13,12,69,81,82,93,175
URIONDO (A. CONCEPCION),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,30,41,108,81,138,122,260
URUBICHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,2,6,105,91,107,97,204
UYUNI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,3,7,49,54,52,61,113
VACAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,5,8,76,82,81,90,171
VALLEGRANDE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,13,15,83,83,96,98,194
VIACHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,49,44,267,231,316,275,591
VILA VILA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,4,5,38,55,42,60,102
VILLA CHARCAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,17,19,198,208,215,227,442
VILLA MONTES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,21,18,223,239,244,257,501
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,2,5,30,39,32,44,76
VILLA RIVERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,11,6,29,39,40,45,85
VILLA SERRANO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,15,15,191,174,206,189,395
VILLA TUNARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,148,132,624,586,772,718,1490
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,6,8,97,81,103,89,192
VILLAZON,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,23,29,217,198,240,227,467
VINTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,17,20,145,105,162,125,287
VITICHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,3,3,92,79,95,82,177
WALDO BALLIVIAN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,0,2,20,13,20,15,35
WARNES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,84,89,443,415,527,504,1031
YACO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,32,29,16,23,48,52,100
YACUIBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,194,163,319,330,513,493,1006
YAMPARAEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,3,6,117,127,120,133,253
YANACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,4,4,53,50,57,54,111
YAPACANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,40,41,220,185,260,226,486
YOCALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,4,6,53,49,57,55,112
YOTALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,17,11,129,129,146,140,286
YUNCHARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,6,7,88,85,94,92,186
YUNGUYO DE LITORAL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,0,0,6,2,6,2,8
ZUDAÑEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-02-01,6,3,117,127,123,130,253
ACACIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,3,75,82,78,85,163
ACHACACHI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,14,19,124,125,138,144,282
ACHOCALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,8,80,91,87,99,186
AIQUILE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,31,22,223,225,254,247,501
ALALAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,6,12,12,14,18,32
ALCALA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,0,56,53,58,53,111
ALTO BENI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,11,71,80,80,91,171
ANCORAIMES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,6,94,108,100,114,214
ANDAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,5,67,86,72,91,163
ANTEQUERA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,0,49,33,52,33,85
ANZALDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,10,8,35,62,45,70,115
APOLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,7,151,120,160,127,287
ARAMPAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,5,49,41,58,46,104
ARANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,5,65,70,68,75,143
ARBIETO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,14,20,130,132,144,152,296
ARQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,18,9,112,110,130,119,249
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,29,45,132,126,161,171,332
ATOCHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,9,126,132,135,141,276
AUCAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,0,26,31,27,31,58
AYATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,11,47,53,52,64,116
AYO AYO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,7,59,64,61,71,132
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,15,17,208,205,223,222,445
AZURDUY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,18,15,186,226,204,241,445
BATALLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,7,98,93,107,100,207
BAURES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,2,45,36,45,38,83
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,2,22,17,24,19,43
BELEN DE URMIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,2,7,9,8,11,19
BELLA FLOR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,1,35,45,37,46,83
BERMEJO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,116,104,127,114,243,218,461
BETANZOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,17,22,325,326,342,348,690
BOLIVAR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,4,93,75,99,79,178
BOLPEBRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,21,17,21,17,38
BOYUIBE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,3,25,25,33,28,61
BUENA VISTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,10,8,104,114,114,122,236
CABEZAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,12,17,148,132,160,149,309
CAIROMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,5,62,81,64,86,150
"CAIZA ""D""",control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,10,5,79,79,89,84,173
CAJUATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,6,87,65,91,71,162
CALACOTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,36,28,36,28,64
CALAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,4,81,99,84,103,187
CAMARGO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,23,15,174,175,197,190,387
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,3,52,37,56,40,96
CAMIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,37,37,243,227,280,264,544
CAPINOTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,10,12,149,156,159,168,327
CAQUIAVIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,0,68,52,70,52,122
CARACOLLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,13,10,160,157,173,167,340
CARANAVI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,77,79,250,255,327,334,661
CARANGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,5,0,5,0,5
CARAPARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,12,10,145,132,157,142,299
CARIPUYO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,11,7,86,95,97,102,199
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,9,35,29,42,38,80
CATACORA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,1,15,6,15,7,22
CHACARILLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,0,4,11,7,11,18
CHALLAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,18,14,205,158,223,172,395
CHAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,9,8,44,39,53,47,100
CHARAGUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,20,17,200,182,220,199,419
CHARAÑA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,1,14,8,14,9,23
CHAYANTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,14,16,65,59,79,75,154
CHIMORE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,57,52,178,135,235,187,422
CHIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,1,8,10,9,11,20
CHOQUE COTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,8,6,8,6,14
CHUA COCANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,2,21,19,22,21,43
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,8,95,61,102,69,171
CHUMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,1,56,64,60,65,125
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,3,32,30,33,33,66
CKOCHAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,10,21,174,145,184,166,350
CLIZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,15,9,98,90,113,99,212
COBIJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,43,38,263,253,306,291,597
COCAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,22,18,174,169,196,187,383
COCHABAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,597,519,1922,1776,2519,2295,4814
COIPASA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,5,7,5,7,12
COLCAPIRHUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,43,55,194,190,237,245,482
"COLCHA ""K""",control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,22,79,104,84,126,210
COLLANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,4,18,26,21,30,51
COLOMI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,20,14,162,159,182,173,355
COLPA BELGICA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,1,1,1,3,2,5
COLQUECHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,25,28,168,141,193,169,362
COLQUENCHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,11,55,57,60,68,128
COLQUIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,11,5,74,68,85,73,158
COMANCHE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,0,13,12,14,12,26
COMARAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,25,24,134,117,159,141,300
COMBAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,1,22,19,24,20,44
CONCEPCION,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,63,60,86,96,149,156,305
COPACABANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,13,13,67,43,80,56,136
CORIPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,8,100,102,107,110,217
CORO CORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,1,44,48,48,49,97
COROICO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,16,106,76,114,92,206
CORQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,2,72,61,75,63,138
COTAGAITA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,19,11,162,162,181,173,354
COTOCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,52,46,182,136,234,182,416
CUATRO CAÑADAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,38,46,83,76,121,122,243
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,3,5,6,11,9,20
CUEVO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,7,50,42,52,49,101
CULPINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,25,28,201,209,226,237,463
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,3,47,27,52,30,82
CURVA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,30,41,30,41,71
DESAGUADERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,4,26,22,27,26,53
EL ALTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1037,939,4457,3941,5494,4880,10374
EL CHORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,1,69,67,72,68,140
EL PUENTE(STC),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,17,18,65,62,82,80,162
EL PUENTE(TJA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,8,103,82,111,90,201
EL TORNO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,64,61,228,193,292,254,546
EL VILLAR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,0,50,59,51,59,110
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,18,14,153,159,171,173,344
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,29,28,249,242,278,270,548
ESCARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,1,10,4,10,5,15
ESCOMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,2,49,57,52,59,111
ESMERALDA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,0,4,0,4,4
EUCALIPTUS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,2,39,53,44,55,99
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,0,20,22,21,22,43
EXALTACION,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,3,9,11,10,14,24
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,6,169,151,176,157,333
FILADELFIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,1,59,50,62,51,113
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,24,26,94,100,118,126,244
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,4,50,44,53,48,101
GUANAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,11,6,138,147,149,153,302
GUAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,5,53,64,56,69,125
GUAYARAMERIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,13,279,269,286,282,568
GUTIERREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,17,22,192,200,209,222,431
HUACARETA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,5,117,110,123,115,238
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,3,28,24,30,27,57
HUACHACALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,3,16,10,16,13,29
HUANUNI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,26,18,145,151,171,169,340
HUARACAJE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,3,27,23,30,26,56
HUARINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,4,16,27,18,31,49
HUATAJATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,9,23,17,24,26,50
HUAYLLAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,0,0,36,38,36,38,74
HUMANATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,4,44,31,46,35,81
ICHOCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,3,0,40,26,43,26,69
ICLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,2,170,171,174,173,347
INCAHUASI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,18,18,175,170,193,188,381
INGAVI (HUMAITA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,1,20,25,24,26,50
INQUISIVI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,1,57,61,59,62,121
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,13,5,100,129,113,134,247
IXIAMAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,10,60,51,65,61,126
JESUS DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,6,5,62,78,68,83,151
LA ASUNTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,45,28,182,180,227,208,435
LA GUARDIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,34,38,214,195,248,233,481
LA PAZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1333,1204,2555,2534,3888,3738,7626
LA RIVERA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,4,5,0,0,4,5,9
LAGUNILLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,15,15,94,94,109,109,218
LAJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,8,4,82,76,90,80,170
LAS CARRERAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,4,40,50,45,54,99
LICOMA PAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,2,20,14,21,16,37
LLALLAGUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,137,145,180,158,317,303,620
LLICA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,2,1,19,16,21,17,38
LORETO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,13,23,29,41,42,64,106
LURIBAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,11,14,36,26,47,40,87
MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,3,35,41,36,44,80
MACHARETI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,11,8,130,92,141,100,241
MAGDALENA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,5,7,77,87,82,94,176
MAIRANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,7,4,29,36,36,40,76
MALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,1,0,37,23,38,23,61
MAPIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,15,22,75,53,90,75,165
MECAPACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,17,17,63,57,80,74,154
MINEROS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,22,11,109,109,131,120,251
MIZQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-03-01,44,41,208,204,252,245,497
