,group,variable,month,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
SAN LORENZO(PND),accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,1,0,1,0,1
TUPIZA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,1,0,1,0,1
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,8,3,8,3,11
CHIMORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,0,1,0,1,1
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,3,0,3,0,3
EL TORNO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,1,0,1,0,1
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,3,0,3,0,3
GUAYARAMERIN,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,1,1,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,1,0,1,0,1
PUERTO VILLARROEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,1,2,1,2,3
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,2,0,2,0,2
SAN BORJA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,1,0,1,0,1
SAN RAFAEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,4,0,4,0,4
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-07-01,6,3,6,3,9
CABEZAS,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,1,0,1,0,1
CHARAGUA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,1,0,1,0,1
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,1,2,1,2,3
COTOCA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,1,0,1,0,1
EL TORNO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,1,0,1,0,1
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,0,1,0,1,1
LA ASUNTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,1,0,1,0,1
PUERTO VILLARROEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,9,3,9,3,12
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,1,0,1,0,1
SAN BORJA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,0,1,0,1,1
VALLEGRANDE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,0,1,0,1,1
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-08-01,2,5,2,5,7
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,0,1,0,1,1
ENTRE RIOS TRJ,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,1,0,1,0,1
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,4,1,4,1,5
PUERTO VILLARROEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,12,1,12,1,13
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,1,0,1,0,1
RURRENABAQUE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,0,1,0,1,1
SAN IGNACIO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,0,1,0,1,1
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-09-01,4,1,4,1,5
CHIMORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-10-01,2,1,2,1,3
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-10-01,2,1,2,1,3
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-10-01,4,0,4,0,4
LA ASUNTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-10-01,1,0,1,0,1
PUERTO VILLARROEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-10-01,3,1,3,1,4
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-10-01,2,1,2,1,3
SAN BORJA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-10-01,3,1,3,1,4
