municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,103,103
SUCRE,internaciones,fallecidos a partir de las 48 horas,2005-07-01,25,25
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
TARIJA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,29,29
TORO TORO,internaciones,fallecidos a partir de las 48 horas,2005-07-01,6,6
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2005-07-01,7,7
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,3,3
UNCIA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,4,4
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,4,4
APOLO,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
BATALLAS,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2005-08-01,2,2
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,56,56
CONCEPCION,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
CULPINA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2005-08-01,12,12
GRAL. J.J. PEREZ (CHARAZANI),internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2005-08-01,2,2
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2005-08-01,92,92
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2005-08-01,36,36
POTOSI,internaciones,fallecidos a partir de las 48 horas,2005-08-01,27,27
PUNATA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,3,3
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
REYES,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,7,7
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2005-08-01,5,5
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,87,87
SUCRE,internaciones,fallecidos a partir de las 48 horas,2005-08-01,30,30
TARIJA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,32,32
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2005-08-01,3,3
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,10,10
UNCIA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,2,2
UYUNI,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2005-08-01,6,6
ZUDAÑEZ,internaciones,fallecidos a partir de las 48 horas,2005-08-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,2,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2005-09-01,3,3
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,57,57
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,18,18
FERNANDEZ ALONSO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2005-09-01,2,2
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2005-09-01,103,103
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,3,3
ORURO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,27,27
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2005-09-01,22,22
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
RAVELO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,2,2
