municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
ROBORE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,19,19
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
SABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,162,162
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,28,28
SAIPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
SAN AGUSTIN,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
SAN ANDRES,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,91,91
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,33,33
SAN IGNACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,41,41
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,61,61
SAN JAVIER(BNI),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
SAN JAVIER(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,29,29
SAN JOAQUIN,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,27,27
SAN JUAN DE YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
SAN JULIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,47,47
SAN LORENZO(PND),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,14,14
SAN LORENZO(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
SAN LUCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,28,28
SAN MATIAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
SAN MIGUEL DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
SAN PEDRO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,16,16
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
SAN PEDRO DE TIQUINA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
SAN PEDRO(PND),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
SAN RAFAEL,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
SAN RAMON BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
SAN RAMON SCZ,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
SANTA ANA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,35,35
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1026,1026
SANTA ROSA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,11,11
SANTA ROSA DEL SARA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,21,21
SANTIAGO DE CALLAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
SANTIAGO DE HUARI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
SANTIAGO DE HUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
SANTIAGO DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
SANTIVAÑES,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
SANTUARIO DE QUILLACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
SAPAHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
SENA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
SHINAOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,23,23
SICA SICA (VILLA AROMA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,16,16
SICAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
SIPE SIPE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,21,21
SOPACHUY,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
SORACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
SORATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,15,15
SUCRE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,23,23
TACACOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
TACOBAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
TACOPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
TAPACARI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,30,30
TARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,26,26
TARACO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
TARATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
TARIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,207,207
TARVITA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,27,27
TEOPONTE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,11,11
TIAWANACU,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,24,24
TINGUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
TIPUANI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
TIQUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,96,96
TIRAQUE (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,22,22
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
TOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
TOLATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,18,18
TOLEDO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
TOMAVE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,10,10
TOMINA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
TORO TORO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
TOTORA(CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
TOTORA(ORR),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
TRINIDAD,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,294,294
TUPIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,43,43
TURCO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
UMALA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
UNCIA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
URIONDO (A. CONCEPCION),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,7,7
URUBICHA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,14,14
UYUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,24,24
VACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
VALLEGRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,21,21
VIACHA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,38,38
VILA VILA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
VILLA CHARCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,22,22
VILLA MONTES,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,31,31
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
VILLA RIVERO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
VILLA SERRANO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
VILLA TUNARI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,96,96
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
VITICHI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,5,5
WALDO BALLIVIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,1,1
WARNES,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,68,68
YACO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
YACUIBA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,86,86
YAMPARAEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
YANACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,78,78
YOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
YOTALA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
YUNCHARA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
ZUDAÑEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,8,8
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,48,48
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,25,25
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,21,21
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,16,16
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,80,80
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,18,18
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,16,16
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
BELEN DE ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
BELEN DE URMIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
BELLA FLOR,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,33,33
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,58,58
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,24,24
CAMIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
CAQUIAVIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,19,19
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,94,94
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
CATACORA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
CHACARILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
CHALLAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,49,49
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,36,36
CHARAÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
CHAYANTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
CHIMORE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
CHIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
CHOQUE COTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
CHUA COCANI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,20,20
CHUMA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,26,26
CLIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,26,26
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,63,63
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,503,503
COIPASA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
COLCAPIRHUA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,19,19
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,37,37
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,19,19
COMANCHE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,20,20
COMBAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,37,37
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
CORQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,21,21
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,37,37
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,25,25
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
CURVA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,730,730
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
EL PUENTE(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,89,89
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,18,18
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
ESCOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
EXALTACION,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
GUANAY,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,18,18
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
GUAYARAMERIN,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
HUACHACALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,25,25
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
HUARINA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
HUATAJATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
HUAYLLAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
HUMANATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
ICHOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,20,20
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,31,31
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,57,57
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1202,1202
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,18,18
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
LICOMA PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,36,36
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
LORETO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,28,28
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,28,28
MALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,23,23
MECAPACA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,31,31
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,47,47
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,40,40
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,135,135
MORO MORO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,16,16
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,19,19
OKINAWA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,569,569
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,20,20
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
PAILON,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,35,35
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,31,31
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
PAMPA GRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
PASORAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,29,29
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
PELECHUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
POCOATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,27,27
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,19,19
POOPO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
POROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
PORONGO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
PORTACHUELO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,46,46
PORVENIR,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
POSTRER VALLE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
POTOSI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,157,157
PRESTO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,21,21
PUCARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,37,37
PUERTO ACOSTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
PUERTO CARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,16,16
PUERTO GONZALO MORENO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
PUERTO PEREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
PUERTO QUIJARRO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
PUERTO RICO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
PUERTO SUAREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,33,33
PUERTO VILLARROEL,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,81,81
PUNA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,27,27
PUNATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,25,25
QUIABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
QUILLACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,109,109
QUIME,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
RAVELO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
REYES,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,26,26
RIBERALTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,257,257
ROBORE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,18,18
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
SABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,160,160
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,21,21
SAIPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
