municipality,group,variable,month,Total 11.1 Vaginales,TOTAL
BERMEJO,atencion de partos en servicios,vaginales,2014-04-01,30,30
BETANZOS,atencion de partos en servicios,vaginales,2014-04-01,21,21
BOLIVAR,atencion de partos en servicios,vaginales,2014-04-01,2,2
BOYUIBE,atencion de partos en servicios,vaginales,2014-04-01,3,3
BUENA VISTA,atencion de partos en servicios,vaginales,2014-04-01,13,13
CABEZAS,atencion de partos en servicios,vaginales,2014-04-01,23,23
CAIROMA,atencion de partos en servicios,vaginales,2014-04-01,6,6
"CAIZA ""D""",atencion de partos en servicios,vaginales,2014-04-01,4,4
CAJUATA,atencion de partos en servicios,vaginales,2014-04-01,9,9
CALAMARCA,atencion de partos en servicios,vaginales,2014-04-01,12,12
CAMARGO,atencion de partos en servicios,vaginales,2014-04-01,31,31
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2014-04-01,4,4
CAMIRI,atencion de partos en servicios,vaginales,2014-04-01,43,43
CAPINOTA,atencion de partos en servicios,vaginales,2014-04-01,15,15
CAQUIAVIRI,atencion de partos en servicios,vaginales,2014-04-01,2,2
CARACOLLO,atencion de partos en servicios,vaginales,2014-04-01,16,16
CARANAVI,atencion de partos en servicios,vaginales,2014-04-01,74,74
CARAPARI,atencion de partos en servicios,vaginales,2014-04-01,8,8
CARIPUYO,atencion de partos en servicios,vaginales,2014-04-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2014-04-01,11,11
CHALLAPATA,atencion de partos en servicios,vaginales,2014-04-01,42,42
CHAQUI,atencion de partos en servicios,vaginales,2014-04-01,4,4
CHARAGUA,atencion de partos en servicios,vaginales,2014-04-01,50,50
CHAYANTA,atencion de partos en servicios,vaginales,2014-04-01,10,10
CHIMORE,atencion de partos en servicios,vaginales,2014-04-01,10,10
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2014-04-01,28,28
CHUMA,atencion de partos en servicios,vaginales,2014-04-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2014-04-01,10,10
CKOCHAS,atencion de partos en servicios,vaginales,2014-04-01,1,1
CLIZA,atencion de partos en servicios,vaginales,2014-04-01,10,10
COBIJA,atencion de partos en servicios,vaginales,2014-04-01,72,72
COCAPATA,atencion de partos en servicios,vaginales,2014-04-01,8,8
COCHABAMBA,atencion de partos en servicios,vaginales,2014-04-01,750,750
COLCAPIRHUA,atencion de partos en servicios,vaginales,2014-04-01,30,30
"COLCHA ""K""",atencion de partos en servicios,vaginales,2014-04-01,4,4
COLOMI,atencion de partos en servicios,vaginales,2014-04-01,30,30
COLPA BELGICA,atencion de partos en servicios,vaginales,2014-04-01,5,5
COLQUECHACA,atencion de partos en servicios,vaginales,2014-04-01,13,13
COLQUENCHA,atencion de partos en servicios,vaginales,2014-04-01,3,3
COLQUIRI,atencion de partos en servicios,vaginales,2014-04-01,14,14
COMARAPA,atencion de partos en servicios,vaginales,2014-04-01,13,13
COMBAYA,atencion de partos en servicios,vaginales,2014-04-01,1,1
CONCEPCION,atencion de partos en servicios,vaginales,2014-04-01,29,29
COPACABANA,atencion de partos en servicios,vaginales,2014-04-01,17,17
CORIPATA,atencion de partos en servicios,vaginales,2014-04-01,11,11
CORO CORO,atencion de partos en servicios,vaginales,2014-04-01,3,3
COROICO,atencion de partos en servicios,vaginales,2014-04-01,19,19
CORQUE,atencion de partos en servicios,vaginales,2014-04-01,4,4
COTAGAITA,atencion de partos en servicios,vaginales,2014-04-01,19,19
COTOCA,atencion de partos en servicios,vaginales,2014-04-01,74,74
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2014-04-01,25,25
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,vaginales,2014-04-01,2,2
CUEVO,atencion de partos en servicios,vaginales,2014-04-01,1,1
CULPINA,atencion de partos en servicios,vaginales,2014-04-01,17,17
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2014-04-01,5,5
DESAGUADERO,atencion de partos en servicios,vaginales,2014-04-01,4,4
EL ALTO,atencion de partos en servicios,vaginales,2014-04-01,993,993
EL PUENTE(STC),atencion de partos en servicios,vaginales,2014-04-01,14,14
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2014-04-01,9,9
EL TORNO,atencion de partos en servicios,vaginales,2014-04-01,62,62
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2014-04-01,8,8
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2014-04-01,28,28
ESCOMA,atencion de partos en servicios,vaginales,2014-04-01,4,4
EUCALIPTUS,atencion de partos en servicios,vaginales,2014-04-01,2,2
EXALTACION,atencion de partos en servicios,vaginales,2014-04-01,3,3
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2014-04-01,14,14
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2014-04-01,13,13
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2014-04-01,2,2
GUANAY,atencion de partos en servicios,vaginales,2014-04-01,13,13
GUAQUI,atencion de partos en servicios,vaginales,2014-04-01,4,4
GUAYARAMERIN,atencion de partos en servicios,vaginales,2014-04-01,71,71
GUTIERREZ,atencion de partos en servicios,vaginales,2014-04-01,9,9
HUACARETA,atencion de partos en servicios,vaginales,2014-04-01,14,14
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2014-04-01,1,1
HUACHACALLA,atencion de partos en servicios,vaginales,2014-04-01,1,1
HUANUNI,atencion de partos en servicios,vaginales,2014-04-01,18,18
HUARACAJE,atencion de partos en servicios,vaginales,2014-04-01,5,5
HUARINA,atencion de partos en servicios,vaginales,2014-04-01,4,4
HUATAJATA,atencion de partos en servicios,vaginales,2014-04-01,5,5
HUAYLLAMARCA,atencion de partos en servicios,vaginales,2014-04-01,2,2
ICLA,atencion de partos en servicios,vaginales,2014-04-01,5,5
INCAHUASI,atencion de partos en servicios,vaginales,2014-04-01,8,8
INGAVI (HUMAITA),atencion de partos en servicios,vaginales,2014-04-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2014-04-01,13,13
IXIAMAS,atencion de partos en servicios,vaginales,2014-04-01,8,8
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2014-04-01,7,7
LA ASUNTA,atencion de partos en servicios,vaginales,2014-04-01,40,40
LA GUARDIA,atencion de partos en servicios,vaginales,2014-04-01,52,52
LA PAZ,atencion de partos en servicios,vaginales,2014-04-01,960,960
LAGUNILLAS,atencion de partos en servicios,vaginales,2014-04-01,8,8
LAJA,atencion de partos en servicios,vaginales,2014-04-01,7,7
LAS CARRERAS,atencion de partos en servicios,vaginales,2014-04-01,4,4
LICOMA PAMPA,atencion de partos en servicios,vaginales,2014-04-01,1,1
LLALLAGUA,atencion de partos en servicios,vaginales,2014-04-01,49,49
LLICA,atencion de partos en servicios,vaginales,2014-04-01,5,5
LORETO,atencion de partos en servicios,vaginales,2014-04-01,1,1
LURIBAY,atencion de partos en servicios,vaginales,2014-04-01,1,1
MACHACAMARCA,atencion de partos en servicios,vaginales,2014-04-01,4,4
MACHARETI,atencion de partos en servicios,vaginales,2014-04-01,5,5
MAGDALENA,atencion de partos en servicios,vaginales,2014-04-01,7,7
MAIRANA,atencion de partos en servicios,vaginales,2014-04-01,13,13
MAPIRI,atencion de partos en servicios,vaginales,2014-04-01,33,33
MECAPACA,atencion de partos en servicios,vaginales,2014-04-01,3,3
MINEROS,atencion de partos en servicios,vaginales,2014-04-01,23,23
MIZQUE,atencion de partos en servicios,vaginales,2014-04-01,29,29
MOCOMOCO,atencion de partos en servicios,vaginales,2014-04-01,3,3
MOJINETE,atencion de partos en servicios,vaginales,2014-04-01,1,1
MOJOCOYA,atencion de partos en servicios,vaginales,2014-04-01,4,4
MONTEAGUDO,atencion de partos en servicios,vaginales,2014-04-01,22,22
MONTERO,atencion de partos en servicios,vaginales,2014-04-01,142,142
MORO MORO,atencion de partos en servicios,vaginales,2014-04-01,2,2
MOROCHATA,atencion de partos en servicios,vaginales,2014-04-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,vaginales,2014-04-01,2,2
NAZACARA DE PACAJES,atencion de partos en servicios,vaginales,2014-04-01,1,1
OCURI,atencion de partos en servicios,vaginales,2014-04-01,15,15
OKINAWA,atencion de partos en servicios,vaginales,2014-04-01,11,11
OMEREQUE,atencion de partos en servicios,vaginales,2014-04-01,4,4
ORURO,atencion de partos en servicios,vaginales,2014-04-01,359,359
PADCAYA,atencion de partos en servicios,vaginales,2014-04-01,13,13
PADILLA,atencion de partos en servicios,vaginales,2014-04-01,20,20
PAILON,atencion de partos en servicios,vaginales,2014-04-01,29,29
PALCA,atencion de partos en servicios,vaginales,2014-04-01,6,6
PALOS BLANCOS,atencion de partos en servicios,vaginales,2014-04-01,35,35
PAMPA GRANDE,atencion de partos en servicios,vaginales,2014-04-01,9,9
PAPEL PAMPA,atencion de partos en servicios,vaginales,2014-04-01,3,3
PATACAMAYA,atencion de partos en servicios,vaginales,2014-04-01,37,37
PAZÑA,atencion de partos en servicios,vaginales,2014-04-01,2,2
PELECHUCO,atencion de partos en servicios,vaginales,2014-04-01,2,2
POCOATA,atencion de partos en servicios,vaginales,2014-04-01,8,8
POCONA,atencion de partos en servicios,vaginales,2014-04-01,15,15
POJO (CBBA),atencion de partos en servicios,vaginales,2014-04-01,4,4
POOPO,atencion de partos en servicios,vaginales,2014-04-01,4,4
PORCO,atencion de partos en servicios,vaginales,2014-04-01,8,8
POROMA,atencion de partos en servicios,vaginales,2014-04-01,5,5
PORONGO,atencion de partos en servicios,vaginales,2014-04-01,2,2
PORTACHUELO,atencion de partos en servicios,vaginales,2014-04-01,17,17
PORVENIR,atencion de partos en servicios,vaginales,2014-04-01,3,3
POSTRER VALLE,atencion de partos en servicios,vaginales,2014-04-01,1,1
POTOSI,atencion de partos en servicios,vaginales,2014-04-01,336,336
PRESTO,atencion de partos en servicios,vaginales,2014-04-01,1,1
PUCARANI,atencion de partos en servicios,vaginales,2014-04-01,19,19
PUERTO ACOSTA,atencion de partos en servicios,vaginales,2014-04-01,7,7
PUERTO CARABUCO,atencion de partos en servicios,vaginales,2014-04-01,3,3
PUERTO GONZALO MORENO,atencion de partos en servicios,vaginales,2014-04-01,5,5
PUERTO PEREZ,atencion de partos en servicios,vaginales,2014-04-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,vaginales,2014-04-01,22,22
PUERTO RICO,atencion de partos en servicios,vaginales,2014-04-01,11,11
PUERTO SILES,atencion de partos en servicios,vaginales,2014-04-01,3,3
PUERTO SUAREZ,atencion de partos en servicios,vaginales,2014-04-01,30,30
PUERTO VILLARROEL,atencion de partos en servicios,vaginales,2014-04-01,91,91
PUNA,atencion de partos en servicios,vaginales,2014-04-01,11,11
PUNATA,atencion de partos en servicios,vaginales,2014-04-01,52,52
QUIABAYA,atencion de partos en servicios,vaginales,2014-04-01,3,3
QUILLACOLLO,atencion de partos en servicios,vaginales,2014-04-01,120,120
QUIME,atencion de partos en servicios,vaginales,2014-04-01,6,6
RAVELO,atencion de partos en servicios,vaginales,2014-04-01,5,5
REYES,atencion de partos en servicios,vaginales,2014-04-01,15,15
RIBERALTA,atencion de partos en servicios,vaginales,2014-04-01,209,209
ROBORE,atencion de partos en servicios,vaginales,2014-04-01,21,21
RURRENABAQUE,atencion de partos en servicios,vaginales,2014-04-01,27,27
SABAYA,atencion de partos en servicios,vaginales,2014-04-01,1,1
SACABA,atencion de partos en servicios,vaginales,2014-04-01,144,144
SACABAMBA,atencion de partos en servicios,vaginales,2014-04-01,2,2
SACACA,atencion de partos en servicios,vaginales,2014-04-01,13,13
SAIPINA,atencion de partos en servicios,vaginales,2014-04-01,4,4
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,vaginales,2014-04-01,14,14
SAMAIPATA,atencion de partos en servicios,vaginales,2014-04-01,3,3
SAN ANDRES,atencion de partos en servicios,vaginales,2014-04-01,5,5
SAN ANDRES DE MACHACA,atencion de partos en servicios,vaginales,2014-04-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en servicios,vaginales,2014-04-01,4,4
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,vaginales,2014-04-01,2,2
SAN BENITO,atencion de partos en servicios,vaginales,2014-04-01,6,6
SAN BORJA,atencion de partos en servicios,vaginales,2014-04-01,49,49
SAN BUENA VENTURA,atencion de partos en servicios,vaginales,2014-04-01,18,18
SAN CARLOS,atencion de partos en servicios,vaginales,2014-04-01,28,28
SAN IGNACIO,atencion de partos en servicios,vaginales,2014-04-01,31,31
SAN IGNACIO DE VELASCO,atencion de partos en servicios,vaginales,2014-04-01,75,75
SAN JAVIER(BNI),atencion de partos en servicios,vaginales,2014-04-01,4,4
SAN JAVIER(STC),atencion de partos en servicios,vaginales,2014-04-01,31,31
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,vaginales,2014-04-01,33,33
SAN JUAN DE YAPACANI,atencion de partos en servicios,vaginales,2014-04-01,5,5
SAN JULIAN,atencion de partos en servicios,vaginales,2014-04-01,71,71
SAN LORENZO(PND),atencion de partos en servicios,vaginales,2014-04-01,2,2
SAN LORENZO(TJA),atencion de partos en servicios,vaginales,2014-04-01,4,4
SAN LUCAS,atencion de partos en servicios,vaginales,2014-04-01,32,32
SAN MATIAS,atencion de partos en servicios,vaginales,2014-04-01,17,17
SAN MIGUEL DE VELASCO,atencion de partos en servicios,vaginales,2014-04-01,18,18
SAN PEDRO,atencion de partos en servicios,vaginales,2014-04-01,5,5
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,vaginales,2014-04-01,6,6
SAN PEDRO DE TIQUINA,atencion de partos en servicios,vaginales,2014-04-01,3,3
SAN RAFAEL,atencion de partos en servicios,vaginales,2014-04-01,6,6
SAN RAMON BENI,atencion de partos en servicios,vaginales,2014-04-01,7,7
SAN RAMON SCZ,atencion de partos en servicios,vaginales,2014-04-01,16,16
SANTA ANA,atencion de partos en servicios,vaginales,2014-04-01,33,33
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,vaginales,2014-04-01,1671,1671
SANTA ROSA,atencion de partos en servicios,vaginales,2014-04-01,19,19
SANTA ROSA DEL SARA,atencion de partos en servicios,vaginales,2014-04-01,7,7
SANTIAGO DE CALLAPA,atencion de partos en servicios,vaginales,2014-04-01,2,2
SANTIAGO DE HUARI,atencion de partos en servicios,vaginales,2014-04-01,11,11
SANTIAGO DE HUATA,atencion de partos en servicios,vaginales,2014-04-01,2,2
SANTIAGO DE MACHACA,atencion de partos en servicios,vaginales,2014-04-01,2,2
SANTIVAÑES,atencion de partos en servicios,vaginales,2014-04-01,6,6
SANTUARIO DE QUILLACAS,atencion de partos en servicios,vaginales,2014-04-01,1,1
SAPAHAQUI,atencion de partos en servicios,vaginales,2014-04-01,5,5
SENA,atencion de partos en servicios,vaginales,2014-04-01,4,4
SHINAOTA,atencion de partos en servicios,vaginales,2014-04-01,45,45
SICA SICA (VILLA AROMA),atencion de partos en servicios,vaginales,2014-04-01,9,9
SICAYA,atencion de partos en servicios,vaginales,2014-04-01,1,1
SIPE SIPE,atencion de partos en servicios,vaginales,2014-04-01,31,31
SOPACHUY,atencion de partos en servicios,vaginales,2014-04-01,2,2
SORACACHI,atencion de partos en servicios,vaginales,2014-04-01,2,2
SORATA,atencion de partos en servicios,vaginales,2014-04-01,7,7
SUCRE,atencion de partos en servicios,vaginales,2014-04-01,367,367
TACACHI,atencion de partos en servicios,vaginales,2014-04-01,1,1
TACACOMA,atencion de partos en servicios,vaginales,2014-04-01,6,6
TACOPAYA,atencion de partos en servicios,vaginales,2014-04-01,6,6
TAPACARI,atencion de partos en servicios,vaginales,2014-04-01,6,6
TARABUCO,atencion de partos en servicios,vaginales,2014-04-01,9,9
TARATA,atencion de partos en servicios,vaginales,2014-04-01,5,5
TARIJA,atencion de partos en servicios,vaginales,2014-04-01,273,273
TARVITA,atencion de partos en servicios,vaginales,2014-04-01,12,12
TEOPONTE,atencion de partos en servicios,vaginales,2014-04-01,15,15
TIAWANACU,atencion de partos en servicios,vaginales,2014-04-01,11,11
TINGUIPAYA,atencion de partos en servicios,vaginales,2014-04-01,1,1
TIPUANI,atencion de partos en servicios,vaginales,2014-04-01,11,11
TIQUIPAYA,atencion de partos en servicios,vaginales,2014-04-01,70,70
TIRAQUE (CBBA),atencion de partos en servicios,vaginales,2014-04-01,18,18
TOCO,atencion de partos en servicios,vaginales,2014-04-01,2,2
TOLATA,atencion de partos en servicios,vaginales,2014-04-01,4,4
TOLEDO,atencion de partos en servicios,vaginales,2014-04-01,4,4
TOMAVE,atencion de partos en servicios,vaginales,2014-04-01,6,6
TOMINA,atencion de partos en servicios,vaginales,2014-04-01,12,12
TORO TORO,atencion de partos en servicios,vaginales,2014-04-01,5,5
TOTORA(CBBA),atencion de partos en servicios,vaginales,2014-04-01,24,24
TOTORA(ORR),atencion de partos en servicios,vaginales,2014-04-01,4,4
TRIGAL,atencion de partos en servicios,vaginales,2014-04-01,1,1
TRINIDAD,atencion de partos en servicios,vaginales,2014-04-01,200,200
TUPIZA,atencion de partos en servicios,vaginales,2014-04-01,52,52
UMALA,atencion de partos en servicios,vaginales,2014-04-01,5,5
UNCIA,atencion de partos en servicios,vaginales,2014-04-01,24,24
URIONDO (A. CONCEPCION),atencion de partos en servicios,vaginales,2014-04-01,10,10
URUBICHA,atencion de partos en servicios,vaginales,2014-04-01,12,12
UYUNI,atencion de partos en servicios,vaginales,2014-04-01,42,42
VACAS,atencion de partos en servicios,vaginales,2014-04-01,4,4
VALLEGRANDE,atencion de partos en servicios,vaginales,2014-04-01,11,11
VIACHA,atencion de partos en servicios,vaginales,2014-04-01,38,38
VILA VILA,atencion de partos en servicios,vaginales,2014-04-01,4,4
VILLA CHARCAS,atencion de partos en servicios,vaginales,2014-04-01,14,14
VILLA MONTES,atencion de partos en servicios,vaginales,2014-04-01,67,67
VILLA RIVERO,atencion de partos en servicios,vaginales,2014-04-01,3,3
VILLA SERRANO,atencion de partos en servicios,vaginales,2014-04-01,9,9
VILLA TUNARI,atencion de partos en servicios,vaginales,2014-04-01,123,123
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,vaginales,2014-04-01,1,1
VILLAZON,atencion de partos en servicios,vaginales,2014-04-01,40,40
VINTO,atencion de partos en servicios,vaginales,2014-04-01,62,62
VITICHI,atencion de partos en servicios,vaginales,2014-04-01,3,3
WARNES,atencion de partos en servicios,vaginales,2014-04-01,122,122
YACO,atencion de partos en servicios,vaginales,2014-04-01,5,5
YACUIBA,atencion de partos en servicios,vaginales,2014-04-01,132,132
YAMPARAEZ,atencion de partos en servicios,vaginales,2014-04-01,2,2
YANACACHI,atencion de partos en servicios,vaginales,2014-04-01,1,1
YAPACANI,atencion de partos en servicios,vaginales,2014-04-01,60,60
YOCALLA,atencion de partos en servicios,vaginales,2014-04-01,4,4
YOTALA,atencion de partos en servicios,vaginales,2014-04-01,10,10
YUNCHARA,atencion de partos en servicios,vaginales,2014-04-01,1,1
ZUDAÑEZ,atencion de partos en servicios,vaginales,2014-04-01,9,9
ACACIO,atencion de partos en servicios,vaginales,2014-05-01,4,4
ACHACACHI,atencion de partos en servicios,vaginales,2014-05-01,20,20
ACHOCALLA,atencion de partos en servicios,vaginales,2014-05-01,3,3
AIQUILE,atencion de partos en servicios,vaginales,2014-05-01,19,19
ALALAY,atencion de partos en servicios,vaginales,2014-05-01,2,2
ALCALA,atencion de partos en servicios,vaginales,2014-05-01,3,3
ALTO BENI,atencion de partos en servicios,vaginales,2014-05-01,8,8
ANCORAIMES,atencion de partos en servicios,vaginales,2014-05-01,1,1
ANTEQUERA,atencion de partos en servicios,vaginales,2014-05-01,4,4
ANZALDO,atencion de partos en servicios,vaginales,2014-05-01,6,6
APOLO,atencion de partos en servicios,vaginales,2014-05-01,19,19
ARAMPAMPA,atencion de partos en servicios,vaginales,2014-05-01,1,1
ARANI,atencion de partos en servicios,vaginales,2014-05-01,8,8
ARBIETO,atencion de partos en servicios,vaginales,2014-05-01,10,10
ARQUE,atencion de partos en servicios,vaginales,2014-05-01,9,9
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2014-05-01,26,26
ATOCHA,atencion de partos en servicios,vaginales,2014-05-01,10,10
AYATA,atencion de partos en servicios,vaginales,2014-05-01,4,4
AYO AYO,atencion de partos en servicios,vaginales,2014-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2014-05-01,14,14
AZURDUY,atencion de partos en servicios,vaginales,2014-05-01,5,5
BATALLAS,atencion de partos en servicios,vaginales,2014-05-01,4,4
BAURES,atencion de partos en servicios,vaginales,2014-05-01,4,4
BELLA FLOR,atencion de partos en servicios,vaginales,2014-05-01,2,2
BERMEJO,atencion de partos en servicios,vaginales,2014-05-01,33,33
BETANZOS,atencion de partos en servicios,vaginales,2014-05-01,29,29
BOYUIBE,atencion de partos en servicios,vaginales,2014-05-01,1,1
BUENA VISTA,atencion de partos en servicios,vaginales,2014-05-01,9,9
CABEZAS,atencion de partos en servicios,vaginales,2014-05-01,20,20
CAIROMA,atencion de partos en servicios,vaginales,2014-05-01,10,10
"CAIZA ""D""",atencion de partos en servicios,vaginales,2014-05-01,6,6
CAJUATA,atencion de partos en servicios,vaginales,2014-05-01,9,9
CALAMARCA,atencion de partos en servicios,vaginales,2014-05-01,5,5
CAMARGO,atencion de partos en servicios,vaginales,2014-05-01,17,17
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2014-05-01,3,3
CAMIRI,atencion de partos en servicios,vaginales,2014-05-01,51,51
CAPINOTA,atencion de partos en servicios,vaginales,2014-05-01,20,20
CAQUIAVIRI,atencion de partos en servicios,vaginales,2014-05-01,1,1
CARACOLLO,atencion de partos en servicios,vaginales,2014-05-01,17,17
CARANAVI,atencion de partos en servicios,vaginales,2014-05-01,74,74
CARAPARI,atencion de partos en servicios,vaginales,2014-05-01,8,8
CARIPUYO,atencion de partos en servicios,vaginales,2014-05-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2014-05-01,11,11
CHALLAPATA,atencion de partos en servicios,vaginales,2014-05-01,29,29
CHAQUI,atencion de partos en servicios,vaginales,2014-05-01,9,9
CHARAGUA,atencion de partos en servicios,vaginales,2014-05-01,50,50
CHAYANTA,atencion de partos en servicios,vaginales,2014-05-01,10,10
CHIMORE,atencion de partos en servicios,vaginales,2014-05-01,13,13
CHIPAYA,atencion de partos en servicios,vaginales,2014-05-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2014-05-01,32,32
CHUMA,atencion de partos en servicios,vaginales,2014-05-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2014-05-01,11,11
CKOCHAS,atencion de partos en servicios,vaginales,2014-05-01,3,3
CLIZA,atencion de partos en servicios,vaginales,2014-05-01,23,23
COBIJA,atencion de partos en servicios,vaginales,2014-05-01,76,76
COCAPATA,atencion de partos en servicios,vaginales,2014-05-01,7,7
COCHABAMBA,atencion de partos en servicios,vaginales,2014-05-01,859,859
COIPASA,atencion de partos en servicios,vaginales,2014-05-01,1,1
COLCAPIRHUA,atencion de partos en servicios,vaginales,2014-05-01,31,31
"COLCHA ""K""",atencion de partos en servicios,vaginales,2014-05-01,6,6
COLLANA,atencion de partos en servicios,vaginales,2014-05-01,1,1
COLOMI,atencion de partos en servicios,vaginales,2014-05-01,22,22
COLPA BELGICA,atencion de partos en servicios,vaginales,2014-05-01,5,5
COLQUECHACA,atencion de partos en servicios,vaginales,2014-05-01,16,16
COLQUENCHA,atencion de partos en servicios,vaginales,2014-05-01,8,8
COLQUIRI,atencion de partos en servicios,vaginales,2014-05-01,9,9
COMARAPA,atencion de partos en servicios,vaginales,2014-05-01,25,25
CONCEPCION,atencion de partos en servicios,vaginales,2014-05-01,25,25
COPACABANA,atencion de partos en servicios,vaginales,2014-05-01,7,7
CORIPATA,atencion de partos en servicios,vaginales,2014-05-01,12,12
CORO CORO,atencion de partos en servicios,vaginales,2014-05-01,3,3
COROICO,atencion de partos en servicios,vaginales,2014-05-01,20,20
CORQUE,atencion de partos en servicios,vaginales,2014-05-01,1,1
COTAGAITA,atencion de partos en servicios,vaginales,2014-05-01,15,15
COTOCA,atencion de partos en servicios,vaginales,2014-05-01,56,56
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2014-05-01,22,22
CUEVO,atencion de partos en servicios,vaginales,2014-05-01,2,2
CULPINA,atencion de partos en servicios,vaginales,2014-05-01,12,12
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2014-05-01,7,7
DESAGUADERO,atencion de partos en servicios,vaginales,2014-05-01,7,7
EL ALTO,atencion de partos en servicios,vaginales,2014-05-01,993,993
EL CHORO,atencion de partos en servicios,vaginales,2014-05-01,4,4
EL PUENTE(STC),atencion de partos en servicios,vaginales,2014-05-01,10,10
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2014-05-01,7,7
EL TORNO,atencion de partos en servicios,vaginales,2014-05-01,59,59
EL VILLAR,atencion de partos en servicios,vaginales,2014-05-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2014-05-01,19,19
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2014-05-01,30,30
ESCOMA,atencion de partos en servicios,vaginales,2014-05-01,3,3
EUCALIPTUS,atencion de partos en servicios,vaginales,2014-05-01,4,4
EXALTACION,atencion de partos en servicios,vaginales,2014-05-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2014-05-01,12,12
FILADELFIA,atencion de partos en servicios,vaginales,2014-05-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2014-05-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2014-05-01,6,6
GUANAY,atencion de partos en servicios,vaginales,2014-05-01,9,9
GUAQUI,atencion de partos en servicios,vaginales,2014-05-01,2,2
GUAYARAMERIN,atencion de partos en servicios,vaginales,2014-05-01,72,72
GUTIERREZ,atencion de partos en servicios,vaginales,2014-05-01,13,13
HUACARETA,atencion de partos en servicios,vaginales,2014-05-01,5,5
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2014-05-01,2,2
HUACHACALLA,atencion de partos en servicios,vaginales,2014-05-01,1,1
HUANUNI,atencion de partos en servicios,vaginales,2014-05-01,26,26
HUARACAJE,atencion de partos en servicios,vaginales,2014-05-01,4,4
HUARINA,atencion de partos en servicios,vaginales,2014-05-01,2,2
HUATAJATA,atencion de partos en servicios,vaginales,2014-05-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,vaginales,2014-05-01,4,4
HUMANATA,atencion de partos en servicios,vaginales,2014-05-01,1,1
ICHOCA,atencion de partos en servicios,vaginales,2014-05-01,2,2
ICLA,atencion de partos en servicios,vaginales,2014-05-01,4,4
INCAHUASI,atencion de partos en servicios,vaginales,2014-05-01,5,5
INGAVI (HUMAITA),atencion de partos en servicios,vaginales,2014-05-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2014-05-01,14,14
IXIAMAS,atencion de partos en servicios,vaginales,2014-05-01,8,8
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2014-05-01,10,10
LA ASUNTA,atencion de partos en servicios,vaginales,2014-05-01,50,50
LA GUARDIA,atencion de partos en servicios,vaginales,2014-05-01,61,61
LA PAZ,atencion de partos en servicios,vaginales,2014-05-01,930,930
LAGUNILLAS,atencion de partos en servicios,vaginales,2014-05-01,2,2
LAJA,atencion de partos en servicios,vaginales,2014-05-01,4,4
