municipality,group,variable,month,Total 11.4 Nacidos muertos,TOTAL
YACO,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
YOCALLA,atencion de partos en servicios,nacidos muertos,2014-08-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2014-09-01,2,2
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-09-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-09-01,2,2
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-09-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-09-01,17,17
COMARAPA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
COTAGAITA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-09-01,27,27
HUANUNI,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-09-01,21,21
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
MAIRANA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
MIZQUE,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2014-09-01,3,3
OKINAWA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2014-09-01,7,7
PADILLA,atencion de partos en servicios,nacidos muertos,2014-09-01,2,2
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
PAMPA GRANDE,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
POROMA,atencion de partos en servicios,nacidos muertos,2014-09-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos,2014-09-01,9,9
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2014-09-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-09-01,6,6
ROBORE,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2014-09-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-09-01,4,4
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-09-01,36,36
SUCRE,atencion de partos en servicios,nacidos muertos,2014-09-01,5,5
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
TOLEDO,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-09-01,6,6
UYUNI,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
VIACHA,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-09-01,3,3
VILLAZON,atencion de partos en servicios,nacidos muertos,2014-09-01,4,4
WARNES,atencion de partos en servicios,nacidos muertos,2014-09-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-09-01,2,2
AIQUILE,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
ANCORAIMES,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
BAURES,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-10-01,3,3
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-10-01,2,2
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2014-10-01,2,2
CHAYANTA,atencion de partos en servicios,nacidos muertos,2014-10-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-10-01,4,4
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-10-01,20,20
COLQUECHACA,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-10-01,25,25
ESCOMA,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2014-10-01,3,3
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-10-01,24,24
LAJA,atencion de partos en servicios,nacidos muertos,2014-10-01,6,6
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2014-10-01,10,10
PALCA,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
PORONGO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-10-01,8,8
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-10-01,5,5
PUNATA,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2014-10-01,3,3
REYES,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-10-01,7,7
ROBORE,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
SAN ANDRES,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-10-01,2,2
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2014-10-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-10-01,22,22
SIPE SIPE,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos,2014-10-01,8,8
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
TARVITA,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
VILLA CHARCAS,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos,2014-10-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-10-01,4,4
ACHACACHI,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-11-01,2,2
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-11-01,21,21
COROICO,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-11-01,50,50
ESCOMA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
FILADELFIA,atencion de partos en servicios,nacidos muertos,2014-11-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-11-01,21,21
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
MAIRANA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2014-11-01,3,3
OKINAWA,atencion de partos en servicios,nacidos muertos,2014-11-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos,2014-11-01,5,5
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
POROMA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-11-01,7,7
PUERTO QUIJARRO,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2014-11-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-11-01,2,2
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-11-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
SAN RAMON BENI,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-11-01,20,20
SUCRE,atencion de partos en servicios,nacidos muertos,2014-11-01,10,10
TACOPAYA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
TAHUA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2014-11-01,6,6
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-11-01,3,3
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-11-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
BETANZOS,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
CAIROMA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-12-01,3,3
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-12-01,19,19
COLQUECHACA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-12-01,25,25
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
JESUS DE MACHACA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-12-01,24,24
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
MAIRANA,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
MAPIRI,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2014-12-01,5,5
OMEREQUE,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2014-12-01,7,7
PADILLA,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
PORCO,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-12-01,4,4
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
SAMAIPATA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-12-01,28,28
SUCRE,atencion de partos en servicios,nacidos muertos,2014-12-01,7,7
TARIJA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
TIRAQUE (CBBA),atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-12-01,3,3
TUPIZA,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-12-01,3,3
WARNES,atencion de partos en servicios,nacidos muertos,2014-12-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-12-01,2,2
