municipality,group,variable,month,Total 11.2 Cesáreas,TOTAL
TUPIZA,atencion de partos en servicios,cesareas,2014-05-01,6,6
UNCIA,atencion de partos en servicios,cesareas,2014-05-01,3,3
UYUNI,atencion de partos en servicios,cesareas,2014-05-01,12,12
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-05-01,13,13
VIACHA,atencion de partos en servicios,cesareas,2014-05-01,8,8
VILLA MONTES,atencion de partos en servicios,cesareas,2014-05-01,29,29
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-05-01,50,50
VILLAZON,atencion de partos en servicios,cesareas,2014-05-01,13,13
VINTO,atencion de partos en servicios,cesareas,2014-05-01,14,14
WARNES,atencion de partos en servicios,cesareas,2014-05-01,23,23
YACUIBA,atencion de partos en servicios,cesareas,2014-05-01,95,95
YAPACANI,atencion de partos en servicios,cesareas,2014-05-01,39,39
ACHACACHI,atencion de partos en servicios,cesareas,2014-06-01,4,4
AIQUILE,atencion de partos en servicios,cesareas,2014-06-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-06-01,27,27
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2014-06-01,4,4
BAURES,atencion de partos en servicios,cesareas,2014-06-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2014-06-01,19,19
BETANZOS,atencion de partos en servicios,cesareas,2014-06-01,2,2
CAMARGO,atencion de partos en servicios,cesareas,2014-06-01,7,7
CAMIRI,atencion de partos en servicios,cesareas,2014-06-01,48,48
CARANAVI,atencion de partos en servicios,cesareas,2014-06-01,1,1
CHALLAPATA,atencion de partos en servicios,cesareas,2014-06-01,11,11
CHARAGUA,atencion de partos en servicios,cesareas,2014-06-01,16,16
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-06-01,4,4
CLIZA,atencion de partos en servicios,cesareas,2014-06-01,11,11
COBIJA,atencion de partos en servicios,cesareas,2014-06-01,54,54
COCHABAMBA,atencion de partos en servicios,cesareas,2014-06-01,785,785
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-06-01,12,12
COMARAPA,atencion de partos en servicios,cesareas,2014-06-01,11,11
COROICO,atencion de partos en servicios,cesareas,2014-06-01,9,9
COTOCA,atencion de partos en servicios,cesareas,2014-06-01,24,24
EL ALTO,atencion de partos en servicios,cesareas,2014-06-01,344,344
EL TORNO,atencion de partos en servicios,cesareas,2014-06-01,43,43
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-06-01,6,6
ESCOMA,atencion de partos en servicios,cesareas,2014-06-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-06-01,27,27
HUANUNI,atencion de partos en servicios,cesareas,2014-06-01,15,15
HUARACAJE,atencion de partos en servicios,cesareas,2014-06-01,3,3
LA PAZ,atencion de partos en servicios,cesareas,2014-06-01,765,765
LLALLAGUA,atencion de partos en servicios,cesareas,2014-06-01,19,19
MAGDALENA,atencion de partos en servicios,cesareas,2014-06-01,2,2
MAIRANA,atencion de partos en servicios,cesareas,2014-06-01,16,16
MIZQUE,atencion de partos en servicios,cesareas,2014-06-01,2,2
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-06-01,23,23
MONTERO,atencion de partos en servicios,cesareas,2014-06-01,182,182
ORURO,atencion de partos en servicios,cesareas,2014-06-01,336,336
PADILLA,atencion de partos en servicios,cesareas,2014-06-01,8,8
PAILON,atencion de partos en servicios,cesareas,2014-06-01,2,2
PATACAMAYA,atencion de partos en servicios,cesareas,2014-06-01,4,4
PORTACHUELO,atencion de partos en servicios,cesareas,2014-06-01,28,28
POTOSI,atencion de partos en servicios,cesareas,2014-06-01,123,123
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-06-01,8,8
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-06-01,17,17
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-06-01,37,37
PUNATA,atencion de partos en servicios,cesareas,2014-06-01,36,36
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-06-01,55,55
REYES,atencion de partos en servicios,cesareas,2014-06-01,6,6
RIBERALTA,atencion de partos en servicios,cesareas,2014-06-01,71,71
ROBORE,atencion de partos en servicios,cesareas,2014-06-01,4,4
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-06-01,14,14
SACABA,atencion de partos en servicios,cesareas,2014-06-01,45,45
SAMAIPATA,atencion de partos en servicios,cesareas,2014-06-01,4,4
SAN BORJA,atencion de partos en servicios,cesareas,2014-06-01,26,26
SAN CARLOS,atencion de partos en servicios,cesareas,2014-06-01,23,23
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-06-01,8,8
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-06-01,48,48
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-06-01,4,4
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-06-01,7,7
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-06-01,14,14
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2014-06-01,4,4
SAN JULIAN,atencion de partos en servicios,cesareas,2014-06-01,22,22
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-06-01,5,5
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2014-06-01,2,2
SANTA ANA,atencion de partos en servicios,cesareas,2014-06-01,14,14
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-06-01,1766,1766
SUCRE,atencion de partos en servicios,cesareas,2014-06-01,199,199
TARABUCO,atencion de partos en servicios,cesareas,2014-06-01,2,2
TARIJA,atencion de partos en servicios,cesareas,2014-06-01,218,218
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-06-01,28,28
TOTORA(CBBA),atencion de partos en servicios,cesareas,2014-06-01,4,4
TRINIDAD,atencion de partos en servicios,cesareas,2014-06-01,153,153
TUPIZA,atencion de partos en servicios,cesareas,2014-06-01,18,18
UYUNI,atencion de partos en servicios,cesareas,2014-06-01,14,14
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-06-01,15,15
VIACHA,atencion de partos en servicios,cesareas,2014-06-01,6,6
VILLA MONTES,atencion de partos en servicios,cesareas,2014-06-01,39,39
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-06-01,67,67
VILLAZON,atencion de partos en servicios,cesareas,2014-06-01,8,8
VINTO,atencion de partos en servicios,cesareas,2014-06-01,12,12
WARNES,atencion de partos en servicios,cesareas,2014-06-01,31,31
YACUIBA,atencion de partos en servicios,cesareas,2014-06-01,79,79
YAPACANI,atencion de partos en servicios,cesareas,2014-06-01,22,22
ACHACACHI,atencion de partos en servicios,cesareas,2014-07-01,2,2
AIQUILE,atencion de partos en servicios,cesareas,2014-07-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-07-01,27,27
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2014-07-01,6,6
BAURES,atencion de partos en servicios,cesareas,2014-07-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2014-07-01,17,17
CAMARGO,atencion de partos en servicios,cesareas,2014-07-01,8,8
CAMIRI,atencion de partos en servicios,cesareas,2014-07-01,41,41
CARANAVI,atencion de partos en servicios,cesareas,2014-07-01,10,10
CHALLAPATA,atencion de partos en servicios,cesareas,2014-07-01,7,7
CHARAGUA,atencion de partos en servicios,cesareas,2014-07-01,19,19
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-07-01,10,10
CLIZA,atencion de partos en servicios,cesareas,2014-07-01,14,14
COBIJA,atencion de partos en servicios,cesareas,2014-07-01,79,79
COCHABAMBA,atencion de partos en servicios,cesareas,2014-07-01,800,800
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-07-01,6,6
COMARAPA,atencion de partos en servicios,cesareas,2014-07-01,6,6
COROICO,atencion de partos en servicios,cesareas,2014-07-01,13,13
COTOCA,atencion de partos en servicios,cesareas,2014-07-01,21,21
EL ALTO,atencion de partos en servicios,cesareas,2014-07-01,309,309
EL TORNO,atencion de partos en servicios,cesareas,2014-07-01,34,34
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-07-01,5,5
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-07-01,49,49
HUANUNI,atencion de partos en servicios,cesareas,2014-07-01,9,9
HUARACAJE,atencion de partos en servicios,cesareas,2014-07-01,2,2
LA PAZ,atencion de partos en servicios,cesareas,2014-07-01,758,758
LLALLAGUA,atencion de partos en servicios,cesareas,2014-07-01,17,17
MAGDALENA,atencion de partos en servicios,cesareas,2014-07-01,6,6
MAIRANA,atencion de partos en servicios,cesareas,2014-07-01,18,18
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-07-01,25,25
ORURO,atencion de partos en servicios,cesareas,2014-07-01,312,312
PADILLA,atencion de partos en servicios,cesareas,2014-07-01,13,13
PAILON,atencion de partos en servicios,cesareas,2014-07-01,4,4
PATACAMAYA,atencion de partos en servicios,cesareas,2014-07-01,5,5
PORTACHUELO,atencion de partos en servicios,cesareas,2014-07-01,29,29
POTOSI,atencion de partos en servicios,cesareas,2014-07-01,144,144
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-07-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-07-01,24,24
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-07-01,32,32
PUNATA,atencion de partos en servicios,cesareas,2014-07-01,27,27
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-07-01,59,59
REYES,atencion de partos en servicios,cesareas,2014-07-01,7,7
RIBERALTA,atencion de partos en servicios,cesareas,2014-07-01,102,102
ROBORE,atencion de partos en servicios,cesareas,2014-07-01,7,7
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-07-01,15,15
SACABA,atencion de partos en servicios,cesareas,2014-07-01,44,44
SAMAIPATA,atencion de partos en servicios,cesareas,2014-07-01,6,6
SAN BORJA,atencion de partos en servicios,cesareas,2014-07-01,32,32
SAN CARLOS,atencion de partos en servicios,cesareas,2014-07-01,19,19
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-07-01,35,35
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-07-01,7,7
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-07-01,9,9
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-07-01,18,18
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2014-07-01,4,4
SAN JULIAN,atencion de partos en servicios,cesareas,2014-07-01,15,15
SAN LUCAS,atencion de partos en servicios,cesareas,2014-07-01,2,2
SAN MATIAS,atencion de partos en servicios,cesareas,2014-07-01,8,8
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-07-01,2,2
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2014-07-01,1,1
SANTA ANA,atencion de partos en servicios,cesareas,2014-07-01,25,25
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-07-01,1844,1844
SANTA ROSA,atencion de partos en servicios,cesareas,2014-07-01,1,1
SHINAOTA,atencion de partos en servicios,cesareas,2014-07-01,10,10
SUCRE,atencion de partos en servicios,cesareas,2014-07-01,254,254
TARABUCO,atencion de partos en servicios,cesareas,2014-07-01,4,4
TARIJA,atencion de partos en servicios,cesareas,2014-07-01,212,212
TARVITA,atencion de partos en servicios,cesareas,2014-07-01,2,2
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-07-01,33,33
TOTORA(CBBA),atencion de partos en servicios,cesareas,2014-07-01,5,5
TRINIDAD,atencion de partos en servicios,cesareas,2014-07-01,145,145
TUPIZA,atencion de partos en servicios,cesareas,2014-07-01,22,22
UNCIA,atencion de partos en servicios,cesareas,2014-07-01,9,9
UYUNI,atencion de partos en servicios,cesareas,2014-07-01,13,13
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-07-01,15,15
VIACHA,atencion de partos en servicios,cesareas,2014-07-01,8,8
VILLA MONTES,atencion de partos en servicios,cesareas,2014-07-01,35,35
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-07-01,68,68
VILLAZON,atencion de partos en servicios,cesareas,2014-07-01,11,11
VINTO,atencion de partos en servicios,cesareas,2014-07-01,15,15
WARNES,atencion de partos en servicios,cesareas,2014-07-01,14,14
YACUIBA,atencion de partos en servicios,cesareas,2014-07-01,75,75
YAPACANI,atencion de partos en servicios,cesareas,2014-07-01,44,44
ACHACACHI,atencion de partos en servicios,cesareas,2014-08-01,5,5
AIQUILE,atencion de partos en servicios,cesareas,2014-08-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-08-01,18,18
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2014-08-01,4,4
BAURES,atencion de partos en servicios,cesareas,2014-08-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2014-08-01,22,22
BETANZOS,atencion de partos en servicios,cesareas,2014-08-01,3,3
CAMARGO,atencion de partos en servicios,cesareas,2014-08-01,8,8
CAMIRI,atencion de partos en servicios,cesareas,2014-08-01,43,43
CARACOLLO,atencion de partos en servicios,cesareas,2014-08-01,3,3
CARANAVI,atencion de partos en servicios,cesareas,2014-08-01,17,17
CHALLAPATA,atencion de partos en servicios,cesareas,2014-08-01,12,12
CHARAGUA,atencion de partos en servicios,cesareas,2014-08-01,16,16
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-08-01,13,13
CLIZA,atencion de partos en servicios,cesareas,2014-08-01,10,10
COBIJA,atencion de partos en servicios,cesareas,2014-08-01,65,65
COCHABAMBA,atencion de partos en servicios,cesareas,2014-08-01,758,758
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-08-01,6,6
COMARAPA,atencion de partos en servicios,cesareas,2014-08-01,6,6
COROICO,atencion de partos en servicios,cesareas,2014-08-01,12,12
COTOCA,atencion de partos en servicios,cesareas,2014-08-01,22,22
EL ALTO,atencion de partos en servicios,cesareas,2014-08-01,279,279
EL TORNO,atencion de partos en servicios,cesareas,2014-08-01,47,47
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-08-01,7,7
ESCOMA,atencion de partos en servicios,cesareas,2014-08-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-08-01,60,60
HUANUNI,atencion de partos en servicios,cesareas,2014-08-01,16,16
LA PAZ,atencion de partos en servicios,cesareas,2014-08-01,714,714
LLALLAGUA,atencion de partos en servicios,cesareas,2014-08-01,20,20
MAGDALENA,atencion de partos en servicios,cesareas,2014-08-01,3,3
MAIRANA,atencion de partos en servicios,cesareas,2014-08-01,14,14
MIZQUE,atencion de partos en servicios,cesareas,2014-08-01,5,5
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-08-01,16,16
MONTERO,atencion de partos en servicios,cesareas,2014-08-01,118,118
ORURO,atencion de partos en servicios,cesareas,2014-08-01,346,346
PADILLA,atencion de partos en servicios,cesareas,2014-08-01,8,8
PAILON,atencion de partos en servicios,cesareas,2014-08-01,7,7
PATACAMAYA,atencion de partos en servicios,cesareas,2014-08-01,1,1
PORTACHUELO,atencion de partos en servicios,cesareas,2014-08-01,23,23
POTOSI,atencion de partos en servicios,cesareas,2014-08-01,115,115
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-08-01,7,7
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-08-01,21,21
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-08-01,26,26
PUNATA,atencion de partos en servicios,cesareas,2014-08-01,26,26
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-08-01,54,54
REYES,atencion de partos en servicios,cesareas,2014-08-01,2,2
RIBERALTA,atencion de partos en servicios,cesareas,2014-08-01,80,80
ROBORE,atencion de partos en servicios,cesareas,2014-08-01,4,4
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-08-01,20,20
SACABA,atencion de partos en servicios,cesareas,2014-08-01,39,39
SAMAIPATA,atencion de partos en servicios,cesareas,2014-08-01,3,3
SAN BORJA,atencion de partos en servicios,cesareas,2014-08-01,29,29
SAN CARLOS,atencion de partos en servicios,cesareas,2014-08-01,11,11
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-08-01,10,10
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-08-01,42,42
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-08-01,4,4
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-08-01,7,7
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-08-01,15,15
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2014-08-01,3,3
SAN JULIAN,atencion de partos en servicios,cesareas,2014-08-01,18,18
SAN MATIAS,atencion de partos en servicios,cesareas,2014-08-01,7,7
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-08-01,3,3
SANTA ANA,atencion de partos en servicios,cesareas,2014-08-01,15,15
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-08-01,1972,1972
SANTA ROSA,atencion de partos en servicios,cesareas,2014-08-01,1,1
SUCRE,atencion de partos en servicios,cesareas,2014-08-01,217,217
TARABUCO,atencion de partos en servicios,cesareas,2014-08-01,4,4
TARIJA,atencion de partos en servicios,cesareas,2014-08-01,235,235
TARVITA,atencion de partos en servicios,cesareas,2014-08-01,3,3
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-08-01,26,26
TOTORA(CBBA),atencion de partos en servicios,cesareas,2014-08-01,5,5
TRINIDAD,atencion de partos en servicios,cesareas,2014-08-01,157,157
TUPIZA,atencion de partos en servicios,cesareas,2014-08-01,14,14
UNCIA,atencion de partos en servicios,cesareas,2014-08-01,9,9
UYUNI,atencion de partos en servicios,cesareas,2014-08-01,15,15
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-08-01,20,20
VIACHA,atencion de partos en servicios,cesareas,2014-08-01,3,3
VILLA MONTES,atencion de partos en servicios,cesareas,2014-08-01,38,38
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-08-01,52,52
VILLAZON,atencion de partos en servicios,cesareas,2014-08-01,14,14
VINTO,atencion de partos en servicios,cesareas,2014-08-01,13,13
WARNES,atencion de partos en servicios,cesareas,2014-08-01,20,20
YACUIBA,atencion de partos en servicios,cesareas,2014-08-01,39,39
YAPACANI,atencion de partos en servicios,cesareas,2014-08-01,22,22
ACHACACHI,atencion de partos en servicios,cesareas,2014-09-01,5,5
AIQUILE,atencion de partos en servicios,cesareas,2014-09-01,7,7
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-09-01,18,18
BAURES,atencion de partos en servicios,cesareas,2014-09-01,2,2
BERMEJO,atencion de partos en servicios,cesareas,2014-09-01,15,15
BETANZOS,atencion de partos en servicios,cesareas,2014-09-01,2,2
CAMARGO,atencion de partos en servicios,cesareas,2014-09-01,9,9
CAMIRI,atencion de partos en servicios,cesareas,2014-09-01,36,36
CARACOLLO,atencion de partos en servicios,cesareas,2014-09-01,2,2
CARANAVI,atencion de partos en servicios,cesareas,2014-09-01,17,17
CHALLAPATA,atencion de partos en servicios,cesareas,2014-09-01,7,7
CHARAGUA,atencion de partos en servicios,cesareas,2014-09-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-09-01,11,11
CLIZA,atencion de partos en servicios,cesareas,2014-09-01,14,14
COBIJA,atencion de partos en servicios,cesareas,2014-09-01,76,76
COCHABAMBA,atencion de partos en servicios,cesareas,2014-09-01,808,808
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-09-01,10,10
COMARAPA,atencion de partos en servicios,cesareas,2014-09-01,6,6
COROICO,atencion de partos en servicios,cesareas,2014-09-01,10,10
COTOCA,atencion de partos en servicios,cesareas,2014-09-01,17,17
EL ALTO,atencion de partos en servicios,cesareas,2014-09-01,297,297
EL TORNO,atencion de partos en servicios,cesareas,2014-09-01,35,35
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-09-01,9,9
ESCOMA,atencion de partos en servicios,cesareas,2014-09-01,1,1
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-09-01,39,39
HUANUNI,atencion de partos en servicios,cesareas,2014-09-01,9,9
HUARACAJE,atencion de partos en servicios,cesareas,2014-09-01,2,2
LA PAZ,atencion de partos en servicios,cesareas,2014-09-01,743,743
LLALLAGUA,atencion de partos en servicios,cesareas,2014-09-01,19,19
MAGDALENA,atencion de partos en servicios,cesareas,2014-09-01,4,4
MAIRANA,atencion de partos en servicios,cesareas,2014-09-01,22,22
MIZQUE,atencion de partos en servicios,cesareas,2014-09-01,3,3
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-09-01,20,20
MONTERO,atencion de partos en servicios,cesareas,2014-09-01,154,154
ORURO,atencion de partos en servicios,cesareas,2014-09-01,297,297
PADILLA,atencion de partos en servicios,cesareas,2014-09-01,9,9
PAILON,atencion de partos en servicios,cesareas,2014-09-01,5,5
PORTACHUELO,atencion de partos en servicios,cesareas,2014-09-01,30,30
POTOSI,atencion de partos en servicios,cesareas,2014-09-01,126,126
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-09-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-09-01,20,20
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-09-01,22,22
PUNATA,atencion de partos en servicios,cesareas,2014-09-01,48,48
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-09-01,64,64
REYES,atencion de partos en servicios,cesareas,2014-09-01,3,3
RIBERALTA,atencion de partos en servicios,cesareas,2014-09-01,84,84
ROBORE,atencion de partos en servicios,cesareas,2014-09-01,9,9
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-09-01,14,14
SACABA,atencion de partos en servicios,cesareas,2014-09-01,47,47
SAMAIPATA,atencion de partos en servicios,cesareas,2014-09-01,4,4
SAN BORJA,atencion de partos en servicios,cesareas,2014-09-01,24,24
SAN CARLOS,atencion de partos en servicios,cesareas,2014-09-01,8,8
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-09-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-09-01,30,30
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-09-01,1,1
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-09-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-09-01,16,16
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2014-09-01,4,4
SAN JULIAN,atencion de partos en servicios,cesareas,2014-09-01,18,18
SAN MATIAS,atencion de partos en servicios,cesareas,2014-09-01,6,6
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-09-01,2,2
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2014-09-01,1,1
SANTA ANA,atencion de partos en servicios,cesareas,2014-09-01,7,7
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-09-01,1682,1682
SHINAOTA,atencion de partos en servicios,cesareas,2014-09-01,2,2
SUCRE,atencion de partos en servicios,cesareas,2014-09-01,225,225
TARABUCO,atencion de partos en servicios,cesareas,2014-09-01,6,6
TARIJA,atencion de partos en servicios,cesareas,2014-09-01,219,219
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-09-01,26,26
TRINIDAD,atencion de partos en servicios,cesareas,2014-09-01,140,140
TUPIZA,atencion de partos en servicios,cesareas,2014-09-01,14,14
UNCIA,atencion de partos en servicios,cesareas,2014-09-01,7,7
UYUNI,atencion de partos en servicios,cesareas,2014-09-01,17,17
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-09-01,19,19
VILLA MONTES,atencion de partos en servicios,cesareas,2014-09-01,34,34
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-09-01,38,38
VILLAZON,atencion de partos en servicios,cesareas,2014-09-01,16,16
VINTO,atencion de partos en servicios,cesareas,2014-09-01,12,12
WARNES,atencion de partos en servicios,cesareas,2014-09-01,13,13
YACUIBA,atencion de partos en servicios,cesareas,2014-09-01,90,90
YAPACANI,atencion de partos en servicios,cesareas,2014-09-01,32,32
YOTALA,atencion de partos en servicios,cesareas,2014-09-01,1,1
ACHACACHI,atencion de partos en servicios,cesareas,2014-10-01,1,1
AIQUILE,atencion de partos en servicios,cesareas,2014-10-01,11,11
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-10-01,23,23
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2014-10-01,1,1
BATALLAS,atencion de partos en servicios,cesareas,2014-10-01,1,1
BAURES,atencion de partos en servicios,cesareas,2014-10-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2014-10-01,21,21
BETANZOS,atencion de partos en servicios,cesareas,2014-10-01,1,1
CAMARGO,atencion de partos en servicios,cesareas,2014-10-01,10,10
CAMIRI,atencion de partos en servicios,cesareas,2014-10-01,30,30
CARACOLLO,atencion de partos en servicios,cesareas,2014-10-01,2,2
CARANAVI,atencion de partos en servicios,cesareas,2014-10-01,23,23
CHALLAPATA,atencion de partos en servicios,cesareas,2014-10-01,6,6
CHARAGUA,atencion de partos en servicios,cesareas,2014-10-01,15,15
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-10-01,6,6
CLIZA,atencion de partos en servicios,cesareas,2014-10-01,19,19
COBIJA,atencion de partos en servicios,cesareas,2014-10-01,54,54
COCHABAMBA,atencion de partos en servicios,cesareas,2014-10-01,868,868
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-10-01,8,8
COMARAPA,atencion de partos en servicios,cesareas,2014-10-01,13,13
COROICO,atencion de partos en servicios,cesareas,2014-10-01,11,11
COTOCA,atencion de partos en servicios,cesareas,2014-10-01,16,16
EL ALTO,atencion de partos en servicios,cesareas,2014-10-01,299,299
EL TORNO,atencion de partos en servicios,cesareas,2014-10-01,40,40
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-10-01,10,10
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-10-01,61,61
HUANUNI,atencion de partos en servicios,cesareas,2014-10-01,8,8
LA PAZ,atencion de partos en servicios,cesareas,2014-10-01,762,762
LLALLAGUA,atencion de partos en servicios,cesareas,2014-10-01,15,15
MAGDALENA,atencion de partos en servicios,cesareas,2014-10-01,2,2
MAIRANA,atencion de partos en servicios,cesareas,2014-10-01,15,15
MIZQUE,atencion de partos en servicios,cesareas,2014-10-01,3,3
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-10-01,14,14
MONTERO,atencion de partos en servicios,cesareas,2014-10-01,96,96
ORURO,atencion de partos en servicios,cesareas,2014-10-01,330,330
PADILLA,atencion de partos en servicios,cesareas,2014-10-01,10,10
PAILON,atencion de partos en servicios,cesareas,2014-10-01,3,3
PATACAMAYA,atencion de partos en servicios,cesareas,2014-10-01,3,3
PORTACHUELO,atencion de partos en servicios,cesareas,2014-10-01,31,31
POTOSI,atencion de partos en servicios,cesareas,2014-10-01,82,82
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-10-01,6,6
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-10-01,18,18
PUNATA,atencion de partos en servicios,cesareas,2014-10-01,33,33
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-10-01,60,60
QUIME,atencion de partos en servicios,cesareas,2014-10-01,1,1
REYES,atencion de partos en servicios,cesareas,2014-10-01,10,10
RIBERALTA,atencion de partos en servicios,cesareas,2014-10-01,104,104
ROBORE,atencion de partos en servicios,cesareas,2014-10-01,7,7
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-10-01,12,12
SACABA,atencion de partos en servicios,cesareas,2014-10-01,34,34
