municipality,group,variable,month,l 25.6 Viviendas Evaluadas,TOTAL
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,181,181
VILA VILA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,41,41
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,136,136
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,66,66
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,140,140
VINTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,236,236
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,38,38
YAMPARAEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,49,49
YOTALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,295,295
YUNCHARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,101,101
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,134,134
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,220,220
AIQUILE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,885,885
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,85,85
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,17,17
ARANI,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,202,202
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,153,153
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,68,68
BETANZOS,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,289,289
BOYUIBE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,28,28
CABEZAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,322,322
CAIROMA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,628,628
CAMARGO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,493,493
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,352,352
CHARAGUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,523,523
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,1008,1008
CKOCHAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,177,177
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,342,342
COCHABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,58,58
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,246,246
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,458,458
CUATRO CAÑADAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,888,888
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,149,149
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,65,65
EL VILLAR,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,192,192
HUACARETA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,165,165
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,103,103
ICLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,219,219
LURIBAY,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,1128,1128
MACHARETI,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,304,304
MIZQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,210,210
MONTEAGUDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,863,863
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,254,254
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,141,141
PADCAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,179,179
PADILLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,73,73
PAILON,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,150,150
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,37,37
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,138,138
POJO (CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,8,8
POROMA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,157,157
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,16,16
PRESTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,80,80
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,101,101
RAVELO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,389,389
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,327,327
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,120,120
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,136,136
SAN LORENZO(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,143,143
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,1237,1237
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,15,15
SANTIVAÑES,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,235,235
SAPAHAQUI,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,1061,1061
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,219,219
SIPE SIPE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,312,312
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,591,591
SUCRE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,398,398
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,211,211
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,286,286
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,344,344
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,130,130
TARVITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,358,358
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,190,190
TOLATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,280,280
TOMAVE,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,210,210
TOMINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,147,147
TORO TORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,115,115
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,230,230
TUPIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,1878,1878
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,92,92
VILA VILA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,2,2
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,134,134
VILLA SERRANO,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,1414,1414
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,201,201
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,224,224
YACUIBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,272,272
YAMPARAEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,344,344
YOTALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,301,301
YUNCHARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,47,47
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-07-01,406,406
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,418,418
AIQUILE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,525,525
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,409,409
ARAMPAMPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,193,193
ARANI,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,141,141
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,82,82
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,86,86
BETANZOS,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,150,150
BOYUIBE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,52,52
CABEZAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,1533,1533
CAMARGO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,470,470
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,397,397
CAPINOTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,341,341
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,1183,1183
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,365,365
COCHABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,745,745
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,258,258
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,1599,1599
CUATRO CAÑADAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,478,478
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,83,83
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,157,157
HUACARETA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,599,599
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,43,43
INCAHUASI,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,246,246
LAS CARRERAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,116,116
LURIBAY,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,721,721
MACHARETI,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,215,215
MIZQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,1154,1154
MONTEAGUDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,786,786
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,255,255
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,869,869
PADCAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,236,236
PADILLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,339,339
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,163,163
POJO (CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,8,8
POROMA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,383,383
PORONGO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,107,107
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,268,268
PRESTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,301,301
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,44,44
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,44,44
RAVELO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,479,479
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,398,398
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,240,240
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,93,93
SAN BENITO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,208,208
SAN LORENZO(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,266,266
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,748,748
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,1,1
SANTIVAÑES,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,309,309
SAPAHAQUI,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,593,593
SIPE SIPE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,223,223
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,3,3
SUCRE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,954,954
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,151,151
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,268,268
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,65,65
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,331,331
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,81,81
TARVITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,484,484
TINGUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,540,540
TOLATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,270,270
TOMAVE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,25,25
TOMINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,366,366
TORO TORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,128,128
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,319,319
TUPIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,867,867
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,47,47
VALLEGRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,33,33
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,104,104
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,23,23
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,238,238
VINTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,257,257
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,383,383
YACUIBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,121,121
YOTALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,240,240
YUNCHARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,201,201
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-08-01,297,297
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,375,375
AIQUILE,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,133,133
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,151,151
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,18,18
ARAMPAMPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,192,192
ARANI,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,168,168
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,58,58
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,73,73
BETANZOS,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,191,191
CABEZAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,787,787
CAMARGO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,423,423
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,360,360
CHAQUI,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,331,331
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,2211,2211
CKOCHAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,247,247
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,220,220
COCHABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,574,574
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,179,179
COMARAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,1678,1678
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,856,856
CUATRO CAÑADAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,240,240
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,120,120
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,74,74
EL TORNO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,490,490
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,55,55
INCAHUASI,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,422,422
LAS CARRERAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,169,169
LURIBAY,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,392,392
MIZQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,46,46
MOJOCOYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,581,581
MONTEAGUDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,492,492
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,366,366
PADCAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,307,307
PADILLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,437,437
PAILON,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,8,8
PAMPA GRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,111,111
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,145,145
POROMA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,705,705
PORONGO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,279,279
PRESTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,172,172
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,47,47
PUNA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,85,85
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,91,91
RAVELO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,523,523
ROBORE,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,48,48
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,300,300
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,375,375
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,42,42
SAN LORENZO(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,240,240
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,797,797
SANTIVAÑES,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,76,76
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,138,138
SIPE SIPE,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,219,219
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,110,110
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,44,44
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,265,265
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,258,258
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,360,360
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,129,129
TARVITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,801,801
TINGUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,164,164
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,279,279
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,107,107
TOLATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,241,241
TOMAVE,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,260,260
TOMINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,363,363
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,335,335
TRIGAL,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,80,80
TUPIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,316,316
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,271,271
VALLEGRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,21,21
VILLA CHARCAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,237,237
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,101,101
VILLA SERRANO,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,511,511
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,313,313
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,301,301
YACUIBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,60,60
YOTALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,549,549
YUNCHARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,95,95
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-09-01,352,352
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,361,361
AIQUILE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,461,461
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,75,75
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,50,50
ARAMPAMPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,224,224
ARANI,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,166,166
ARBIETO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,70,70
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,126,126
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,113,113
BETANZOS,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,264,264
BOYUIBE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,387,387
CABEZAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,335,335
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,188,188
CHAQUI,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,374,374
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,1005,1005
CKOCHAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,204,204
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,466,466
COCHABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,17,17
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,336,336
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,472,472
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,140,140
CULPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,248,248
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,111,111
EL TORNO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,9,9
ENTRE RIOS TRJ,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,188,188
HUACARETA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,355,355
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,30,30
ICLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,44,44
INQUISIVI,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,1320,1320
MAIRANA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,37,37
MOJOCOYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,154,154
MONTEAGUDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,24,24
MONTERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,4,4
MORO MORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,80,80
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,512,512
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,125,125
PADCAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,235,235
PADILLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,72,72
PAMPA GRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,82,82
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,70,70
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,145,145
POROMA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,739,739
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,12,12
PRESTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,446,446
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,25,25
RAVELO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,435,435
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,502,502
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,166,166
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,111,111
SAN ANTONIO DE LOMERIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,152,152
SAN LORENZO(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,265,265
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,23,23
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,68,68
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,75,75
SUCRE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,341,341
TACACOMA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,379,379
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,222,222
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,262,262
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,138,138
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,330,330
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,10,10
TARVITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,276,276
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,248,248
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,165,165
TOLATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,252,252
TOMAVE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,225,225
TOMINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,80,80
TORO TORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,129,129
