municipality,group,variable,month,l 25.7 Viviendas Positivas,TOTAL
TORO TORO,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,9,9
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,6,6
TUPIZA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
VALLEGRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,5,5
VILLA RIVERO,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,2,2
VINTO,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,2,2
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,10,10
ACACIO,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,8,8
AIQUILE,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,7,7
ARAMPAMPA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
BETANZOS,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,8,8
CAMARGO,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,11,11
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
CHAQUI,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,15,15
CKOCHAS,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,9,9
COCHABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,29,29
COLCAPIRHUA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,2,2
COMARAPA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,62,62
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,10,10
CUATRO CAÑADAS,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,20,20
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,2,2
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,4,4
EL TORNO,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,41,41
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,11,11
ICLA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
INCAHUASI,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,12,12
LAS CARRERAS,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
LURIBAY,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,2,2
MIZQUE,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,5,5
MOJOCOYA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,7,7
MONTEAGUDO,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,15,15
OCURI,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,87,87
PADCAYA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
PADILLA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,16,16
PAILON,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,2,2
PAMPA GRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,2,2
POROMA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,14,14
POSTRER VALLE,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
PRESTO,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
PUCARA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
PUNA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,6,6
RAVELO,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,6,6
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,2,2
SACABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,6,6
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
SAN LORENZO(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,4,4
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
SIPE SIPE,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,4,4
TACOPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
TARVITA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,7,7
TINGUIPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
TOLATA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,2,2
TOMAVE,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,1,1
TOMINA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,4,4
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,9,9
TRIGAL,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,28,28
VALLEGRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,11,11
VILLA CHARCAS,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
VILLA RIVERO,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,3,3
VILLA SERRANO,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.7        viviendas positivas,2012-09-01,51,51
YACUIBA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,45,45
YOTALA,chagas viviendas,l 25.7        viviendas positivas,2012-09-01,35,35
ACACIO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,1,1
AIQUILE,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,27,27
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,7,7
ARANI,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,9,9
ARBIETO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,70,70
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.7        viviendas positivas,2012-10-01,2,2
BETANZOS,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,5,5
BOYUIBE,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,35,35
CABEZAS,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,32,32
CHAQUI,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,8,8
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.7        viviendas positivas,2012-10-01,8,8
CKOCHAS,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,3,3
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,2,2
COCHABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,5,5
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,11,11
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.7        viviendas positivas,2012-10-01,2,2
CULPINA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,21,21
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-10-01,8,8
EL TORNO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,2,2
HUACARETA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,56,56
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-10-01,4,4
ICLA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,11,11
INQUISIVI,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,2,2
OCURI,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,4,4
OMEREQUE,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,4,4
PADILLA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,22,22
PAMPA GRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,11,11
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,7,7
POCONA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,1,1
POROMA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,62,62
PRESTO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,16,16
PUCARA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,1,1
RAVELO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,10,10
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,9,9
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,5,5
SAN ANTONIO DE LOMERIO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,31,31
SAN LORENZO(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-10-01,1,1
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,4,4
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,1,1
SUCRE,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,51,51
TACOPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,2,2
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,1,1
TARABUCO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,5,5
TARVITA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,36,36
TOLATA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,3,3
TOMAVE,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,2,2
TOMINA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,11,11
TORO TORO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,6,6
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-10-01,3,3
TUPIZA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,3,3
VALLEGRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,7,7
VILLA RIVERO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.7        viviendas positivas,2012-10-01,5,5
VINTO,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,1,1
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,10,10
YOTALA,chagas viviendas,l 25.7        viviendas positivas,2012-10-01,8,8
ACACIO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,1,1
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,10,10
ARAMPAMPA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,3,3
ARANI,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,7,7
ARBIETO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,37,37
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,6,6
BETANZOS,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
CABEZAS,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,4,4
CAMARGO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,16,16
CAPINOTA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,21,21
CHAQUI,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
CKOCHAS,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,13,13
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,4,4
COCHABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,26,26
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-11-01,1,1
EL TORNO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,7,7
GUTIERREZ,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,22,22
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-11-01,6,6
ICLA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,4,4
MOJOCOYA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,3,3
OCURI,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,90,90
PADCAYA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,1,1
PADILLA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,31,31
PAMPA GRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,1,1
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,5,5
POCOATA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,14,14
POJO (CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
POROMA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,53,53
QUILLACOLLO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,34,34
RAVELO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,6,6
SACABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
SAN BENITO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,12,12
SAN LORENZO(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
SAN LUCAS,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,4,4
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,5,5
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,3,3
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,1,1
SIPE SIPE,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,15,15
TACOBAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,8,8
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,4,4
TARABUCO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,97,97
TARATA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,1,1
TOMAVE,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,3,3
TOMINA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,5,5
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
TUPIZA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,5,5
VALLEGRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,11,11
VILLA RIVERO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,2,2
VILLAZON,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,1,1
VINTO,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,3,3
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,10,10
YOTALA,chagas viviendas,l 25.7        viviendas positivas,2012-11-01,29,29
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,9,9
ARAMPAMPA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
ARANI,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,17,17
ARBIETO,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,25,25
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
AZURDUY,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
CAPINOTA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,11,11
CHIMORE,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,5,5
CKOCHAS,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,5,5
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,7,7
COCHABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
COLCAPIRHUA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,1,1
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-12-01,7,7
EL TORNO,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,9,9
ENTRE RIOS TRJ,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,1,1
GUTIERREZ,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,6,6
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
INQUISIVI,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,17,17
MOJINETE,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
OMEREQUE,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,61,61
PADCAYA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,8,8
PADILLA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,94,94
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
POCONA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
PUCARA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
QUILLACOLLO,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,30,30
QUIRUSILLAS,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,1,1
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,6,6
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,9,9
SAN LORENZO(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-12-01,5,5
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,24,24
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,1,1
SIPE SIPE,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,10,10
SOPACHUY,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
TACACHI,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,2,2
TARABUCO,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,37,37
TARIJA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,3,3
TOCO,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,1,1
TUPIZA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,1,1
VALLEGRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.7        viviendas positivas,2012-12-01,5,5
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,14,14
YOTALA,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,12,12
ZUDAÑEZ,chagas viviendas,l 25.7        viviendas positivas,2012-12-01,1,1
