municipality,group,variable,month,Niños (as) de 6 meses a menor de 1 año con dosis única de vitamina A,TOTAL
YUNCHARA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-02-01,10,10
ZUDAÑEZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-02-01,8,8
ACACIO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,9,9
ACHACACHI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,87,87
ACHOCALLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,18,18
AIQUILE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,46,46
ALALAY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,4,4
ALCALA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,6,6
ALTO BENI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,28,28
ANCORAIMES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,18,18
ANDAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,7,7
ANTEQUERA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,6,6
ANZALDO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,7,7
APOLO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,47,47
ARAMPAMPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,7,7
ARANI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,25,25
ARBIETO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,29,29
ARQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,34,34
ASCENCION DE GUARAYOS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,44,44
ATOCHA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,28,28
AUCAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,6,6
AYATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,28,28
AYO AYO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,24,24
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,72,72
AZURDUY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,17,17
BATALLAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,30,30
BAURES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,3,3
BELEN DE ANDAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
BELEN DE URMIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,5,5
BELLA FLOR,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
BERMEJO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,84,84
BETANZOS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,71,71
BOLIVAR,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,18,18
BOLPEBRA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
BOYUIBE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,11,11
BUENA VISTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,26,26
CABEZAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,115,115
CAIROMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,27,27
"CAIZA ""D""",micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,18,18
CAJUATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,19,19
CALACOTO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,14,14
CALAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,21,21
CAMARGO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,21,21
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,7,7
CAMIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,55,55
CAPINOTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,37,37
CAQUIAVIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,5,5
CARACOLLO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,34,34
CARANAVI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,71,71
CARAPARI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,30,30
CARIPUYO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,40,40
CARMEN RIVERO TORREZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,3,3
CATACORA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,1,1
CHACARILLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
CHALLAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,46,46
CHAQUI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,15,15
CHARAGUA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,69,69
CHARAÑA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,3,3
CHAYANTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,29,29
CHIMORE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,70,70
CHIPAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
CHOQUE COTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,4,4
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,61,61
CHUMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,20,20
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,23,23
CKOCHAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,25,25
CLIZA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,47,47
COBIJA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,113,113
COCAPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,108,108
COCHABAMBA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,968,968
COLCAPIRHUA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,62,62
"COLCHA ""K""",micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,24,24
COLLANA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
COLOMI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,59,59
COLPA BELGICA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
COLQUECHACA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,90,90
COLQUENCHA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,14,14
COLQUIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,56,56
COMANCHE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
COMARAPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,58,58
COMBAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,4,4
CONCEPCION,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,19,19
COPACABANA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,31,31
CORIPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,24,24
CORO CORO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,11,11
COROICO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,31,31
CORQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
COTAGAITA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,34,34
COTOCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,115,115
CUATRO CAÑADAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,39,39
CUEVO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
CULPINA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,49,49
CURAHUARA DE CARANGAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,4,4
CURVA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,4,4
DESAGUADERO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,7,7
EL ALTO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,1352,1352
EL CHORO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,12,12
EL PUENTE(STC),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,46,46
EL PUENTE(TJA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,31,31
EL TORNO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,106,106
EL VILLAR,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,5,5
ENTRE RIOS TRJ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,34,34
ENTRE RIOS CBBA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,62,62
ESCOMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
EUCALIPTUS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,6,6
EUREKA (SANTOS MERCADO),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
EXALTACION,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,9,9
FERNANDEZ ALONSO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,19,19
FILADELFIA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,41,41
GENERAL SAAVEDRA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,21,21
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,27,27
GUANAY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,31,31
GUAQUI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
GUAYARAMERIN,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,110,110
GUTIERREZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,53,53
HUACARETA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,15,15
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,4,4
HUACHACALLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
HUANUNI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,48,48
HUARACAJE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,11,11
HUARINA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
HUAYLLAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,9,9
HUMANATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,16,16
ICHOCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,15,15
ICLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,17,17
INCAHUASI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,25,25
INGAVI (HUMAITA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
INQUISIVI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,32,32
IRUPANA (VILLA DE LANZA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,23,23
IXIAMAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,1,1
JESUS DE MACHACA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,20,20
LA ASUNTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,139,139
LA GUARDIA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,164,164
LA PAZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,1085,1085
LA RIVERA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,1,1
LAGUNILLAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,10,10
LAJA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,21,21
LAS CARRERAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
LICOMA PAMPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,5,5
LLALLAGUA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,53,53
LLICA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,1,1
LORETO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,10,10
LURIBAY,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,18,18
MACHACAMARCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,12,12
MACHARETI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,17,17
MAGDALENA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,29,29
MAIRANA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,23,23
MALLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,4,4
MAPIRI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,36,36
MECAPACA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,10,10
MINEROS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,45,45
MIZQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,78,78
MOCOMOCO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,20,20
MOJOCOYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,8,8
MONTEAGUDO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,51,51
MONTERO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,226,226
MORO MORO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,10,10
MOROCHATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,38,38
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,7,7
NAZACARA DE PACAJES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,9,9
OCURI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,18,18
OKINAWA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,23,23
OMEREQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,9,9
ORURO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,479,479
PADCAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,28,28
PADILLA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,23,23
PAILON,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,53,53
PALCA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,41,41
PALOS BLANCOS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,49,49
PAMPA AULLAGAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,3,3
PAMPA GRANDE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,14,14
PAPEL PAMPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,5,5
PASORAPA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
PATACAMAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,35,35
PAZÑA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,13,13
PELECHUCO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,19,19
POCOATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,64,64
POCONA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,24,24
POJO (CBBA),micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,34,34
POOPO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,7,7
PORCO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,19,19
POROMA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,55,55
PORONGO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,27,27
PORTACHUELO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,24,24
PORVENIR,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,7,7
POTOSI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,422,422
PRESTO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,24,24
PUCARA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
PUCARANI,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,48,48
PUERTO ACOSTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,23,23
PUERTO CARABUCO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,28,28
PUERTO GONZALO MORENO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,11,11
PUERTO PEREZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,11,11
PUERTO QUIJARRO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,29,29
PUERTO RICO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,16,16
PUERTO SILES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,3,3
PUERTO SUAREZ,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,28,28
PUERTO VILLARROEL,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,77,77
PUNA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,34,34
PUNATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,45,45
QUIABAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
QUILLACOLLO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,144,144
QUIME,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,24,24
QUIRUSILLAS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,1,1
RAVELO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,36,36
REYES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,35,35
RIBERALTA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,263,263
ROBORE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,25,25
RURRENABAQUE,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,44,44
SABAYA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,6,6
SACABA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,227,227
SACABAMBA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,12,12
SACACA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,44,44
SAIPINA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,12,12
SALINAS DE GARCI MENDOZA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,17,17
SAMAIPATA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,19,19
SAN AGUSTIN,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
SAN ANDRES,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,25,25
SAN ANDRES DE MACHACA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,12,12
SAN BENITO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,37,37
SAN BORJA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,99,99
SAN BUENA VENTURA,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,20,20
SAN CARLOS,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,19,19
SAN IGNACIO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,44,44
SAN IGNACIO DE VELASCO,micronutrientes,ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2012-03-01,126,126
