municipality,group,variable,month,Mujeres embarazadas que reciben Alimento Complementario Nutri Mamá,TOTAL
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,3,3
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,13,13
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,31,31
SAN IGNACIO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,69,69
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,3,3
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,19,19
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,2,2
SICAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,9,9
SOPACHUY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,9,9
TARIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,150,150
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
TIQUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,19,19
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,72,72
TOLATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,21,21
TOLEDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,13,13
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,15,15
TRINIDAD,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,31,31
TUPIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,30,30
UNCIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,18,18
UYUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,6,6
VACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,14,14
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,80,80
YAMPARAEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,4,4
AIQUILE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,149,149
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,2,2
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,4,4
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,8,8
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,2,2
ARBIETO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,17,17
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,31,31
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,29,29
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,4,4
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,13,13
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,13,13
CARACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,7,7
CARANAVI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,3,3
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,8,8
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,3,3
CHALLAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,12,12
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,9,9
CHAYANTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,29,29
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,10,10
COLCAPIRHUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,2,2
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,27,27
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,56,56
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,3,3
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,6,6
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,464,464
EL CHORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
EL TORNO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,12,12
GUTIERREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,3,3
HUACARETA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,2,2
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,11,11
ICLA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,2,2
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,100,100
LA PAZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,2,2
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,62,62
MACHACAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,5,5
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,9,9
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,16,16
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,33,33
MOJINETE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,91,91
MONTERO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,86,86
MOROCHATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,17,17
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,2,2
ORURO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,59,59
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,3,3
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,25,25
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,27,27
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,11,11
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,17,17
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,66,66
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,20,20
POTOSI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,237,237
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,12,12
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,27,27
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,82,82
QUILLACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,39,39
RAVELO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,14,14
SABAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,3,3
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,2,2
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,7,7
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,43,43
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,112,112
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,5,5
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,74,74
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,19,19
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,5,5
SOPACHUY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,11,11
TACOPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,3,3
TARIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,33,33
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,4,4
TIQUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,43,43
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,68,68
TOLATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,32,32
TOLEDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,11,11
TOMAVE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,6,6
TORO TORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,16,16
TUPIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,28,28
UNCIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,31,31
UYUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,22,22
VACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,12,12
VILLA NUEVA (LOMA ALTA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,6,6
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,60,60
YAMPARAEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-05-01,1,1
AIQUILE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,14,14
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,3,3
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,2,2
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,6,6
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,6,6
ARBIETO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,35,35
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,27,27
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,30,30
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,3,3
BOYUIBE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,6,6
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,35,35
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,3,3
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,6,6
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,10,10
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,21,21
CARACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,12,12
CARANAVI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,15,15
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,6,6
CHALLAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,14,14
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,4,4
CHAYANTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
CHIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,4,4
CLIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,114,114
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,31,31
COLCAPIRHUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,31,31
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,25,25
COLQUIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,3,3
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,142,142
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,6,6
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,4,4
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,429,429
EL CHORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,12,12
EL TORNO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,10,10
EUCALIPTUS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
GUTIERREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,3,3
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
HUACHACALLA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,15,15
HUANUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,13,13
ICLA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
JESUS DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,10,10
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,130,130
LA PAZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,27,27
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,2,2
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,5,5
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,254,254
MACHACAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,2,2
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,8,8
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,13,13
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,27,27
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,64,64
MONTERO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,116,116
MOROCHATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,222,222
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
ORURO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,126,126
PALOS BLANCOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,4,4
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,2,2
PASORAPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,30,30
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,17,17
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,21,21
POOPO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,5,5
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,39,39
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,35,35
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,16,16
POTOSI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,392,392
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,4,4
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,24,24
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,118,118
QUILLACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,22,22
RAVELO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,3,3
SABAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,5,5
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,2,2
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,14,14
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,39,39
SAN JUAN DE YAPACANI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,107,107
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,20,20
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,715,715
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,8,8
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,4,4
SOPACHUY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,13,13
SORACACHI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,4,4
TACOPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,7,7
TAPACARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,18,18
TARIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,273,273
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,7,7
TIQUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,25,25
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,94,94
TOCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,7,7
TOLATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,22,22
TOLEDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,32,32
TORO TORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,2,2
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,27,27
TUPIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,17,17
UNCIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,36,36
UYUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,15,15
VACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,21,21
VILLA SERRANO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,32,32
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,8,8
VILLAZON,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,12,12
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,60,60
YAMPARAEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-06-01,8,8
AIQUILE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,18,18
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,1,1
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,3,3
ARBIETO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,20,20
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,28,28
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,16,16
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,3,3
BOYUIBE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,20,20
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,63,63
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
