municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
PORTACHUELO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,46,46
PORVENIR,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,7,7
POTOSI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,420,420
PRESTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,7,7
PUCARA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
PUCARANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,44,44
PUERTO ACOSTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,8,8
PUERTO CARABUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,20,20
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,7,7
PUERTO PEREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,7,7
PUERTO QUIJARRO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,17,17
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
PUERTO VILLARROEL,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,91,91
PUNA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,13,13
PUNATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,45,45
QUIABAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
QUILLACOLLO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,167,167
QUIME,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
QUIRUSILLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,8,8
RAVELO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,8,8
REYES,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,77,77
RIBERALTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,181,181
ROBORE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,40,40
RURRENABAQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,47,47
SABAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
SACABA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,223,223
SACABAMBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
SACACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,26,26
SAIPINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,8,8
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,10,10
