municipality,group,variable,month,Niñas (os) de 2 años a menores de 5 años con dosis completa de hierro,TOTAL
BELEN DE ANDAMARCA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,1,1
BELLA FLOR,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,22,22
BERMEJO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,122,122
BETANZOS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,115,115
BOLIVAR,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
BOLPEBRA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,7,7
BOYUIBE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,16,16
BUENA VISTA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,29,29
CABEZAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,80,80
CAIROMA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,32,32
"CAIZA ""D""",micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,35,35
CAJUATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
CALACOTO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,12,12
CALAMARCA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,29,29
CAMARGO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,55,55
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,11,11
CAMIRI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,63,63
CAPINOTA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,104,104
CAQUIAVIRI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,18,18
CARACOLLO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,52,52
CARANAVI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,95,95
CARAPARI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,46,46
CARIPUYO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,36,36
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,20,20
CATACORA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,5,5
CHACARILLA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,8,8
CHALLAPATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,134,134
CHAQUI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,28,28
CHARAGUA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,122,122
CHARAÑA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,2,2
CHAYANTA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,49,49
CHIMORE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,84,84
CHIPAYA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,5,5
CHOQUE COTA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,4,4
CHUA COCANI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,18,18
CHUMA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,25,25
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,15,15
CKOCHAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,36,36
CLIZA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,49,49
COBIJA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,374,374
COCAPATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,101,101
COCHABAMBA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,680,680
COIPASA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,1,1
COLCAPIRHUA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,74,74
"COLCHA ""K""",micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,28,28
COLLANA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,7,7
COLOMI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,84,84
COLPA BELGICA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,10,10
COLQUECHACA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,52,52
COLQUENCHA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,15,15
COLQUIRI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,38,38
COMANCHE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,1,1
COMARAPA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,37,37
COMBAYA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,3,3
CONCEPCION,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,7,7
COPACABANA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,26,26
CORIPATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,22,22
CORO CORO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,14,14
COROICO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
CORQUE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,17,17
COTAGAITA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,65,65
COTOCA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,143,143
CUATRO CAÑADAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,50,50
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,3,3
CUEVO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,12,12
CULPINA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,83,83
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,12,12
CURVA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,10,10
DESAGUADERO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,15,15
EL ALTO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,2519,2519
EL CHORO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,7,7
EL PUENTE(STC),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,23,23
EL PUENTE(TJA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,34,34
EL TORNO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,127,127
EL VILLAR,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,12,12
ENTRE RIOS TRJ,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,89,89
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,93,93
ESCARA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,2,2
ESCOMA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,25,25
ESMERALDA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,1,1
EUCALIPTUS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,15,15
EUREKA (SANTOS MERCADO),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,23,23
EXALTACION,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,10,10
FERNANDEZ ALONSO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,49,49
FILADELFIA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,60,60
GAIOC JATUN AYLLU YURA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,8,8
GENERAL SAAVEDRA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,24,24
GIA-TIM,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,43,43
GUANAY,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,69,69
GUAQUI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,14,14
GUAYARAMERIN,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,11,11
GUTIERREZ,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,4,4
HUACARETA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,33,33
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,4,4
HUANUNI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,50,50
HUARINA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,14,14
HUATAJATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,7,7
HUAYLLAMARCA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,15,15
HUMANATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,11,11
ICHOCA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,9,9
ICLA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,22,22
INCAHUASI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,48,48
INGAVI (HUMAITA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,4,4
INQUISIVI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,44,44
IXIAMAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,31,31
JESUS DE MACHACA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,36,36
LA ASUNTA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,93,93
LA GUARDIA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,47,47
LA PAZ,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,877,877
LAGUNILLAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
LAJA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,48,48
LAS CARRERAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,5,5
LICOMA PAMPA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,11,11
LLALLAGUA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,182,182
LLICA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,7,7
LURIBAY,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,17,17
MACHACAMARCA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
MACHARETI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,29,29
MAGDALENA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,12,12
MAIRANA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,33,33
MALLA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,6,6
MAPIRI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,26,26
MECAPACA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,25,25
MINEROS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,56,56
MIZQUE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,46,46
MOCOMOCO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,35,35
MOJINETE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,1,1
MOJOCOYA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,27,27
MONTEAGUDO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,114,114
MONTERO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,309,309
MORO MORO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,1,1
MOROCHATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,31,31
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,8,8
OCURI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,43,43
OKINAWA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,32,32
OMEREQUE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,25,25
ORURO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,874,874
PADCAYA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,50,50
PADILLA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,34,34
PAILON,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,45,45
PALCA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,73,73
PALOS BLANCOS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,135,135
PAMPA AULLAGAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,11,11
PAMPA GRANDE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,2,2
PAPEL PAMPA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,9,9
PASORAPA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,4,4
PATACAMAYA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,33,33
PAZÑA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,19,19
PELECHUCO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,28,28
POCOATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,66,66
POCONA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,35,35
POJO (CBBA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,46,46
POOPO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,34,34
PORCO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,27,27
POROMA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,58,58
PORONGO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,32,32
PORTACHUELO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,22,22
PORVENIR,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,36,36
POSTRER VALLE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,5,5
POTOSI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,822,822
PRESTO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,14,14
PUCARA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,2,2
PUCARANI,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,108,108
PUERTO ACOSTA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,29,29
PUERTO CARABUCO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,18,18
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,6,6
PUERTO PEREZ,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,10,10
PUERTO QUIJARRO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,23,23
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,21,21
PUERTO VILLARROEL,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,204,204
PUNA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,74,74
PUNATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,112,112
QUIABAYA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,11,11
QUILLACOLLO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,449,449
QUIRUSILLAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,11,11
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,29,29
RAVELO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,51,51
RIBERALTA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,586,586
ROBORE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,25,25
RURRENABAQUE,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,67,67
SABAYA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,15,15
SACABA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,467,467
SACABAMBA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,2,2
SACACA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,73,73
SAIPINA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,27,27
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,32,32
SAMAIPATA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,53,53
SAN AGUSTIN,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,2,2
SAN ANDRES,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,20,20
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,6,6
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,6,6
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,39,39
SAN BENITO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,22,22
SAN BORJA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,73,73
SAN BUENA VENTURA,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,13,13
SAN CARLOS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,62,62
SAN IGNACIO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,3,3
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,150,150
SAN JAVIER(STC),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,76,76
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,95,95
SAN JULIAN,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,165,165
SAN LORENZO(PND),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,9,9
SAN LORENZO(TJA),micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,66,66
SAN LUCAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,122,122
SAN MATIAS,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,27,27
SAN MIGUEL DE VELASCO,micronutrientes y lactancia materna,ninas (os) de 2 anos a menores de 5 anos con dosis completa de hierro,2024-03-01,46,46
