municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
PAMPA GRANDE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
PAPEL PAMPA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
PASORAPA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
PATACAMAYA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
PAZÑA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
PELECHUCO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
POCOATA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,21,21
POCONA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,10,10
POJO (CBBA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
POOPO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,8,8
PORCO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,23,23
POROMA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
PORONGO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,8,8
PORTACHUELO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,18,18
PORVENIR,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
POTOSI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,274,274
PRESTO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
PUCARANI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,43,43
PUERTO CARABUCO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,8,8
PUERTO PEREZ,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
PUERTO QUIJARRO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,24,24
PUERTO RICO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
PUERTO VILLARROEL,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,24,24
PUNA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,14,14
PUNATA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,15,15
QUILLACOLLO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,109,109
QUIME,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
QUIRUSILLAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
RAVELO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
REYES,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,13,13
RIBERALTA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,107,107
ROBORE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,19,19
RURRENABAQUE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
SABAYA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
SACABA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,225,225
SACABAMBA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
SACACA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,10,10
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
SAMAIPATA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
SAN ANDRES,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
SAN BENITO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
SAN BORJA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,75,75
SAN CARLOS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
SAN IGNACIO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,35,35
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,43,43
SAN JAVIER(BNI),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
SAN JAVIER(STC),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,73,73
SAN JOAQUIN,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,14,14
SAN JULIAN,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,20,20
SAN LORENZO(PND),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
SAN LORENZO(TJA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
SAN LUCAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,32,32
SAN MATIAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,17,17
SAN MIGUEL DE VELASCO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,11,11
SAN PEDRO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,23,23
SAN PEDRO DE CURAHUARA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,4,4
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,15,15
SAN PEDRO DE TIQUINA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
SAN PEDRO(PND),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
SAN RAFAEL,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
SAN RAMON BENI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
SAN RAMON SCZ,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
SANTA ANA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,14,14
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1130,1130
SANTA ROSA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,17,17
SANTA ROSA DEL SARA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
SANTIAGO DE CALLAPA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
SANTIAGO DE HUARI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
SANTIAGO DE HUATA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
SANTIAGO DE MACHACA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
SANTIVAÑES,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
