,group,variable,month,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
COIPASA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,10.0,0,10.0,10.0
COLCAPIRHUA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,4,637.0,4,637.0,641.0
COLOMI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,65,177.0,65,177.0,242.0
CONCEPCION,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,1021.0,0,1021.0,1021.0
COPACABANA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,10.0,0,10.0,10.0
COTAGAITA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,2,13.0,2,13.0,15.0
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,73.0,0,73.0,73.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,10,0.0,10,0.0,10.0
CURAHUARA DE CARANGAS,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,5.0,0,5.0,5.0
EL ALTO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,13,0.0,13,0.0,13.0
EL PUENTE(TJA),otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,6.0,0,6.0,6.0
EL TORNO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,620.0,0,620.0,620.0
ENTRE RIOS CBBA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,10,0.0,10,0.0,10.0
HUAYLLAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,4,19.0,4,19.0,23.0
LA GUARDIA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,149,0.0,149,0.0,149.0
LA PAZ,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,176,164.0,176,164.0,340.0
LLICA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,40,204.0,40,204.0,244.0
MACHARETI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,304.0,0,304.0,304.0
MIZQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,112,117.0,112,117.0,229.0
MONTEAGUDO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,522.0,0,522.0,522.0
MONTERO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,47,336.0,47,336.0,383.0
OCURI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,53,17.0,53,17.0,70.0
OKINAWA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,58.0,0,58.0,58.0
OMEREQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,10.0,0,10.0,10.0
ORURO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,209.0,0,209.0,209.0
PAILON,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,3,10.0,3,10.0,13.0
PELECHUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,20.0,0,20.0,20.0
PUERTO ACOSTA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,20.0,0,20.0,20.0
PUERTO CARABUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,2.0,0,2.0,2.0
PUERTO VILLARROEL,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,22.0,0,22.0,22.0
PUNA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,440.0,0,440.0,440.0
