municipality,group,variable,month,9.25 Nro de actividades de educacion integral en sexualidad a adolescentes,TOTAL
UYUNI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,4,4
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,3,3
VITICHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,6,6
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,7,7
COTOCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,16,16
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,4,4
MACHARETI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,15,15
MAGDALENA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,307,307
ORURO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,3,3
POCOATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
QUIME,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,8,8
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,17,17
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,6,6
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,4,4
VITICHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,9,9
YOCALLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-07-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,6,6
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,3,3
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,4,4
CHAYANTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
COBIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,3,3
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
CORO CORO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,179,179
EL CHORO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,3,3
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
ICLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
LA ASUNTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,8,8
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
LLICA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,4,4
LURIBAY,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,6,6
MAGDALENA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,6,6
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,8,8
MOJINETE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,26,26
MONTERO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,364,364
ORURO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,4,4
PALCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,4,4
PAZÑA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,7,7
POCOATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
PORVENIR,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,30,30
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,10,10
PUNA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
QUIME,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,3,3
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,11,11
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,10,10
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,20,20
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,7,7
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,7,7
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
SORACACHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,6,6
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,10,10
TARVITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
TORO TORO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
UYUNI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,11,11
VIACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,2,2
VITICHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,4,4
YACUIBA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
YAPACANI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,3,3
YOCALLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-08-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,4,4
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
ATOCHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
CARACOLLO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
CARANAVI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
CARANGAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,5,5
CHACARILLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
COBIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,4,4
COLQUIRI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
COROICO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,5,5
CULPINA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,74,74
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
EL VILLAR,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
HUACARETA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
LLICA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,5,5
LURIBAY,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,12,12
MACHARETI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
MAGDALENA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,6,6
MOJINETE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,48,48
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,428,428
PAILON,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
PALCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,175,175
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
PUNA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
QUIABAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,4,4
QUIME,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,14,14
RAVELO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
ROBORE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,14,14
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,4,4
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,5,5
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,9,9
SANTA ANA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,6,6
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,4,4
SUCRE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,8,8
TARVITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,6,6
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
TOMINA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
TORO TORO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
TRINIDAD,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,3,3
TUPIZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,8,8
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
VILA VILA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
VILLAZON,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,2,2
VITICHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,13,13
YACUIBA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,8,8
YAPACANI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,6,6
YOCALLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-09-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,4,4
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,29,29
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
CARACOLLO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,4,4
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
COIPASA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
COLQUIRI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,68,68
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
HUACARETA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
INQUISIVI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,34,34
LLICA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
LURIBAY,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,22,22
MAGDALENA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,5,5
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
