municipality,group,variable,month,Nº de comunidades que participaron en el CAI de se,TOTAL
SANTA ROSA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,5,5
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
SANTIVAÑES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,21,21
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,11,11
SOPACHUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
TARATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,8,8
TIPUANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,12,12
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,6,6
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
TRIGAL,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
TURCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,6,6
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,45,45
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,2,2
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,7,7
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,29,29
VILLAZON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,26,26
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,5,5
YAMPARAEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,28,28
YOTALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,38,38
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,13,13
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,40,40
ACACIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,7,7
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,54,54
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,11,11
ALCALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,13,13
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,25,25
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,17,17
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
AYATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
AZURDUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,62,62
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,24,24
BELEN DE ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
BELLA FLOR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
BERMEJO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,14,14
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,9,9
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,8,8
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,7,7
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,16,16
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,12,12
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,7,7
CARAPARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,7,7
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,12,12
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,7,7
COLQUECHACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,7,7
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,14,14
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,11,11
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,3,3
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,31,31
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,38,38
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,11,11
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,32,32
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,7,7
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,66,66
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,37,37
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,39,39
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
NAZACARA DE PACAJES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
OMEREQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
PAPEL PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,9,9
PASORAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,16,16
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,9,9
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,13,13
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
POSTRER VALLE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,9,9
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,55,55
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,31,31
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,14,14
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,3,3
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,61,61
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,29,29
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,8,8
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,18,18
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,68,68
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,10,10
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,8,8
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,20,20
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,9,9
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,11,11
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,17,17
SAN PEDRO DE BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,15,15
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,9,9
SAN PEDRO(PND),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,11,11
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,10,10
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
SANTIAGO DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,14,14
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,16,16
SOPACHUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,33,33
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,5,5
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,27,27
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
TARVITA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
TIPUANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
TIQUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,11,11
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,3,3
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,24,24
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,35,35
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,2,2
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,20,20
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,12,12
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,25,25
URUBICHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,11,11
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,13,13
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,3,3
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,8,8
VILLA TUNARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,14,14
VITICHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,1,1
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,6,6
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-04-01,14,14
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,23,23
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,6,6
ALCALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,28,28
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,12,12
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
AUCAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,9,9
AZURDUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,8,8
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,90,90
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,20,20
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,23,23
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,27,27
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,20,20
CHUMA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,8,8
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,6,6
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,69,69
COLPA BELGICA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
COMARAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,25,25
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,13,13
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,14,14
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,10,10
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,45,45
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
EUREKA (SANTOS MERCADO),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,13,13
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,9,9
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,9,9
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,6,6
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,60,60
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
LORETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
MACHACAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
MAPIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,13,13
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,44,44
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,15,15
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
OMEREQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,6,6
PADCAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,16,16
PADILLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,6,6
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
PAPEL PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,8,8
PAZÑA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
POCOATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,8,8
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
PORVENIR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
POSTRER VALLE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,11,11
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
PRESTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,36,36
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,10,10
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,14,14
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,8,8
QUIME,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,80,80
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,21,21
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,12,12
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,14,14
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,6,6
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,15,15
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,39,39
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,6,6
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,17,17
SAN PEDRO DE CURAHUARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,8,8
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
SANTA ANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,8,8
SANTA ROSA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,13,13
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
SANTIVAÑES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,15,15
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,10,10
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,14,14
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,19,19
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,35,35
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,11,11
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
