municipality,group,variable,month,Restauraciones,TOTAL
UNCIA,consultas odontologicas,restauraciones,2006-03-01,56,56
URIONDO (A. CONCEPCION),consultas odontologicas,restauraciones,2006-03-01,134,134
UYUNI,consultas odontologicas,restauraciones,2006-03-01,120,120
VACAS,consultas odontologicas,restauraciones,2006-03-01,22,22
VALLEGRANDE,consultas odontologicas,restauraciones,2006-03-01,177,177
VIACHA,consultas odontologicas,restauraciones,2006-03-01,184,184
VILA VILA,consultas odontologicas,restauraciones,2006-03-01,12,12
VILLA MONTES,consultas odontologicas,restauraciones,2006-03-01,83,83
VILLA NUEVA (LOMA ALTA),consultas odontologicas,restauraciones,2006-03-01,4,4
VILLA RIVERO,consultas odontologicas,restauraciones,2006-03-01,44,44
VILLA SERRANO,consultas odontologicas,restauraciones,2006-03-01,213,213
VILLA TUNARI,consultas odontologicas,restauraciones,2006-03-01,315,315
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,restauraciones,2006-03-01,212,212
VILLAZON,consultas odontologicas,restauraciones,2006-03-01,79,79
VINTO,consultas odontologicas,restauraciones,2006-03-01,208,208
VITICHI,consultas odontologicas,restauraciones,2006-03-01,23,23
WARNES,consultas odontologicas,restauraciones,2006-03-01,342,342
YACUIBA,consultas odontologicas,restauraciones,2006-03-01,226,226
YAMPARAEZ,consultas odontologicas,restauraciones,2006-03-01,10,10
YANACACHI,consultas odontologicas,restauraciones,2006-03-01,12,12
YAPACANI,consultas odontologicas,restauraciones,2006-03-01,92,92
YOCALLA,consultas odontologicas,restauraciones,2006-03-01,31,31
YOTALA,consultas odontologicas,restauraciones,2006-03-01,35,35
YUNCHARA,consultas odontologicas,restauraciones,2006-03-01,5,5
ZUDAÑEZ,consultas odontologicas,restauraciones,2006-03-01,27,27
ACACIO,consultas odontologicas,restauraciones,2006-04-01,12,12
ACHACACHI,consultas odontologicas,restauraciones,2006-04-01,104,104
AIQUILE,consultas odontologicas,restauraciones,2006-04-01,113,113
ALCALA,consultas odontologicas,restauraciones,2006-04-01,55,55
ANCORAIMES,consultas odontologicas,restauraciones,2006-04-01,20,20
ANDAMARCA,consultas odontologicas,restauraciones,2006-04-01,14,14
ANTEQUERA,consultas odontologicas,restauraciones,2006-04-01,4,4
APOLO,consultas odontologicas,restauraciones,2006-04-01,29,29
ARAMPAMPA,consultas odontologicas,restauraciones,2006-04-01,2,2
ARANI,consultas odontologicas,restauraciones,2006-04-01,47,47
ARBIETO,consultas odontologicas,restauraciones,2006-04-01,6,6
ARQUE,consultas odontologicas,restauraciones,2006-04-01,82,82
AYATA,consultas odontologicas,restauraciones,2006-04-01,3,3
AYO AYO,consultas odontologicas,restauraciones,2006-04-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,restauraciones,2006-04-01,71,71
AZURDUY,consultas odontologicas,restauraciones,2006-04-01,39,39
BATALLAS,consultas odontologicas,restauraciones,2006-04-01,24,24
BAURES,consultas odontologicas,restauraciones,2006-04-01,16,16
BERMEJO,consultas odontologicas,restauraciones,2006-04-01,132,132
BETANZOS,consultas odontologicas,restauraciones,2006-04-01,37,37
BOLIVAR,consultas odontologicas,restauraciones,2006-04-01,30,30
BOYUIBE,consultas odontologicas,restauraciones,2006-04-01,50,50
BUENA VISTA,consultas odontologicas,restauraciones,2006-04-01,39,39
CABEZAS,consultas odontologicas,restauraciones,2006-04-01,20,20
CAIROMA,consultas odontologicas,restauraciones,2006-04-01,31,31
"CAIZA ""D""",consultas odontologicas,restauraciones,2006-04-01,2,2
CAJUATA,consultas odontologicas,restauraciones,2006-04-01,11,11
CALACOTO,consultas odontologicas,restauraciones,2006-04-01,9,9
CALAMARCA,consultas odontologicas,restauraciones,2006-04-01,8,8
CAMARGO,consultas odontologicas,restauraciones,2006-04-01,87,87
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,restauraciones,2006-04-01,13,13
CAMIRI,consultas odontologicas,restauraciones,2006-04-01,333,333
CAPINOTA,consultas odontologicas,restauraciones,2006-04-01,43,43
CAQUIAVIRI,consultas odontologicas,restauraciones,2006-04-01,11,11
CARACOLLO,consultas odontologicas,restauraciones,2006-04-01,35,35
CARANAVI,consultas odontologicas,restauraciones,2006-04-01,48,48
CARAPARI,consultas odontologicas,restauraciones,2006-04-01,44,44
CARMEN RIVERO TORREZ,consultas odontologicas,restauraciones,2006-04-01,8,8
CHALLAPATA,consultas odontologicas,restauraciones,2006-04-01,52,52
CHAQUI,consultas odontologicas,restauraciones,2006-04-01,7,7
CHARAGUA,consultas odontologicas,restauraciones,2006-04-01,26,26
CHAYANTA,consultas odontologicas,restauraciones,2006-04-01,141,141
CHIMORE,consultas odontologicas,restauraciones,2006-04-01,107,107
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,restauraciones,2006-04-01,47,47
CHUMA,consultas odontologicas,restauraciones,2006-04-01,13,13
CLIZA,consultas odontologicas,restauraciones,2006-04-01,135,135
COBIJA,consultas odontologicas,restauraciones,2006-04-01,172,172
COCHABAMBA,consultas odontologicas,restauraciones,2006-04-01,4289,4289
COLCAPIRHUA,consultas odontologicas,restauraciones,2006-04-01,95,95
COLLANA,consultas odontologicas,restauraciones,2006-04-01,7,7
COLOMI,consultas odontologicas,restauraciones,2006-04-01,26,26
COLPA BELGICA,consultas odontologicas,restauraciones,2006-04-01,92,92
COLQUENCHA,consultas odontologicas,restauraciones,2006-04-01,8,8
COLQUIRI,consultas odontologicas,restauraciones,2006-04-01,51,51
COMARAPA,consultas odontologicas,restauraciones,2006-04-01,248,248
COMBAYA,consultas odontologicas,restauraciones,2006-04-01,1,1
COPACABANA,consultas odontologicas,restauraciones,2006-04-01,61,61
CORIPATA,consultas odontologicas,restauraciones,2006-04-01,58,58
CORO CORO,consultas odontologicas,restauraciones,2006-04-01,8,8
COROICO,consultas odontologicas,restauraciones,2006-04-01,144,144
CORQUE,consultas odontologicas,restauraciones,2006-04-01,6,6
COTAGAITA,consultas odontologicas,restauraciones,2006-04-01,175,175
COTOCA,consultas odontologicas,restauraciones,2006-04-01,49,49
CUEVO,consultas odontologicas,restauraciones,2006-04-01,21,21
CULPINA,consultas odontologicas,restauraciones,2006-04-01,30,30
CURAHUARA DE CARANGAS,consultas odontologicas,restauraciones,2006-04-01,32,32
CURVA,consultas odontologicas,restauraciones,2006-04-01,1,1
DESAGUADERO,consultas odontologicas,restauraciones,2006-04-01,10,10
EL ALTO,consultas odontologicas,restauraciones,2006-04-01,5807,5807
EL PUENTE(TJA),consultas odontologicas,restauraciones,2006-04-01,18,18
EL TORNO,consultas odontologicas,restauraciones,2006-04-01,125,125
EL VILLAR,consultas odontologicas,restauraciones,2006-04-01,17,17
ENTRE RIOS,consultas odontologicas,restauraciones,2006-04-01,80,80
ENTRE RIOS,consultas odontologicas,restauraciones,2006-04-01,48,48
EUCALIPTUS,consultas odontologicas,restauraciones,2006-04-01,20,20
EXALTACION,consultas odontologicas,restauraciones,2006-04-01,20,20
FERNANDEZ ALONSO,consultas odontologicas,restauraciones,2006-04-01,108,108
FILADELFIA,consultas odontologicas,restauraciones,2006-04-01,6,6
GENERAL SAAVEDRA,consultas odontologicas,restauraciones,2006-04-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,restauraciones,2006-04-01,90,90
GUANAY,consultas odontologicas,restauraciones,2006-04-01,39,39
GUAQUI,consultas odontologicas,restauraciones,2006-04-01,41,41
GUAYARAMERIN,consultas odontologicas,restauraciones,2006-04-01,148,148
GUTIERREZ,consultas odontologicas,restauraciones,2006-04-01,19,19
HUACARETA,consultas odontologicas,restauraciones,2006-04-01,35,35
HUACHACALLA,consultas odontologicas,restauraciones,2006-04-01,23,23
HUANUNI,consultas odontologicas,restauraciones,2006-04-01,28,28
HUARACAJE,consultas odontologicas,restauraciones,2006-04-01,22,22
HUAYLLAMARCA,consultas odontologicas,restauraciones,2006-04-01,3,3
ICLA,consultas odontologicas,restauraciones,2006-04-01,131,131
INCAHUASI,consultas odontologicas,restauraciones,2006-04-01,65,65
INGAVI (HUMAITA),consultas odontologicas,restauraciones,2006-04-01,17,17
INQUISIVI,consultas odontologicas,restauraciones,2006-04-01,14,14
IRUPANA (VILLA DE LANZA),consultas odontologicas,restauraciones,2006-04-01,72,72
IXIAMAS,consultas odontologicas,restauraciones,2006-04-01,45,45
JESUS DE MACHACA,consultas odontologicas,restauraciones,2006-04-01,50,50
LA ASUNTA,consultas odontologicas,restauraciones,2006-04-01,53,53
LA GUARDIA,consultas odontologicas,restauraciones,2006-04-01,217,217
LA PAZ,consultas odontologicas,restauraciones,2006-04-01,9325,9325
LAGUNILLAS,consultas odontologicas,restauraciones,2006-04-01,20,20
LAJA,consultas odontologicas,restauraciones,2006-04-01,11,11
LLALLAGUA,consultas odontologicas,restauraciones,2006-04-01,185,185
LLICA,consultas odontologicas,restauraciones,2006-04-01,12,12
LURIBAY,consultas odontologicas,restauraciones,2006-04-01,2,2
MACHACAMARCA,consultas odontologicas,restauraciones,2006-04-01,31,31
MACHARETI,consultas odontologicas,restauraciones,2006-04-01,46,46
MAGDALENA,consultas odontologicas,restauraciones,2006-04-01,50,50
MAIRANA,consultas odontologicas,restauraciones,2006-04-01,51,51
MAPIRI,consultas odontologicas,restauraciones,2006-04-01,68,68
MECAPACA,consultas odontologicas,restauraciones,2006-04-01,7,7
MINEROS,consultas odontologicas,restauraciones,2006-04-01,42,42
MIZQUE,consultas odontologicas,restauraciones,2006-04-01,112,112
MOCOMOCO,consultas odontologicas,restauraciones,2006-04-01,5,5
MOJOCOYA,consultas odontologicas,restauraciones,2006-04-01,44,44
MONTEAGUDO,consultas odontologicas,restauraciones,2006-04-01,26,26
MONTERO,consultas odontologicas,restauraciones,2006-04-01,245,245
MORO MORO,consultas odontologicas,restauraciones,2006-04-01,56,56
NACEBE (SANTA ROSA DEL ABUNA),consultas odontologicas,restauraciones,2006-04-01,36,36
OCURI,consultas odontologicas,restauraciones,2006-04-01,3,3
OKINAWA,consultas odontologicas,restauraciones,2006-04-01,95,95
OMEREQUE,consultas odontologicas,restauraciones,2006-04-01,113,113
ORURO,consultas odontologicas,restauraciones,2006-04-01,1665,1665
PADCAYA,consultas odontologicas,restauraciones,2006-04-01,63,63
PADILLA,consultas odontologicas,restauraciones,2006-04-01,158,158
PALCA,consultas odontologicas,restauraciones,2006-04-01,4,4
PALOS BLANCOS,consultas odontologicas,restauraciones,2006-04-01,96,96
PAMPA AULLAGAS,consultas odontologicas,restauraciones,2006-04-01,16,16
PAMPA GRANDE,consultas odontologicas,restauraciones,2006-04-01,8,8
PAPEL PAMPA,consultas odontologicas,restauraciones,2006-04-01,7,7
PASORAPA,consultas odontologicas,restauraciones,2006-04-01,23,23
PATACAMAYA,consultas odontologicas,restauraciones,2006-04-01,7,7
PAZÑA,consultas odontologicas,restauraciones,2006-04-01,44,44
POCOATA,consultas odontologicas,restauraciones,2006-04-01,9,9
POCONA,consultas odontologicas,restauraciones,2006-04-01,2,2
POJO (CBBA),consultas odontologicas,restauraciones,2006-04-01,63,63
POOPO,consultas odontologicas,restauraciones,2006-04-01,28,28
POROMA,consultas odontologicas,restauraciones,2006-04-01,29,29
PORONGO,consultas odontologicas,restauraciones,2006-04-01,44,44
PORTACHUELO,consultas odontologicas,restauraciones,2006-04-01,143,143
PORVENIR,consultas odontologicas,restauraciones,2006-04-01,14,14
POTOSI,consultas odontologicas,restauraciones,2006-04-01,380,380
PRESTO,consultas odontologicas,restauraciones,2006-04-01,11,11
PUCARA,consultas odontologicas,restauraciones,2006-04-01,11,11
PUCARANI,consultas odontologicas,restauraciones,2006-04-01,22,22
PUERTO ACOSTA,consultas odontologicas,restauraciones,2006-04-01,59,59
PUERTO CARABUCO,consultas odontologicas,restauraciones,2006-04-01,27,27
PUERTO GONZALO MORENO,consultas odontologicas,restauraciones,2006-04-01,6,6
PUERTO PEREZ,consultas odontologicas,restauraciones,2006-04-01,1,1
PUERTO QUIJARRO,consultas odontologicas,restauraciones,2006-04-01,59,59
PUERTO RICO,consultas odontologicas,restauraciones,2006-04-01,32,32
PUERTO SILES,consultas odontologicas,restauraciones,2006-04-01,59,59
PUERTO SUAREZ,consultas odontologicas,restauraciones,2006-04-01,59,59
PUERTO VILLARROEL,consultas odontologicas,restauraciones,2006-04-01,355,355
PUNA,consultas odontologicas,restauraciones,2006-04-01,85,85
PUNATA,consultas odontologicas,restauraciones,2006-04-01,130,130
QUIABAYA,consultas odontologicas,restauraciones,2006-04-01,4,4
QUILLACOLLO,consultas odontologicas,restauraciones,2006-04-01,574,574
QUIME,consultas odontologicas,restauraciones,2006-04-01,106,106
QUIRUSILLAS,consultas odontologicas,restauraciones,2006-04-01,10,10
RAVELO,consultas odontologicas,restauraciones,2006-04-01,4,4
REYES,consultas odontologicas,restauraciones,2006-04-01,78,78
RIBERALTA,consultas odontologicas,restauraciones,2006-04-01,57,57
RURRENABAQUE,consultas odontologicas,restauraciones,2006-04-01,47,47
SABAYA,consultas odontologicas,restauraciones,2006-04-01,11,11
SACABA,consultas odontologicas,restauraciones,2006-04-01,689,689
SACACA,consultas odontologicas,restauraciones,2006-04-01,32,32
SAIPINA,consultas odontologicas,restauraciones,2006-04-01,6,6
SALINAS DE GARCI MENDOZA,consultas odontologicas,restauraciones,2006-04-01,12,12
SAMAIPATA,consultas odontologicas,restauraciones,2006-04-01,358,358
SAN AGUSTIN,consultas odontologicas,restauraciones,2006-04-01,6,6
SAN ANDRES DE MACHACA,consultas odontologicas,restauraciones,2006-04-01,7,7
SAN BENITO,consultas odontologicas,restauraciones,2006-04-01,44,44
SAN BORJA,consultas odontologicas,restauraciones,2006-04-01,82,82
SAN BUENA VENTURA,consultas odontologicas,restauraciones,2006-04-01,94,94
SAN CARLOS,consultas odontologicas,restauraciones,2006-04-01,110,110
SAN IGNACIO,consultas odontologicas,restauraciones,2006-04-01,75,75
SAN IGNACIO DE VELASCO,consultas odontologicas,restauraciones,2006-04-01,145,145
SAN JAVIER(BNI),consultas odontologicas,restauraciones,2006-04-01,34,34
SAN JOAQUIN,consultas odontologicas,restauraciones,2006-04-01,9,9
SAN JOSE DE CHIQUITOS,consultas odontologicas,restauraciones,2006-04-01,14,14
SAN JUAN DE YAPACANI,consultas odontologicas,restauraciones,2006-04-01,41,41
SAN LORENZO(PND),consultas odontologicas,restauraciones,2006-04-01,13,13
SAN LORENZO(TJA),consultas odontologicas,restauraciones,2006-04-01,95,95
SAN LUCAS,consultas odontologicas,restauraciones,2006-04-01,56,56
SAN MATIAS,consultas odontologicas,restauraciones,2006-04-01,74,74
SAN MIGUEL DE VELASCO,consultas odontologicas,restauraciones,2006-04-01,88,88
SAN PEDRO,consultas odontologicas,restauraciones,2006-04-01,43,43
SAN PEDRO DE BUENA VISTA,consultas odontologicas,restauraciones,2006-04-01,23,23
SAN PEDRO DE TIQUINA,consultas odontologicas,restauraciones,2006-04-01,9,9
SAN PEDRO(PND),consultas odontologicas,restauraciones,2006-04-01,23,23
SAN RAFAEL,consultas odontologicas,restauraciones,2006-04-01,61,61
SAN RAMON,consultas odontologicas,restauraciones,2006-04-01,33,33
SAN RAMON,consultas odontologicas,restauraciones,2006-04-01,38,38
SANTA ANA,consultas odontologicas,restauraciones,2006-04-01,5,5
SANTA CRUZ DE LA SIERRA,consultas odontologicas,restauraciones,2006-04-01,5626,5626
SANTA ROSA,consultas odontologicas,restauraciones,2006-04-01,20,20
SANTA ROSA DEL SARA,consultas odontologicas,restauraciones,2006-04-01,128,128
SANTIAGO DE HUARI,consultas odontologicas,restauraciones,2006-04-01,16,16
SANTIAGO DE MACHACA,consultas odontologicas,restauraciones,2006-04-01,7,7
SANTIVAÑES,consultas odontologicas,restauraciones,2006-04-01,27,27
SANTUARIO DE QUILLACAS,consultas odontologicas,restauraciones,2006-04-01,19,19
SAPAHAQUI,consultas odontologicas,restauraciones,2006-04-01,40,40
SENA,consultas odontologicas,restauraciones,2006-04-01,26,26
SICA SICA (VILLA AROMA),consultas odontologicas,restauraciones,2006-04-01,39,39
SIPE SIPE,consultas odontologicas,restauraciones,2006-04-01,254,254
SOPACHUY,consultas odontologicas,restauraciones,2006-04-01,39,39
SORACACHI,consultas odontologicas,restauraciones,2006-04-01,17,17
SORATA,consultas odontologicas,restauraciones,2006-04-01,20,20
SUCRE,consultas odontologicas,restauraciones,2006-04-01,2101,2101
TACACOMA,consultas odontologicas,restauraciones,2006-04-01,43,43
TACOPAYA,consultas odontologicas,restauraciones,2006-04-01,31,31
TAPACARI,consultas odontologicas,restauraciones,2006-04-01,21,21
TARABUCO,consultas odontologicas,restauraciones,2006-04-01,12,12
TARACO,consultas odontologicas,restauraciones,2006-04-01,6,6
TARATA,consultas odontologicas,restauraciones,2006-04-01,20,20
TARIJA,consultas odontologicas,restauraciones,2006-04-01,741,741
TARVITA,consultas odontologicas,restauraciones,2006-04-01,27,27
TEOPONTE,consultas odontologicas,restauraciones,2006-04-01,12,12
TIAWANACU,consultas odontologicas,restauraciones,2006-04-01,71,71
TIPUANI,consultas odontologicas,restauraciones,2006-04-01,21,21
TIQUIPAYA,consultas odontologicas,restauraciones,2006-04-01,242,242
TIRAQUE (CBBA),consultas odontologicas,restauraciones,2006-04-01,285,285
TOCO,consultas odontologicas,restauraciones,2006-04-01,73,73
TOLATA,consultas odontologicas,restauraciones,2006-04-01,12,12
TOLEDO,consultas odontologicas,restauraciones,2006-04-01,22,22
TOMAVE,consultas odontologicas,restauraciones,2006-04-01,7,7
TOMINA,consultas odontologicas,restauraciones,2006-04-01,127,127
TORO TORO,consultas odontologicas,restauraciones,2006-04-01,10,10
TOTORA(CBBA),consultas odontologicas,restauraciones,2006-04-01,56,56
TOTORA(ORR),consultas odontologicas,restauraciones,2006-04-01,1,1
TRIGAL,consultas odontologicas,restauraciones,2006-04-01,5,5
TRINIDAD,consultas odontologicas,restauraciones,2006-04-01,344,344
TUPIZA,consultas odontologicas,restauraciones,2006-04-01,31,31
TURCO,consultas odontologicas,restauraciones,2006-04-01,7,7
UNCIA,consultas odontologicas,restauraciones,2006-04-01,84,84
URIONDO (A. CONCEPCION),consultas odontologicas,restauraciones,2006-04-01,57,57
URUBICHA,consultas odontologicas,restauraciones,2006-04-01,19,19
UYUNI,consultas odontologicas,restauraciones,2006-04-01,58,58
VALLEGRANDE,consultas odontologicas,restauraciones,2006-04-01,195,195
VIACHA,consultas odontologicas,restauraciones,2006-04-01,199,199
VILA VILA,consultas odontologicas,restauraciones,2006-04-01,7,7
VILLA MONTES,consultas odontologicas,restauraciones,2006-04-01,219,219
VILLA NUEVA (LOMA ALTA),consultas odontologicas,restauraciones,2006-04-01,3,3
VILLA RIVERO,consultas odontologicas,restauraciones,2006-04-01,42,42
VILLA SERRANO,consultas odontologicas,restauraciones,2006-04-01,82,82
VILLA TUNARI,consultas odontologicas,restauraciones,2006-04-01,333,333
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,restauraciones,2006-04-01,81,81
VILLAZON,consultas odontologicas,restauraciones,2006-04-01,70,70
VINTO,consultas odontologicas,restauraciones,2006-04-01,148,148
WARNES,consultas odontologicas,restauraciones,2006-04-01,255,255
YACUIBA,consultas odontologicas,restauraciones,2006-04-01,138,138
YANACACHI,consultas odontologicas,restauraciones,2006-04-01,5,5
YAPACANI,consultas odontologicas,restauraciones,2006-04-01,67,67
YOCALLA,consultas odontologicas,restauraciones,2006-04-01,26,26
YOTALA,consultas odontologicas,restauraciones,2006-04-01,28,28
YUNCHARA,consultas odontologicas,restauraciones,2006-04-01,99,99
ZUDAÑEZ,consultas odontologicas,restauraciones,2006-04-01,21,21
ACACIO,consultas odontologicas,restauraciones,2006-05-01,13,13
ACHACACHI,consultas odontologicas,restauraciones,2006-05-01,65,65
AIQUILE,consultas odontologicas,restauraciones,2006-05-01,58,58
ALCALA,consultas odontologicas,restauraciones,2006-05-01,55,55
ANCORAIMES,consultas odontologicas,restauraciones,2006-05-01,41,41
ANDAMARCA,consultas odontologicas,restauraciones,2006-05-01,5,5
ANTEQUERA,consultas odontologicas,restauraciones,2006-05-01,20,20
APOLO,consultas odontologicas,restauraciones,2006-05-01,25,25
ARANI,consultas odontologicas,restauraciones,2006-05-01,50,50
ARBIETO,consultas odontologicas,restauraciones,2006-05-01,2,2
ARQUE,consultas odontologicas,restauraciones,2006-05-01,8,8
ASCENCION DE GUARAYOS,consultas odontologicas,restauraciones,2006-05-01,37,37
AUCAPATA,consultas odontologicas,restauraciones,2006-05-01,1,1
AYATA,consultas odontologicas,restauraciones,2006-05-01,2,2
AYO AYO,consultas odontologicas,restauraciones,2006-05-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,restauraciones,2006-05-01,85,85
AZURDUY,consultas odontologicas,restauraciones,2006-05-01,44,44
BATALLAS,consultas odontologicas,restauraciones,2006-05-01,42,42
BAURES,consultas odontologicas,restauraciones,2006-05-01,33,33
BELLA FLOR,consultas odontologicas,restauraciones,2006-05-01,20,20
BERMEJO,consultas odontologicas,restauraciones,2006-05-01,85,85
BETANZOS,consultas odontologicas,restauraciones,2006-05-01,44,44
BOLIVAR,consultas odontologicas,restauraciones,2006-05-01,27,27
BOYUIBE,consultas odontologicas,restauraciones,2006-05-01,54,54
BUENA VISTA,consultas odontologicas,restauraciones,2006-05-01,35,35
CABEZAS,consultas odontologicas,restauraciones,2006-05-01,31,31
CAIROMA,consultas odontologicas,restauraciones,2006-05-01,53,53
"CAIZA ""D""",consultas odontologicas,restauraciones,2006-05-01,3,3
CAJUATA,consultas odontologicas,restauraciones,2006-05-01,39,39
CALACOTO,consultas odontologicas,restauraciones,2006-05-01,1,1
CALAMARCA,consultas odontologicas,restauraciones,2006-05-01,22,22
CAMARGO,consultas odontologicas,restauraciones,2006-05-01,85,85
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,restauraciones,2006-05-01,40,40
CAMIRI,consultas odontologicas,restauraciones,2006-05-01,429,429
CAPINOTA,consultas odontologicas,restauraciones,2006-05-01,69,69
CAQUIAVIRI,consultas odontologicas,restauraciones,2006-05-01,24,24
CARACOLLO,consultas odontologicas,restauraciones,2006-05-01,42,42
CARANAVI,consultas odontologicas,restauraciones,2006-05-01,34,34
CARAPARI,consultas odontologicas,restauraciones,2006-05-01,45,45
CARIPUYO,consultas odontologicas,restauraciones,2006-05-01,22,22
CHALLAPATA,consultas odontologicas,restauraciones,2006-05-01,57,57
CHAQUI,consultas odontologicas,restauraciones,2006-05-01,10,10
CHARAGUA,consultas odontologicas,restauraciones,2006-05-01,28,28
CHARAÑA,consultas odontologicas,restauraciones,2006-05-01,8,8
CHAYANTA,consultas odontologicas,restauraciones,2006-05-01,91,91
CHIMORE,consultas odontologicas,restauraciones,2006-05-01,54,54
CHOQUE COTA,consultas odontologicas,restauraciones,2006-05-01,10,10
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,restauraciones,2006-05-01,91,91
CHUMA,consultas odontologicas,restauraciones,2006-05-01,30,30
CLIZA,consultas odontologicas,restauraciones,2006-05-01,166,166
COBIJA,consultas odontologicas,restauraciones,2006-05-01,173,173
COCHABAMBA,consultas odontologicas,restauraciones,2006-05-01,5382,5382
COLCAPIRHUA,consultas odontologicas,restauraciones,2006-05-01,138,138
"COLCHA ""K""",consultas odontologicas,restauraciones,2006-05-01,6,6
COLLANA,consultas odontologicas,restauraciones,2006-05-01,5,5
COLOMI,consultas odontologicas,restauraciones,2006-05-01,46,46
COLPA BELGICA,consultas odontologicas,restauraciones,2006-05-01,87,87
COLQUENCHA,consultas odontologicas,restauraciones,2006-05-01,14,14
COLQUIRI,consultas odontologicas,restauraciones,2006-05-01,56,56
COMARAPA,consultas odontologicas,restauraciones,2006-05-01,180,180
COMBAYA,consultas odontologicas,restauraciones,2006-05-01,1,1
COPACABANA,consultas odontologicas,restauraciones,2006-05-01,78,78
CORIPATA,consultas odontologicas,restauraciones,2006-05-01,153,153
CORO CORO,consultas odontologicas,restauraciones,2006-05-01,9,9
COROICO,consultas odontologicas,restauraciones,2006-05-01,105,105
CORQUE,consultas odontologicas,restauraciones,2006-05-01,8,8
COTAGAITA,consultas odontologicas,restauraciones,2006-05-01,120,120
COTOCA,consultas odontologicas,restauraciones,2006-05-01,61,61
CUEVO,consultas odontologicas,restauraciones,2006-05-01,37,37
CULPINA,consultas odontologicas,restauraciones,2006-05-01,64,64
CURAHUARA DE CARANGAS,consultas odontologicas,restauraciones,2006-05-01,39,39
CURVA,consultas odontologicas,restauraciones,2006-05-01,81,81
DESAGUADERO,consultas odontologicas,restauraciones,2006-05-01,16,16
EL ALTO,consultas odontologicas,restauraciones,2006-05-01,7709,7709
EL PUENTE(STC),consultas odontologicas,restauraciones,2006-05-01,46,46
EL PUENTE(TJA),consultas odontologicas,restauraciones,2006-05-01,16,16
EL TORNO,consultas odontologicas,restauraciones,2006-05-01,166,166
EL VILLAR,consultas odontologicas,restauraciones,2006-05-01,23,23
ENTRE RIOS,consultas odontologicas,restauraciones,2006-05-01,105,105
ENTRE RIOS,consultas odontologicas,restauraciones,2006-05-01,75,75
EUCALIPTUS,consultas odontologicas,restauraciones,2006-05-01,15,15
EXALTACION,consultas odontologicas,restauraciones,2006-05-01,20,20
FERNANDEZ ALONSO,consultas odontologicas,restauraciones,2006-05-01,127,127
FILADELFIA,consultas odontologicas,restauraciones,2006-05-01,15,15
GENERAL SAAVEDRA,consultas odontologicas,restauraciones,2006-05-01,34,34
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,restauraciones,2006-05-01,60,60
GUANAY,consultas odontologicas,restauraciones,2006-05-01,31,31
GUAQUI,consultas odontologicas,restauraciones,2006-05-01,40,40
GUAYARAMERIN,consultas odontologicas,restauraciones,2006-05-01,134,134
GUTIERREZ,consultas odontologicas,restauraciones,2006-05-01,4,4
HUACARETA,consultas odontologicas,restauraciones,2006-05-01,78,78
HUACHACALLA,consultas odontologicas,restauraciones,2006-05-01,23,23
HUANUNI,consultas odontologicas,restauraciones,2006-05-01,14,14
HUARACAJE,consultas odontologicas,restauraciones,2006-05-01,26,26
HUAYLLAMARCA,consultas odontologicas,restauraciones,2006-05-01,9,9
ICLA,consultas odontologicas,restauraciones,2006-05-01,105,105
INCAHUASI,consultas odontologicas,restauraciones,2006-05-01,22,22
INQUISIVI,consultas odontologicas,restauraciones,2006-05-01,31,31
IRUPANA (VILLA DE LANZA),consultas odontologicas,restauraciones,2006-05-01,102,102
IXIAMAS,consultas odontologicas,restauraciones,2006-05-01,57,57
JESUS DE MACHACA,consultas odontologicas,restauraciones,2006-05-01,57,57
LA ASUNTA,consultas odontologicas,restauraciones,2006-05-01,69,69
LA GUARDIA,consultas odontologicas,restauraciones,2006-05-01,279,279
LA PAZ,consultas odontologicas,restauraciones,2006-05-01,11835,11835
LAGUNILLAS,consultas odontologicas,restauraciones,2006-05-01,16,16
LAJA,consultas odontologicas,restauraciones,2006-05-01,21,21
LLALLAGUA,consultas odontologicas,restauraciones,2006-05-01,205,205
LLICA,consultas odontologicas,restauraciones,2006-05-01,11,11
LURIBAY,consultas odontologicas,restauraciones,2006-05-01,20,20
MACHACAMARCA,consultas odontologicas,restauraciones,2006-05-01,31,31
MACHARETI,consultas odontologicas,restauraciones,2006-05-01,55,55
MAGDALENA,consultas odontologicas,restauraciones,2006-05-01,38,38
MAIRANA,consultas odontologicas,restauraciones,2006-05-01,73,73
MAPIRI,consultas odontologicas,restauraciones,2006-05-01,80,80
MECAPACA,consultas odontologicas,restauraciones,2006-05-01,21,21
MINEROS,consultas odontologicas,restauraciones,2006-05-01,40,40
MIZQUE,consultas odontologicas,restauraciones,2006-05-01,57,57
MOCOMOCO,consultas odontologicas,restauraciones,2006-05-01,16,16
