municipality,group,variable,month,0 Contrareferidos,TOTAL
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-09-01,91,91
SUCRE,internaciones,contrareferidos,2009-09-01,16,16
TACACOMA,internaciones,contrareferidos,2009-09-01,1,1
TACOPAYA,internaciones,contrareferidos,2009-09-01,1,1
TARABUCO,internaciones,contrareferidos,2009-09-01,6,6
TIPUANI,internaciones,contrareferidos,2009-09-01,2,2
TORO TORO,internaciones,contrareferidos,2009-09-01,1,1
UNCIA,internaciones,contrareferidos,2009-09-01,6,6
VIACHA,internaciones,contrareferidos,2009-09-01,8,8
VILLA TUNARI,internaciones,contrareferidos,2009-09-01,2,2
VILLAZON,internaciones,contrareferidos,2009-09-01,43,43
VINTO,internaciones,contrareferidos,2009-09-01,1,1
YAPACANI,internaciones,contrareferidos,2009-09-01,2,2
YOTALA,internaciones,contrareferidos,2009-09-01,1,1
ARANI,internaciones,contrareferidos,2009-10-01,124,124
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-10-01,1,1
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2009-10-01,1,1
COBIJA,internaciones,contrareferidos,2009-10-01,34,34
COCHABAMBA,internaciones,contrareferidos,2009-10-01,6,6
"COLCHA ""K""",internaciones,contrareferidos,2009-10-01,2,2
CONCEPCION,internaciones,contrareferidos,2009-10-01,1,1
COROICO,internaciones,contrareferidos,2009-10-01,5,5
COTOCA,internaciones,contrareferidos,2009-10-01,3,3
EL ALTO,internaciones,contrareferidos,2009-10-01,141,141
GUAYARAMERIN,internaciones,contrareferidos,2009-10-01,15,15
GUTIERREZ,internaciones,contrareferidos,2009-10-01,1,1
LA ASUNTA,internaciones,contrareferidos,2009-10-01,3,3
LA PAZ,internaciones,contrareferidos,2009-10-01,173,173
MACHARETI,internaciones,contrareferidos,2009-10-01,3,3
MINEROS,internaciones,contrareferidos,2009-10-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2009-10-01,5,5
MORO MORO,internaciones,contrareferidos,2009-10-01,1,1
ORURO,internaciones,contrareferidos,2009-10-01,45,45
PATACAMAYA,internaciones,contrareferidos,2009-10-01,3,3
POTOSI,internaciones,contrareferidos,2009-10-01,40,40
PRESTO,internaciones,contrareferidos,2009-10-01,1,1
PUCARANI,internaciones,contrareferidos,2009-10-01,2,2
PUERTO SUAREZ,internaciones,contrareferidos,2009-10-01,16,16
PUERTO VILLARROEL,internaciones,contrareferidos,2009-10-01,3,3
PUNATA,internaciones,contrareferidos,2009-10-01,4,4
RIBERALTA,internaciones,contrareferidos,2009-10-01,83,83
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-10-01,8,8
SAN JAVIER(BNI),internaciones,contrareferidos,2009-10-01,2,2
SAN JULIAN,internaciones,contrareferidos,2009-10-01,2,2
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-10-01,4,4
SAN RAFAEL,internaciones,contrareferidos,2009-10-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-10-01,100,100
SIPE SIPE,internaciones,contrareferidos,2009-10-01,2,2
SUCRE,internaciones,contrareferidos,2009-10-01,21,21
TARABUCO,internaciones,contrareferidos,2009-10-01,2,2
TARVITA,internaciones,contrareferidos,2009-10-01,2,2
TIPUANI,internaciones,contrareferidos,2009-10-01,2,2
TIRAQUE (CBBA),internaciones,contrareferidos,2009-10-01,1,1
TOMINA,internaciones,contrareferidos,2009-10-01,1,1
TUPIZA,internaciones,contrareferidos,2009-10-01,62,62
VACAS,internaciones,contrareferidos,2009-10-01,1,1
VALLEGRANDE,internaciones,contrareferidos,2009-10-01,2,2
VIACHA,internaciones,contrareferidos,2009-10-01,20,20
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2009-10-01,3,3
VILLAZON,internaciones,contrareferidos,2009-10-01,49,49
YAMPARAEZ,internaciones,contrareferidos,2009-10-01,2,2
YAPACANI,internaciones,contrareferidos,2009-10-01,5,5
ZUDAÑEZ,internaciones,contrareferidos,2009-10-01,1,1
ACHACACHI,internaciones,contrareferidos,2009-11-01,1,1
CABEZAS,internaciones,contrareferidos,2009-11-01,1,1
CAPINOTA,internaciones,contrareferidos,2009-11-01,1,1
COBIJA,internaciones,contrareferidos,2009-11-01,38,38
COCHABAMBA,internaciones,contrareferidos,2009-11-01,7,7
COTOCA,internaciones,contrareferidos,2009-11-01,5,5
CULPINA,internaciones,contrareferidos,2009-11-01,1,1
EL ALTO,internaciones,contrareferidos,2009-11-01,154,154
GUAYARAMERIN,internaciones,contrareferidos,2009-11-01,6,6
JESUS DE MACHACA,internaciones,contrareferidos,2009-11-01,1,1
LA ASUNTA,internaciones,contrareferidos,2009-11-01,2,2
LA PAZ,internaciones,contrareferidos,2009-11-01,185,185
MACHARETI,internaciones,contrareferidos,2009-11-01,2,2
MONTEAGUDO,internaciones,contrareferidos,2009-11-01,3,3
OKINAWA,internaciones,contrareferidos,2009-11-01,2,2
ORURO,internaciones,contrareferidos,2009-11-01,5,5
PATACAMAYA,internaciones,contrareferidos,2009-11-01,7,7
POCONA,internaciones,contrareferidos,2009-11-01,1,1
PORVENIR,internaciones,contrareferidos,2009-11-01,3,3
POTOSI,internaciones,contrareferidos,2009-11-01,37,37
PRESTO,internaciones,contrareferidos,2009-11-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2009-11-01,3,3
PUNATA,internaciones,contrareferidos,2009-11-01,4,4
QUILLACOLLO,internaciones,contrareferidos,2009-11-01,1,1
RIBERALTA,internaciones,contrareferidos,2009-11-01,73,73
SACABA,internaciones,contrareferidos,2009-11-01,1,1
SAN BORJA,internaciones,contrareferidos,2009-11-01,3,3
SAN IGNACIO,internaciones,contrareferidos,2009-11-01,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-11-01,3,3
SAN LUCAS,internaciones,contrareferidos,2009-11-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2009-11-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-11-01,140,140
SIPE SIPE,internaciones,contrareferidos,2009-11-01,3,3
SUCRE,internaciones,contrareferidos,2009-11-01,13,13
TACACOMA,internaciones,contrareferidos,2009-11-01,1,1
TARABUCO,internaciones,contrareferidos,2009-11-01,6,6
TARIJA,internaciones,contrareferidos,2009-11-01,1,1
TIPUANI,internaciones,contrareferidos,2009-11-01,2,2
TOMINA,internaciones,contrareferidos,2009-11-01,1,1
TUPIZA,internaciones,contrareferidos,2009-11-01,23,23
UNCIA,internaciones,contrareferidos,2009-11-01,6,6
VACAS,internaciones,contrareferidos,2009-11-01,2,2
VIACHA,internaciones,contrareferidos,2009-11-01,18,18
VILLA SERRANO,internaciones,contrareferidos,2009-11-01,1,1
VILLAZON,internaciones,contrareferidos,2009-11-01,46,46
YAPACANI,internaciones,contrareferidos,2009-11-01,2,2
CABEZAS,internaciones,contrareferidos,2009-12-01,2,2
CAMARGO,internaciones,contrareferidos,2009-12-01,3,3
CAMIRI,internaciones,contrareferidos,2009-12-01,5,5
CAPINOTA,internaciones,contrareferidos,2009-12-01,2,2
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2009-12-01,3,3
COBIJA,internaciones,contrareferidos,2009-12-01,32,32
COCHABAMBA,internaciones,contrareferidos,2009-12-01,2,2
EL ALTO,internaciones,contrareferidos,2009-12-01,163,163
FERNANDEZ ALONSO,internaciones,contrareferidos,2009-12-01,1,1
GUAYARAMERIN,internaciones,contrareferidos,2009-12-01,12,12
GUTIERREZ,internaciones,contrareferidos,2009-12-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2009-12-01,1,1
LA ASUNTA,internaciones,contrareferidos,2009-12-01,5,5
LA PAZ,internaciones,contrareferidos,2009-12-01,127,127
MACHARETI,internaciones,contrareferidos,2009-12-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2009-12-01,2,2
MONTERO,internaciones,contrareferidos,2009-12-01,14,14
ORURO,internaciones,contrareferidos,2009-12-01,35,35
PADILLA,internaciones,contrareferidos,2009-12-01,1,1
PATACAMAYA,internaciones,contrareferidos,2009-12-01,3,3
POCONA,internaciones,contrareferidos,2009-12-01,1,1
POTOSI,internaciones,contrareferidos,2009-12-01,30,30
PUERTO QUIJARRO,internaciones,contrareferidos,2009-12-01,1,1
PUERTO VILLARROEL,internaciones,contrareferidos,2009-12-01,1,1
RIBERALTA,internaciones,contrareferidos,2009-12-01,90,90
ROBORE,internaciones,contrareferidos,2009-12-01,1,1
RURRENABAQUE,internaciones,contrareferidos,2009-12-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-12-01,4,4
SAN JAVIER(STC),internaciones,contrareferidos,2009-12-01,1,1
SAN JULIAN,internaciones,contrareferidos,2009-12-01,1,1
SAN LORENZO(PND),internaciones,contrareferidos,2009-12-01,1,1
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-12-01,2,2
SAN RAFAEL,internaciones,contrareferidos,2009-12-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-12-01,16,16
SUCRE,internaciones,contrareferidos,2009-12-01,25,25
TACACOMA,internaciones,contrareferidos,2009-12-01,1,1
TARABUCO,internaciones,contrareferidos,2009-12-01,6,6
TOMINA,internaciones,contrareferidos,2009-12-01,1,1
TRINIDAD,internaciones,contrareferidos,2009-12-01,2,2
TUPIZA,internaciones,contrareferidos,2009-12-01,46,46
UNCIA,internaciones,contrareferidos,2009-12-01,1,1
VIACHA,internaciones,contrareferidos,2009-12-01,8,8
VILLAZON,internaciones,contrareferidos,2009-12-01,35,35
YAPACANI,internaciones,contrareferidos,2009-12-01,2,2
