municipality,group,variable,month,Ingresos referidos de otros establecim,TOTAL
OCURI,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
ORURO,internaciones,ingresos referidos de otros establecim,2008-04-01,205,205
PADILLA,internaciones,ingresos referidos de otros establecim,2008-04-01,19,19
PAILON,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
PALOS BLANCOS,internaciones,ingresos referidos de otros establecim,2008-04-01,4,4
POJO (CBBA),internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-04-01,8,8
POTOSI,internaciones,ingresos referidos de otros establecim,2008-04-01,27,27
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-04-01,18,18
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-04-01,29,29
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-04-01,19,19
PUNATA,internaciones,ingresos referidos de otros establecim,2008-04-01,24,24
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
REYES,internaciones,ingresos referidos de otros establecim,2008-04-01,4,4
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-04-01,328,328
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-04-01,46,46
SACABA,internaciones,ingresos referidos de otros establecim,2008-04-01,13,13
SACACA,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
SAMAIPATA,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
SAN BORJA,internaciones,ingresos referidos de otros establecim,2008-04-01,3,3
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-04-01,9,9
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-04-01,18,18
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-04-01,20,20
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecim,2008-04-01,5,5
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-04-01,4,4
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-04-01,11,11
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-04-01,7,7
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-04-01,121,121
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-04-01,6,6
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
SICA SICA (VILLA AROMA),internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
SORATA,internaciones,ingresos referidos de otros establecim,2008-04-01,3,3
SUCRE,internaciones,ingresos referidos de otros establecim,2008-04-01,73,73
TAPACARI,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-04-01,9,9
TARATA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
TARIJA,internaciones,ingresos referidos de otros establecim,2008-04-01,105,105
TARVITA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
TIPUANI,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
TIQUIPAYA,internaciones,ingresos referidos de otros establecim,2008-04-01,10,10
TOMINA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-04-01,58,58
UNCIA,internaciones,ingresos referidos de otros establecim,2008-04-01,35,35
UYUNI,internaciones,ingresos referidos de otros establecim,2008-04-01,6,6
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
VIACHA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-04-01,31,31
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-04-01,22,22
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-04-01,7,7
VITICHI,internaciones,ingresos referidos de otros establecim,2008-04-01,3,3
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
ACACIO,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-05-01,7,7
ANDAMARCA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
APOLO,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-05-01,15,15
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-05-01,106,106
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-05-01,6,6
AZURDUY,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-05-01,13,13
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-05-01,4,4
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-05-01,30,30
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-05-01,10,10
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-05-01,33,33
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
CARACOLLO,internaciones,ingresos referidos de otros establecim,2008-05-01,6,6
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-05-01,26,26
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-05-01,3,3
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-05-01,8,8
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-05-01,8,8
COBIJA,internaciones,ingresos referidos de otros establecim,2008-05-01,85,85
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-05-01,45,45
COLOMI,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
COMARAPA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
CONCEPCION,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
COROICO,internaciones,ingresos referidos de otros establecim,2008-05-01,10,10
COTAGAITA,internaciones,ingresos referidos de otros establecim,2008-05-01,5,5
CULPINA,internaciones,ingresos referidos de otros establecim,2008-05-01,5,5
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-05-01,229,229
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-05-01,3,3
ENTRE RIOS,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
ENTRE RIOS,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-05-01,24,24
GUTIERREZ,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
HUACARETA,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
INCAHUASI,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-05-01,4,4
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-05-01,1126,1126
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-05-01,16,16
MACHARETI,internaciones,ingresos referidos de otros establecim,2008-05-01,3,3
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-05-01,8,8
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-05-01,3,3
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-05-01,4,4
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-05-01,32,32
MONTERO,internaciones,ingresos referidos de otros establecim,2008-05-01,91,91
ORURO,internaciones,ingresos referidos de otros establecim,2008-05-01,110,110
PADILLA,internaciones,ingresos referidos de otros establecim,2008-05-01,21,21
PALOS BLANCOS,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
POJO (CBBA),internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-05-01,8,8
POTOSI,internaciones,ingresos referidos de otros establecim,2008-05-01,61,61
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-05-01,17,17
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
PUERTO RICO,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-05-01,23,23
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-05-01,21,21
PUNA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
PUNATA,internaciones,ingresos referidos de otros establecim,2008-05-01,43,43
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-05-01,6,6
REYES,internaciones,ingresos referidos de otros establecim,2008-05-01,5,5
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-05-01,270,270
ROBORE,internaciones,ingresos referidos de otros establecim,2008-05-01,10,10
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-05-01,37,37
SACABA,internaciones,ingresos referidos de otros establecim,2008-05-01,11,11
SACABAMBA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
SAMAIPATA,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
SAN BORJA,internaciones,ingresos referidos de otros establecim,2008-05-01,3,3
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-05-01,10,10
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-05-01,13,13
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-05-01,11,11
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecim,2008-05-01,4,4
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-05-01,4,4
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-05-01,17,17
SAN MATIAS,internaciones,ingresos referidos de otros establecim,2008-05-01,5,5
SAN PEDRO DE BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-05-01,5,5
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
SANTA ANA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-05-01,164,164
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-05-01,11,11
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-05-01,3,3
SUCRE,internaciones,ingresos referidos de otros establecim,2008-05-01,88,88
TAPACARI,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-05-01,7,7
TARIJA,internaciones,ingresos referidos de otros establecim,2008-05-01,147,147
TOMINA,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
TOTORA(CBBA),internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
TOTORA(ORR),internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-05-01,33,33
UNCIA,internaciones,ingresos referidos de otros establecim,2008-05-01,45,45
URIONDO (A. CONCEPCION),internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
UYUNI,internaciones,ingresos referidos de otros establecim,2008-05-01,2,2
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-05-01,9,9
VIACHA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-05-01,30,30
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-05-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-05-01,4,4
VINTO,internaciones,ingresos referidos de otros establecim,2008-05-01,10,10
VITICHI,internaciones,ingresos referidos de otros establecim,2008-05-01,3,3
WARNES,internaciones,ingresos referidos de otros establecim,2008-05-01,5,5
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-05-01,14,14
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-05-01,4,4
YOTALA,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
ZUDAÑEZ,internaciones,ingresos referidos de otros establecim,2008-05-01,1,1
ACACIO,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-06-01,9,9
ANTEQUERA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
APOLO,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
ARANI,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
ARQUE,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-06-01,12,12
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-06-01,36,36
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-06-01,5,5
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-06-01,7,7
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-06-01,11,11
BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-06-01,14,14
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-06-01,7,7
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-06-01,29,29
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
CARACOLLO,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-06-01,30,30
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-06-01,5,5
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
CLIZA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
COBIJA,internaciones,ingresos referidos de otros establecim,2008-06-01,79,79
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-06-01,19,19
COLOMI,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
COMARAPA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
COPACABANA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
CORO CORO,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
COROICO,internaciones,ingresos referidos de otros establecim,2008-06-01,15,15
COTOCA,internaciones,ingresos referidos de otros establecim,2008-06-01,30,30
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
CULPINA,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
CURAHUARA DE CARANGAS,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-06-01,303,303
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
GUANAY,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-06-01,27,27
GUTIERREZ,internaciones,ingresos referidos de otros establecim,2008-06-01,8,8
HUACARETA,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
HUANUNI,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-06-01,8,8
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-06-01,1196,1196
LAJA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-06-01,11,11
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-06-01,5,5
MAPIRI,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
MINEROS,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-06-01,11,11
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-06-01,16,16
MONTERO,internaciones,ingresos referidos de otros establecim,2008-06-01,75,75
OCURI,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
OMEREQUE,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
ORURO,internaciones,ingresos referidos de otros establecim,2008-06-01,163,163
PADILLA,internaciones,ingresos referidos de otros establecim,2008-06-01,26,26
PAILON,internaciones,ingresos referidos de otros establecim,2008-06-01,6,6
PALOS BLANCOS,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
PATACAMAYA,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
POROMA,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
PORONGO,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-06-01,6,6
POTOSI,internaciones,ingresos referidos de otros establecim,2008-06-01,40,40
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-06-01,13,13
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
PUERTO RICO,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-06-01,25,25
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-06-01,14,14
PUNA,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
PUNATA,internaciones,ingresos referidos de otros establecim,2008-06-01,30,30
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-06-01,6,6
REYES,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-06-01,83,83
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-06-01,33,33
SACABA,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
SACABAMBA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
SACACA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-06-01,13,13
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-06-01,21,21
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-06-01,7,7
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-06-01,11,11
SAN MATIAS,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
SAN PEDRO DE BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
SAN RAFAEL,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-06-01,171,171
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
SORATA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecim,2008-06-01,79,79
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-06-01,5,5
TARIJA,internaciones,ingresos referidos de otros establecim,2008-06-01,130,130
TARVITA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
TOLATA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
TOMINA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecim,2008-06-01,5,5
TRINIDAD,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-06-01,47,47
UNCIA,internaciones,ingresos referidos de otros establecim,2008-06-01,38,38
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-06-01,4,4
VIACHA,internaciones,ingresos referidos de otros establecim,2008-06-01,1,1
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-06-01,40,40
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-06-01,51,51
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecim,2008-06-01,2,2
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-06-01,11,11
WARNES,internaciones,ingresos referidos de otros establecim,2008-06-01,3,3
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-06-01,5,5
ACACIO,internaciones,ingresos referidos de otros establecim,2008-07-01,6,6
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-07-01,11,11
APOLO,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
ARANI,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
ARQUE,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-07-01,18,18
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-07-01,38,38
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-07-01,5,5
AZURDUY,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
BATALLAS,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-07-01,11,11
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-07-01,4,4
BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-07-01,8,8
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-07-01,16,16
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-07-01,4,4
CARACOLLO,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-07-01,25,25
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-07-01,11,11
CHAYANTA,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-07-01,5,5
COBIJA,internaciones,ingresos referidos de otros establecim,2008-07-01,73,73
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-07-01,41,41
COMARAPA,internaciones,ingresos referidos de otros establecim,2008-07-01,4,4
COPACABANA,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
COROICO,internaciones,ingresos referidos de otros establecim,2008-07-01,9,9
COTAGAITA,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
COTOCA,internaciones,ingresos referidos de otros establecim,2008-07-01,60,60
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
CULPINA,internaciones,ingresos referidos de otros establecim,2008-07-01,6,6
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-07-01,164,164
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-07-01,5,5
GENERAL SAAVEDRA,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
GUANAY,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-07-01,18,18
GUTIERREZ,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
INCAHUASI,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-07-01,4,4
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-07-01,1455,1455
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-07-01,11,11
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-07-01,7,7
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-07-01,7,7
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-07-01,25,25
MONTERO,internaciones,ingresos referidos de otros establecim,2008-07-01,104,104
OCURI,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
ORURO,internaciones,ingresos referidos de otros establecim,2008-07-01,139,139
PADILLA,internaciones,ingresos referidos de otros establecim,2008-07-01,30,30
PALOS BLANCOS,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
POCOATA,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
POROMA,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
POTOSI,internaciones,ingresos referidos de otros establecim,2008-07-01,46,46
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-07-01,6,6
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
PUERTO RICO,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-07-01,7,7
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-07-01,26,26
PUNA,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
PUNATA,internaciones,ingresos referidos de otros establecim,2008-07-01,35,35
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-07-01,13,13
REYES,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-07-01,168,168
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-07-01,44,44
SACABA,internaciones,ingresos referidos de otros establecim,2008-07-01,6,6
SACACA,internaciones,ingresos referidos de otros establecim,2008-07-01,4,4
SAMAIPATA,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-07-01,9,9
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-07-01,11,11
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-07-01,19,19
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
SAN JOAQUIN,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-07-01,7,7
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-07-01,20,20
SAN MATIAS,internaciones,ingresos referidos de otros establecim,2008-07-01,5,5
SAN MIGUEL DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
SAN RAFAEL,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-07-01,70,70
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-07-01,13,13
