municipality,group,variable,month,0 Contrareferidos,TOTAL
COLOMI,internaciones,contrareferidos,2008-10-01,1,1
CONCEPCION,internaciones,contrareferidos,2008-10-01,3,3
COPACABANA,internaciones,contrareferidos,2008-10-01,1,1
COROICO,internaciones,contrareferidos,2008-10-01,5,5
COTOCA,internaciones,contrareferidos,2008-10-01,3,3
CUATRO CAÑADAS,internaciones,contrareferidos,2008-10-01,1,1
CUEVO,internaciones,contrareferidos,2008-10-01,1,1
CULPINA,internaciones,contrareferidos,2008-10-01,1,1
EL ALTO,internaciones,contrareferidos,2008-10-01,137,137
EL PUENTE(STC),internaciones,contrareferidos,2008-10-01,1,1
ENTRE RIOS,internaciones,contrareferidos,2008-10-01,2,2
GUAYARAMERIN,internaciones,contrareferidos,2008-10-01,29,29
GUTIERREZ,internaciones,contrareferidos,2008-10-01,311,311
HUACARETA,internaciones,contrareferidos,2008-10-01,1,1
LA ASUNTA,internaciones,contrareferidos,2008-10-01,9,9
LA PAZ,internaciones,contrareferidos,2008-10-01,74,74
LAS CARRERAS,internaciones,contrareferidos,2008-10-01,2,2
MACHARETI,internaciones,contrareferidos,2008-10-01,1,1
MIZQUE,internaciones,contrareferidos,2008-10-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2008-10-01,4,4
OCURI,internaciones,contrareferidos,2008-10-01,4,4
ORURO,internaciones,contrareferidos,2008-10-01,98,98
PALOS BLANCOS,internaciones,contrareferidos,2008-10-01,3,3
PATACAMAYA,internaciones,contrareferidos,2008-10-01,1,1
POCONA,internaciones,contrareferidos,2008-10-01,1,1
PORTACHUELO,internaciones,contrareferidos,2008-10-01,1,1
POTOSI,internaciones,contrareferidos,2008-10-01,25,25
PRESTO,internaciones,contrareferidos,2008-10-01,2,2
PUERTO QUIJARRO,internaciones,contrareferidos,2008-10-01,2,2
PUERTO RICO,internaciones,contrareferidos,2008-10-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2008-10-01,7,7
PUERTO VILLARROEL,internaciones,contrareferidos,2008-10-01,10,10
PUNATA,internaciones,contrareferidos,2008-10-01,5,5
RIBERALTA,internaciones,contrareferidos,2008-10-01,40,40
RURRENABAQUE,internaciones,contrareferidos,2008-10-01,1,1
SACACA,internaciones,contrareferidos,2008-10-01,1,1
SAN BORJA,internaciones,contrareferidos,2008-10-01,2,2
SAN BUENA VENTURA,internaciones,contrareferidos,2008-10-01,2,2
SAN CARLOS,internaciones,contrareferidos,2008-10-01,3,3
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-10-01,10,10
SAN JAVIER(STC),internaciones,contrareferidos,2008-10-01,4,4
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2008-10-01,4,4
SAN LUCAS,internaciones,contrareferidos,2008-10-01,1,1
SAN MATIAS,internaciones,contrareferidos,2008-10-01,1,1
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2008-10-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2008-10-01,4,4
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-10-01,120,120
SOPACHUY,internaciones,contrareferidos,2008-10-01,3,3
SORATA,internaciones,contrareferidos,2008-10-01,620,620
SUCRE,internaciones,contrareferidos,2008-10-01,5,5
TARABUCO,internaciones,contrareferidos,2008-10-01,15,15
TIRAQUE (CBBA),internaciones,contrareferidos,2008-10-01,2,2
TORO TORO,internaciones,contrareferidos,2008-10-01,1,1
TUPIZA,internaciones,contrareferidos,2008-10-01,64,64
VILLA RIVERO,internaciones,contrareferidos,2008-10-01,1,1
VILLAZON,internaciones,contrareferidos,2008-10-01,27,27
VITICHI,internaciones,contrareferidos,2008-10-01,1,1
YAMPARAEZ,internaciones,contrareferidos,2008-10-01,1,1
YOTALA,internaciones,contrareferidos,2008-10-01,1,1
ANZALDO,internaciones,contrareferidos,2008-11-01,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-11-01,2,2
ATOCHA,internaciones,contrareferidos,2008-11-01,20,20
BOYUIBE,internaciones,contrareferidos,2008-11-01,1,1
BUENA VISTA,internaciones,contrareferidos,2008-11-01,2,2
CAMARGO,internaciones,contrareferidos,2008-11-01,2,2
CAMIRI,internaciones,contrareferidos,2008-11-01,1,1
CAPINOTA,internaciones,contrareferidos,2008-11-01,1,1
COBIJA,internaciones,contrareferidos,2008-11-01,26,26
COCHABAMBA,internaciones,contrareferidos,2008-11-01,1,1
"COLCHA ""K""",internaciones,contrareferidos,2008-11-01,1,1
COROICO,internaciones,contrareferidos,2008-11-01,5,5
COTOCA,internaciones,contrareferidos,2008-11-01,3,3
EL ALTO,internaciones,contrareferidos,2008-11-01,156,156
LA ASUNTA,internaciones,contrareferidos,2008-11-01,6,6
LA PAZ,internaciones,contrareferidos,2008-11-01,64,64
MACHARETI,internaciones,contrareferidos,2008-11-01,3,3
MAGDALENA,internaciones,contrareferidos,2008-11-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2008-11-01,3,3
MONTERO,internaciones,contrareferidos,2008-11-01,1,1
OMEREQUE,internaciones,contrareferidos,2008-11-01,1,1
ORURO,internaciones,contrareferidos,2008-11-01,71,71
PALOS BLANCOS,internaciones,contrareferidos,2008-11-01,5,5
PATACAMAYA,internaciones,contrareferidos,2008-11-01,1,1
POROMA,internaciones,contrareferidos,2008-11-01,1,1
PORTACHUELO,internaciones,contrareferidos,2008-11-01,1,1
POTOSI,internaciones,contrareferidos,2008-11-01,36,36
PUCARANI,internaciones,contrareferidos,2008-11-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2008-11-01,7,7
PUERTO VILLARROEL,internaciones,contrareferidos,2008-11-01,4,4
PUNATA,internaciones,contrareferidos,2008-11-01,9,9
SACABA,internaciones,contrareferidos,2008-11-01,1,1
SAIPINA,internaciones,contrareferidos,2008-11-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-11-01,10,10
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2008-11-01,5,5
SAN LUCAS,internaciones,contrareferidos,2008-11-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2008-11-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-11-01,169,169
SOPACHUY,internaciones,contrareferidos,2008-11-01,1,1
SUCRE,internaciones,contrareferidos,2008-11-01,10,10
TARATA,internaciones,contrareferidos,2008-11-01,1,1
TOCO,internaciones,contrareferidos,2008-11-01,1,1
TOMINA,internaciones,contrareferidos,2008-11-01,2,2
VACAS,internaciones,contrareferidos,2008-11-01,2,2
VIACHA,internaciones,contrareferidos,2008-11-01,8,8
VILLA SERRANO,internaciones,contrareferidos,2008-11-01,4,4
VILLA TUNARI,internaciones,contrareferidos,2008-11-01,13,13
VILLAZON,internaciones,contrareferidos,2008-11-01,25,25
VITICHI,internaciones,contrareferidos,2008-11-01,1,1
YACUIBA,internaciones,contrareferidos,2008-11-01,1,1
YAMPARAEZ,internaciones,contrareferidos,2008-11-01,1,1
YOTALA,internaciones,contrareferidos,2008-11-01,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-12-01,8,8
ATOCHA,internaciones,contrareferidos,2008-12-01,24,24
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2008-12-01,3,3
BERMEJO,internaciones,contrareferidos,2008-12-01,5,5
BUENA VISTA,internaciones,contrareferidos,2008-12-01,2,2
CAPINOTA,internaciones,contrareferidos,2008-12-01,1,1
COCHABAMBA,internaciones,contrareferidos,2008-12-01,3,3
CONCEPCION,internaciones,contrareferidos,2008-12-01,3,3
COPACABANA,internaciones,contrareferidos,2008-12-01,1,1
COROICO,internaciones,contrareferidos,2008-12-01,9,9
COTOCA,internaciones,contrareferidos,2008-12-01,1,1
CULPINA,internaciones,contrareferidos,2008-12-01,1,1
EL ALTO,internaciones,contrareferidos,2008-12-01,130,130
EL TORNO,internaciones,contrareferidos,2008-12-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2008-12-01,1,1
LA ASUNTA,internaciones,contrareferidos,2008-12-01,6,6
LA PAZ,internaciones,contrareferidos,2008-12-01,111,111
MACHARETI,internaciones,contrareferidos,2008-12-01,1,1
MAGDALENA,internaciones,contrareferidos,2008-12-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2008-12-01,4,4
MONTERO,internaciones,contrareferidos,2008-12-01,1,1
OCURI,internaciones,contrareferidos,2008-12-01,1,1
ORURO,internaciones,contrareferidos,2008-12-01,98,98
PAILON,internaciones,contrareferidos,2008-12-01,1,1
PASORAPA,internaciones,contrareferidos,2008-12-01,1,1
PORTACHUELO,internaciones,contrareferidos,2008-12-01,2,2
POTOSI,internaciones,contrareferidos,2008-12-01,32,32
PUERTO SUAREZ,internaciones,contrareferidos,2008-12-01,1,1
PUERTO VILLARROEL,internaciones,contrareferidos,2008-12-01,4,4
PUNATA,internaciones,contrareferidos,2008-12-01,10,10
RURRENABAQUE,internaciones,contrareferidos,2008-12-01,2,2
SACABA,internaciones,contrareferidos,2008-12-01,1,1
SAIPINA,internaciones,contrareferidos,2008-12-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,contrareferidos,2008-12-01,1,1
SAN IGNACIO,internaciones,contrareferidos,2008-12-01,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-12-01,7,7
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2008-12-01,2,2
SAN JUAN DE YAPACANI,internaciones,contrareferidos,2008-12-01,5,5
SAN MATIAS,internaciones,contrareferidos,2008-12-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2008-12-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-12-01,115,115
SORATA,internaciones,contrareferidos,2008-12-01,3,3
SUCRE,internaciones,contrareferidos,2008-12-01,37,37
TARABUCO,internaciones,contrareferidos,2008-12-01,1,1
TARATA,internaciones,contrareferidos,2008-12-01,1,1
TOMINA,internaciones,contrareferidos,2008-12-01,1,1
TORO TORO,internaciones,contrareferidos,2008-12-01,1,1
TUPIZA,internaciones,contrareferidos,2008-12-01,31,31
VILLA TUNARI,internaciones,contrareferidos,2008-12-01,9,9
VILLAZON,internaciones,contrareferidos,2008-12-01,29,29
WARNES,internaciones,contrareferidos,2008-12-01,1,1
ZUDAÑEZ,internaciones,contrareferidos,2008-12-01,3,3
