municipality,group,variable,month,Total 8.3 Niños (as) de 6 meses a menores de 2 años con dosis completa de hierro,TOTAL
TAPACARI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,94,94
TARABUCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,63,63
TARACO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,7,7
TARATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,39,39
TARIJA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,616,616
TARVITA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,47,47
TEOPONTE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,76,76
TIAWANACU,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,47,47
TINGUIPAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,79,79
TIPUANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,38,38
TIQUIPAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,236,236
TIRAQUE (CBBA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,65,65
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,3,3
TOCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,28,28
TODOS SANTOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,5,5
TOLATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,25,25
TOLEDO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,14,14
TOMAVE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,49,49
TOMINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,35,35
TORO TORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,56,56
TOTORA(CBBA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,102,102
TOTORA(ORR),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,14,14
TRIGAL,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,3,3
TRINIDAD,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,530,530
TUPIZA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,216,216
TURCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,8,8
UMALA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,21,21
UNCIA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,83,83
URIONDO (A. CONCEPCION),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,59,59
URUBICHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,26,26
UYUNI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,98,98
VACAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,11,11
VALLEGRANDE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,28,28
VIACHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,139,139
VILA VILA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,20,20
VILLA CHARCAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,63,63
VILLA MONTES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,180,180
VILLA NUEVA (LOMA ALTA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,7,7
VILLA RIVERO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,4,4
VILLA SERRANO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,28,28
VILLA TUNARI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,235,235
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,31,31
VILLAZON,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,168,168
VINTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,109,109
WALDO BALLIVIAN,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,4,4
WARNES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,437,437
YACO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,24,24
YACUIBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,327,327
YAMPARAEZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,24,24
YANACACHI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,16,16
YAPACANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,193,193
YOCALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,28,28
YOTALA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,27,27
YUNCHARA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,9,9
ZUDAÑEZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-03-01,22,22
ACACIO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,28,28
ACHACACHI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,115,115
ACHOCALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,4,4
AIQUILE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,81,81
ALALAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,1,1
ALCALA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,7,7
ALTO BENI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,37,37
ANCORAIMES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,56,56
ANDAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,10,10
ANTEQUERA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,15,15
ANZALDO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,18,18
APOLO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,51,51
ARAMPAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,30,30
ARANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,3,3
ARBIETO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,74,74
ARQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,48,48
ASCENCION DE GUARAYOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,178,178
ATOCHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,78,78
AUCAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,23,23
AYATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,16,16
AYO AYO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,115,115
AZURDUY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,31,31
BATALLAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,55,55
BELEN DE ANDAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,4,4
BELEN DE URMIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,9,9
BELLA FLOR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,13,13
BERMEJO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,116,116
BETANZOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,139,139
BOLIVAR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,24,24
BOLPEBRA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,9,9
BOYUIBE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,23,23
BUENA VISTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,54,54
CABEZAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,138,138
CAIROMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,38,38
"CAIZA ""D""",micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,36,36
CAJUATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,54,54
CALACOTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,17,17
CALAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,32,32
CAMARGO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,55,55
CAMATAQUI (C. VILLA ABECIA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,13,13
CAMIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,165,165
CAPINOTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,21,21
CAQUIAVIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,27,27
CARACOLLO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,62,62
CARANAVI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,190,190
CARANGAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,1,1
CARAPARI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,20,20
CARIPUYO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,17,17
CARMEN RIVERO TORREZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,19,19
CATACORA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,4,4
CHALLAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,112,112
CHAQUI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,28,28
CHARAGUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,71,71
CHARAÑA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,7,7
CHAYANTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,69,69
CHIMORE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,142,142
CHIPAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,4,4
CHUA COCANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,14,14
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,64,64
CHUMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,32,32
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,29,29
CKOCHAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,65,65
CLIZA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,89,89
COBIJA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,166,166
COCAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,75,75
COCHABAMBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,1404,1404
COIPASA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,2,2
COLCAPIRHUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,27,27
"COLCHA ""K""",micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,60,60
COLLANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,7,7
COLOMI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,113,113
COLPA BELGICA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,4,4
COLQUECHACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,179,179
COLQUENCHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,34,34
COLQUIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,84,84
COMANCHE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,5,5
COMARAPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,53,53
COMBAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,15,15
CONCEPCION,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,74,74
COPACABANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,47,47
CORIPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,66,66
CORO CORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,16,16
COROICO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,66,66
CORQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,15,15
COTAGAITA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,71,71
COTOCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,272,272
CUATRO CAÑADAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,81,81
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,2,2
CUEVO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,8,8
CULPINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,106,106
CURVA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,3,3
DESAGUADERO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,33,33
EL ALTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,2894,2894
EL CHORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,16,16
EL PUENTE(STC),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,52,52
EL PUENTE(TJA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,41,41
EL TORNO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,250,250
EL VILLAR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,5,5
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,387,387
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,91,91
ESCARA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,3,3
ESCOMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,19,19
ESMERALDA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,1,1
EUCALIPTUS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,3,3
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,10,10
EXALTACION,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,12,12
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,50,50
FILADELFIA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,33,33
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,56,56
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,46,46
GUANAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,58,58
GUAQUI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,24,24
GUAYARAMERIN,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,307,307
GUTIERREZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,42,42
HUACARETA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,36,36
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,15,15
HUACHACALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,3,3
HUANUNI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,86,86
HUARACAJE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,26,26
HUARINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,24,24
HUATAJATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,13,13
HUAYLLAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,13,13
HUMANATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,10,10
ICHOCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,10,10
ICLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,16,16
INCAHUASI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,55,55
INGAVI (HUMAITA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,4,4
INQUISIVI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,51,51
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,43,43
IXIAMAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,1,1
JESUS DE MACHACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,29,29
LA ASUNTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,177,177
LA GUARDIA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,268,268
LA PAZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,1725,1725
LA RIVERA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,2,2
LAGUNILLAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,12,12
LAJA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,73,73
LAS CARRERAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,10,10
LICOMA PAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,12,12
LLALLAGUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,245,245
LLICA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,11,11
LORETO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,32,32
LURIBAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,24,24
MACHACAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,22,22
MACHARETI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,38,38
MAGDALENA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,45,45
MAIRANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,32,32
MALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,5,5
MAPIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,18,18
MECAPACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,39,39
MINEROS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,105,105
MIZQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,117,117
MOCOMOCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,51,51
MOJINETE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,3,3
MOJOCOYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,24,24
MONTEAGUDO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,86,86
MONTERO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,540,540
MORO MORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,12,12
MOROCHATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,47,47
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,5,5
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,9,9
OCURI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,98,98
OKINAWA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,59,59
OMEREQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,22,22
ORURO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,998,998
PADCAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,52,52
PADILLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,42,42
PAILON,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,132,132
PALCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,76,76
PALOS BLANCOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,76,76
PAMPA AULLAGAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,13,13
PAMPA GRANDE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,33,33
PAPEL PAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,9,9
PATACAMAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,61,61
PELECHUCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,6,6
POCOATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,52,52
POCONA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,35,35
POJO (CBBA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,50,50
POOPO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,18,18
PORCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,7,7
POROMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-04-01,59,59
