municipality,group,variable,month,Total 8.7 Niños (as) de 1 año a menores de 5 años con 1ra dosis vitamina A,TOTAL
HUATAJATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,7,7
HUAYLLAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,16,16
HUMANATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,33,33
ICHOCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,20,20
ICLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,45,45
INCAHUASI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,79,79
INGAVI (HUMAITA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,9,9
INQUISIVI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,52,52
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,73,73
IXIAMAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,44,44
JESUS DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,67,67
LA ASUNTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,208,208
LA GUARDIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,337,337
LA PAZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,2678,2678
LA RIVERA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,2,2
LAGUNILLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,46,46
LAJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,55,55
LAS CARRERAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,12,12
LICOMA PAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,11,11
LLALLAGUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,233,233
LLICA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,12,12
LORETO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,9,9
LURIBAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,38,38
MACHACAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,18,18
MACHARETI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,100,100
MAGDALENA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,84,84
MAIRANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,51,51
MALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,19,19
MAPIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,50,50
MECAPACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,59,59
MINEROS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,117,117
MIZQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,201,201
MOCOMOCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,59,59
MOJINETE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,2,2
MOJOCOYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,48,48
MONTEAGUDO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,163,163
MONTERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,579,579
MORO MORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,25,25
MOROCHATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,42,42
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,22,22
NAZACARA DE PACAJES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,11,11
OCURI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,99,99
OKINAWA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,78,78
OMEREQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,54,54
ORURO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,961,961
PADCAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,97,97
PADILLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,62,62
PAILON,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,111,111
PALCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,134,134
PALOS BLANCOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,199,199
PAMPA AULLAGAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,17,17
PAMPA GRANDE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,40,40
PAPEL PAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,34,34
PASORAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,16,16
PATACAMAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,86,86
PAZÑA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,24,24
PELECHUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,36,36
POCOATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,179,179
POCONA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,88,88
POJO (CBBA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,61,61
POOPO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,40,40
PORCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,44,44
POROMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,104,104
PORONGO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,73,73
PORTACHUELO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,53,53
PORVENIR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,53,53
POSTRER VALLE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,2,2
POTOSI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,902,902
PRESTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,60,60
PUCARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,10,10
PUCARANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,167,167
PUERTO ACOSTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,59,59
PUERTO CARABUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,65,65
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,47,47
PUERTO PEREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,36,36
PUERTO QUIJARRO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,61,61
PUERTO RICO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,61,61
PUERTO SILES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,3,3
PUERTO SUAREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,44,44
PUERTO VILLARROEL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,238,238
PUNA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,111,111
PUNATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,69,69
QUIABAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,17,17
QUILLACOLLO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,758,758
QUIME,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,72,72
QUIRUSILLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,10,10
RAVELO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,119,119
REYES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,107,107
RIBERALTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,687,687
ROBORE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,44,44
RURRENABAQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,98,98
SABAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,3,3
SACABA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,767,767
SACABAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,18,18
SACACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,189,189
SAIPINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,31,31
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,61,61
SAMAIPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,44,44
SAN AGUSTIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,10,10
SAN ANDRES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,76,76
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,16,16
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,9,9
SAN ANTONIO DE LOMERIO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,71,71
SAN BENITO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,14,14
SAN BORJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,220,220
SAN BUENA VENTURA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,68,68
SAN CARLOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,119,119
SAN IGNACIO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,177,177
SAN IGNACIO DE VELASCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,285,285
SAN JAVIER(BNI),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,43,43
SAN JAVIER(STC),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,137,137
SAN JOAQUIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,33,33
SAN JOSE DE CHIQUITOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,127,127
SAN JUAN DE YAPACANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,63,63
SAN JULIAN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,322,322
SAN LORENZO(PND),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,35,35
SAN LORENZO(TJA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,65,65
SAN LUCAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,203,203
SAN MATIAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,55,55
SAN MIGUEL DE VELASCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,50,50
SAN PABLO DE LIPEZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,13,13
SAN PEDRO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,104,104
SAN PEDRO DE BUENA VISTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,204,204
SAN PEDRO DE CURAHUARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,13,13
SAN PEDRO DE QUEMES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,4,4
SAN PEDRO DE TIQUINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,28,28
SAN PEDRO(PND),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,11,11
SAN RAFAEL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,32,32
SAN RAMON BENI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,38,38
SAN RAMON SCZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,63,63
SANTA ANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,53,53
SANTA CRUZ DE LA SIERRA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,2890,2890
SANTA ROSA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,44,44
SANTA ROSA DEL SARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,96,96
SANTIAGO DE CALLAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,10,10
SANTIAGO DE HUARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,37,37
SANTIAGO DE HUATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,14,14
SANTIAGO DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,17,17
SANTIVAÑES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,35,35
SANTUARIO DE QUILLACAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,24,24
SAPAHAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,43,43
SENA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,10,10
SHINAOTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,131,131
SICA SICA (VILLA AROMA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,122,122
SICAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,30,30
SIPE SIPE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,217,217
SOPACHUY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,38,38
SORACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,56,56
SORATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,118,118
SUCRE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,2393,2393
TACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,4,4
TACACOMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,47,47
TACOBAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,45,45
TACOPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,54,54
TAHUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,5,5
TAPACARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,144,144
TARABUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,100,100
TARACO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,14,14
TARATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,48,48
TARIJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,843,843
TARVITA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,79,79
TEOPONTE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,90,90
TIAWANACU,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,61,61
TINGUIPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,105,105
TIPUANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,29,29
TIQUIPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,280,280
TIRAQUE (CBBA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,96,96
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,4,4
TOCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,26,26
TOLATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,34,34
TOLEDO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,22,22
TOMAVE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,66,66
TOMINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,44,44
TORO TORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,66,66
TOTORA(CBBA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,95,95
TOTORA(ORR),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,28,28
TRIGAL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,7,7
TRINIDAD,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,486,486
TUPIZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,183,183
TURCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,14,14
UMALA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,23,23
UNCIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,80,80
URIONDO (A. CONCEPCION),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,77,77
URUBICHA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,59,59
UYUNI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,73,73
VACAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,71,71
VALLEGRANDE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,84,84
VIACHA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,135,135
VILA VILA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,26,26
VILLA CHARCAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,105,105
VILLA MONTES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,160,160
VILLA NUEVA (LOMA ALTA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,16,16
VILLA RIVERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,13,13
VILLA SERRANO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,64,64
VILLA TUNARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,418,418
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,44,44
VILLAZON,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,191,191
VINTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,156,156
VITICHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,51,51
WALDO BALLIVIAN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,15,15
WARNES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,555,555
YACO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,49,49
YACUIBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,378,378
YAMPARAEZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,31,31
YANACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,21,21
YAPACANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,228,228
YOCALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,51,51
YOTALA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,63,63
YUNCHARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,24,24
YUNGUYO DE LITORAL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,1,1
ZUDAÑEZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-02-01,39,39
ACACIO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,62,62
ACHACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,146,146
ACHOCALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,40,40
AIQUILE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,151,151
ALALAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,20,20
ALCALA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,19,19
ALTO BENI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,68,68
ANCORAIMES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,90,90
ANDAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,27,27
ANTEQUERA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,40,40
ANZALDO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-03-01,44,44
