municipality,group,variable,month,Total 8.5 Mujeres puérperas con dosis única de vitamina A,TOTAL
CATACORA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
CHACARILLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
CHALLAPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,62,62
CHAQUI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
CHARAGUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,75,75
CHARAÑA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
CHAYANTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,27,27
CHIMORE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,17,17
CHIPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
CHOQUE COTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
CHUA COCANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,22,22
CHUMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,10,10
CKOCHAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,22,22
CLIZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,39,39
COBIJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,154,154
COCAPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,26,26
COCHABAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1070,1070
COIPASA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
COLCAPIRHUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,19,19
"COLCHA ""K""",micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,18,18
COLLANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
COLOMI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,26,26
COLPA BELGICA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
COLQUECHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,53,53
COLQUENCHA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
COLQUIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
COMANCHE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
COMARAPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,21,21
COMBAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
CONCEPCION,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,29,29
COPACABANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,18,18
CORIPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
CORO CORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
COROICO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,43,43
CORQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,5,5
COTAGAITA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,21,21
COTOCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,124,124
CUATRO CAÑADAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
CUEVO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
CULPINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,22,22
CURAHUARA DE CARANGAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,5,5
CURVA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
DESAGUADERO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
EL ALTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,863,863
EL CHORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
EL PUENTE(STC),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,10,10
EL PUENTE(TJA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
EL TORNO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,82,82
EL VILLAR,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
ENTRE RIOS TRJ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,35,35
ENTRE RIOS CBBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,24,24
ESCOMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
ESMERALDA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
EUCALIPTUS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
EUREKA (SANTOS MERCADO),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
EXALTACION,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
FERNANDEZ ALONSO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,12,12
FILADELFIA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
GENERAL SAAVEDRA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,23,23
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,15,15
GUANAY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,14,14
GUAQUI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
GUAYARAMERIN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,197,197
GUTIERREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,20,20
HUACARETA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
HUANUNI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,32,32
HUARACAJE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
HUARINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
HUATAJATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
HUAYLLAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
HUMANATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
ICHOCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
ICLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
INCAHUASI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,19,19
INGAVI (HUMAITA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
INQUISIVI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,23,23
IRUPANA (VILLA DE LANZA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,17,17
IXIAMAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,10,10
JESUS DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,21,21
LA ASUNTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,84,84
LA GUARDIA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,67,67
LA PAZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1555,1555
LA RIVERA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
LAGUNILLAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
LAJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,18,18
LAS CARRERAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
LICOMA PAMPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
LLALLAGUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,70,70
LLICA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
LORETO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
LURIBAY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
MACHACAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
MACHARETI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
MAGDALENA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,25,25
MAIRANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,26,26
MALLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
MAPIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,23,23
MECAPACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,15,15
MINEROS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,14,14
MIZQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,38,38
MOCOMOCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,26,26
MOJOCOYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
MONTEAGUDO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,61,61
MONTERO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,95,95
MOROCHATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,19,19
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
NAZACARA DE PACAJES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
OCURI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,27,27
OKINAWA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,14,14
OMEREQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
ORURO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,433,433
PADCAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
PADILLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,23,23
PAILON,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,38,38
PALCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
PALOS BLANCOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,41,41
PAMPA AULLAGAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
PAMPA GRANDE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
PAPEL PAMPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,5,5
PASORAPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
PATACAMAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,45,45
PAZÑA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
PELECHUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
POCOATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,40,40
POCONA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,16,16
POJO (CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,21,21
POOPO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
PORCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
POROMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,23,23
PORONGO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
PORTACHUELO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,39,39
PORVENIR,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
POTOSI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,354,354
PRESTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
PUCARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
PUCARANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,40,40
PUERTO ACOSTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
PUERTO CARABUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
PUERTO GONZALO MORENO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
PUERTO PEREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
PUERTO QUIJARRO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,16,16
PUERTO RICO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,15,15
PUERTO SUAREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,45,45
PUERTO VILLARROEL,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,134,134
PUNA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,24,24
PUNATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,74,74
QUIABAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
QUILLACOLLO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,177,177
QUIME,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,12,12
RAVELO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,29,29
REYES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,30,30
RIBERALTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,220,220
ROBORE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,21,21
RURRENABAQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,45,45
SABAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
SACABA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,215,215
SACABAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
SACACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,32,32
SAIPINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,10,10
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,15,15
SAMAIPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
SAN AGUSTIN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
SAN ANDRES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,10,10
SAN ANDRES DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
SAN BENITO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
SAN BORJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,90,90
SAN BUENA VENTURA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
SAN CARLOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,40,40
SAN IGNACIO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,41,41
SAN IGNACIO DE VELASCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,118,118
SAN JAVIER(BNI),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
SAN JOAQUIN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,12,12
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,33,33
SAN JUAN DE YAPACANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
SAN JULIAN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,77,77
SAN LORENZO(PND),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,5,5
SAN LORENZO(TJA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
SAN LUCAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,50,50
SAN MATIAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,20,20
SAN MIGUEL DE VELASCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
SAN PABLO DE LIPEZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
SAN PEDRO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,17,17
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,52,52
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
SAN PEDRO DE QUEMES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
SAN RAFAEL,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
SAN RAMON BENI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
SANTA ANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,54,54
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,767,767
SANTA ROSA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
SANTA ROSA DEL SARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
SANTIAGO DE CALLAPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
SANTIAGO DE HUARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,16,16
SANTIAGO DE HUATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
SANTIAGO DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
SANTIVAÑES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
SANTUARIO DE QUILLACAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
SAPAHAQUI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
SENA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
SHINAOTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,38,38
SICA SICA (VILLA AROMA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,21,21
SICAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,5,5
SIPE SIPE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,55,55
SOPACHUY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,10,10
SORACACHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
SORATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,23,23
SUCRE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,577,577
TACACOMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
TACOBAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,15,15
TACOPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
TAHUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
TAPACARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,41,41
TARABUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,28,28
TARACO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
TARATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
TARIJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,344,344
TARVITA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,19,19
TEOPONTE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,14,14
TIAWANACU,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,22,22
TINGUIPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,36,36
TIPUANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
TIQUIPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,101,101
TIRAQUE (CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,27,27
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
TOCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
TOLATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,5,5
TOLEDO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
TOMAVE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,16,16
TOMINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,9,9
TORO TORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,30,30
TOTORA(CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,29,29
TOTORA(ORR),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,7,7
TRINIDAD,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,320,320
TUPIZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,74,74
TURCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
UMALA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
UNCIA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,35,35
URIONDO (A. CONCEPCION),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,13,13
URUBICHA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,12,12
UYUNI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,61,61
VACAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
VALLEGRANDE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,38,38
VIACHA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,44,44
VILA VILA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
VILLA CHARCAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,20,20
VILLA MONTES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,39,39
VILLA NUEVA (LOMA ALTA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,2,2
VILLA RIVERO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
VILLA SERRANO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
VILLA TUNARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,179,179
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
VILLAZON,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,57,57
VINTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,95,95
VITICHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,14,14
WALDO BALLIVIAN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,3,3
WARNES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,28,28
YACO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,6,6
YACUIBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,157,157
YAMPARAEZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,11,11
YANACACHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,4,4
YAPACANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,102,102
YOCALLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,5,5
YOTALA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,5,5
YUNCHARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,10,10
ZUDAÑEZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-07-01,8,8
ACACIO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,7,7
ACHACACHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,12,12
ACHOCALLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,16,16
AIQUILE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,44,44
ALALAY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,1,1
ALCALA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,3,3
ALTO BENI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,12,12
ANCORAIMES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,21,21
ANDAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,4,4
ANTEQUERA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,4,4
ANZALDO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,7,7
APOLO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,19,19
ARAMPAMPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,4,4
ARANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,9,9
ARBIETO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,20,20
ARQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-08-01,16,16
