municipality,group,variable,month,Total 8.4 Niños (as) de 2 años a menores de 5 años con dosis completa de hierro,TOTAL
YAMPARAEZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-03-01,26,26
YANACACHI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-03-01,13,13
YAPACANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-03-01,165,165
YOCALLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-03-01,40,40
YOTALA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-03-01,29,29
YUNCHARA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-03-01,23,23
YUNGUYO DE LITORAL,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-03-01,1,1
ZUDAÑEZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-03-01,27,27
ACACIO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,30,30
ACHACACHI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,103,103
ACHOCALLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,30,30
AIQUILE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,151,151
ALALAY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,26,26
ALCALA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,25,25
ALTO BENI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,49,49
ANCORAIMES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,68,68
ANDAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,11,11
ANTEQUERA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,10,10
ANZALDO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,22,22
APOLO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,82,82
ARAMPAMPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,22,22
ARANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,15,15
ARBIETO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,78,78
ARQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,81,81
ASCENCION DE GUARAYOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,267,267
ATOCHA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,48,48
AUCAPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,11,11
AYATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,39,39
AYO AYO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,115,115
AZURDUY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,70,70
BATALLAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,54,54
BAURES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,29,29
BELEN DE ANDAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,4,4
BELEN DE URMIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,1,1
BELLA FLOR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,16,16
BERMEJO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,92,92
BETANZOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,147,147
BOLIVAR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,19,19
BOLPEBRA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,12,12
BOYUIBE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,24,24
BUENA VISTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,87,87
CABEZAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,122,122
CAIROMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,29,29
"CAIZA ""D""",micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,40,40
CAJUATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,22,22
CALACOTO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,19,19
CALAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,46,46
CAMARGO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,56,56
CAMATAQUI (C. VILLA ABECIA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,13,13
CAMIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,118,118
CAPINOTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,65,65
CAQUIAVIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,22,22
CARACOLLO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,94,94
CARANAVI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,225,225
CARANGAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,1,1
CARAPARI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,68,68
CARIPUYO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,30,30
CARMEN RIVERO TORREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,16,16
CATACORA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,4,4
CHACARILLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,6,6
CHALLAPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,156,156
CHAQUI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,38,38
CHARAGUA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,88,88
CHARAÑA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,4,4
CHAYANTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,60,60
CHIMORE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,115,115
CHIPAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,9,9
CHOQUE COTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,8,8
CHUA COCANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,14,14
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,52,52
CHUMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,36,36
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,27,27
CKOCHAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,91,91
CLIZA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,89,89
COBIJA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,280,280
COCAPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,91,91
COCHABAMBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,1313,1313
COIPASA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,4,4
COLCAPIRHUA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,255,255
"COLCHA ""K""",micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,34,34
COLLANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,5,5
COLOMI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,212,212
COLPA BELGICA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,29,29
COLQUECHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,176,176
COLQUENCHA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,53,53
COLQUIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,49,49
COMANCHE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,2,2
COMARAPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,81,81
COMBAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,21,21
CONCEPCION,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,72,72
COPACABANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,55,55
CORIPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,49,49
CORO CORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,29,29
COROICO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,76,76
CORQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,15,15
COTAGAITA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,93,93
COTOCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,282,282
CUATRO CAÑADAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,170,170
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,6,6
CUEVO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,26,26
CULPINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,130,130
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,13,13
CURVA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,15,15
DESAGUADERO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,21,21
EL ALTO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,5370,5370
EL CHORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,20,20
EL PUENTE(STC),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,80,80
EL PUENTE(TJA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,45,45
EL TORNO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,185,185
EL VILLAR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,16,16
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,140,140
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,134,134
ESCOMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,16,16
ESMERALDA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,1,1
EUCALIPTUS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,10,10
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,8,8
EXALTACION,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,2,2
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,77,77
FILADELFIA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,54,54
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,61,61
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,46,46
GUANAY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,77,77
GUAQUI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,28,28
GUAYARAMERIN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,221,221
GUTIERREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,42,42
HUACARETA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,76,76
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,27,27
HUACHACALLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,5,5
HUANUNI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,160,160
HUARACAJE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,34,34
HUARINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,36,36
HUATAJATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,12,12
HUAYLLAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,10,10
HUMANATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,19,19
ICHOCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,25,25
ICLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,28,28
INCAHUASI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,62,62
INGAVI (HUMAITA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,2,2
INQUISIVI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,45,45
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,94,94
IXIAMAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,30,30
JESUS DE MACHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,60,60
LA ASUNTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,217,217
LA GUARDIA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,273,273
LA PAZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,3076,3076
LA RIVERA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,4,4
LAGUNILLAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,31,31
LAJA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,90,90
LAS CARRERAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,16,16
LICOMA PAMPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,5,5
LLALLAGUA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,202,202
LLICA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,14,14
LORETO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,37,37
LURIBAY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,33,33
MACHACAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,30,30
MACHARETI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,129,129
MAGDALENA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,66,66
MAIRANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,44,44
MALLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,15,15
MAPIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,35,35
MECAPACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,35,35
MINEROS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,129,129
MIZQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,131,131
MOCOMOCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,43,43
MOJINETE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,4,4
MOJOCOYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,29,29
MONTEAGUDO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,195,195
MONTERO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,647,647
MORO MORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,11,11
MOROCHATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,77,77
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,7,7
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,15,15
OCURI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,82,82
OKINAWA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,100,100
OMEREQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,57,57
ORURO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,657,657
PADCAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,108,108
PADILLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,51,51
PAILON,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,98,98
PALCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,102,102
PALOS BLANCOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,125,125
PAMPA AULLAGAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,14,14
PAMPA GRANDE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,71,71
PAPEL PAMPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,19,19
PASORAPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,13,13
PATACAMAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,31,31
PAZÑA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,29,29
PELECHUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,41,41
POCOATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,90,90
POCONA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,49,49
POJO (CBBA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,79,79
POOPO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,20,20
PORCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,38,38
POROMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,123,123
PORONGO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,49,49
PORTACHUELO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,54,54
PORVENIR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,51,51
POSTRER VALLE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,12,12
POTOSI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,1015,1015
PRESTO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,33,33
PUCARA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,5,5
PUCARANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,90,90
PUERTO ACOSTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,36,36
PUERTO CARABUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,68,68
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,27,27
PUERTO PEREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,15,15
PUERTO QUIJARRO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,111,111
PUERTO RICO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,62,62
PUERTO SILES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,1,1
PUERTO SUAREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,63,63
PUERTO VILLARROEL,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,182,182
PUNA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,76,76
PUNATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,79,79
QUIABAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,18,18
QUILLACOLLO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,787,787
QUIME,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,26,26
QUIRUSILLAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,8,8
RAVELO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,95,95
REYES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,94,94
RIBERALTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,630,630
ROBORE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,66,66
RURRENABAQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,66,66
SABAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,5,5
SACABA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,713,713
SACABAMBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,9,9
SACACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,77,77
SAIPINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,34,34
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,87,87
SAMAIPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,58,58
SAN AGUSTIN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,22,22
SAN ANDRES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,93,93
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,5,5
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,34,34
SAN ANTONIO DE LOMERIO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,31,31
SAN BENITO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-04-01,73,73
