municipality,group,variable,month,Total 8.1 Mujeres embarazadas con dosis completa de hierro,TOTAL
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,2,2
HUACHACALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,4,4
HUANUNI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,56,56
HUARACAJE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,5,5
HUARINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,6,6
HUATAJATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,4,4
HUAYLLAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,3,3
HUMANATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,3,3
ICHOCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,8,8
ICLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,8,8
INCAHUASI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,17,17
INGAVI (HUMAITA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,8,8
INQUISIVI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,13,13
IRUPANA (VILLA DE LANZA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,31,31
IXIAMAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,38,38
JESUS DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,23,23
LA ASUNTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,131,131
LA GUARDIA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,122,122
LA PAZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1833,1833
LAGUNILLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,9,9
LAJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,17,17
LAS CARRERAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,11,11
LICOMA PAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,6,6
LLALLAGUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,73,73
LLICA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,4,4
LORETO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,7,7
LURIBAY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,24,24
MACHACAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,4,4
MACHARETI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
MAGDALENA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,19,19
MAIRANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,32,32
MALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,3,3
MAPIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,38,38
MECAPACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,18,18
MINEROS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,51,51
MIZQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,56,56
MOCOMOCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,19,19
MOJINETE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
MOJOCOYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,8,8
MONTEAGUDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,51,51
MONTERO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,466,466
MORO MORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,4,4
MOROCHATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,13,13
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
OCURI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,33,33
OKINAWA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,15,15
OMEREQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,6,6
ORURO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,543,543
PADCAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,29,29
PADILLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,21,21
PAILON,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,66,66
PALCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,26,26
PALOS BLANCOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,73,73
PAMPA AULLAGAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,6,6
PAMPA GRANDE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,12,12
PAPEL PAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,11,11
PASORAPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,4,4
PATACAMAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,44,44
PAZÑA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,7,7
PELECHUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,11,11
POCOATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,41,41
POCONA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,28,28
POJO (CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,24,24
POOPO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,7,7
PORCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,12,12
POROMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,16,16
PORONGO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,15,15
PORTACHUELO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,34,34
PORVENIR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,17,17
POSTRER VALLE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
POTOSI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,362,362
PRESTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,21,21
PUCARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
PUCARANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,44,44
PUERTO ACOSTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,19,19
PUERTO CARABUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,20,20
PUERTO GONZALO MORENO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,22,22
PUERTO PEREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,3,3
PUERTO QUIJARRO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,82,82
PUERTO RICO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,25,25
PUERTO SUAREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,39,39
PUERTO VILLARROEL,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,110,110
PUNA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,29,29
PUNATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,29,29
QUIABAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
QUILLACOLLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,213,213
QUIME,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,18,18
QUIRUSILLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
RAVELO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,32,32
REYES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,37,37
RIBERALTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,312,312
ROBORE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,20,20
RURRENABAQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,43,43
SABAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,5,5
SACABA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,400,400
SACABAMBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,6,6
SACACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,40,40
SAIPINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,8,8
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,38,38
SAMAIPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,20,20
SAN AGUSTIN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,2,2
SAN ANDRES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,27,27
SAN ANDRES DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,5,5
SAN BENITO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,20,20
SAN BORJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,221,221
SAN BUENA VENTURA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,33,33
SAN CARLOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,27,27
SAN IGNACIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,41,41
SAN IGNACIO DE VELASCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,127,127
SAN JAVIER(BNI),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
SAN JAVIER(STC),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,28,28
SAN JOAQUIN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,55,55
SAN JUAN DE YAPACANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,13,13
SAN JULIAN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,46,46
SAN LORENZO(PND),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,14,14
SAN LORENZO(TJA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,33,33
SAN LUCAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,57,57
SAN MATIAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,40,40
SAN MIGUEL DE VELASCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,21,21
SAN PABLO DE LIPEZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
SAN PEDRO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,36,36
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,60,60
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
SAN PEDRO DE TIQUINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,6,6
SAN PEDRO(PND),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,5,5
SAN RAFAEL,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,17,17
SAN RAMON BENI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
SAN RAMON SCZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,33,33
SANTA ANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,97,97
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,3118,3118
SANTA ROSA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,26,26
SANTA ROSA DEL SARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,36,36
SANTIAGO DE CALLAPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,5,5
SANTIAGO DE HUARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,12,12
SANTIAGO DE HUATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,14,14
SANTIAGO DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,7,7
SANTIVAÑES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,8,8
SANTUARIO DE QUILLACAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
SAPAHAQUI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,13,13
SENA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,18,18
SHINAOTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,52,52
SICA SICA (VILLA AROMA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,26,26
SICAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,6,6
SIPE SIPE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,93,93
SOPACHUY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,11,11
SORACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,21,21
SORATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,40,40
SUCRE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,657,657
TACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
TACACOMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,15,15
TACOBAMBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,8,8
TACOPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,11,11
TAHUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,2,2
TAPACARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,42,42
TARABUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,30,30
TARACO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,4,4
TARATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,14,14
TARIJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,384,384
TARVITA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,17,17
TEOPONTE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,26,26
TIAWANACU,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,26,26
TINGUIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,40,40
TIPUANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,25,25
TIQUIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,130,130
TIRAQUE (CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,45,45
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,2,2
TOCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,14,14
TODOS SANTOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
TOLATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,14,14
TOLEDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,9,9
TOMAVE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,25,25
TOMINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,24,24
TORO TORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,27,27
TOTORA(CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,18,18
TOTORA(ORR),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
TRIGAL,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,1,1
TRINIDAD,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,699,699
TUPIZA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,50,50
TURCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,7,7
UMALA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,12,12
UNCIA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,58,58
URIONDO (A. CONCEPCION),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,14,14
URUBICHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,12,12
UYUNI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,45,45
VACAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,13,13
VALLEGRANDE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,27,27
VIACHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,112,112
VILA VILA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,5,5
VILLA CHARCAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,28,28
VILLA MONTES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,41,41
VILLA NUEVA (LOMA ALTA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,3,3
VILLA RIVERO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,20,20
VILLA SERRANO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,11,11
VILLA TUNARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,161,161
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,16,16
VILLAZON,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,101,101
VINTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,20,20
VITICHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,12,12
WALDO BALLIVIAN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,4,4
WARNES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,151,151
YACO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,16,16
YACUIBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,141,141
YAMPARAEZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,7,7
YANACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,7,7
YAPACANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,127,127
YOCALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,18,18
YOTALA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,17,17
YUNCHARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,10,10
ZUDAÑEZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-03-01,18,18
ACACIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,7,7
ACHACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,48,48
AIQUILE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,61,61
ALALAY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,3,3
ALCALA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,10,10
ALTO BENI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,18,18
ANCORAIMES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,18,18
ANDAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,3,3
ANTEQUERA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,5,5
ANZALDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,8,8
APOLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,27,27
ARAMPAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,6,6
ARANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,19,19
ARBIETO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,22,22
ARQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,14,14
ASCENCION DE GUARAYOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,8,8
ATOCHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,14,14
AUCAPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,10,10
AYATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,10,10
AYO AYO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,36,36
AZURDUY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,15,15
BATALLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,18,18
BAURES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,11,11
BELEN DE ANDAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,1,1
BELLA FLOR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,4,4
BERMEJO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,50,50
BETANZOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,59,59
BOLIVAR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,11,11
BOLPEBRA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,1,1
BOYUIBE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,3,3
BUENA VISTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,22,22
CABEZAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,55,55
CAIROMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,19,19
"CAIZA ""D""",micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,14,14
CAJUATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,17,17
CALACOTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,7,7
CALAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,20,20
CAMARGO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,31,31
CAMATAQUI (C. VILLA ABECIA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,3,3
CAMIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,112,112
CAPINOTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,56,56
CAQUIAVIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,18,18
CARACOLLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,32,32
CARANAVI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,75,75
CARANGAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,1,1
CARAPARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,13,13
CARIPUYO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,16,16
CARMEN RIVERO TORREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,10,10
CATACORA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,2,2
CHALLAPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,65,65
CHAQUI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,13,13
CHARAGUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,64,64
CHAYANTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,31,31
CHIMORE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,46,46
CHIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,4,4
CHOQUE COTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,1,1
CHUA COCANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,52,52
CHUMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,5,5
CKOCHAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,25,25
CLIZA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,26,26
COBIJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,176,176
COCAPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,39,39
COCHABAMBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,1159,1159
COIPASA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,1,1
COLCAPIRHUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,63,63
"COLCHA ""K""",micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,23,23
COLLANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,4,4
COLOMI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,37,37
COLPA BELGICA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,9,9
COLQUECHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,55,55
COLQUENCHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,7,7
COLQUIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,43,43
COMANCHE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,5,5
COMARAPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,34,34
COMBAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,7,7
CONCEPCION,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,33,33
COPACABANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,24,24
CORIPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,44,44
CORO CORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,15,15
COROICO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,32,32
CORQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-04-01,10,10
