municipality,group,variable,month,Total 8.9 Niños (as) de 6 m. a menores de años que reciben alimento complementario (Nutribebé),TOTAL
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,21,21
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,6,6
SAN BENITO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,155,155
SAN CARLOS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,335,335
SAN IGNACIO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,7,7
SAN IGNACIO DE VELASCO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,1275,1275
SAN JAVIER(STC),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,232,232
SAN JOSE DE CHIQUITOS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,154,154
SAN JUAN DE YAPACANI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,68,68
SAN JULIAN,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,1176,1176
SAN LORENZO(PND),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,64,64
SAN LORENZO(TJA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,62,62
SAN LUCAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,866,866
SAN MATIAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,56,56
SAN MIGUEL DE VELASCO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,327,327
SAN PEDRO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,321,321
SAN PEDRO DE BUENA VISTA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,648,648
SAN PEDRO DE CURAHUARA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,55,55
SAN PEDRO DE QUEMES,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,20,20
SAN PEDRO DE TIQUINA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,68,68
SAN PEDRO(PND),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,38,38
SAN RAFAEL,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,99,99
SAN RAMON SCZ,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,167,167
SANTA ANA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,242,242
SANTA CRUZ DE LA SIERRA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,124,124
SANTA ROSA DEL SARA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,330,330
SANTIAGO DE CALLAPA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,34,34
SANTIAGO DE HUARI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,37,37
SANTIAGO DE HUATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,92,92
SANTIAGO DE MACHACA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,74,74
SANTIVAÑES,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,21,21
SANTUARIO DE QUILLACAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,74,74
SAPAHAQUI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,10,10
SENA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,79,79
SHINAOTA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,44,44
SICA SICA (VILLA AROMA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,18,18
SICAYA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,96,96
SIPE SIPE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,368,368
SOPACHUY,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,158,158
SORACACHI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-01-01,119,119
