municipality,group,variable,month,Total 8.2 Mujeres puérperas con dosis completa de hierro,TOTAL
PORTACHUELO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,48,48
PORVENIR,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
POTOSI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,355,355
PRESTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
PUCARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
PUCARANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,34,34
PUERTO ACOSTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,9,9
PUERTO CARABUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,11,11
PUERTO GONZALO MORENO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
PUERTO PEREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
PUERTO QUIJARRO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,12,12
PUERTO RICO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,11,11
PUERTO SUAREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,37,37
PUERTO VILLARROEL,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,144,144
PUNA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,19,19
PUNATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,78,78
QUIABAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
QUILLACOLLO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,164,164
QUIME,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
RAVELO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,11,11
REYES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,14,14
RIBERALTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,255,255
ROBORE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,25,25
RURRENABAQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,45,45
SABAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,5,5
SACABA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,182,182
SACABAMBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
SACACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,36,36
SAIPINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,20,20
SAMAIPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,15,15
SAN ANDRES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
SAN ANDRES DE MACHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,8,8
SAN BENITO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
SAN BORJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,78,78
SAN BUENA VENTURA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,17,17
SAN CARLOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,28,28
