,group,variable,month,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
POJO (CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-03-01,3,65,3,65,68
POOPO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,6,0,6,6
POROMA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,56,0,56,56
PORONGO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,10,15,10,15,25
POTOSI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,6,0,6,0,6
PUCARANI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,454,0,454,454
PUERTO CARABUCO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,93,0,93,93
PUERTO PEREZ,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,80,0,80,80
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,9,152,9,152,161
PUNATA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,6,0,6,0,6
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,120,1069,120,1069,1189
ROBORE,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,22,0,22,22
SACABA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,87,1550,87,1550,1637
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,40,0,40,40
SAN BENITO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,18,0,18,0,18
SAN BORJA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,34,501,34,501,535
SAN IGNACIO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,28,0,28,28
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,128,35,128,35,163
SAN JOAQUIN,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,70,0,70,70
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,950,0,950,0,950
SAN LUCAS,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,25,200,25,200,225
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,70,0,70,70
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,245,0,245,245
SAN RAMON SCZ,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,342,0,342,342
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,7481,11241,7481,11241,18722
SANTIAGO DE MACHACA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,9,0,9,9
SANTIVAÑES,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,52,0,52,52
SAPAHAQUI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,59,0,59,59
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2011-03-01,4,0,4,0,4
SORATA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,12,0,12,12
SUCRE,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,878,1298,878,1298,2176
TACOPAYA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,5,0,5,0,5
TAPACARI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,1,209,1,209,210
TARATA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,3,0,3,0,3
TARIJA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,76,0,76,76
TIPUANI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,2,3,2,3,5
TIQUIPAYA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,48,605,48,605,653
TIRAQUE (CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-03-01,10,0,10,0,10
TOCO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,33,0,33,33
TOLATA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,3,63,3,63,66
TOLEDO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,51,0,51,51
TORO TORO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,30,0,30,30
TOTORA(CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,10,0,10,10
TUPIZA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,15,0,15,15
TURCO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,2,0,2,0,2
VIACHA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,10,16,10,16,26
VILA VILA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,30,20,30,20,50
VILLA TUNARI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,27,167,27,167,194
VINTO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,232,128,232,128,360
WALDO BALLIVIAN,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,30,0,30,30
WARNES,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,125,141,125,141,266
YAMPARAEZ,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,243,0,243,243
YANACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,8,0,8,8
YAPACANI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,9,0,9,9
YOTALA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,3,17,3,17,20
ACHACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,126,0,126,126
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,15,0,15,15
ALALAY,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,5,88,5,88,93
ALTO BENI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,18,30,18,30,48
ANCORAIMES,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,78,0,78,78
ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,2,0,2,0,2
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,13,0,13,13
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,459,0,459,459
ARQUE,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,4,42,4,42,46
ATOCHA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,73,0,73,73
AZURDUY,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,40,110,40,110,150
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,197,0,197,197
BELEN DE ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,1,0,1,1
BERMEJO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,493,8507,493,8507,9000
BOLIVAR,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,1,106,1,106,107
CAIROMA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,7,75,7,75,82
CALAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,8,0,8,8
CAMARGO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,15,0,15,15
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,3,0,3,0,3
CARACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,20,0,20,20
CARANGAS,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,14,0,14,14
CARAPARI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,65,0,65,65
CATACORA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,19,0,19,19
CHALLAPATA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,20,0,20,20
CHARAÑA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,14,0,14,14
CHIMORE,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,18,0,18,18
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2011-04-01,12,164,12,164,176
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,19,2479,19,2479,2498
COCAPATA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,126,557,126,557,683
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,2234,1110,2234,1110,3344
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,11,1400,11,1400,1411
"COLCHA ""K""",otras vacunaciones,antirrabica en perros y gatos,2011-04-01,12,0,12,0,12
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,38,0,38,38
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,2,9,2,9,11
CONCEPCION,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,954,0,954,954
COPACABANA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,30,0,30,30
CORIPATA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,141,0,141,141
CORO CORO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,90,0,90,90
CORQUE,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,164,0,164,164
COTOCA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,2174,0,2174,2174
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,228,0,228,228
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,166,4988,166,4988,5154
EL CHORO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,10,59,10,59,69
EL TORNO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,10,0,10,0,10
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,116,0,116,116
ESCOMA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,3,5,3,5,8
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,30,55,30,55,85
GUTIERREZ,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,153,0,153,153
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,71,0,71,71
HUANUNI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,44,0,44,44
ICHOCA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,10,0,10,10
ICLA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,93,0,93,93
IXIAMAS,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,156,0,156,156
LA ASUNTA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,78,0,78,78
LA GUARDIA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,790,0,790,790
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,87,2407,87,2407,2494
LAS CARRERAS,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,99,0,99,99
MACHACAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,193,0,193,193
MINEROS,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,134,0,134,134
MIZQUE,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,5,571,5,571,576
MOJOCOYA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,10,381,10,381,391
MONTEAGUDO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,25,0,25,25
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,261,207,261,207,468
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,74,429,74,429,503
OCURI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,239,0,239,239
OKINAWA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,479,0,479,479
OMEREQUE,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,452,0,452,452
ORURO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,2696,0,2696,2696
PADCAYA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,10,0,10,10
PAILON,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,80,556,80,556,636
PALCA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,18,0,18,18
PATACAMAYA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,757,0,757,757
POCONA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,35,0,35,35
POJO (CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-04-01,2,186,2,186,188
POROMA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,24,0,24,24
PORONGO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,6,50,6,50,56
PORTACHUELO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,21,10,21,10,31
PUCARANI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,145,0,145,145
PUERTO CARABUCO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,10,0,10,10
PUERTO PEREZ,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,330,0,330,330
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,20,60,20,60,80
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,467,3304,467,3304,3771
QUIME,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,10,0,10,10
RAVELO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,10,0,10,10
SACABA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,879,533,879,533,1412
SACABAMBA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,599,0,599,599
SAN BENITO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,18,34,18,34,52
SAN BORJA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,50,174,50,174,224
SAN CARLOS,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,860,0,860,0,860
SAN IGNACIO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,18,28,18,28,46
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,23,12,23,12,35
SAN JAVIER(STC),otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,750,0,750,750
SAN JULIAN,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,136,0,136,136
SAN LUCAS,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,683,0,683,683
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,19,0,19,19
SAN PEDRO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,280,530,280,530,810
SAN RAMON SCZ,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,13,502,13,502,515
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,4978,4749,4978,4749,9727
SANTIAGO DE CALLAPA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,65,0,65,65
SANTIVAÑES,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,7,585,7,585,592
SAPAHAQUI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,77,0,77,77
SHINAOTA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,435,0,435,435
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2011-04-01,6,128,6,128,134
SIPE SIPE,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,263,9523,263,9523,9786
SOPACHUY,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,10,0,10,0,10
SUCRE,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,632,423,632,423,1055
TACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,50,0,50,50
TACACOMA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,10,0,10,10
TACOPAYA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,5,0,5,5
TAPACARI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,30,0,30,30
TARABUCO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,10,0,10,10
TARATA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,9,256,9,256,265
TARIJA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,717,0,717,717
TOLATA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,10,1977,10,1977,1987
TOLEDO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,4,4,4,4,8
TOTORA(CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,84,0,84,84
TURCO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,20,0,20,20
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,7,0,7,7
UYUNI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,207,0,207,207
VACAS,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,62,36,62,36,98
VIACHA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,490,0,490,490
VILA VILA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,4,16,4,16,20
VILLA TUNARI,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,70,287,70,287,357
VILLAZON,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,0,20,0,20,20
VINTO,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,86,260,86,260,346
WARNES,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,72,360,72,360,432
YAMPARAEZ,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,414,381,414,381,795
YOTALA,otras vacunaciones,antirrabica en perros y gatos,2011-04-01,29,155,29,155,184
ACHACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,34,0,34,34
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,18,1078,18,1078,1096
ALALAY,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,219,0,219,219
ANCORAIMES,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,40,0,40,40
ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,2,0,2,2
ANTEQUERA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,13,0,13,13
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,354,0,354,354
ARANI,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,50,3071,50,3071,3121
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,119,2492,119,2492,2611
ARQUE,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,20,576,20,576,596
AZURDUY,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,50,0,50,50
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,39,0,39,39
BAURES,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,60,10,60,10,70
BELEN DE ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,11,0,11,11
BERMEJO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,44,287,44,287,331
BETANZOS,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,10,0,10,10
BOLIVAR,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,265,0,265,265
CALACOTO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,20,0,20,20
CALAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,10,60,10,60,70
CAMARGO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,16,0,16,16
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,22,2,22,2,24
CARACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,30,0,30,30
CARAPARI,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,55,0,55,55
CATACORA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,20,0,20,20
CHACARILLA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,5,0,5,5
CHALLAPATA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,76,0,76,76
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2011-05-01,1,460,1,460,461
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,47,2874,47,2874,2921
COCAPATA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,211,1071,211,1071,1282
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,768,176488,768,176488,177256
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,68,10008,68,10008,10076
"COLCHA ""K""",otras vacunaciones,antirrabica en perros y gatos,2011-05-01,1,0,1,0,1
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,85,3668,85,3668,3753
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,14,10,14,10,24
COMANCHE,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,35,0,35,35
CONCEPCION,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,255,0,255,255
CORIPATA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,254,0,254,254
CORQUE,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,15,186,15,186,201
COTAGAITA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,740,0,740,740
COTOCA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,1823,0,1823,1823
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antirrabica en perros y gatos,2011-05-01,5,30,5,30,35
CULPINA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,22,0,22,22
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,19,0,19,19
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,76,2380,76,2380,2456
EL CHORO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,3,90,3,90,93
EL PUENTE(STC),otras vacunaciones,antirrabica en perros y gatos,2011-05-01,100,287,100,287,387
EL TORNO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,4149,0,4149,4149
ESCOMA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,6,2,6,2,8
EUCALIPTUS,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,6,0,6,6
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,9,115,9,115,124
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,1,20,1,20,21
GUTIERREZ,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,495,0,495,495
ICHOCA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,20,0,20,20
IXIAMAS,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,153,0,153,153
LA ASUNTA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,20,0,20,20
LA GUARDIA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,8,4650,8,4650,4658
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,60,868,60,868,928
LAS CARRERAS,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,162,0,162,162
LICOMA PAMPA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,40,30,40,30,70
MALLA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,20,0,20,20
MINEROS,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,1200,0,1200,0,1200
MIZQUE,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,28,2852,28,2852,2880
MOCOMOCO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,10,0,10,10
MONTEAGUDO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,48,0,48,48
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,616,44,616,44,660
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,405,1386,405,1386,1791
OCURI,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,1,48,1,48,49
OKINAWA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,2339,0,2339,2339
OMEREQUE,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,425,0,425,425
ORURO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,32,2624,32,2624,2656
PADCAYA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,40,0,40,40
PAILON,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,5764,0,5764,5764
PALCA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,30,0,30,30
PAPEL PAMPA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,10,0,10,10
PASORAPA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,94,765,94,765,859
PATACAMAYA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,53,0,53,53
POCONA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,225,2230,225,2230,2455
POJO (CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-05-01,396,643,396,643,1039
PORVENIR,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,68,0,68,0,68
POTOSI,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,2,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,39,116,39,116,155
PUNATA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,8335,2015,8335,2015,10350
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,5224,25289,5224,25289,30513
SACABA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,2725,20265,2725,20265,22990
SACABAMBA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,485,0,485,485
SACACA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,13,0,13,13
SAN BENITO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,54,4075,54,4075,4129
SAN BORJA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,2157,0,2157,2157
SAN IGNACIO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,9,112,9,112,121
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,51,53,51,53,104
SAN JAVIER(BNI),otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,6,0,6,6
SAN JAVIER(STC),otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,742,0,742,742
SAN LUCAS,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,171,93,171,93,264
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,53,0,53,53
SAN PEDRO,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,323,2498,323,2498,2821
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,38,0,38,38
SANTA ANA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,3002,0,3002,3002
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,276,5082,276,5082,5358
SANTIAGO DE CALLAPA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,12,155,12,155,167
SANTIVAÑES,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,1,494,1,494,495
SAPAHAQUI,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,47,0,47,47
SHINAOTA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,59,912,59,912,971
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2011-05-01,0,1734,0,1734,1734
SICAYA,otras vacunaciones,antirrabica en perros y gatos,2011-05-01,3,435,3,435,438
