municipality,group,variable,month,Niños 1 a 4 años con 2da dosis de vitamina A,TOTAL
PUERTO GONZALO MORENO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,14,14
PUERTO PEREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,10,10
PUERTO QUIJARRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,52,52
PUERTO RICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,19,19
PUERTO SILES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,7,7
PUERTO SUAREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,29,29
PUERTO VILLARROEL,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,83,83
PUNA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,69,69
PUNATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,23,23
QUILLACOLLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,150,150
QUIME,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,1,1
SACABA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,12,12
SACABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,18,18
SAN ANDRES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,46,46
SAN ANDRES DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,3,3
SAN BENITO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,1,1
SAN BUENA VENTURA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,34,34
SAN IGNACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,56,56
SAN JOAQUIN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,12,12
SAN JULIAN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,49,49
SAN LORENZO(PND),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,14,14
SAN LORENZO(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,34,34
SAN MATIAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,37,37
SAN PEDRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,26,26
SAN PEDRO DE CURAHUARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,8,8
SAN PEDRO(PND),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,8,8
SAN RAMON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,15,15
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,448,448
SANTIAGO DE CALLAPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,3,3
SENA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,8,8
SICAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,9,9
SIPE SIPE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,13,13
SORATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,50,50
TACOPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,76,76
TAPACARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,62,62
TARACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,13,13
TARATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,15,15
TARIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,296,296
TEOPONTE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,6,6
TIAWANACU,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,19,19
TIPUANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,26,26
TIQUIPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,27,27
TIRAQUE (CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,26,26
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,3,3
TOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,4,4
TOLATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,7,7
TOTORA(CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,16,16
TOTORA(ORR),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,3,3
TRINIDAD,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,355,355
UMALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,2,2
URIONDO (A. CONCEPCION),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,49,49
VIACHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,97,97
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,5,5
VILLA TUNARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,88,88
VINTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,10,10
VITICHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,6,6
WARNES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,5,5
YACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,8,8
YACUIBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,56,56
YANACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,64,64
YUNCHARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-04-01,61,61
ACHACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,5,5
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,23,23
ANTEQUERA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,4,4
APOLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,8,8
ARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,6,6
ARBIETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,2,2
ARQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,18,18
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,4,4
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,59,59
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,40,40
BATALLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,32,32
BAURES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,6,6
BELLA FLOR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,220,220
BETANZOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
BOLIVAR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,17,17
BOLPEBRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,6,6
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,9,9
CABEZAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,10,10
CAIROMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,6,6
"CAIZA ""D""",micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,11,11
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,18,18
CALACOTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,17,17
CAMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,92,92
CAPINOTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,31,31
CAQUIAVIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
CARACOLLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
CARANAVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,160,160
CARAPARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,63,63
CARMEN RIVERO TORREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,12,12
CHACARILLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,55,55
CHARAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,18,18
CHAYANTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,8,8
CHIMORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,26,26
CHOQUE COTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,22,22
CHUMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,19,19
CLIZA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,14,14
COBIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,53,53
COCHABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,600,600
COLCAPIRHUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,19,19
COLOMI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,7,7
COLQUECHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,22,22
COLQUIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,27,27
COMANCHE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,6,6
COPACABANA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,30,30
CORIPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,52,52
COROICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,29,29
CURAHUARA DE CARANGAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,8,8
CURVA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,12,12
DESAGUADERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,57,57
EL ALTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1029,1029
EL PUENTE(STC),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,40,40
EL PUENTE(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,9,9
ENTRE RIOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,14,14
EUREKA (SANTOS MERCADO),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,5,5
EXALTACION,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,43,43
FERNANDEZ ALONSO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,89,89
FILADELFIA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,106,106
GUANAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,49,49
GUAQUI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,26,26
GUTIERREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,37,37
HUANUNI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,2,2
HUARACAJE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,2,2
INGAVI (HUMAITA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
IRUPANA (VILLA DE LANZA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,29,29
IXIAMAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,17,17
JESUS DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,17,17
LA ASUNTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,121,121
LA PAZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,2270,2270
LAGUNILLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,34,34
LAJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,39,39
LLALLAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,2,2
LORETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,4,4
LURIBAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,2,2
MAGDALENA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
MAPIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,72,72
MECAPACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,15,15
MIZQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
MOCOMOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,75,75
MONTERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,25,25
MOROCHATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,58,58
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
PADCAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,33,33
PAILON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,11,11
PALCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,10,10
PALOS BLANCOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,63,63
PATACAMAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,47,47
PELECHUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,24,24
POCOATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,9,9
POCONA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
POJO (CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,16,16
PORONGO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,21,21
PORVENIR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,6,6
POTOSI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,22,22
PUCARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,33,33
PUERTO ACOSTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,43,43
PUERTO CARABUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,44,44
PUERTO GONZALO MORENO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,9,9
PUERTO PEREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,23,23
PUERTO QUIJARRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,33,33
PUERTO RICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,18,18
PUERTO SILES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
PUERTO SUAREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,35,35
PUERTO VILLARROEL,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,53,53
PUNA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,108,108
PUNATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,22,22
QUILLACOLLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,84,84
QUIME,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
ROBORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
SACABA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,62,62
SACABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,5,5
SAN ANDRES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,28,28
SAN ANDRES DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,13,13
SAN BENITO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,12,12
SAN BUENA VENTURA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,15,15
SAN IGNACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,105,105
SAN JAVIER(BNI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
SAN JOAQUIN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,31,31
SAN JOSE DE CHIQUITOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
SAN JULIAN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,11,11
SAN LORENZO(PND),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,17,17
SAN LORENZO(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,62,62
SAN MATIAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,39,39
SAN PABLO DE LIPEZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,29,29
SAN PEDRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,40,40
SAN PEDRO DE CURAHUARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,5,5
SAN RAMON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,40,40
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,364,364
SANTIAGO DE CALLAPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,5,5
SENA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,27,27
SICA SICA (VILLA AROMA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,13,13
SICAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,8,8
SIPE SIPE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,55,55
SORACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,12,12
SORATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,41,41
TACOPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,31,31
TAPACARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,61,61
TARACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,15,15
TARATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,20,20
TARIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,392,392
TEOPONTE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,54,54
TIAWANACU,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,44,44
TINGUIPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
TIPUANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,48,48
TIQUIPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,103,103
TIRAQUE (CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,49,49
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,2,2
TOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
TOLATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,7,7
TOTORA(CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,27,27
TOTORA(ORR),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,5,5
TRINIDAD,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,282,282
UMALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,1,1
URIONDO (A. CONCEPCION),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,40,40
VIACHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,84,84
VILLA TUNARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,91,91
VINTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,17,17
WARNES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,3,3
YACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,19,19
YACUIBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,64,64
YANACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,5,5
YOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,8,8
YUNCHARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-05-01,6,6
ACACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,30,30
ACHACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,29,29
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,16,16
AIQUILE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,77,77
ALALAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,3,3
ALCALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,3,3
ANCORAIMES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,51,51
ANTEQUERA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,1,1
ANZALDO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,15,15
APOLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,23,23
ARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,28,28
ARBIETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,26,26
ARQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,69,69
ATOCHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,71,71
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,4,4
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,39,39
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,52,52
BATALLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,61,61
BAURES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,3,3
BELLA FLOR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,1,1
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,105,105
BETANZOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,80,80
BOLIVAR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,57,57
BOLPEBRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,3,3
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,7,7
BUENA VISTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,65,65
CABEZAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,40,40
CAIROMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,73,73
"CAIZA ""D""",micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,1,1
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-06-01,28,28
