municipality,group,variable,month,Mujeres puérperas que recibieron dosis única d,TOTAL
PADILLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,22,22
PAILON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,27,27
PALCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
PALOS BLANCOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,44,44
PAMPA AULLAGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
PAMPA GRANDE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,14,14
PAPEL PAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,5,5
PASORAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
PATACAMAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,17,17
PAZÑA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,13,13
PELECHUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
POCOATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,29,29
POCONA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,19,19
POJO (CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,13,13
POOPO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
PORCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
POROMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,31,31
PORONGO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,10,10
PORTACHUELO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,39,39
PORVENIR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
POTOSI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,235,235
PRESTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,14,14
PUCARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,3,3
PUCARANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,34,34
PUERTO ACOSTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,30,30
PUERTO CARABUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,10,10
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,13,13
PUERTO PEREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
PUERTO QUIJARRO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,11,11
PUERTO RICO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,14,14
PUERTO SILES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,2,2
PUERTO SUAREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,20,20
PUERTO VILLARROEL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,104,104
PUNA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,56,56
PUNATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,43,43
QUIABAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,4,4
QUILLACOLLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,159,159
QUIME,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
QUIRUSILLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,2,2
RAVELO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,26,26
REYES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,19,19
RIBERALTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,152,152
ROBORE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,34,34
SABAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,5,5
SACABA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,115,115
SACABAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,10,10
SACACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,31,31
SAIPINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,9,9
SAMAIPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,19,19
SAN AGUSTIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,5,5
SAN ANDRES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,12,12
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,4,4
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,14,14
SAN BENITO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,8,8
SAN BORJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,79,79
SAN BUENA VENTURA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,27,27
SAN CARLOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,54,54
SAN IGNACIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,43,43
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,122,122
SAN JAVIER(BNI),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
SAN JAVIER(STC),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,27,27
SAN JOAQUIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,12,12
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,32,32
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,19,19
SAN JULIAN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,83,83
SAN LORENZO(PND),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,4,4
SAN LORENZO(TJA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,25,25
SAN LUCAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,66,66
SAN MATIAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,15,15
SAN MIGUEL DE VELASCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,13,13
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,4,4
SAN PEDRO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,18,18
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,35,35
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,5,5
SAN PEDRO(PND),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1,1
SAN RAFAEL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,11,11
SAN RAMON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,19,19
SAN RAMON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,34,34
SANTA ANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1650,1650
SANTA ROSA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,24,24
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,23,23
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,4,4
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,5,5
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,3,3
SANTIVAÑES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,3,3
SAPAHAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
SENA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,8,8
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,32,32
SICAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,4,4
SIPE SIPE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,39,39
SOPACHUY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,18,18
SORACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,12,12
SORATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,26,26
SUCRE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,264,264
TACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1,1
TACACOMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,13,13
TACOBAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,10,10
TACOPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,34,34
TAHUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,4,4
TAPACARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,43,43
TARABUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,43,43
TARACO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1,1
TARATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
TARIJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,253,253
TARVITA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,27,27
TEOPONTE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
TIAWANACU,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,15,15
TINGUIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,22,22
TIPUANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,16,16
TIQUIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,57,57
TIRAQUE (CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,79,79
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1,1
TOCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,5,5
TOLATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,3,3
TOLEDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,8,8
TOMAVE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
TOMINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,12,12
TORO TORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,10,10
TOTORA(CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,22,22
TOTORA(ORR),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,3,3
TRIGAL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1,1
TRINIDAD,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,283,283
TUPIZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,55,55
TURCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,4,4
UMALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
UNCIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,52,52
URIONDO (A. CONCEPCION),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,12,12
URUBICHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,11,11
UYUNI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,12,12
VACAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,26,26
VALLEGRANDE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,24,24
VIACHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,32,32
VILA VILA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,9,9
VILLA MONTES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,66,66
VILLA NUEVA (LOMA ALTA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1,1
VILLA RIVERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
VILLA SERRANO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,15,15
VILLA TUNARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,111,111
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,13,13
VILLAZON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,42,42
VINTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,20,20
VITICHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,7,7
WALDO BALLIVIAN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,1,1
WARNES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,87,87
YACO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,9,9
YACUIBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,99,99
YAMPARAEZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,16,16
YANACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
YAPACANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,84,84
YOCALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,3,3
YOTALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,15,15
YUNCHARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,6,6
ZUDAÑEZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-04-01,11,11
ACACIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,13,13
ACHACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,52,52
ACHOCALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
AIQUILE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
ALALAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
ALCALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,1,1
ANCORAIMES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,15,15
ANDAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,7,7
ANTEQUERA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
ANZALDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,10,10
APOLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,32,32
ARAMPAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,13,13
ARANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,14,14
ARBIETO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,6,6
ARQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,6,6
ATOCHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,8,8
AUCAPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
AYATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,22,22
AYO AYO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,31,31
AZURDUY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,30,30
BATALLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,9,9
BAURES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,8,8
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,8,8
BELLA FLOR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
BERMEJO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,32,32
BETANZOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,51,51
BOLIVAR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,18,18
BOLPEBRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
BOYUIBE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,9,9
BUENA VISTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,16,16
CABEZAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,17,17
CAIROMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
"CAIZA ""D""",micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,13,13
CAJUATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,17,17
CALACOTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,10,10
CALAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,14,14
CAMARGO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,28,28
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,4,4
CAMIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,66,66
CAPINOTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,38,38
CAQUIAVIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,13,13
CARACOLLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,21,21
CARANAVI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,60,60
CARAPARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,8,8
CARIPUYO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,16,16
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,10,10
CATACORA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,1,1
CHACARILLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,3,3
CHALLAPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,46,46
CHAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,10,10
CHARAGUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,51,51
CHARAÑA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,4,4
CHAYANTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,31,31
CHIMORE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,16,16
CHIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,6,6
CHOQUE COTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,25,25
CHUMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,17,17
CLIZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,16,16
COBIJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,97,97
COCHABAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,358,358
COLCAPIRHUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,30,30
"COLCHA ""K""",micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
COLLANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,1,1
COLOMI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,26,26
COLPA BELGICA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,10,10
COLQUECHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,46,46
COLQUENCHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,8,8
COLQUIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,37,37
COMANCHE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,7,7
COMARAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,28,28
COMBAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,3,3
CONCEPCION,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,43,43
COPACABANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,15,15
CORIPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,5,5
CORO CORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,10,10
COROICO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,22,22
CORQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,3,3
COTAGAITA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,45,45
COTOCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,67,67
CUATRO CAÑADAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,28,28
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
CUEVO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,6,6
CULPINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,17,17
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
CURVA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,3,3
DESAGUADERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,7,7
EL ALTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,941,941
EL CHORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
EL PUENTE(STC),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,28,28
EL PUENTE(TJA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,8,8
EL TORNO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,76,76
EL VILLAR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,9,9
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,21,21
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,25,25
EUCALIPTUS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,3,3
EXALTACION,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,3,3
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,23,23
FILADELFIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,6,6
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,17,17
GUANAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,22,22
GUAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,1,1
GUAYARAMERIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,65,65
GUTIERREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,25,25
HUACARETA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,10,10
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,1,1
HUACHACALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
HUANUNI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,25,25
HUARACAJE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,7,7
HUAYLLAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,5,5
ICHOCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,9,9
ICLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,17,17
INCAHUASI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,34,34
INQUISIVI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,32,32
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
IXIAMAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,11,11
JESUS DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,13,13
LA ASUNTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,46,46
LA GUARDIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,60,60
LA PAZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,947,947
LAGUNILLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
LAJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,15,15
LAS CARRERAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,2,2
LICOMA PAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,7,7
LLALLAGUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,68,68
LLICA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,9,9
LORETO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,3,3
LURIBAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,16,16
MACHACAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,4,4
MACHARETI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,12,12
MAGDALENA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,15,15
MAIRANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,21,21
MALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-05-01,5,5
