municipality,group,variable,month,Niños menores de 5 años con 1ra dosis de hier,TOTAL
CAMARGO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,6,6
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,34,34
CAMIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,75,75
CAPINOTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,4,4
CAQUIAVIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,92,92
CARAPARI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,18,18
CHALLAPATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,1,1
CHARAGUA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,113,113
CHARAÑA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,39,39
CHAYANTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,212,212
CHOQUE COTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,2,2
CHUMA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,31,31
COBIJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,122,122
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,138,138
COIPASA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
"COLCHA ""K""",micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,4,4
COLPA BELGICA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,15,15
COMANCHE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,71,71
CORO CORO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,94,94
COROICO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,15,15
CORQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,9,9
COTAGAITA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,71,71
COTOCA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,102,102
CUEVO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,21,21
CULPINA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,119,119
EL ALTO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,936,936
EL PUENTE(STC),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,57,57
EL PUENTE(TJA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,10,10
EL TORNO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,207,207
EL VILLAR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,17,17
EUREKA (SANTOS MERCADO),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,12,12
EXALTACION,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,2,2
FERNANDEZ ALONSO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,64,64
FILADELFIA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,33,33
GENERAL SAAVEDRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,11,11
GUAQUI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,3,3
GUAYARAMERIN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,24,24
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,21,21
HUACARETA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,68,68
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,13,13
HUARACAJE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
ICLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,30,30
INCAHUASI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,81,81
IXIAMAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,8,8
JESUS DE MACHACA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,29,29
LA GUARDIA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,221,221
LA PAZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,1099,1099
LAGUNILLAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,50,50
LAJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,43,43
LAS CARRERAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,24,24
LLICA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,15,15
LORETO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,7,7
LURIBAY,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,32,32
MACHARETI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,72,72
MAGDALENA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,42,42
MAIRANA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,1,1
MALLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,14,14
MINEROS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,4,4
MOCOMOCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,46,46
MOJOCOYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
MONTEAGUDO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,125,125
MONTERO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,96,96
MOROCHATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,2,2
NAZACARA DE PACAJES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,8,8
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,13,13
OKINAWA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,58,58
ORURO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,102,102
PADCAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,19,19
PADILLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,74,74
PAILON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,111,111
PAMPA GRANDE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,38,38
POCONA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,9,9
POOPO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,3,3
POROMA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,45,45
PORTACHUELO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,74,74
PORVENIR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,20,20
POTOSI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,73,73
PRESTO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,83,83
PUERTO ACOSTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,16,16
PUERTO CARABUCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,16,16
PUERTO GONZALO MORENO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,13,13
PUERTO RICO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,17,17
PUERTO SUAREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,9,9
PUNA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,9,9
PUNATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,6,6
QUILLACOLLO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,26,26
QUIRUSILLAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,6,6
REYES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,24,24
RIBERALTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,64,64
ROBORE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,2,2
RURRENABAQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
SAMAIPATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,50,50
SAN AGUSTIN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,33,33
SAN ANDRES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,46,46
SAN ANDRES DE MACHACA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
SAN BENITO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,1,1
SAN BORJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,91,91
SAN IGNACIO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,11,11
SAN IGNACIO DE VELASCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,55,55
SAN JAVIER(BNI),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,4,4
SAN JAVIER(STC),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,30,30
SAN JOSE DE CHIQUITOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,4,4
SAN JUAN DE YAPACANI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,19,19
SAN JULIAN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,11,11
SAN LORENZO(PND),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,17,17
SAN LORENZO(TJA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,19,19
SAN LUCAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,401,401
SAN MIGUEL DE VELASCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
SAN PEDRO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,44,44
SAN PEDRO(PND),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
SAN RAFAEL,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,21,21
SAN RAMON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,72,72
SANTA ANA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,11,11
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,1170,1170
SANTA ROSA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,86,86
SANTA ROSA DEL SARA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,7,7
SANTIAGO DE MACHACA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,6,6
SANTIVAÑES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,7,7
SENA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,24,24
SICA SICA (VILLA AROMA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,1,1
SICAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,10,10
SIPE SIPE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,2,2
SORACACHI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,6,6
SORATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,16,16
SUCRE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,679,679
TACOBAMBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,24,24
TACOPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,25,25
TAPACARI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,44,44
TARABUCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,182,182
TARACO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,5,5
TARIJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,94,94
TIAWANACU,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,66,66
TINGUIPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,50,50
TOMINA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,55,55
TOTORA(ORR),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,6,6
TRINIDAD,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,175,175
TUPIZA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,1,1
URIONDO (A. CONCEPCION),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,11,11
VILLA MONTES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,2,2
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,30,30
VILLA SERRANO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,89,89
VILLAZON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,3,3
VINTO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,2,2
WARNES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,198,198
YACUIBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,11,11
YAMPARAEZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,83,83
YAPACANI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,10,10
YOTALA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,54,54
YUNCHARA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,14,14
ZUDAÑEZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-05-01,37,37
ACHACACHI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,49,49
AIQUILE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,8,8
ALALAY,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,2,2
ALCALA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,15,15
ANCORAIMES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,3,3
APOLO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,20,20
ARANI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,42,42
ARBIETO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,13,13
ARQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,22,22
ASCENCION DE GUARAYOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,345,345
ATOCHA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,40,40
AUCAPATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,27,27
BAURES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,7,7
BELEN DE URMIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,2,2
BELLA FLOR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,3,3
BERMEJO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,178,178
BETANZOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,19,19
BOLIVAR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,90,90
BOYUIBE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,27,27
BUENA VISTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,66,66
CABEZAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,15,15
CAIROMA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,73,73
CAMARGO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,183,183
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,11,11
CAMIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,77,77
CAPINOTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,95,95
CAQUIAVIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,29,29
CARANAVI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,2,2
CARAPARI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,23,23
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,48,48
CATACORA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,1,1
CHAQUI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,4,4
CHARAGUA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,124,124
CHARAÑA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,7,7
CHAYANTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,32,32
CHIPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,8,8
CHUMA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,9,9
COBIJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,155,155
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,311,311
COLCAPIRHUA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,2,2
COLQUECHACA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,7,7
COLQUENCHA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,8,8
COMANCHE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,21,21
CORO CORO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,46,46
COROICO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,38,38
CORQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,32,32
COTAGAITA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,27,27
CUEVO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,28,28
CULPINA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,73,73
EL ALTO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,1206,1206
EL CHORO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,1,1
EL PUENTE(TJA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,4,4
EL TORNO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,98,98
EL VILLAR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,4,4
EUREKA (SANTOS MERCADO),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,10,10
EXALTACION,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,14,14
FERNANDEZ ALONSO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,114,114
FILADELFIA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,13,13
GENERAL SAAVEDRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,39,39
GUANAY,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,9,9
GUAQUI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,6,6
GUAYARAMERIN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,33,33
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,28,28
HUACARETA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,90,90
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,15,15
ICLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,77,77
INCAHUASI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,108,108
INGAVI (HUMAITA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,12,12
JESUS DE MACHACA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,29,29
LA ASUNTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,1,1
LA GUARDIA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,241,241
LA PAZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,1265,1265
LAGUNILLAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,29,29
LAJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,59,59
LAS CARRERAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,63,63
LLICA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,2,2
LORETO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,14,14
LURIBAY,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,34,34
MACHARETI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,52,52
MAGDALENA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,55,55
MAIRANA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,18,18
MALLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,23,23
MECAPACA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,9,9
MINEROS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,146,146
MOCOMOCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,54,54
MOJOCOYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,35,35
MONTEAGUDO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,98,98
MONTERO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,101,101
MOROCHATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,20,20
NAZACARA DE PACAJES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,5,5
OCURI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,39,39
OKINAWA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,30,30
OMEREQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,1,1
ORURO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,2,2
PADCAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,14,14
PADILLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,71,71
PAILON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,13,13
PALCA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,17,17
PAMPA AULLAGAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,3,3
PAMPA GRANDE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,26,26
PASORAPA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,3,3
POCONA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,20,20
POOPO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,1,1
POROMA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,23,23
PORTACHUELO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,11,11
PORVENIR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,5,5
POTOSI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,19,19
PRESTO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,47,47
PUERTO ACOSTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,29,29
PUERTO CARABUCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,26,26
PUERTO GONZALO MORENO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,23,23
PUERTO QUIJARRO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,20,20
PUERTO RICO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,25,25
PUERTO SUAREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,6,6
PUNA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,42,42
PUNATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,9,9
QUILLACOLLO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,76,76
QUIRUSILLAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,5,5
RAVELO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,48,48
REYES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,34,34
RIBERALTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,186,186
ROBORE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,123,123
RURRENABAQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-06-01,9,9
