municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas d,TOTAL
CAMARGO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,31,31
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
CAMIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
CAPINOTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,33,33
CAQUIAVIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
CARACOLLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,28,28
CARANAVI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,136,136
CARAPARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,16,16
CARIPUYO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,15,15
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
CATACORA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
CHALLAPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,42,42
CHAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
CHARAGUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,40,40
CHARAÑA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
CHAYANTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,29,29
CHIMORE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,34,34
CHIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
CHOQUE COTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,80,80
CHUMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,19,19
CLIZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
COBIJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,88,88
COCHABAMBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,48,48
COLCAPIRHUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
"COLCHA ""K""",micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
COLLANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,8,8
COLOMI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,33,33
COLPA BELGICA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,13,13
COLQUECHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,71,71
COLQUENCHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
COLQUIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,34,34
COMANCHE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
COMARAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,43,43
COMBAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
COPACABANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
CORIPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,19,19
CORO CORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,8,8
COROICO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,11,11
CORQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
COTAGAITA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,32,32
COTOCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
CUATRO CAÑADAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
CUEVO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
CULPINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,30,30
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
CURVA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
DESAGUADERO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
EL ALTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1032,1032
EL CHORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
EL PUENTE(STC),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,17,17
EL PUENTE(TJA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
EL TORNO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,87,87
EL VILLAR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,26,26
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,28,28
ESCARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
EUCALIPTUS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,14,14
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
EXALTACION,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,19,19
FILADELFIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,30,30
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,19,19
GUANAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
GUAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
GUAYARAMERIN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,61,61
GUTIERREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
HUACARETA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
HUANUNI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,25,25
HUARACAJE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
HUAYLLAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
ICHOCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
ICLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,18,18
INCAHUASI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,120,120
INQUISIVI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,11,11
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
IXIAMAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
JESUS DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,11,11
LA ASUNTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,67,67
LA GUARDIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
LA PAZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,776,776
LAGUNILLAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,16,16
LAJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,30,30
LAS CARRERAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
LICOMA PAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
LLALLAGUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
LLICA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,11,11
LORETO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
LURIBAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
MACHACAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
MACHARETI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
MAGDALENA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
MALLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
MAPIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
MECAPACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,13,13
MINEROS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,17,17
MIZQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
MOCOMOCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,21,21
MOJOCOYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
MONTEAGUDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,33,33
MONTERO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,67,67
MOROCHATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
NAZACARA DE PACAJES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
OCURI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,47,47
OKINAWA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,11,11
OMEREQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
ORURO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,254,254
PADCAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,22,22
PADILLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,30,30
PALCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
PALOS BLANCOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,43,43
PAMPA AULLAGAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
PAMPA GRANDE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
PAPEL PAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
PASORAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
PATACAMAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
PAZÑA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
PELECHUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
POCOATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,33,33
POCONA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,18,18
POJO (CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,19,19
POOPO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
PORCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
POROMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,33,33
PORONGO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,8,8
PORTACHUELO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,21,21
PORVENIR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
POSTRER VALLE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
POTOSI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,273,273
PRESTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,18,18
PUCARANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,21,21
PUERTO ACOSTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,35,35
PUERTO CARABUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,19,19
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,10,10
PUERTO PEREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
PUERTO RICO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
PUERTO SILES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
PUERTO SUAREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
PUERTO VILLARROEL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,18,18
PUNA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,52,52
PUNATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
QUIABAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
QUILLACOLLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,16,16
QUIME,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
QUIRUSILLAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
RAVELO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,29,29
REYES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
RIBERALTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,160,160
ROBORE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
RURRENABAQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
SABAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
SACABA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
SACABAMBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
SACACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,46,46
SAIPINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,10,10
SAMAIPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
SAN ANDRES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
SAN BENITO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,15,15
SAN BORJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,31,31
SAN BUENA VENTURA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,21,21
SAN CARLOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
SAN IGNACIO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,57,57
SAN JAVIER(BNI),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
SAN JAVIER(STC),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
SAN JOAQUIN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,10,10
SAN JULIAN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,39,39
SAN LORENZO(PND),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,16,16
SAN LORENZO(TJA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,23,23
SAN LUCAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,76,76
SAN MATIAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,8,8
SAN MIGUEL DE VELASCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
SAN PEDRO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,29,29
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,41,41
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
SAN RAFAEL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,8,8
SAN RAMON,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,14,14
SANTA ANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,321,321
SANTA ROSA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,30,30
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
SANTIVAÑES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
SAPAHAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,10,10
SENA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,27,27
SICAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
SIPE SIPE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,26,26
SOPACHUY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,18,18
SORACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
SORATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,15,15
SUCRE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,348,348
TACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
TACACOMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
TACOBAMBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,15,15
TACOPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,26,26
TAHUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
TAPACARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,51,51
TARABUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,45,45
TARACO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
TARIJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,221,221
TARVITA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,26,26
TEOPONTE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,16,16
TIAWANACU,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
TINGUIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,45,45
TIPUANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,16,16
TIQUIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,11,11
TIRAQUE (CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,56,56
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
TODOS SANTOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
TOLEDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
TOMAVE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,4,4
TOMINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,9,9
TORO TORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,15,15
TOTORA(CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,13,13
TOTORA(ORR),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,10,10
TRIGAL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
TRINIDAD,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,335,335
TUPIZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,59,59
TURCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
UMALA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
UNCIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,45,45
URIONDO (A. CONCEPCION),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
URUBICHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
UYUNI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,28,28
VACAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,24,24
VALLEGRANDE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,30,30
VIACHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,32,32
VILA VILA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
VILLA MONTES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,71,71
VILLA NUEVA (LOMA ALTA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,3,3
VILLA RIVERO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
VILLA SERRANO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,6,6
VILLA TUNARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,167,167
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,20,20
VILLAZON,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,25,25
VINTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,12,12
VITICHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,7,7
WALDO BALLIVIAN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,2,2
WARNES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,42,42
YACO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,15,15
YACUIBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,100,100
YAMPARAEZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,19,19
YANACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,1,1
YAPACANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,66,66
YOCALLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,5,5
YOTALA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,16,16
YUNCHARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,13,13
ZUDAÑEZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-03-01,18,18
ACACIO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,4,4
ACHACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,70,70
ACHOCALLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,7,7
AIQUILE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,5,5
ALALAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,7,7
ALCALA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,3,3
ANCORAIMES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,19,19
ANDAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,5,5
ANTEQUERA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,2,2
ANZALDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,5,5
APOLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,28,28
ARAMPAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,11,11
ARANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,12,12
ARBIETO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,3,3
ARQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,7,7
ATOCHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,7,7
AUCAPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,17,17
AYATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,10,10
AYO AYO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,19,19
AZURDUY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,33,33
BATALLAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-04-01,14,14
