municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas,TOTAL
COCHABAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,208,208
COIPASA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
COLCAPIRHUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,54,54
"COLCHA ""K""",micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,23,23
COLLANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
COLOMI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
COLPA BELGICA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
COLQUECHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,76,76
COLQUENCHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,13,13
COLQUIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,53,53
COMANCHE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
COMARAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,20,20
COMBAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
CONCEPCION,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,114,114
COPACABANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,19,19
CORIPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,15,15
CORO CORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,15,15
COROICO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,31,31
CORQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
COTAGAITA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,38,38
COTOCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
CUATRO CAÑADAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,47,47
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
CUEVO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
CULPINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,23,23
CURAHUARA DE CARANGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
CURVA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
DESAGUADERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,14,14
EL ALTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1203,1203
EL CHORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
EL PUENTE(STC),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,18,18
EL PUENTE(TJA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,29,29
EL TORNO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,90,90
EL VILLAR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,8,8
ENTRE RIOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,20,20
ENTRE RIOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,39,39
EUCALIPTUS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,8,8
EUREKA (SANTOS MERCADO),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,4,4
EXALTACION,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
FERNANDEZ ALONSO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,40,40
FILADELFIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
GENERAL SAAVEDRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,49,49
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,17,17
GUANAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,37,37
GUAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,10,10
GUAYARAMERIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,99,99
GUTIERREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,25,25
HUACARETA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,21,21
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
HUACHACALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
HUANUNI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,64,64
HUARACAJE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,13,13
HUAYLLAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
ICHOCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,13,13
ICLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,32,32
INCAHUASI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,81,81
INGAVI (HUMAITA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
INQUISIVI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,34,34
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,41,41
IXIAMAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,18,18
JESUS DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,20,20
LA ASUNTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,139,139
LA GUARDIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,65,65
LA PAZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1367,1367
LAGUNILLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
LAJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,25,25
LAS CARRERAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
LICOMA PAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,8,8
LLALLAGUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,51,51
LLICA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
LORETO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,29,29
LURIBAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,21,21
MACHACAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,8,8
MACHARETI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,17,17
MAGDALENA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,15,15
MAIRANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
MALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
MAPIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,31,31
MECAPACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,16,16
MINEROS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,32,32
MIZQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,42,42
MOCOMOCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,19,19
MOJINETE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
MOJOCOYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,21,21
MONTEAGUDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,63,63
MONTERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,240,240
MORO MORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
MOROCHATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,23,23
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
NAZACARA DE PACAJES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
OCURI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,43,43
OKINAWA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,22,22
OMEREQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,21,21
ORURO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,332,332
PADCAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,35,35
PADILLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
PAILON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,15,15
PALCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
PALOS BLANCOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,41,41
PAMPA AULLAGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
PAMPA GRANDE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,10,10
PAPEL PAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
PASORAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
PATACAMAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,45,45
PAZÑA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
PELECHUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
POCOATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,44,44
POCONA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,14,14
POJO (CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,22,22
POOPO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,13,13
PORCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,12,12
POROMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,27,27
PORONGO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,20,20
PORTACHUELO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,38,38
PORVENIR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
POSTRER VALLE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
POTOSI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,182,182
PRESTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,15,15
PUCARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
PUCARANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,46,46
PUERTO ACOSTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,56,56
PUERTO CARABUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,14,14
PUERTO GONZALO MORENO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,19,19
PUERTO PEREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
PUERTO QUIJARRO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,12,12
PUERTO RICO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,16,16
PUERTO SILES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,15,15
PUERTO SUAREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
PUERTO VILLARROEL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,56,56
PUNA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,38,38
PUNATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
QUIABAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
QUILLACOLLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,40,40
QUIME,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,20,20
RAVELO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,45,45
REYES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,22,22
RIBERALTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,168,168
ROBORE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
RURRENABAQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
SABAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,14,14
SACABA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,63,63
SACABAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
SACACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,32,32
SAIPINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,15,15
SAMAIPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
SAN AGUSTIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
SAN ANDRES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
SAN ANDRES DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,8,8
SAN BENITO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,10,10
SAN BORJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,14,14
SAN BUENA VENTURA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,22,22
SAN CARLOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,36,36
SAN IGNACIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,98,98
SAN IGNACIO DE VELASCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,88,88
SAN JAVIER(BNI),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
SAN JOAQUIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,23,23
SAN JUAN DE YAPACANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,24,24
SAN JULIAN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,42,42
SAN LORENZO(PND),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,16,16
SAN LORENZO(TJA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,30,30
SAN LUCAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,86,86
SAN MATIAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,23,23
SAN MIGUEL DE VELASCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,13,13
SAN PABLO DE LIPEZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
SAN PEDRO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,50,50
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,51,51
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
SAN PEDRO DE QUEMES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
SAN PEDRO DE TIQUINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
SAN PEDRO(PND),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,10,10
SAN RAFAEL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
SAN RAMON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
SAN RAMON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,15,15
SANTA ANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,10,10
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,973,973
SANTA ROSA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,14,14
SANTA ROSA DEL SARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,53,53
SANTIAGO DE CALLAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,4,4
SANTIAGO DE HUARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,12,12
SANTIAGO DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
SANTIVAÑES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
SANTUARIO DE QUILLACAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
SAPAHAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,19,19
SENA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,17,17
SICA SICA (VILLA AROMA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,26,26
SICAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,10,10
SIPE SIPE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,44,44
SOPACHUY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,16,16
SORACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
SORATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,40,40
SUCRE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,690,690
TACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
TACACOMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,16,16
TACOBAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,16,16
TACOPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,17,17
TAHUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
TAPACARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,46,46
TARABUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,64,64
TARACO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
TARATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
TARIJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,217,217
TARVITA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,33,33
TEOPONTE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
TIAWANACU,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,35,35
TINGUIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,58,58
TIPUANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,19,19
TIQUIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,90,90
TIRAQUE (CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,100,100
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
TOCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,2,2
TOLATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,6,6
TOLEDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
TOMAVE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,7,7
TOMINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,4,4
TORO TORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,25,25
TOTORA(CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,16,16
TOTORA(ORR),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,4,4
TRIGAL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,1,1
TRINIDAD,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,263,263
TUPIZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,65,65
TURCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,4,4
UMALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
UNCIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,53,53
URIONDO (A. CONCEPCION),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,20,20
URUBICHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
UYUNI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,32,32
VACAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,19,19
VALLEGRANDE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
VIACHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,66,66
VILA VILA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,8,8
VILLA MONTES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,57,57
VILLA NUEVA (LOMA ALTA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,5,5
VILLA RIVERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,4,4
VILLA SERRANO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,14,14
VILLA TUNARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,73,73
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,13,13
VILLAZON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,51,51
VINTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,19,19
VITICHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
WALDO BALLIVIAN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,3,3
WARNES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,100,100
YACO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,28,28
YACUIBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,48,48
YAMPARAEZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,17,17
YANACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,12,12
YAPACANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,67,67
YOCALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,9,9
YOTALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,14,14
YUNCHARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,12,12
ZUDAÑEZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-04-01,11,11
ACACIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,20,20
ACHACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,145,145
ACHOCALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,34,34
AIQUILE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,44,44
ALALAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,5,5
ALCALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,8,8
ANCORAIMES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,26,26
ANDAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,2,2
ANTEQUERA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,12,12
ANZALDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,12,12
APOLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,57,57
ARAMPAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,22,22
ARANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,4,4
ARBIETO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,4,4
ARQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,41,41
ATOCHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,12,12
AUCAPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,14,14
AYATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,42,42
AYO AYO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,34,34
AZURDUY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,47,47
BATALLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,43,43
BAURES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,12,12
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,4,4
BELEN DE URMIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,6,6
BELLA FLOR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,7,7
BERMEJO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,130,130
BETANZOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-05-01,32,32
