municipality,group,variable,month,Total 1310 Días camas disponibles otros servicios,TOTAL
SAN BUENA VENTURA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,227,227
SAN CARLOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1062,1062
SAN IGNACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,766,766
SAN IGNACIO DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1829,1829
SAN JAVIER(BNI),internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,26,26
SAN JAVIER(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,310,310
SAN JOAQUIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1237,1237
SAN JUAN DE YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,521,521
SAN JULIAN,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1705,1705
SAN LORENZO(PND),internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,159,159
SAN LUCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,713,713
SAN MATIAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,621,621
SAN MIGUEL DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,217,217
SAN PEDRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,631,631
SAN PEDRO DE BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,155,155
SAN PEDRO DE TIQUINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,31,31
SAN RAFAEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,248,248
SAN RAMON BENI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,17,17
SAN RAMON SCZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,341,341
SANTA ANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,434,434
SANTA CRUZ DE LA SIERRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,56717,56717
SANTA ROSA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,186,186
SANTIAGO DE HUARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,152,152
SANTIAGO DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,62,62
SANTIVAÑES,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,248,248
SANTUARIO DE QUILLACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,155,155
SENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,54,54
SHINAOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,341,341
SICAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,31,31
SOPACHUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,927,927
SORACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,62,62
SORATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,310,310
SUCRE,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,36230,36230
TACACOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,30,30
TACOPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,155,155
TAPACARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,216,216
TARABUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,527,527
TARATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,155,155
TARIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,15056,15056
TARVITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,558,558
TIAWANACU,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1,1
TIPUANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,93,93
TIQUIPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,651,651
TIRAQUE (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,93,93
TOCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,93,93
TOLATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,62,62
TOLEDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,93,93
TOMINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,465,465
TORO TORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,279,279
TOTORA(CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,651,651
TRIGAL,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,62,62
TRINIDAD,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,6452,6452
TUPIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,2604,2604
UNCIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,93,93
URUBICHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,186,186
UYUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1701,1701
VACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,155,155
VALLEGRANDE,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,713,713
VIACHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,681,681
VILA VILA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,62,62
VILLA CHARCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,91,91
VILLA MONTES,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1116,1116
VILLA RIVERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,93,93
VILLA SERRANO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,279,279
VILLA TUNARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,2170,2170
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,310,310
VILLAZON,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1240,1240
VITICHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,62,62
WARNES,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,744,744
YACO,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,124,124
YACUIBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,2539,2539
YAMPARAEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,341,341
YANACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,93,93
YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,1205,1205
YOTALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,217,217
ZUDAÑEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-03-01,93,93
ACACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
ACHACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,480,480
AIQUILE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1500,1500
ALALAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
ALCALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
ANCORAIMES,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
ANTEQUERA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
ANZALDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,390,390
APOLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,270,270
ARAMPAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
ARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
ARBIETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
ARQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
ASCENCION DE GUARAYOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,930,930
ATOCHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1530,1530
AYATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,840,840
AZURDUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,354,354
BAURES,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
BELEN DE ANDAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
BERMEJO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,773,773
BETANZOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,240,240
BOLIVAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
BOYUIBE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,337,337
BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,168,168
CABEZAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,300,300
CAIROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,270,270
"CAIZA ""D""",internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
CAMARGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,870,870
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
CAMIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1872,1872
CAPINOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,450,450
CARACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
CARANAVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1050,1050
CARAPARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,83,83
CARIPUYO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
CARMEN RIVERO TORREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,283,283
CHALLAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,750,750
CHAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
CHARAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,990,990
CHAYANTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
CHIMORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,690,690
CHUMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
CKOCHAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
CLIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,390,390
COBIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,2709,2709
COCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,210,210
COCHABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,49270,49270
COLCAPIRHUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,375,375
"COLCHA ""K""",internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
COLOMI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
COLPA BELGICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,151,151
COLQUECHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
COLQUIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,210,210
COMARAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,558,558
CONCEPCION,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,300,300
CORIPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
CORO CORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,108,108
COROICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,960,960
COTAGAITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,270,270
COTOCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,660,660
CUATRO CAÑADAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,420,420
CUEVO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
CULPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,480,480
CURAHUARA DE CARANGAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,240,240
EL ALTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,12940,12940
EL PUENTE(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,160,160
EL PUENTE(TJA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
EL TORNO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,2940,2940
EL VILLAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,270,270
ENTRE RIOS TRJ,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,336,336
ENTRE RIOS CBBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
ESCOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,390,390
EUCALIPTUS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
EXALTACION,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
FERNANDEZ ALONSO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,540,540
FILADELFIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,56,56
GENERAL SAAVEDRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,240,240
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
GUANAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
GUAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,6,6
GUAYARAMERIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1374,1374
GUTIERREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,630,630
HUACARETA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,630,630
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
HUACHACALLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
HUANUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1612,1612
HUARACAJE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
HUAYLLAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
ICLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,299,299
INCAHUASI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,202,202
IRUPANA (VILLA DE LANZA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,360,360
IXIAMAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
JESUS DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
LA ASUNTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,33,33
LA GUARDIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1140,1140
LA PAZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,68923,68923
LAGUNILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
LAS CARRERAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,177,177
LLALLAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,990,990
LURIBAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
MACHACAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
MACHARETI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,390,390
MAGDALENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,270,270
MAIRANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
MAPIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
MECAPACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
MINEROS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
MIZQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,900,900
MOJOCOYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,264,264
MONTEAGUDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1500,1500
MONTERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,4050,4050
MORO MORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
MOROCHATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
OCURI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,360,360
OKINAWA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,210,210
OMEREQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
ORURO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,13742,13742
PADILLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,450,450
PAILON,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,482,482
PALOS BLANCOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,300,300
PAMPA GRANDE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
PAPEL PAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
PASORAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
PATACAMAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
PAZÑA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
PELECHUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,240,240
POCOATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
POCONA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,330,330
POJO (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
POOPO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
POROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,718,718
PORONGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,360,360
PORTACHUELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,974,974
PORVENIR,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,136,136
POSTRER VALLE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
POTOSI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,11460,11460
PRESTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,240,240
PUCARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
PUCARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
PUERTO ACOSTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,107,107
PUERTO QUIJARRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,189,189
PUERTO RICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,264,264
PUERTO SUAREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1050,1050
PUERTO VILLARROEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,980,980
PUNA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
PUNATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1530,1530
QUILLACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1053,1053
QUIME,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
QUIRUSILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
RAVELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
REYES,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
RIBERALTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,2460,2460
ROBORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1680,1680
RURRENABAQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,630,630
SACABA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1980,1980
SACABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,210,210
SACACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,300,300
SAIPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,136,136
SALINAS DE GARCI MENDOZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,210,210
SAMAIPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
SAN ANTONIO DE LOMERIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
SAN BENITO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
SAN BORJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,510,510
SAN BUENA VENTURA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,246,246
SAN CARLOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1050,1050
SAN IGNACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,812,812
SAN IGNACIO DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1770,1770
SAN JAVIER(BNI),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
SAN JAVIER(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,130,130
SAN JOAQUIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1225,1225
SAN JUAN DE YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,548,548
SAN JULIAN,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1500,1500
SAN LORENZO(PND),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
SAN LUCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,690,690
SAN MATIAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,571,571
SAN MIGUEL DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,210,210
SAN PEDRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,328,328
SAN PEDRO DE BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
SAN RAFAEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,240,240
SAN RAMON BENI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,210,210
SAN RAMON SCZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,720,720
SANTA ANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,420,420
SANTA CRUZ DE LA SIERRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,64184,64184
SANTA ROSA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
SANTA ROSA DEL SARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,210,210
SANTIAGO DE HUARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
SANTIAGO DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
SANTIVAÑES,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,240,240
SANTUARIO DE QUILLACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,120,120
SENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,137,137
SHINAOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,588,588
SICAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
SOPACHUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,957,957
SORACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
SORATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,300,300
SUCRE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,34831,34831
TACACOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,30,30
TACOPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,150,150
TAPACARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,240,240
TARABUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,570,570
TARATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
TARIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,14274,14274
TARVITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,540,540
TIPUANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
TIQUIPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,720,720
TIRAQUE (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
TOCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
TOLATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
TOMINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,450,450
TORO TORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,270,270
TOTORA(CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,630,630
TRIGAL,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,60,60
TRINIDAD,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,4521,4521
TUPIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,2520,2520
UNCIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
URUBICHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,180,180
UYUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1650,1650
VACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,152,152
VALLEGRANDE,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,690,690
VIACHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,832,832
VILA VILA,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
VILLA CHARCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
VILLA MONTES,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1080,1080
VILLA RIVERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
VILLA SERRANO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,300,300
VILLA TUNARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,2220,2220
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,360,360
VILLAZON,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,1200,1200
VINTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,15,15
VITICHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-04-01,90,90
