municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,429,429
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,46339,46339
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,64,64
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,20,20
SANTIAGO DE HUARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,4,4
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,6,6
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,39,39
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,130,130
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,50,50
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,29,29
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,24623,24623
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,109,109
TARATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,55,55
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,11352,11352
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,19,19
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,60,60
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,308,308
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,4,4
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,25,25
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,20,20
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,21,21
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,3729,3729
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,1321,1321
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,10,10
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,40,40
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,317,317
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,258,258
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,453,453
VILA VILA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,1,1
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,581,581
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,10,10
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,15,15
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,659,659
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,35,35
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,504,504
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,222,222
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,673,673
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,1787,1787
YANACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,552,552
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,39,39
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,33,33
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,112,112
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,196,196
ALALAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
ANCORAIMES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
ANTEQUERA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
ANZALDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,61,61
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,31,31
ARAMPAMPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,6,6
ARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,438,438
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,334,334
AYATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,125,125
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,17,17
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,76,76
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,252,252
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,37,37
BOLIVAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1,1
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,54,54
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,39,39
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,84,84
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,320,320
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,959,959
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,56,56
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,10,10
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,308,308
CARAPARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,7,7
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,19,19
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,267,267
CHARAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,317,317
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,5,5
CHIMORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,6,6
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,199,199
CHUMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,125,125
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1961,1961
COCAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,2,2
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,25758,25758
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,943,943
"COLCHA ""K""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,67,67
COLQUIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,7,7
COMARAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,91,91
CONCEPCION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,71,71
COPACABANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,8,8
CORIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,8,8
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,354,354
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,14,14
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,179,179
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,81,81
CUEVO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,11,11
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,78,78
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,9197,9197
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,57,57
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1298,1298
EL VILLAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,38,38
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,12,12
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,20,20
EXALTACION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,5,5
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,74,74
FILADELFIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,106,106
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,6,6
GUANAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,11,11
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1344,1344
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,76,76
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,88,88
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,90,90
HUACHACALLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1,1
HUANUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,389,389
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,26,26
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,60,60
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,8,8
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,56,56
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,20,20
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,2,2
LA ASUNTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,26,26
LA GUARDIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,193,193
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,50977,50977
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,20,20
LAS CARRERAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,376,376
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,2,2
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,258,258
MAIRANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,130,130
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,27,27
MECAPACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,10,10
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,39,39
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,59,59
MOCOMOCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1,1
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,9,9
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,589,589
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,2334,2334
MORO MORO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
OCURI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,6,6
OKINAWA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,90,90
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,9,9
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,8884,8884
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,258,258
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,122,122
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,33,33
PAMPA GRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,6,6
PAPEL PAMPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,9,9
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,8,8
PATACAMAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,34,34
PELECHUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,8,8
POCOATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,7,7
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,5,5
POROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,62,62
PORONGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,2,2
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,629,629
PORVENIR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,14,14
POSTRER VALLE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,60,60
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,6948,6948
PRESTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,36,36
PUCARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
PUCARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
PUERTO ACOSTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,5,5
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,13,13
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,51,51
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,46,46
PUERTO SUAREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,304,304
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,187,187
PUNA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1,1
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,620,620
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,294,294
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
QUIRUSILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,6,6
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,66,66
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1934,1934
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,163,163
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,337,337
SABAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,30,30
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,846,846
SACABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,18,18
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,11,11
SAIPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,14,14
SALINAS DE GARCI MENDOZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1,1
SAMAIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,37,37
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,9,9
SAN BENITO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,12,12
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,252,252
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,57,57
SAN CARLOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,435,435
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,133,133
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,884,884
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,94,94
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,53,53
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,223,223
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,172,172
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,167,167
SAN LORENZO(PND),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,4,4
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,116,116
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,72,72
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,10,10
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,10,10
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,5,5
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,70,70
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,74,74
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,64,64
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,318,318
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,47524,47524
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,74,74
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,33,33
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,6,6
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,43,43
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,245,245
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,53,53
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,7,7
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,25339,25339
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,168,168
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,10687,10687
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,40,40
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,36,36
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,293,293
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,8,8
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,33,33
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,25,25
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,27,27
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3837,3837
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1313,1313
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,2,2
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,27,27
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,220,220
VACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,2,2
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,322,322
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,343,343
VILA VILA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,3,3
VILLA CHARCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,12,12
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,553,553
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,18,18
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,11,11
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,515,515
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,26,26
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,535,535
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,215,215
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,677,677
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,1875,1875
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,635,635
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,15,15
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-04-01,225,225
ACACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,6,6
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,93,93
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,214,214
ALCALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
ANZALDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,50,50
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,44,44
ARAMPAMPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,7,7
ARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,9,9
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,440,440
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,358,358
AYATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,113,113
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,30,30
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,42,42
BELLA FLOR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,445,445
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,37,37
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,52,52
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,42,42
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,40,40
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,6,6
CALACOTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,4,4
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,158,158
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1147,1147
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,51,51
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,14,14
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,412,412
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,17,17
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,306,306
CHARAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,365,365
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,11,11
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,371,371
CHUMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,6,6
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,164,164
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1043,1043
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,33875,33875
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,176,176
"COLCHA ""K""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,66,66
COMARAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,129,129
COPACABANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1,1
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,314,314
CORQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,4,4
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,19,19
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,108,108
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,170,170
CUEVO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,7,7
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,53,53
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,8149,8149
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,30,30
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,1424,1424
EL VILLAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,5,5
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,60,60
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,14,14
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,74,74
EUCALIPTUS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,3,3
EXALTACION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,5,5
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,64,64
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,84,84
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,      dias camas ocupadas otros servicios,2014-05-01,2,2
