municipality,group,variable,month,l 13.9 Días camas disponibles maternidad,TOTAL
BETANZOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
BOLIVAR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,186,186
BOYUIBE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
BUENA VISTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,240,240
CABEZAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,129,129
CAIROMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,154,154
"CAIZA ""D""",internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
CAJUATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
CALACOTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
CALAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
CAMARGO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,448,448
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
CAMIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,589,589
CAPINOTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,217,217
CARACOLLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
CARANAVI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,310,310
CARAPARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,60,60
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,158,158
CHALLAPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
CHAQUI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
CHARAGUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,276,276
CHAYANTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
CHIMORE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,310,310
CHOQUE COTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,217,217
CHUMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,17,17
CKOCHAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
CLIZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,217,217
COBIJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1039,1039
COCAPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,372,372
COCHABAMBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,11935,11935
COIPASA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
COLCAPIRHUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,434,434
"COLCHA ""K""",internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
COLLANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
COLOMI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,403,403
COLPA BELGICA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
COLQUECHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
COLQUENCHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
COLQUIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
COMANCHE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
COMARAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,311,311
COPACABANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
CORIPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,123,123
CORO CORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,30,30
COROICO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
CORQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
COTAGAITA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,139,139
COTOCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,713,713
CUATRO CAÑADAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,279,279
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,91,91
CUEVO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
CULPINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,432,432
CURAHUARA DE CARANGAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
DESAGUADERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
EL ALTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,5735,5735
EL CHORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
EL PUENTE(STC),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
EL TORNO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,434,434
EL VILLAR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,240,240
ENTRE RIOS CBBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,403,403
ESCOMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
EUCALIPTUS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
EXALTACION,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,310,310
FILADELFIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
GENERAL SAAVEDRA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
GUANAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
GUAQUI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
GUAYARAMERIN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,467,467
GUTIERREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
HUACARETA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,463,463
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,154,154
HUACHACALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,90,90
HUANUNI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,434,434
HUARACAJE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
HUARINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
HUAYLLAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
HUMANATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
ICHOCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,30,30
ICLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
INCAHUASI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,308,308
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
IXIAMAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
JESUS DE MACHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
LA ASUNTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,403,403
LA GUARDIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,744,744
LA PAZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,13780,13780
LAGUNILLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
LAJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
LAS CARRERAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
LICOMA PAMPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,30,30
LLALLAGUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,372,372
LLICA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
MACHACAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
MACHARETI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
MAGDALENA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
MAIRANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
MAPIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
MECAPACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
MINEROS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
MIZQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,837,837
MOCOMOCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
MOJOCOYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,191,191
MONTEAGUDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,743,743
MONTERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1209,1209
MORO MORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
MOROCHATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,279,279
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,60,60
OCURI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,90,90
OKINAWA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,217,217
OMEREQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,279,279
ORURO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,3713,3713
PADILLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,403,403
PAILON,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,302,302
PALCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
PALOS BLANCOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,434,434
PAMPA GRANDE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
PASORAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,186,186
PATACAMAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,310,310
PAZÑA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
PELECHUCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
POCOATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
POCONA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,496,496
POJO (CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
POOPO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
POROMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,620,620
PORONGO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,310,310
PORTACHUELO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,341,341
PORVENIR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
POSTRER VALLE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
POTOSI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,2170,2170
PRESTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,270,270
PUCARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
PUCARANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
PUERTO ACOSTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
PUERTO CARABUCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,186,186
PUERTO GONZALO MORENO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,82,82
PUERTO RICO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,65,65
PUERTO SILES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,30,30
PUERTO SUAREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,341,341
PUERTO VILLARROEL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1271,1271
PUNA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
PUNATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,713,713
QUIABAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,30,30
QUILLACOLLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,434,434
QUIME,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
QUIRUSILLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
RAVELO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
REYES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
RIBERALTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,713,713
ROBORE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,434,434
RURRENABAQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
SABAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,27,27
SACABA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1395,1395
SACABAMBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
SACACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
SAIPINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,113,113
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
SAMAIPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
SAN ANDRES DE MACHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,30,30
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
SAN BENITO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,182,182
SAN BORJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,463,463
SAN BUENA VENTURA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
SAN CARLOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,393,393
SAN IGNACIO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,403,403
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1364,1364
SAN JAVIER(STC),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
SAN JOAQUIN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,992,992
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,188,188
SAN JULIAN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,655,655
SAN LORENZO(PND),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,86,86
SAN LUCAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,495,495
SAN MATIAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,216,216
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
SAN PEDRO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,361,361
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
SAN PEDRO DE CURAHUARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
SAN RAFAEL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
SAN RAMON BENI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
SAN RAMON SCZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,186,186
SANTA ANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,217,217
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,12494,12494
SANTA ROSA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,434,434
SANTIAGO DE CALLAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
SANTIAGO DE HUARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,184,184
SANTIAGO DE MACHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
SANTIVAÑES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
SANTUARIO DE QUILLACAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,61,61
SENA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,83,83
SHINAOTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,401,401
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
SICAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
SIPE SIPE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,527,527
SOPACHUY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,278,278
SORACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
SORATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,154,154
SUCRE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,4401,4401
TACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
TACACOMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
TACOPAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,310,310
TAPACARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,368,368
TARABUCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,391,391
TARACO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
TARATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,248,248
TARIJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1364,1364
TARVITA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,740,740
TEOPONTE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,186,186
TIAWANACU,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
TIPUANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
TIQUIPAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,558,558
TIRAQUE (CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,558,558
TOCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
TOLATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
TOLEDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
TOMAVE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
TOMINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,620,620
TORO TORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
TOTORA(CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,434,434
TOTORA(ORR),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
TRIGAL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,31,31
TRINIDAD,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1612,1612
TUPIZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,496,496
TURCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,90,90
UMALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
UNCIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
URUBICHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,93,93
UYUNI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,433,433
VACAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,247,247
VALLEGRANDE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,186,186
VIACHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,757,757
VILA VILA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,155,155
VILLA CHARCAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,184,184
VILLA MONTES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,300,300
VILLA RIVERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
VILLA SERRANO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,436,436
VILLA TUNARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1425,1425
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,217,217
VILLAZON,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,403,403
VINTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,403,403
VITICHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,122,122
WARNES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,1198,1198
YACO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,62,62
YACUIBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,496,496
YAMPARAEZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
YANACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,124,124
YAPACANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,499,499
YOCALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,60,60
YOTALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,50,50
ZUDAÑEZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-03-01,120,120
ACACIO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,30,30
ACHACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,240,240
ACHOCALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,61,61
AIQUILE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,480,480
ALALAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,240,240
ALCALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,120,120
ALTO BENI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,120,120
ANCORAIMES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,90,90
ANDAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,120,120
ANTEQUERA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,30,30
ANZALDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,55,55
APOLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,90,90
ARAMPAMPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,30,30
ARANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,210,210
ARBIETO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,180,180
ARQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,240,240
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,330,330
ATOCHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,386,386
AYATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,120,120
AYO AYO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,92,92
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,1200,1200
AZURDUY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,180,180
BATALLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,60,60
BAURES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,60,60
BELEN DE ANDAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,30,30
BERMEJO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,386,386
BETANZOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,240,240
BOLIVAR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,152,152
BOYUIBE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,120,120
BUENA VISTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,211,211
CABEZAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,120,120
CAIROMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,120,120
"CAIZA ""D""",internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,30,30
CAJUATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-04-01,30,30
