municipality,group,variable,month,l 13.7 Días camas ocupadas maternidad,TOTAL
ORURO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2094,2094
PADILLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,124,124
PAILON,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,43,43
PALCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
PALOS BLANCOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,108,108
PAMPA GRANDE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,26,26
PASORAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
PATACAMAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,32,32
PAZÑA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,3,3
POCOATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,12,12
POCONA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,15,15
POJO (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,28,28
POOPO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
POROMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
PORONGO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
PORTACHUELO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,165,165
POTOSI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1244,1244
PRESTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,12,12
PUCARANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,16,16
PUERTO ACOSTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,4,4
PUERTO CARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
PUERTO GONZALO MORENO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,7,7
PUERTO QUIJARRO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,36,36
PUERTO RICO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,17,17
PUERTO SUAREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,145,145
PUERTO VILLARROEL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,296,296
PUNA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
PUNATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,258,258
QUIABAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
QUILLACOLLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,344,344
QUIME,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,3,3
RAVELO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,16,16
REYES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,33,33
RIBERALTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,380,380
ROBORE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,65,65
RURRENABAQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,143,143
SACABA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,436,436
SACABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,3,3
SACACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,45,45
SAIPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,14,14
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,12,12
SAMAIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,64,64
SAN AGUSTIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,12,12
SAN BENITO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
SAN BORJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,159,159
SAN BUENA VENTURA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,37,37
SAN CARLOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,125,125
SAN IGNACIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,98,98
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,450,450
SAN JAVIER(STC),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,56,56
SAN JOAQUIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,15,15
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,217,217
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,29,29
SAN JULIAN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,111,111
SAN LORENZO(PND),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,12,12
SAN LUCAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,84,84
SAN MATIAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,21,21
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,48,48
SAN PEDRO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,537,537
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,12,12
SAN PEDRO DE CURAHUARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
SAN RAFAEL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
SAN RAMON BENI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,36,36
SAN RAMON SCZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,24,24
SANTA ANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,104,104
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,10050,10050
SANTA ROSA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,28,28
SANTA ROSA DEL SARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,22,22
SANTIAGO DE CALLAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
SANTIAGO DE HUARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
SANTIAGO DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
SANTIVAÑES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,4,4
SANTUARIO DE QUILLACAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
SAPAHAQUI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
SENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,7,7
SHINAOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,180,180
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,24,24
SIPE SIPE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,39,39
SOPACHUY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,49,49
SORACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
SORATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,23,23
SUCRE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2328,2328
TACACOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
TACOPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
TAPACARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,35,35
TARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,100,100
TARACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,4,4
TARATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,11,11
TARIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1339,1339
TARVITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,31,31
TEOPONTE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,15,15
TIAWANACU,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
TIPUANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
TIQUIPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,254,254
TIRAQUE (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,46,46
TOCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
TOLATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
TOLEDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,9,9
