municipality,group,variable,month,l 13.7 Días camas ocupadas maternidad,TOTAL
SORACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,4,4
SORATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,40,40
SUCRE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,1830,1830
TACOPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,13,13
TAPACARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,35,35
TARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,117,117
TARACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,2,2
TARATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,18,18
TARIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,1347,1347
TARVITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,67,67
TEOPONTE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,8,8
TIAWANACU,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,11,11
TIPUANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,27,27
TIQUIPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,380,380
TIRAQUE (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,19,19
TOCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,10,10
TOLATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,14,14
TOLEDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,4,4
TOMAVE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,2,2
TOMINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,41,41
TORO TORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,8,8
TOTORA(CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,84,84
TRINIDAD,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,645,645
TUPIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,243,243
TURCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,6,6
UMALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,4,4
UNCIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,24,24
URUBICHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,13,13
UYUNI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,185,185
VACAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,18,18
VALLEGRANDE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,131,131
VIACHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,36,36
VILLA CHARCAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,32,32
VILLA MONTES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,228,228
VILLA RIVERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,16,16
VILLA SERRANO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,25,25
VILLA TUNARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,450,450
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,33,33
VILLAZON,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,158,158
VINTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,103,103
VITICHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,8,8
WARNES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,259,259
YACUIBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,368,368
YAMPARAEZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,23,23
YAPACANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,196,196
YOTALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,51,51
YUNCHARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,6,6
ZUDAÑEZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-10-01,30,30
ACACIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1,1
ACHACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,54,54
ACHOCALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,18,18
AIQUILE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,90,90
ALCALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
ALTO BENI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,13,13
ANCORAIMES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
ANTEQUERA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
ANZALDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
APOLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,27,27
ARANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
ARBIETO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,15,15
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,164,164
ATOCHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,95,95
AYATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
AYO AYO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,36,36
AZURDUY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,13,13
BAURES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,20,20
BERMEJO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,150,150
BETANZOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,61,61
BUENA VISTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,22,22
CABEZAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,21,21
CAIROMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
"CAIZA ""D""",internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
CAJUATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,10,10
CALAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
CAMARGO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,133,133
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,7,7
CAMIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,285,285
CAPINOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,15,15
CARACOLLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,32,32
CARANAVI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,121,121
CARAPARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
CARIPUYO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,10,10
CHALLAPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,137,137
CHAQUI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
CHARAGUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,77,77
CHAYANTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
CHIMORE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,16,16
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,96,96
CHUMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,10,10
CKOCHAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6,6
CLIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,94,94
COBIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,757,757
COCAPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,7,7
COCHABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6577,6577
COIPASA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
COLCAPIRHUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,106,106
"COLCHA ""K""",internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
COLOMI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,37,37
COLPA BELGICA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
COLQUECHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,15,15
COLQUENCHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,5,5
COLQUIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,10,10
COMARAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,55,55
CONCEPCION,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,75,75
COPACABANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,93,93
CORIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
CORO CORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
COROICO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,48,48
CORQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
COTAGAITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,47,47
COTOCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,118,118
CUATRO CAÑADAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,36,36
CUEVO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
CULPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,218,218
CURAHUARA DE CARANGAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,9,9
DESAGUADERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
EL ALTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3614,3614
EL PUENTE(STC),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,24,24
EL TORNO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,192,192
EL VILLAR,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,20,20
ENTRE RIOS TRJ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,31,31
ENTRE RIOS CBBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,40,40
ESCOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,29,29
EUCALIPTUS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,12,12
EXALTACION,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,105,105
FILADELFIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
GENERAL SAAVEDRA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
GUANAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,25,25
GUAYARAMERIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,420,420
GUTIERREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,31,31
HUACARETA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,16,16
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,11,11
HUACHACALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,7,7
HUANUNI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,98,98
HUARACAJE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
HUARINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
HUAYLLAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
ICHOCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1,1
INCAHUASI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,38,38
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,5,5
IXIAMAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,15,15
JESUS DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,10,10
LA ASUNTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,53,53
LA GUARDIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,147,147
LA PAZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4903,4903
LAGUNILLAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,7,7
LAJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,9,9
LICOMA PAMPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
LLALLAGUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,236,236
LLICA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
LURIBAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6,6
MACHACAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
MACHARETI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,9,9
MAGDALENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,57,57
MAIRANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,65,65
MAPIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,20,20
MECAPACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
MINEROS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,44,44
MIZQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,66,66
MOCOMOCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
MOJOCOYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,33,33
MONTEAGUDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,217,217
MONTERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,889,889
MORO MORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,5,5
MOROCHATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,12,12
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
OCURI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,27,27
OKINAWA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,26,26
OMEREQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
ORURO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1602,1602
PADILLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,49,49
PAILON,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,62,62
PALCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1,1
PALOS BLANCOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,83,83
PAMPA GRANDE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,33,33
PAPEL PAMPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
PASORAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
PATACAMAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,60,60
PAZÑA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6,6
PELECHUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1,1
POCOATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
POCONA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,38,38
POJO (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,22,22
POOPO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
POROMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,28,28
PORONGO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
PORTACHUELO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,202,202
PORVENIR,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,4,4
POSTRER VALLE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
POTOSI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1369,1369
PRESTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,12,12
PUCARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6,6
PUCARANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,10,10
PUERTO ACOSTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
PUERTO CARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1,1
PUERTO GONZALO MORENO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,7,7
PUERTO QUIJARRO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,59,59
PUERTO RICO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,20,20
PUERTO SUAREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,141,141
PUERTO VILLARROEL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,18,18
PUNA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,23,23
PUNATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,275,275
QUILLACOLLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,215,215
QUIME,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,7,7
RAVELO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,12,12
REYES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,34,34
RIBERALTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,588,588
ROBORE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,35,35
RURRENABAQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,163,163
SABAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1,1
SACABA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,430,430
SACABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
SACACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,37,37
SAIPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,13,13
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,7,7
SAMAIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,59,59
SAN ANDRES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6,6
SAN ANDRES DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
SAN BENITO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
SAN BORJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,152,152
SAN BUENA VENTURA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,35,35
SAN CARLOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,101,101
SAN IGNACIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,62,62
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,372,372
SAN JAVIER(STC),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,62,62
SAN JOAQUIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,20,20
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,93,93
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
SAN JULIAN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,159,159
SAN LORENZO(PND),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
SAN LUCAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,47,47
SAN MATIAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,54,54
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,30,30
SAN PEDRO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,186,186
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
SAN PEDRO DE CURAHUARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
SAN RAFAEL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,17,17
SAN RAMON BENI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,31,31
SAN RAMON SCZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,21,21
SANTA ANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,112,112
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,11318,11318
SANTA ROSA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,40,40
SANTA ROSA DEL SARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,24,24
SANTIAGO DE CALLAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
SANTIAGO DE HUARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
SANTIAGO DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6,6
SANTIVAÑES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,12,12
SANTUARIO DE QUILLACAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1,1
SAPAHAQUI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
SENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,5,5
SHINAOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,156,156
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,30,30
SIPE SIPE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,41,41
SOPACHUY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,30,30
SORACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
SORATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,25,25
SUCRE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1766,1766
TACACOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
TACOPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
TAPACARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,32,32
TARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
TARACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,3,3
TARATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,12,12
TARIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,1347,1347
TARVITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,66,66
TEOPONTE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
TIAWANACU,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,13,13
TIPUANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
TIQUIPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,333,333
TIRAQUE (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,14,14
TOCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,8,8
TOLATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,12,12
TOMINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,40,40
TORO TORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,11,11
TOTORA(CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,44,44
TOTORA(ORR),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,6,6
TRIGAL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,2,2
TRINIDAD,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,595,595
TUPIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-11-01,225,225
