municipality,group,variable,month,l 13.8 Días camas ocupadas otros servicios,TOTAL
CHAYANTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,10,10
CHIMORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,13,13
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,130,130
CKOCHAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,62,62
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1154,1154
COCHABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,31432,31432
COLCAPIRHUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,316,316
"COLCHA ""K""",internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3,3
COLPA BELGICA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,99,99
COLQUIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
COMARAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,125,125
CONCEPCION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,16,16
COPACABANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,10,10
CORIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,8,8
CORO CORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,5,5
COROICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,170,170
COTAGAITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,38,38
COTOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,91,91
CUATRO CAÑADAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,184,184
CUEVO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,7,7
CULPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,59,59
EL ALTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,6907,6907
EL PUENTE(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,16,16
EL PUENTE(TJA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,90,90
EL TORNO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,947,947
ENTRE RIOS TRJ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,22,22
ENTRE RIOS CBBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,21,21
ESCOMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,39,39
EXALTACION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,6,6
FERNANDEZ ALONSO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,177,177
FILADELFIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,4,4
GENERAL SAAVEDRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,56,56
GUANAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,9,9
GUAYARAMERIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1151,1151
GUTIERREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,96,96
HUACARETA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,35,35
HUACHACALLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
HUANUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,179,179
HUARACAJE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,16,16
HUAYLLAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1,1
ICLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,48,48
INCAHUASI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,13,13
INQUISIVI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,47,47
IXIAMAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,17,17
JESUS DE MACHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,29,29
LA ASUNTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,49,49
LA GUARDIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,89,89
LA PAZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,36813,36813
LAGUNILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,27,27
LAJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1,1
LLALLAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,405,405
MACHARETI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,12,12
MAGDALENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,134,134
MAIRANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,47,47
MAPIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,23,23
MINEROS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,39,39
MIZQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,144,144
MOJOCOYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,7,7
MONTEAGUDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,426,426
MONTERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2414,2414
MOROCHATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3,3
OCURI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,4,4
OKINAWA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,184,184
OMEREQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,4,4
ORURO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,7134,7134
PADILLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,163,163
PAILON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,243,243
PALOS BLANCOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,58,58
PASORAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3,3
PATACAMAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,14,14
POCOATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3,3
POCONA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
POJO (CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
POROMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,26,26
PORTACHUELO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,849,849
PORVENIR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,12,12
POSTRER VALLE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,8,8
POTOSI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,6123,6123
PUCARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
PUCARANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,22,22
PUERTO CARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
PUERTO GONZALO MORENO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,6,6
PUERTO QUIJARRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,219,219
PUERTO RICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,48,48
PUERTO SILES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3,3
PUERTO SUAREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,535,535
PUERTO VILLARROEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,288,288
PUNA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,19,19
PUNATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,587,587
QUILLACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,160,160
QUIME,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,13,13
QUIRUSILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,4,4
REYES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,34,34
RIBERALTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2202,2202
ROBORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,170,170
RURRENABAQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,285,285
SACABA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1012,1012
SACABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,10,10
SACACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,46,46
SAIPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,34,34
SAMAIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,76,76
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,9,9
SAN BENITO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,5,5
SAN BORJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,271,271
SAN BUENA VENTURA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,68,68
SAN CARLOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1469,1469
SAN IGNACIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,169,169
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1489,1489
SAN JAVIER(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,67,67
SAN JOAQUIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,30,30
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,147,147
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,382,382
SAN JULIAN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,56,56
SAN LORENZO(PND),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1,1
SAN LUCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,71,71
SAN MATIAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,24,24
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,113,113
SAN PEDRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3340,3340
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,15,15
SAN RAFAEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,97,97
SAN RAMON BENI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,79,79
SAN RAMON SCZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,21,21
SANTA ANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,223,223
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,38319,38319
SANTA ROSA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,53,53
SANTA ROSA DEL SARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,36,36
SANTIAGO DE HUARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3,3
SHINAOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,325,325
SOPACHUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,40,40
SORATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,33,33
SUCRE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,24011,24011
TACOPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
TARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,276,276
TARIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,7848,7848
TARVITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,282,282
TEOPONTE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,9,9
TIPUANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,41,41
TIQUIPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,170,170
TIRAQUE (CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
TOCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,4,4
TOLATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,11,11
TOLEDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
TOMAVE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,12,12
TOMINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,12,12
TOTORA(CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,25,25
TOTORA(ORR),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,5,5
TRIGAL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,8,8
TRINIDAD,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3912,3912
TUPIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,454,454
UNCIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,16,16
URUBICHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,24,24
UYUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,209,209
VACAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3,3
VALLEGRANDE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,342,342
VIACHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,188,188
VILA VILA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,3,3
VILLA CHARCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,6,6
VILLA MONTES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,512,512
VILLA RIVERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,12,12
VILLA SERRANO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,16,16
VILLA TUNARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,660,660
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,18,18
VILLAZON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,629,629
VINTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,244,244
WARNES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,496,496
YACUIBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,1997,1997
YAMPARAEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,30,30
YANACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,2,2
YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,488,488
YOTALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,9,9
ZUDAÑEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-04-01,15,15
ACHACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,73,73
AIQUILE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,200,200
ALCALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
ANZALDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2,2
APOLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,65,65
ARAMPAMPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2,2
ARBIETO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
ARQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,31,31
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,360,360
ATOCHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,540,540
AYATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,40,40
AZURDUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,58,58
BATALLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,4,4
BAURES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,27,27
BERMEJO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,666,666
BETANZOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,5,5
BOLIVAR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,4,4
BOYUIBE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,67,67
BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,59,59
CABEZAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,63,63
CAMARGO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,330,330
CAMIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1562,1562
CAPINOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,63,63
CARACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,12,12
CARANAVI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,571,571
CARAPARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,8,8
CARIPUYO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,3,3
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,28,28
CHALLAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,265,265
CHARAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,311,311
CHAYANTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,17,17
CHIMORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,7,7
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,209,209
CHUMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,7,7
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,101,101
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1808,1808
COCAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2,2
COCHABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,34166,34166
COLCAPIRHUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,322,322
COLPA BELGICA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,71,71
COLQUIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,9,9
COMARAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,203,203
CONCEPCION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,30,30
CORO CORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,11,11
COROICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,300,300
COTAGAITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,27,27
COTOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,216,216
CUATRO CAÑADAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,173,173
CUEVO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,14,14
CULPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,119,119
EL ALTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,6435,6435
EL PUENTE(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,25,25
EL TORNO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,724,724
ENTRE RIOS TRJ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,45,45
ENTRE RIOS CBBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,21,21
ESCOMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,50,50
EUCALIPTUS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,4,4
EXALTACION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,226,226
FILADELFIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
GENERAL SAAVEDRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,92,92
GUANAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,14,14
GUAYARAMERIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1370,1370
GUTIERREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,112,112
HUACARETA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,22,22
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,13,13
HUANUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,440,440
HUARACAJE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,26,26
ICHOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
ICLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,23,23
INCAHUASI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,22,22
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,129,129
IXIAMAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,10,10
JESUS DE MACHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,51,51
LA ASUNTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,68,68
LA GUARDIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,136,136
LA PAZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,42021,42021
LAGUNILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,27,27
LAS CARRERAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,6,6
LLALLAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,473,473
MACHACAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,4,4
MACHARETI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,21,21
MAGDALENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,145,145
MAIRANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,35,35
MAPIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,31,31
MINEROS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,96,96
MIZQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,96,96
MOJOCOYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,24,24
MONTEAGUDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,533,533
MONTERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2294,2294
MOROCHATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,6,6
OCURI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,7,7
OKINAWA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,59,59
OMEREQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,21,21
ORURO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,8242,8242
PADILLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,225,225
PAILON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,91,91
PALOS BLANCOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,86,86
PASORAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,3,3
PATACAMAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,58,58
POCOATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,3,3
POCONA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
POJO (CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,14,14
POOPO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2,2
POROMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,12,12
