municipality,group,variable,month,l 1310 Días camas disponibles otros servicios,TOTAL
COMARAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,745,745
COPACABANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,217,217
CORIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
CORO CORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,180,180
COROICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,992,992
CORQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
COTAGAITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,270,270
COTOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,682,682
CUATRO CAÑADAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,465,465
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
CUEVO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
CULPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,525,525
CURAHUARA DE CARANGAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,279,279
EL ALTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,11687,11687
EL PUENTE(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
EL TORNO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,2697,2697
EL VILLAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,272,272
ENTRE RIOS CBBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,310,310
ESCOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,527,527
EUCALIPTUS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,217,217
EXALTACION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
FERNANDEZ ALONSO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,527,527
FILADELFIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,3,3
GENERAL SAAVEDRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,248,248
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
GUANAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
GUAYARAMERIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1109,1109
GUTIERREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,651,651
HUACARETA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,496,496
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
HUACHACALLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,61,61
HUANUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1426,1426
HUARACAJE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,31,31
HUAYLLAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
HUMANATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
ICLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,248,248
INCAHUASI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,278,278
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,372,372
IXIAMAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
JESUS DE MACHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,403,403
LA ASUNTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,403,403
LA GUARDIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1147,1147
LA PAZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,68932,68932
LAGUNILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
LAS CARRERAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,123,123
LLALLAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1023,1023
LLICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
MACHACAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
MACHARETI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,496,496
MAGDALENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,248,248
MAIRANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
MAPIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
MINEROS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,310,310
MIZQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,899,899
MOJOCOYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,225,225
MONTEAGUDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1550,1550
MONTERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,2852,2852
MORO MORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
MOROCHATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,249,249
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,60,60
OCURI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,120,120
OKINAWA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,217,217
OMEREQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
ORURO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,11108,11108
PADILLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,465,465
PAILON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,240,240
PALOS BLANCOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,434,434
PASORAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
PATACAMAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,403,403
PAZÑA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
POCOATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
POCONA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,279,279
POJO (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
POOPO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
POROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,651,651
PORONGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,310,310
PORTACHUELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,589,589
PORVENIR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
POSTRER VALLE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
POTOSI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,11346,11346
PRESTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,242,242
PUCARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
PUCARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
PUERTO CARABUCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
PUERTO GONZALO MORENO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,54,54
PUERTO RICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,180,180
PUERTO SILES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,29,29
PUERTO SUAREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1209,1209
PUERTO VILLARROEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1178,1178
PUNA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
PUNATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1581,1581
QUIABAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,30,30
QUILLACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,713,713
QUIME,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
QUIRUSILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,31,31
RAVELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
REYES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
RIBERALTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,3317,3317
ROBORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1506,1506
RURRENABAQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,403,403
SABAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,120,120
SACABA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,2139,2139
SACABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,217,217
SACACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,310,310
SAIPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,95,95
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
SAMAIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
SAN BENITO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,120,120
SAN BORJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,589,589
SAN BUENA VENTURA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,217,217
SAN CARLOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,2654,2654
SAN IGNACIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,682,682
SAN IGNACIO DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,2945,2945
SAN JAVIER(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,310,310
SAN JOAQUIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1240,1240
SAN JUAN DE YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,370,370
SAN JULIAN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,372,372
SAN LORENZO(PND),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,72,72
SAN LUCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,709,709
SAN MATIAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,617,617
SAN MIGUEL DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,217,217
SAN PEDRO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,640,640
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,155,155
SAN RAFAEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,248,248
SAN RAMON BENI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
SAN RAMON SCZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,496,496
SANTA ANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,403,403
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,36766,36766
SANTA ROSA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,186,186
SANTIAGO DE HUARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,121,121
SANTIAGO DE MACHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
SANTIVAÑES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,279,279
SENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,76,76
SHINAOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,651,651
SICAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,155,155
SIPE SIPE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
SOPACHUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,895,895
SORACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,31,31
SORATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,620,620
SUCRE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,35463,35463
TACACOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
TACOPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,152,152
TAPACARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
TARABUCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,496,496
TARATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,155,155
TARIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,13981,13981
TARVITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,586,586
TEOPONTE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
TIPUANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
TIQUIPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,744,744
TIRAQUE (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
TOCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
TOLATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
TOLEDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,155,155
TOMAVE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
TOMINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,620,620
TORO TORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,31,31
TOTORA(CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,682,682
TRIGAL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
TRINIDAD,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,6696,6696
TUPIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1364,1364
TURCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,124,124
UNCIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
URUBICHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,248,248
UYUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1267,1267
VACAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,154,154
VALLEGRANDE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,868,868
VIACHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1202,1202
VILA VILA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
VILLA CHARCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,92,92
VILLA MONTES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1160,1160
VILLA RIVERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
VILLA SERRANO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,250,250
VILLA TUNARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,2293,2293
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,279,279
VILLAZON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1271,1271
VINTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,868,868
VITICHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,122,122
WARNES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,660,660
YACO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,62,62
YACUIBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,2511,2511
YAMPARAEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,341,341
YANACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,1066,1066
YOTALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,93,93
ZUDAÑEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-03-01,90,90
ACACIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,120,120
ACHACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,300,300
AIQUILE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,1410,1410
ALALAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,120,120
ALCALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
ANCORAIMES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,160,160
ANDAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,30,30
ANTEQUERA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,30,30
ANZALDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,58,58
APOLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,270,270
ARAMPAMPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,150,150
ARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,90,90
ARBIETO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,90,90
ARQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,150,150
ASCENCION DE GUARAYOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,930,930
ATOCHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,1019,1019
AYATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,900,900
AZURDUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,378,378
BATALLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,180,180
BAURES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
BELEN DE ANDAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,30,30
BERMEJO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,1221,1221
BETANZOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,240,240
BOLIVAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,122,122
BOYUIBE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,330,330
BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,361,361
CABEZAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,300,300
CAIROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,120,120
"CAIZA ""D""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,30,30
CAMARGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,1170,1170
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,90,90
CAMIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,2130,2130
CAPINOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,360,360
CARACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,150,150
CARANAVI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,1080,1080
CARAPARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,85,85
CARIPUYO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,150,150
CARMEN RIVERO TORREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,354,354
CHALLAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,589,589
CHAQUI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,30,30
CHARAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,840,840
CHARAÑA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,25,25
CHAYANTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,120,120
CHIMORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,180,180
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,780,780
CKOCHAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
CLIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,270,270
COBIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,2066,2066
COCAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,303,303
COCHABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,50672,50672
COLCAPIRHUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,990,990
"COLCHA ""K""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
COLLANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,2,2
COLOMI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,210,210
COLPA BELGICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,150,150
COLQUECHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,120,120
COLQUIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,210,210
COMARAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,721,721
CONCEPCION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,450,450
COPACABANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,210,210
CORIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,90,90
CORO CORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,270,270
COROICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,960,960
CORQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
COTAGAITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,270,270
COTOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,660,660
CUATRO CAÑADAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,450,450
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
CUEVO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,180,180
CULPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,510,510
CURAHUARA DE CARANGAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,270,270
DESAGUADERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
EL ALTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,11700,11700
EL PUENTE(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,150,150
EL PUENTE(TJA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
EL TORNO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,2580,2580
EL VILLAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,210,210
ENTRE RIOS TRJ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,256,256
ENTRE RIOS CBBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,300,300
ESCOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,510,510
EUCALIPTUS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,210,210
EXALTACION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
FERNANDEZ ALONSO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,510,510
FILADELFIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,26,26
GENERAL SAAVEDRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,248,248
GUANAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,180,180
GUAYARAMERIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,1074,1074
GUTIERREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,630,630
HUACARETA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,510,510
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,210,210
HUACHACALLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,58,58
HUANUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,1380,1380
HUARACAJE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,30,30
HUAYLLAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
ICLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,210,210
INCAHUASI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,260,260
INQUISIVI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,60,60
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-04-01,360,360
