,group,variable,month,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
TOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,7,0,7
TOLATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,6,0,6
TOMAVE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,6,3,9
TOMINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,10,1,11
TORO TORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,8,3,11
TOTORA(CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,27,1,28
TOTORA(ORR),consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,3,0,3
TRINIDAD,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,290,2,292
TUPIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,54,0,54
TURCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,3,1,4
UMALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,5,6,11
UNCIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,30,1,31
URIONDO (A. CONCEPCION),consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,15,0,15
URUBICHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,5,0,5
UYUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,23,0,23
VACAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,6,0,6
VALLEGRANDE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,22,0,22
VIACHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,69,1,70
VILLA CHARCAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,16,12,28
VILLA MONTES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,97,1,98
VILLA NUEVA (LOMA ALTA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,1,0,1
VILLA RIVERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,18,0,18
VILLA SERRANO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,7,4,11
VILLA TUNARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,119,0,119
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,11,0,11
VILLAZON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,53,2,55
VINTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,97,0,97
VITICHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,7,2,9
WALDO BALLIVIAN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,2,1,3
WARNES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,141,0,141
YACO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,3,2,5
YACUIBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,132,0,132
YAMPARAEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,6,0,6
YANACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,2,0,2
YAPACANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,107,0,107
YOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,9,0,9
YOTALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,7,0,7
YUNCHARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,4,2,6
ZUDAÑEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-03-01,6,1,7
ACACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,0,6
ACHACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,25,3,28
ACHOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,15,2,17
AIQUILE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,44,0,44
ALALAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
ALCALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,0,5
ALTO BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,13,0,13
ANCORAIMES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,5,19
ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,1,3
ANTEQUERA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,2,4
ANZALDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,1,3
APOLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,20,3,23
ARAMPAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,1,5
ARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,24,0,24
ARBIETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,16,0,16
ARQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,0,7
ASCENCION DE GUARAYOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,30,0,30
ATOCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,12,1,13
AUCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,0,5
AYATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,4,7
AYO AYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,10,0,10
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,1,15
AZURDUY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,6,13
BATALLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,17,2,19
BAURES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,0,6
BELEN DE ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,0,3
BELEN DE URMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,2,5
BELLA FLOR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,1,3
BERMEJO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,66,1,67
BETANZOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,30,5,35
BOLIVAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,0,7
BOYUIBE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,0,14
CABEZAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,33,0,33
CAIROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
"CAIZA ""D""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,11,0,11
CAJUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,15,1,16
CALACOTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,0,3
CALAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,10,1,11
CAMARGO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,29,1,30
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,0,1,1
CAMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,58,1,59
CAPINOTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,22,0,22
CAQUIAVIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,3,11
CARACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,26,1,27
CARANAVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,69,2,71
CARAPARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,13,1,14
CARIPUYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,3,8
CARMEN RIVERO TORREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,0,7
CHALLAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,48,2,50
CHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
CHARAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,53,0,53
CHARAÑA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
CHAYANTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,12,4,16
CHIMORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,34,0,34
CHIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
CHOQUE COTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
CHUA COCANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,1,4
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,54,0,54
CHUMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,1,6
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,13,0,13
CKOCHAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,4,11
CLIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,45,0,45
COBIJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,94,1,95
COCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,7,15
COCHABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1214,8,1222
COIPASA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,0,3
COLCAPIRHUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,123,0,123
"COLCHA ""K""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,17,1,18
COLOMI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,17,0,17
COLPA BELGICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,9,0,9
COLQUECHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,31,11,42
COLQUENCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,0,5
COLQUIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,9,14
COMANCHE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
COMARAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,27,0,27
COMBAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,1,3
CONCEPCION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,30,1,31
COPACABANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,1,15
CORIPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,12,0,12
CORO CORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,3,8
COROICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,31,1,32
CORQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,4,6
COTAGAITA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,26,1,27
COTOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,94,0,94
CUATRO CAÑADAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,44,0,44
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
CUEVO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,1,3
CULPINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,30,4,34
CURAHUARA DE CARANGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
CURVA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
DESAGUADERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
EL ALTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1164,49,1213
EL CHORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,3,7
EL PUENTE(STC),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,0,7
EL PUENTE(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,12,0,12
EL TORNO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,155,1,156
EL VILLAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,0,7
ENTRE RIOS TRJ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,11,2,13
ENTRE RIOS CBBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,136,0,136
ESCOMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,1,7
EUCALIPTUS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,0,7
EUREKA (SANTOS MERCADO),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,0,2,2
EXALTACION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,0,3
FERNANDEZ ALONSO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,29,0,29
FILADELFIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,9,1,10
GENERAL SAAVEDRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,15,0,15
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,9,2,11
GUANAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,21,0,21
GUAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,1,4
GUAYARAMERIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,101,0,101
GUTIERREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,16,2,18
HUACARETA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,3,11
HUACAYA (VILLA DE HUACAYA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,0,6
HUACHACALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
HUANUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,41,0,41
HUARACAJE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,9,0,9
HUARINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,0,6
HUATAJATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
HUAYLLAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
HUMANATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,0,2,2
ICHOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
ICLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,2,16
INCAHUASI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,11,19
INGAVI (HUMAITA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
INQUISIVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,1,5
IRUPANA (VILLA DE LANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,19,0,19
IXIAMAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,1,8
JESUS DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,22,1,23
LA ASUNTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,54,0,54
LA GUARDIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,89,0,89
LA PAZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,945,0,945
LAGUNILLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
LAJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,30,0,30
LAS CARRERAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,9,1,10
LICOMA PAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
LLALLAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,65,1,66
LLICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
LORETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
LURIBAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
MACHACAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
MACHARETI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,0,8
MAGDALENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,29,0,29
MAIRANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,0,8
MAPIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,23,0,23
MECAPACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,2,9
MINEROS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,29,0,29
MIZQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,21,0,21
MOCOMOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,0,8
MOJINETE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
MOJOCOYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,3,9
MONTEAGUDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,43,1,44
MONTERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,259,0,259
MORO MORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,0,2,2
MOROCHATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,2,10
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,0,5
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,5,2,7
OCURI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,11,1,12
OKINAWA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,18,0,18
OMEREQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,9,0,9
ORURO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,437,0,437
PADCAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,26,1,27
PADILLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,17,1,18
PAILON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,1,9
PALCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,30,1,31
PALOS BLANCOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,34,1,35
PAMPA AULLAGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
PAMPA GRANDE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,9,0,9
PAPEL PAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,1,4
PASORAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
PATACAMAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,33,0,33
PAZÑA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,1,5
PELECHUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,1,7
POCOATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,14,28
POCONA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,20,3,23
POJO (CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,11,0,11
POOPO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,1,8
PORCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,36,1,37
POROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,10,3,13
PORONGO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,11,0,11
PORTACHUELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,46,0,46
PORVENIR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,1,7
POTOSI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,385,0,385
PRESTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,7,15
PUCARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,25,9,34
PUERTO ACOSTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,11,4,15
PUERTO CARABUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,5,12
PUERTO GONZALO MORENO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,1,7
PUERTO PEREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,3,6
PUERTO QUIJARRO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,45,0,45
PUERTO RICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,1,15
PUERTO SILES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
PUERTO SUAREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,38,1,39
PUERTO VILLARROEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,99,0,99
PUNA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,17,1,18
PUNATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,31,0,31
QUIABAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
QUILLACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,225,25,250
QUIME,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
QUIRUSILLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
RAVELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,5,12
REYES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,28,3,31
RIBERALTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,258,8,266
ROBORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,0,14
RURRENABAQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,42,0,42
SABAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,1,3
SACABA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,227,0,227
SACABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,0,3
SACACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,24,1,25
SAIPINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,12,0,12
SALINAS DE GARCI MENDOZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,8,15
SAMAIPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,8,0,8
SAN AGUSTIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
SAN ANDRES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,7,1,8
SAN ANTONIO DE ESMORUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,10,11,21
SAN BENITO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,13,0,13
SAN BORJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,52,0,52
SAN BUENA VENTURA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,1,15
SAN CARLOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,43,0,43
SAN IGNACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,43,1,44
SAN IGNACIO DE VELASCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,68,7,75
SAN JAVIER(BNI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,0,2
SAN JAVIER(STC),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,37,0,37
SAN JOAQUIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,23,0,23
SAN JOSE DE CHIQUITOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,69,0,69
SAN JUAN DE YAPACANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,0,14
SAN JULIAN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,110,1,111
SAN LORENZO(PND),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2,3,5
SAN LORENZO(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,29,1,30
SAN LUCAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,26,12,38
SAN MATIAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,27,0,27
SAN MIGUEL DE VELASCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,17,0,17
SAN PABLO DE LIPEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
SAN PEDRO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,24,0,24
SAN PEDRO DE BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,14,2,16
SAN PEDRO DE CURAHUARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,2,5
SAN PEDRO DE TIQUINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,1,4
SAN PEDRO(PND),consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,1,0,1
SAN RAFAEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,10,0,10
SAN RAMON BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,11,0,11
SAN RAMON SCZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,15,0,15
SANTA ANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,49,0,49
SANTA CRUZ DE LA SIERRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,2353,20,2373
SANTA ROSA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,23,1,24
SANTA ROSA DEL SARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,20,0,20
SANTIAGO DE CALLAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,1,4
SANTIAGO DE HUARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
SANTIAGO DE HUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,0,6
SANTIAGO DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,4,0,4
SANTIVAÑES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,6,0,6
SAPAHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,3,3,6
SENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-04-01,11,0,11
