,group,variable,month,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-09-01,0,0,2,3,2,3,5
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-09-01,2,0,1,2,3,2,5
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-09-01,4,7,0,0,4,7,11
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-09-01,5,5,0,1,5,6,11
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-09-01,9,6,2,2,11,8,19
POTOSI,chagas,      tratamientos de 15 anos y mas,2014-09-01,18,26,0,0,18,26,44
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-09-01,0,1,4,6,4,7,11
QUILLACOLLO,chagas,      tratamientos de 15 anos y mas,2014-09-01,2,2,3,2,5,4,9
SACABA,chagas,      tratamientos de 15 anos y mas,2014-09-01,10,21,3,3,13,24,37
SAN PEDRO DE BUENA VISTA,chagas,      tratamientos de 15 anos y mas,2014-09-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-09-01,6,8,9,6,15,14,29
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-09-01,3,3,0,0,3,3,6
SOPACHUY,chagas,      tratamientos de 15 anos y mas,2014-09-01,2,2,0,0,2,2,4
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-09-01,19,24,12,18,31,42,73
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-09-01,0,2,0,0,0,2,2
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-09-01,23,16,14,15,37,31,68
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-09-01,1,0,0,1,1,1,2
TOCO,chagas,      tratamientos de 15 anos y mas,2014-09-01,0,1,0,0,0,1,1
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-09-01,4,2,1,1,5,3,8
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-09-01,28,27,26,34,54,61,115
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-09-01,0,1,0,0,0,1,1
VILLA MONTES,chagas,      tratamientos de 15 anos y mas,2014-09-01,2,0,0,0,2,0,2
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-09-01,17,10,8,10,25,20,45
VITICHI,chagas,      tratamientos de 15 anos y mas,2014-09-01,6,7,0,0,6,7,13
YOTALA,chagas,      tratamientos de 15 anos y mas,2014-09-01,1,0,0,1,1,1,2
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-10-01,0,2,0,0,0,2,2
ARQUE,chagas,      tratamientos de 15 anos y mas,2014-10-01,3,0,0,0,3,0,3
BERMEJO,chagas,      tratamientos de 15 anos y mas,2014-10-01,0,2,1,0,1,2,3
BETANZOS,chagas,      tratamientos de 15 anos y mas,2014-10-01,0,1,0,3,0,4,4
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-10-01,2,2,0,2,2,4,6
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-10-01,1,1,0,2,1,3,4
CLIZA,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-10-01,15,30,20,24,35,54,89
COMARAPA,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,1,2,0,3,1,4
COTAGAITA,chagas,      tratamientos de 15 anos y mas,2014-10-01,0,1,1,1,1,2,3
EL PUENTE(TJA),chagas,      tratamientos de 15 anos y mas,2014-10-01,0,2,0,0,0,2,2
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-10-01,4,6,0,0,4,6,10
MACHARETI,chagas,      tratamientos de 15 anos y mas,2014-10-01,0,1,0,0,0,1,1
MAIRANA,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,3,0,0,1,3,4
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-10-01,4,3,1,2,5,5,10
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-10-01,0,0,0,1,0,1,1
PAILON,chagas,      tratamientos de 15 anos y mas,2014-10-01,0,1,0,0,0,1,1
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,4,0,1,1,5,6
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-10-01,4,8,4,3,8,11,19
QUILLACOLLO,chagas,      tratamientos de 15 anos y mas,2014-10-01,3,3,1,1,4,4,8
SACABA,chagas,      tratamientos de 15 anos y mas,2014-10-01,9,5,4,10,13,15,28
SAMAIPATA,chagas,      tratamientos de 15 anos y mas,2014-10-01,0,0,0,2,0,2,2
SAN LORENZO(TJA),chagas,      tratamientos de 15 anos y mas,2014-10-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-10-01,4,8,3,6,7,14,21
SANTIVAÑES,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,0,0,0,1,0,1
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,4,0,0,1,4,5
SOPACHUY,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,1,0,0,1,1,2
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-10-01,24,97,12,29,36,126,162
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-10-01,2,1,0,0,2,1,3
TARATA,chagas,      tratamientos de 15 anos y mas,2014-10-01,2,1,0,0,2,1,3
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-10-01,17,23,10,15,27,38,65
TOCO,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,0,0,0,1,0,1
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-10-01,3,1,0,0,3,1,4
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-10-01,17,22,28,32,45,54,99
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,7,3,0,4,7,11
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-10-01,9,8,8,9,17,17,34
VITICHI,chagas,      tratamientos de 15 anos y mas,2014-10-01,1,0,1,4,2,4,6
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,2,1,1,1,3,4
ARQUE,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,1,0,0,0,1,1
CAJUATA,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,1,0,0,0,1,1
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-11-01,1,1,2,0,3,1,4
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-11-01,1,0,1,1,2,1,3
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-11-01,11,9,22,27,33,36,69
COTAGAITA,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,2,1,2,1,4,5
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-11-01,3,1,5,7,8,8,16
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-11-01,1,2,0,0,1,2,3
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-11-01,2,2,3,1,5,3,8
MORO MORO,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,0,0,1,0,1,1
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-11-01,1,4,3,2,4,6,10
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,1,5,4,5,5,10
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-11-01,12,16,0,0,12,16,28
QUILLACOLLO,chagas,      tratamientos de 15 anos y mas,2014-11-01,1,0,0,0,1,0,1
SACABA,chagas,      tratamientos de 15 anos y mas,2014-11-01,2,10,5,8,7,18,25
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-11-01,6,10,4,0,10,10,20
SANTIVAÑES,chagas,      tratamientos de 15 anos y mas,2014-11-01,4,4,0,0,4,4,8
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-11-01,1,7,0,0,1,7,8
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-11-01,9,59,16,19,25,78,103
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,0,0,2,0,2,2
TARATA,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,3,1,0,1,3,4
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-11-01,6,10,1,3,7,13,20
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-11-01,0,0,2,3,2,3,5
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-11-01,21,25,26,25,47,50,97
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-11-01,4,2,0,1,4,3,7
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-11-01,0,1,1,0,1,1,2
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-12-01,1,2,0,0,1,2,3
ANZALDO,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,0,0,1,0,1,1
ARBIETO,chagas,      tratamientos de 15 anos y mas,2014-12-01,1,0,0,0,1,0,1
BERMEJO,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,0,0,2,0,2,2
CAJUATA,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,1,0,0,0,1,1
CAMARGO,chagas,      tratamientos de 15 anos y mas,2014-12-01,2,1,0,0,2,1,3
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,2,2,3,2,5,7
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-12-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-12-01,3,3,14,26,17,29,46
COTAGAITA,chagas,      tratamientos de 15 anos y mas,2014-12-01,4,5,2,1,6,6,12
EL PUENTE(TJA),chagas,      tratamientos de 15 anos y mas,2014-12-01,1,3,0,0,1,3,4
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-12-01,1,1,4,4,5,5,10
ICLA,chagas,      tratamientos de 15 anos y mas,2014-12-01,4,3,0,0,4,3,7
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,2,1,1,1,3,4
LA PAZ,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,4,0,0,0,4,4
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-12-01,1,4,0,0,1,4,5
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-12-01,1,0,0,2,1,2,3
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,4,0,1,0,5,5
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,0,1,3,1,3,4
QUILLACOLLO,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,2,2,4,2,6,8
SAN LORENZO(TJA),chagas,      tratamientos de 15 anos y mas,2014-12-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-12-01,3,0,6,10,9,10,19
SANTIVAÑES,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,1,0,0,0,1,1
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-12-01,1,1,1,0,2,1,3
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-12-01,7,49,19,47,26,96,122
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,0,1,1,1,1,2
TARABUCO,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,0,1,1,1,1,2
TARATA,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,0,1,1,1,1,2
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-12-01,4,12,10,13,14,25,39
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-12-01,1,1,0,0,1,1,2
TOMAVE,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,1,0,0,0,1,1
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-12-01,8,13,15,20,23,33,56
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-12-01,1,0,1,7,2,7,9
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-12-01,3,1,19,5,22,6,28
YOTALA,chagas,      tratamientos de 15 anos y mas,2014-12-01,0,1,0,0,0,1,1
