,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,3,8,3,8,11
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,1,0,1,1
IXIAMAS,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2011-06-01,60,56,60,56,116
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,1,2,1,3
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,1,1,1,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,3,1,3,1,4
ORURO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,35,4,35,4,39
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,1,2,1,3
POTOSI,internaciones,fallecidos a partir de las 48 horas,2011-06-01,10,10,10,10,20
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,1,2,1,3
PUNATA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,4,1,4,5
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,2,0,2,2
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,1,2,1,3
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,89,80,89,80,169
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,1,0,1,1
SORATA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2011-06-01,22,18,22,18,40
TARIJA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,14,27,14,27,41
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2011-06-01,3,8,3,8,11
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,2,2,2,4
UYUNI,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
VINTO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,0,2,0,2
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
ZUDAÑEZ,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
BOLIVAR,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2011-07-01,2,0,2,0,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,4,0,4,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,53,44,53,44,97
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2011-07-01,6,8,6,8,14
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2011-07-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
