,group,variable,month,L 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,L 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
EL TORNO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,17,8,25
MONTERO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,0,1,1
ORURO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,4,1,5
SAN BENITO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,10,9,19
SORATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,1,1,2
TRINIDAD,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,0,1,1
TUPIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,3,4,7
VILLA TUNARI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,0,1,1
VINTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,1,4,5
YAPACANI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
CHALLAPATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,2,0,2
COBIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,2,5,7
COLCAPIRHUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,10,8,18
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,6,1,7
EL TORNO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,0,1,1
GUANAY,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
HUACARETA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,2,7,9
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,0,1,1
IXIAMAS,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,2,1,3
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,22,2,24
LAJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
MECAPACA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,1,2
OKINAWA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
PORCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,0,3,3
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,7,4,11
TARIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,3,4
TIPUANI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,3,0,3
TUPIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,9,6,15
VILLAZON,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,1,0,1
WARNES,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,0,1,1
YACUIBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-11-01,3,0,3
BERMEJO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,0,1,1
CHALLAPATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,12,5,17
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,5,5,10
COLCAPIRHUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,2,15,17
COROICO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,2,2,4
LA ASUNTA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,8,9,17
MONTEAGUDO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,2,0,2
ORURO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,0,1,1
PUCARANI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,1,0,1
PUERTO RICO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,6,11,17
TARIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,1,0,1
TOMAVE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,0,3,3
TRINIDAD,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,2,0,2
YACUIBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,0,1,1
YOCALLA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-12-01,1,0,1
