municipality,group,variable,month,Total Viviendas Roceadas,TOTAL
TOMAVE,chagas viviendas,total viviendas roceadas,2015-05-01,1,1
TOMINA,chagas viviendas,total viviendas roceadas,2015-05-01,17,17
TUPIZA,chagas viviendas,total viviendas roceadas,2015-05-01,5,5
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-05-01,14,14
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-05-01,8,8
VILLA CHARCAS,chagas viviendas,total viviendas roceadas,2015-05-01,15,15
VILLA RIVERO,chagas viviendas,total viviendas roceadas,2015-05-01,2,2
VINTO,chagas viviendas,total viviendas roceadas,2015-05-01,4,4
YACUIBA,chagas viviendas,total viviendas roceadas,2015-05-01,117,117
YAMPARAEZ,chagas viviendas,total viviendas roceadas,2015-05-01,107,107
YOTALA,chagas viviendas,total viviendas roceadas,2015-05-01,20,20
ZUDAÑEZ,chagas viviendas,total viviendas roceadas,2015-05-01,2,2
ACACIO,chagas viviendas,total viviendas roceadas,2015-06-01,5,5
AIQUILE,chagas viviendas,total viviendas roceadas,2015-06-01,89,89
ARAMPAMPA,chagas viviendas,total viviendas roceadas,2015-06-01,10,10
ARBIETO,chagas viviendas,total viviendas roceadas,2015-06-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas roceadas,2015-06-01,1,1
BETANZOS,chagas viviendas,total viviendas roceadas,2015-06-01,170,170
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-06-01,151,151
CARAPARI,chagas viviendas,total viviendas roceadas,2015-06-01,60,60
CLIZA,chagas viviendas,total viviendas roceadas,2015-06-01,1,1
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-06-01,47,47
COLCAPIRHUA,chagas viviendas,total viviendas roceadas,2015-06-01,6,6
COMARAPA,chagas viviendas,total viviendas roceadas,2015-06-01,9,9
COTAGAITA,chagas viviendas,total viviendas roceadas,2015-06-01,23,23
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-06-01,15,15
LA ASUNTA,chagas viviendas,total viviendas roceadas,2015-06-01,403,403
LURIBAY,chagas viviendas,total viviendas roceadas,2015-06-01,1,1
MONTERO,chagas viviendas,total viviendas roceadas,2015-06-01,0,0
OCURI,chagas viviendas,total viviendas roceadas,2015-06-01,137,137
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-06-01,89,89
POJO (CBBA),chagas viviendas,total viviendas roceadas,2015-06-01,3,3
PUNATA,chagas viviendas,total viviendas roceadas,2015-06-01,16,16
RAVELO,chagas viviendas,total viviendas roceadas,2015-06-01,60,60
SACABA,chagas viviendas,total viviendas roceadas,2015-06-01,10,10
SACABAMBA,chagas viviendas,total viviendas roceadas,2015-06-01,11,11
SAN LORENZO(TJA),chagas viviendas,total viviendas roceadas,2015-06-01,18,18
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas roceadas,2015-06-01,94,94
SANTIVAÑES,chagas viviendas,total viviendas roceadas,2015-06-01,68,68
SIPE SIPE,chagas viviendas,total viviendas roceadas,2015-06-01,32,32
SUCRE,chagas viviendas,total viviendas roceadas,2015-06-01,93,93
TACOBAMBA,chagas viviendas,total viviendas roceadas,2015-06-01,52,52
TACOPAYA,chagas viviendas,total viviendas roceadas,2015-06-01,5,5
TAPACARI,chagas viviendas,total viviendas roceadas,2015-06-01,7,7
TARABUCO,chagas viviendas,total viviendas roceadas,2015-06-01,7,7
TOMAVE,chagas viviendas,total viviendas roceadas,2015-06-01,2,2
TOMINA,chagas viviendas,total viviendas roceadas,2015-06-01,3,3
TORO TORO,chagas viviendas,total viviendas roceadas,2015-06-01,168,168
TUPIZA,chagas viviendas,total viviendas roceadas,2015-06-01,5,5
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-06-01,4,4
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-06-01,134,134
VILLA MONTES,chagas viviendas,total viviendas roceadas,2015-06-01,46,46
VILLA RIVERO,chagas viviendas,total viviendas roceadas,2015-06-01,11,11
VILLA SERRANO,chagas viviendas,total viviendas roceadas,2015-06-01,27,27
VILLAZON,chagas viviendas,total viviendas roceadas,2015-06-01,1,1
VINTO,chagas viviendas,total viviendas roceadas,2015-06-01,1,1
YACUIBA,chagas viviendas,total viviendas roceadas,2015-06-01,163,163
YOTALA,chagas viviendas,total viviendas roceadas,2015-06-01,15,15
YUNCHARA,chagas viviendas,total viviendas roceadas,2015-06-01,9,9
ZUDAÑEZ,chagas viviendas,total viviendas roceadas,2015-06-01,27,27
AIQUILE,chagas viviendas,total viviendas roceadas,2015-07-01,82,82
ANZALDO,chagas viviendas,total viviendas roceadas,2015-07-01,3,3
ARANI,chagas viviendas,total viviendas roceadas,2015-07-01,5,5
ARBIETO,chagas viviendas,total viviendas roceadas,2015-07-01,4,4
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-07-01,49,49
CLIZA,chagas viviendas,total viviendas roceadas,2015-07-01,1,1
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-07-01,55,55
COMARAPA,chagas viviendas,total viviendas roceadas,2015-07-01,13,13
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-07-01,30,30
EL TORNO,chagas viviendas,total viviendas roceadas,2015-07-01,109,109
EL VILLAR,chagas viviendas,total viviendas roceadas,2015-07-01,1,1
ICLA,chagas viviendas,total viviendas roceadas,2015-07-01,11,11
MONTEAGUDO,chagas viviendas,total viviendas roceadas,2015-07-01,16,16
MONTERO,chagas viviendas,total viviendas roceadas,2015-07-01,0,0
OCURI,chagas viviendas,total viviendas roceadas,2015-07-01,250,250
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-07-01,29,29
PADILLA,chagas viviendas,total viviendas roceadas,2015-07-01,37,37
PASORAPA,chagas viviendas,total viviendas roceadas,2015-07-01,15,15
POJO (CBBA),chagas viviendas,total viviendas roceadas,2015-07-01,3,3
POROMA,chagas viviendas,total viviendas roceadas,2015-07-01,1,1
PRESTO,chagas viviendas,total viviendas roceadas,2015-07-01,8,8
PUNATA,chagas viviendas,total viviendas roceadas,2015-07-01,13,13
RAVELO,chagas viviendas,total viviendas roceadas,2015-07-01,60,60
SACABA,chagas viviendas,total viviendas roceadas,2015-07-01,32,32
SAN LORENZO(TJA),chagas viviendas,total viviendas roceadas,2015-07-01,16,16
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas roceadas,2015-07-01,14,14
SANTIVAÑES,chagas viviendas,total viviendas roceadas,2015-07-01,3,3
SICAYA,chagas viviendas,total viviendas roceadas,2015-07-01,5,5
SIPE SIPE,chagas viviendas,total viviendas roceadas,2015-07-01,32,32
SUCRE,chagas viviendas,total viviendas roceadas,2015-07-01,155,155
TACACHI,chagas viviendas,total viviendas roceadas,2015-07-01,4,4
TAPACARI,chagas viviendas,total viviendas roceadas,2015-07-01,5,5
TARABUCO,chagas viviendas,total viviendas roceadas,2015-07-01,43,43
TARATA,chagas viviendas,total viviendas roceadas,2015-07-01,3,3
TARVITA,chagas viviendas,total viviendas roceadas,2015-07-01,3,3
TOMINA,chagas viviendas,total viviendas roceadas,2015-07-01,53,53
TORO TORO,chagas viviendas,total viviendas roceadas,2015-07-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-07-01,14,14
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-07-01,11,11
VILLA CHARCAS,chagas viviendas,total viviendas roceadas,2015-07-01,29,29
VILLA MONTES,chagas viviendas,total viviendas roceadas,2015-07-01,17,17
VILLA RIVERO,chagas viviendas,total viviendas roceadas,2015-07-01,4,4
VILLA SERRANO,chagas viviendas,total viviendas roceadas,2015-07-01,11,11
VINTO,chagas viviendas,total viviendas roceadas,2015-07-01,6,6
YACUIBA,chagas viviendas,total viviendas roceadas,2015-07-01,31,31
YOTALA,chagas viviendas,total viviendas roceadas,2015-07-01,23,23
ZUDAÑEZ,chagas viviendas,total viviendas roceadas,2015-07-01,3,3
AIQUILE,chagas viviendas,total viviendas roceadas,2015-08-01,161,161
ANZALDO,chagas viviendas,total viviendas roceadas,2015-08-01,4,4
ARANI,chagas viviendas,total viviendas roceadas,2015-08-01,6,6
ARBIETO,chagas viviendas,total viviendas roceadas,2015-08-01,7,7
BETANZOS,chagas viviendas,total viviendas roceadas,2015-08-01,2,2
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-08-01,79,79
CARAPARI,chagas viviendas,total viviendas roceadas,2015-08-01,6,6
CLIZA,chagas viviendas,total viviendas roceadas,2015-08-01,1,1
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-08-01,88,88
COLCAPIRHUA,chagas viviendas,total viviendas roceadas,2015-08-01,2,2
COLQUECHACA,chagas viviendas,total viviendas roceadas,2015-08-01,18,18
COMARAPA,chagas viviendas,total viviendas roceadas,2015-08-01,43,43
COTAGAITA,chagas viviendas,total viviendas roceadas,2015-08-01,4,4
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-08-01,5,5
EL VILLAR,chagas viviendas,total viviendas roceadas,2015-08-01,4,4
ICLA,chagas viviendas,total viviendas roceadas,2015-08-01,14,14
INCAHUASI,chagas viviendas,total viviendas roceadas,2015-08-01,16,16
LURIBAY,chagas viviendas,total viviendas roceadas,2015-08-01,49,49
MOJOCOYA,chagas viviendas,total viviendas roceadas,2015-08-01,1,1
MONTEAGUDO,chagas viviendas,total viviendas roceadas,2015-08-01,27,27
MONTERO,chagas viviendas,total viviendas roceadas,2015-08-01,0,0
OCURI,chagas viviendas,total viviendas roceadas,2015-08-01,224,224
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-08-01,453,453
PADCAYA,chagas viviendas,total viviendas roceadas,2015-08-01,3,3
PADILLA,chagas viviendas,total viviendas roceadas,2015-08-01,88,88
PASORAPA,chagas viviendas,total viviendas roceadas,2015-08-01,11,11
POCOATA,chagas viviendas,total viviendas roceadas,2015-08-01,5,5
POCONA,chagas viviendas,total viviendas roceadas,2015-08-01,3,3
POJO (CBBA),chagas viviendas,total viviendas roceadas,2015-08-01,6,6
POROMA,chagas viviendas,total viviendas roceadas,2015-08-01,18,18
POSTRER VALLE,chagas viviendas,total viviendas roceadas,2015-08-01,10,10
PRESTO,chagas viviendas,total viviendas roceadas,2015-08-01,6,6
PUNATA,chagas viviendas,total viviendas roceadas,2015-08-01,19,19
RAVELO,chagas viviendas,total viviendas roceadas,2015-08-01,45,45
SACABA,chagas viviendas,total viviendas roceadas,2015-08-01,12,12
SAN BENITO,chagas viviendas,total viviendas roceadas,2015-08-01,6,6
SAN LORENZO(TJA),chagas viviendas,total viviendas roceadas,2015-08-01,9,9
SAN LUCAS,chagas viviendas,total viviendas roceadas,2015-08-01,20,20
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas roceadas,2015-08-01,189,189
