municipality,group,variable,month,Total Viviendas Positivas,TOTAL
TOMINA,chagas viviendas,total viviendas positivas,2015-09-01,26,26
TORO TORO,chagas viviendas,total viviendas positivas,2015-09-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas positivas,2015-09-01,1,1
VILLA CHARCAS,chagas viviendas,total viviendas positivas,2015-09-01,10,10
VILLAZON,chagas viviendas,total viviendas positivas,2015-09-01,1,1
YACUIBA,chagas viviendas,total viviendas positivas,2015-09-01,32,32
YOTALA,chagas viviendas,total viviendas positivas,2015-09-01,6,6
ZUDAÑEZ,chagas viviendas,total viviendas positivas,2015-09-01,2,2
ACACIO,chagas viviendas,total viviendas positivas,2015-10-01,4,4
AIQUILE,chagas viviendas,total viviendas positivas,2015-10-01,26,26
ALCALA,chagas viviendas,total viviendas positivas,2015-10-01,2,2
ARAMPAMPA,chagas viviendas,total viviendas positivas,2015-10-01,2,2
ARANI,chagas viviendas,total viviendas positivas,2015-10-01,5,5
ARQUE,chagas viviendas,total viviendas positivas,2015-10-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas positivas,2015-10-01,1,1
CAMIRI,chagas viviendas,total viviendas positivas,2015-10-01,5,5
CAPINOTA,chagas viviendas,total viviendas positivas,2015-10-01,13,13
CARAPARI,chagas viviendas,total viviendas positivas,2015-10-01,7,7
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,total viviendas positivas,2015-10-01,1,1
CKOCHAS,chagas viviendas,total viviendas positivas,2015-10-01,8,8
CLIZA,chagas viviendas,total viviendas positivas,2015-10-01,2,2
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-10-01,4,4
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-10-01,2,2
COMARAPA,chagas viviendas,total viviendas positivas,2015-10-01,18,18
COTAGAITA,chagas viviendas,total viviendas positivas,2015-10-01,3,3
CUATRO CAÑADAS,chagas viviendas,total viviendas positivas,2015-10-01,8,8
EL PUENTE(TJA),chagas viviendas,total viviendas positivas,2015-10-01,1,1
EL VILLAR,chagas viviendas,total viviendas positivas,2015-10-01,68,68
ENTRE RIOS TRJ,chagas viviendas,total viviendas positivas,2015-10-01,1,1
LAGUNILLAS,chagas viviendas,total viviendas positivas,2015-10-01,10,10
LAS CARRERAS,chagas viviendas,total viviendas positivas,2015-10-01,3,3
MACHARETI,chagas viviendas,total viviendas positivas,2015-10-01,4,4
MIZQUE,chagas viviendas,total viviendas positivas,2015-10-01,19,19
MONTERO,chagas viviendas,total viviendas positivas,2015-10-01,0,0
OCURI,chagas viviendas,total viviendas positivas,2015-10-01,1,1
OMEREQUE,chagas viviendas,total viviendas positivas,2015-10-01,9,9
PASORAPA,chagas viviendas,total viviendas positivas,2015-10-01,2,2
POCONA,chagas viviendas,total viviendas positivas,2015-10-01,2,2
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-10-01,1,1
POROMA,chagas viviendas,total viviendas positivas,2015-10-01,7,7
PUNATA,chagas viviendas,total viviendas positivas,2015-10-01,5,5
RAVELO,chagas viviendas,total viviendas positivas,2015-10-01,5,5
SACABA,chagas viviendas,total viviendas positivas,2015-10-01,4,4
SAN BENITO,chagas viviendas,total viviendas positivas,2015-10-01,8,8
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-10-01,1,1
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-10-01,10,10
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-10-01,39,39
SICAYA,chagas viviendas,total viviendas positivas,2015-10-01,2,2
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-10-01,6,6
SUCRE,chagas viviendas,total viviendas positivas,2015-10-01,12,12
TACACHI,chagas viviendas,total viviendas positivas,2015-10-01,2,2
TAPACARI,chagas viviendas,total viviendas positivas,2015-10-01,4,4
TARATA,chagas viviendas,total viviendas positivas,2015-10-01,2,2
TARIJA,chagas viviendas,total viviendas positivas,2015-10-01,5,5
TINGUIPAYA,chagas viviendas,total viviendas positivas,2015-10-01,51,51
TOMAVE,chagas viviendas,total viviendas positivas,2015-10-01,1,1
TOMINA,chagas viviendas,total viviendas positivas,2015-10-01,3,3
TUPIZA,chagas viviendas,total viviendas positivas,2015-10-01,9,9
VALLEGRANDE,chagas viviendas,total viviendas positivas,2015-10-01,10,10
VILLA RIVERO,chagas viviendas,total viviendas positivas,2015-10-01,1,1
VILLA SERRANO,chagas viviendas,total viviendas positivas,2015-10-01,9,9
VILLAZON,chagas viviendas,total viviendas positivas,2015-10-01,3,3
VINTO,chagas viviendas,total viviendas positivas,2015-10-01,2,2
YACUIBA,chagas viviendas,total viviendas positivas,2015-10-01,25,25
YOTALA,chagas viviendas,total viviendas positivas,2015-10-01,4,4
ACACIO,chagas viviendas,total viviendas positivas,2015-11-01,22,22
AIQUILE,chagas viviendas,total viviendas positivas,2015-11-01,16,16
ANZALDO,chagas viviendas,total viviendas positivas,2015-11-01,12,12
ARAMPAMPA,chagas viviendas,total viviendas positivas,2015-11-01,1,1
ARANI,chagas viviendas,total viviendas positivas,2015-11-01,3,3
ARQUE,chagas viviendas,total viviendas positivas,2015-11-01,6,6
CAMARGO,chagas viviendas,total viviendas positivas,2015-11-01,2,2
CAPINOTA,chagas viviendas,total viviendas positivas,2015-11-01,5,5
CKOCHAS,chagas viviendas,total viviendas positivas,2015-11-01,15,15
CLIZA,chagas viviendas,total viviendas positivas,2015-11-01,2,2
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-11-01,7,7
COLQUECHACA,chagas viviendas,total viviendas positivas,2015-11-01,2,2
COMARAPA,chagas viviendas,total viviendas positivas,2015-11-01,2,2
COTAGAITA,chagas viviendas,total viviendas positivas,2015-11-01,1,1
CUATRO CAÑADAS,chagas viviendas,total viviendas positivas,2015-11-01,9,9
CULPINA,chagas viviendas,total viviendas positivas,2015-11-01,36,36
EL PUENTE(TJA),chagas viviendas,total viviendas positivas,2015-11-01,1,1
EL TORNO,chagas viviendas,total viviendas positivas,2015-11-01,2,2
HUACARETA,chagas viviendas,total viviendas positivas,2015-11-01,18,18
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas positivas,2015-11-01,14,14
LURIBAY,chagas viviendas,total viviendas positivas,2015-11-01,3,3
MACHARETI,chagas viviendas,total viviendas positivas,2015-11-01,4,4
MIZQUE,chagas viviendas,total viviendas positivas,2015-11-01,28,28
MOJOCOYA,chagas viviendas,total viviendas positivas,2015-11-01,15,15
MONTEAGUDO,chagas viviendas,total viviendas positivas,2015-11-01,15,15
MONTERO,chagas viviendas,total viviendas positivas,2015-11-01,0,0
OCURI,chagas viviendas,total viviendas positivas,2015-11-01,1,1
OMEREQUE,chagas viviendas,total viviendas positivas,2015-11-01,16,16
PADILLA,chagas viviendas,total viviendas positivas,2015-11-01,5,5
PASORAPA,chagas viviendas,total viviendas positivas,2015-11-01,11,11
POCOATA,chagas viviendas,total viviendas positivas,2015-11-01,3,3
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-11-01,1,1
PUNATA,chagas viviendas,total viviendas positivas,2015-11-01,6,6
QUIRUSILLAS,chagas viviendas,total viviendas positivas,2015-11-01,3,3
RAVELO,chagas viviendas,total viviendas positivas,2015-11-01,7,7
SACABA,chagas viviendas,total viviendas positivas,2015-11-01,13,13
SAIPINA,chagas viviendas,total viviendas positivas,2015-11-01,3,3
SAN BENITO,chagas viviendas,total viviendas positivas,2015-11-01,3,3
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-11-01,8,8
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-11-01,10,10
SAPAHAQUI,chagas viviendas,total viviendas positivas,2015-11-01,9,9
SICAYA,chagas viviendas,total viviendas positivas,2015-11-01,3,3
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-11-01,2,2
SUCRE,chagas viviendas,total viviendas positivas,2015-11-01,108,108
TAPACARI,chagas viviendas,total viviendas positivas,2015-11-01,2,2
TARATA,chagas viviendas,total viviendas positivas,2015-11-01,2,2
TARIJA,chagas viviendas,total viviendas positivas,2015-11-01,5,5
TARVITA,chagas viviendas,total viviendas positivas,2015-11-01,16,16
TINGUIPAYA,chagas viviendas,total viviendas positivas,2015-11-01,5,5
TOCO,chagas viviendas,total viviendas positivas,2015-11-01,4,4
TOLATA,chagas viviendas,total viviendas positivas,2015-11-01,2,2
TOMINA,chagas viviendas,total viviendas positivas,2015-11-01,3,3
TORO TORO,chagas viviendas,total viviendas positivas,2015-11-01,2,2
TUPIZA,chagas viviendas,total viviendas positivas,2015-11-01,8,8
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas positivas,2015-11-01,1,1
VALLEGRANDE,chagas viviendas,total viviendas positivas,2015-11-01,4,4
VILLA SERRANO,chagas viviendas,total viviendas positivas,2015-11-01,8,8
VINTO,chagas viviendas,total viviendas positivas,2015-11-01,1,1
VITICHI,chagas viviendas,total viviendas positivas,2015-11-01,1,1
YACUIBA,chagas viviendas,total viviendas positivas,2015-11-01,48,48
YOTALA,chagas viviendas,total viviendas positivas,2015-11-01,5,5
AIQUILE,chagas viviendas,total viviendas positivas,2015-12-01,49,49
ALCALA,chagas viviendas,total viviendas positivas,2015-12-01,1,1
ANZALDO,chagas viviendas,total viviendas positivas,2015-12-01,1,1
ARAMPAMPA,chagas viviendas,total viviendas positivas,2015-12-01,2,2
ARANI,chagas viviendas,total viviendas positivas,2015-12-01,5,5
ARBIETO,chagas viviendas,total viviendas positivas,2015-12-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas positivas,2015-12-01,5,5
BETANZOS,chagas viviendas,total viviendas positivas,2015-12-01,5,5
CAMARGO,chagas viviendas,total viviendas positivas,2015-12-01,9,9
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas positivas,2015-12-01,1,1
CAPINOTA,chagas viviendas,total viviendas positivas,2015-12-01,12,12
CKOCHAS,chagas viviendas,total viviendas positivas,2015-12-01,4,4
CLIZA,chagas viviendas,total viviendas positivas,2015-12-01,3,3
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-12-01,8,8
COLQUECHACA,chagas viviendas,total viviendas positivas,2015-12-01,2,2
EL TORNO,chagas viviendas,total viviendas positivas,2015-12-01,6,6
EL VILLAR,chagas viviendas,total viviendas positivas,2015-12-01,10,10
HUACARETA,chagas viviendas,total viviendas positivas,2015-12-01,2,2
LURIBAY,chagas viviendas,total viviendas positivas,2015-12-01,1,1
MACHARETI,chagas viviendas,total viviendas positivas,2015-12-01,2,2
MOJOCOYA,chagas viviendas,total viviendas positivas,2015-12-01,23,23
MONTERO,chagas viviendas,total viviendas positivas,2015-12-01,0,0
OCURI,chagas viviendas,total viviendas positivas,2015-12-01,3,3
OMEREQUE,chagas viviendas,total viviendas positivas,2015-12-01,4,4
PADILLA,chagas viviendas,total viviendas positivas,2015-12-01,4,4
PASORAPA,chagas viviendas,total viviendas positivas,2015-12-01,8,8
POCONA,chagas viviendas,total viviendas positivas,2015-12-01,1,1
PRESTO,chagas viviendas,total viviendas positivas,2015-12-01,6,6
RAVELO,chagas viviendas,total viviendas positivas,2015-12-01,1,1
SACABA,chagas viviendas,total viviendas positivas,2015-12-01,6,6
SAN BENITO,chagas viviendas,total viviendas positivas,2015-12-01,4,4
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-12-01,18,18
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-12-01,5,5
SAPAHAQUI,chagas viviendas,total viviendas positivas,2015-12-01,8,8
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-12-01,17,17
SUCRE,chagas viviendas,total viviendas positivas,2015-12-01,5,5
TACACHI,chagas viviendas,total viviendas positivas,2015-12-01,3,3
TACOPAYA,chagas viviendas,total viviendas positivas,2015-12-01,2,2
TAPACARI,chagas viviendas,total viviendas positivas,2015-12-01,5,5
TARABUCO,chagas viviendas,total viviendas positivas,2015-12-01,2,2
TARATA,chagas viviendas,total viviendas positivas,2015-12-01,2,2
TARIJA,chagas viviendas,total viviendas positivas,2015-12-01,1,1
TARVITA,chagas viviendas,total viviendas positivas,2015-12-01,6,6
TINGUIPAYA,chagas viviendas,total viviendas positivas,2015-12-01,4,4
TOCO,chagas viviendas,total viviendas positivas,2015-12-01,4,4
TORO TORO,chagas viviendas,total viviendas positivas,2015-12-01,1,1
TUPIZA,chagas viviendas,total viviendas positivas,2015-12-01,2,2
VALLEGRANDE,chagas viviendas,total viviendas positivas,2015-12-01,1,1
VILLA MONTES,chagas viviendas,total viviendas positivas,2015-12-01,2,2
VINTO,chagas viviendas,total viviendas positivas,2015-12-01,6,6
YOTALA,chagas viviendas,total viviendas positivas,2015-12-01,1,1
