municipality,group,variable,month,Total Viviendas Evaluadas,TOTAL
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-07-01,231,231
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-07-01,3,3
ARANI,chagas viviendas,total viviendas evaluadas,2015-07-01,277,277
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-07-01,294,294
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-07-01,177,177
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-07-01,169,169
CLIZA,chagas viviendas,total viviendas evaluadas,2015-07-01,319,319
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-07-01,455,455
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-07-01,222,222
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-07-01,100,100
COMARAPA,chagas viviendas,total viviendas evaluadas,2015-07-01,53,53
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-07-01,126,126
EL TORNO,chagas viviendas,total viviendas evaluadas,2015-07-01,115,115
EL VILLAR,chagas viviendas,total viviendas evaluadas,2015-07-01,336,336
HUACARETA,chagas viviendas,total viviendas evaluadas,2015-07-01,159,159
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas evaluadas,2015-07-01,243,243
ICLA,chagas viviendas,total viviendas evaluadas,2015-07-01,192,192
INCAHUASI,chagas viviendas,total viviendas evaluadas,2015-07-01,162,162
LA ASUNTA,chagas viviendas,total viviendas evaluadas,2015-07-01,1714,1714
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-07-01,217,217
MONTEAGUDO,chagas viviendas,total viviendas evaluadas,2015-07-01,288,288
MONTERO,chagas viviendas,total viviendas evaluadas,2015-07-01,3,3
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-07-01,277,277
PADILLA,chagas viviendas,total viviendas evaluadas,2015-07-01,664,664
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-07-01,121,121
POCOATA,chagas viviendas,total viviendas evaluadas,2015-07-01,25,25
POCONA,chagas viviendas,total viviendas evaluadas,2015-07-01,129,129
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-07-01,42,42
POROMA,chagas viviendas,total viviendas evaluadas,2015-07-01,217,217
POSTRER VALLE,chagas viviendas,total viviendas evaluadas,2015-07-01,45,45
PRESTO,chagas viviendas,total viviendas evaluadas,2015-07-01,292,292
PUNATA,chagas viviendas,total viviendas evaluadas,2015-07-01,280,280
RAVELO,chagas viviendas,total viviendas evaluadas,2015-07-01,385,385
SACABA,chagas viviendas,total viviendas evaluadas,2015-07-01,481,481
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-07-01,177,177
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-07-01,205,205
SAN BENITO,chagas viviendas,total viviendas evaluadas,2015-07-01,4,4
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-07-01,237,237
SAN LUCAS,chagas viviendas,total viviendas evaluadas,2015-07-01,106,106
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-07-01,553,553
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-07-01,125,125
SICAYA,chagas viviendas,total viviendas evaluadas,2015-07-01,316,316
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-07-01,152,152
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-07-01,402,402
SUCRE,chagas viviendas,total viviendas evaluadas,2015-07-01,1133,1133
TACACHI,chagas viviendas,total viviendas evaluadas,2015-07-01,34,34
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-07-01,164,164
TARATA,chagas viviendas,total viviendas evaluadas,2015-07-01,129,129
TARVITA,chagas viviendas,total viviendas evaluadas,2015-07-01,476,476
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-07-01,300,300
TOCO,chagas viviendas,total viviendas evaluadas,2015-07-01,146,146
TOLATA,chagas viviendas,total viviendas evaluadas,2015-07-01,186,186
TOMINA,chagas viviendas,total viviendas evaluadas,2015-07-01,398,398
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-07-01,323,323
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-07-01,25,25
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-07-01,213,213
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-07-01,171,171
VILLA CHARCAS,chagas viviendas,total viviendas evaluadas,2015-07-01,441,441
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-07-01,158,158
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-07-01,177,177
VILLA SERRANO,chagas viviendas,total viviendas evaluadas,2015-07-01,376,376
VILLAZON,chagas viviendas,total viviendas evaluadas,2015-07-01,187,187
VINTO,chagas viviendas,total viviendas evaluadas,2015-07-01,305,305
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-07-01,734,734
YOTALA,chagas viviendas,total viviendas evaluadas,2015-07-01,404,404
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-07-01,513,513
ACACIO,chagas viviendas,total viviendas evaluadas,2015-08-01,280,280
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-08-01,617,617
ALCALA,chagas viviendas,total viviendas evaluadas,2015-08-01,207,207
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-08-01,382,382
ARANI,chagas viviendas,total viviendas evaluadas,2015-08-01,201,201
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-08-01,1300,1300
ARQUE,chagas viviendas,total viviendas evaluadas,2015-08-01,186,186
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-08-01,187,187
BETANZOS,chagas viviendas,total viviendas evaluadas,2015-08-01,390,390
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-08-01,363,363
CARAPARI,chagas viviendas,total viviendas evaluadas,2015-08-01,548,548
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,total viviendas evaluadas,2015-08-01,752,752
CLIZA,chagas viviendas,total viviendas evaluadas,2015-08-01,421,421
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-08-01,1632,1632
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-08-01,139,139
"COLCHA ""K""",chagas viviendas,total viviendas evaluadas,2015-08-01,137,137
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-08-01,184,184
COMARAPA,chagas viviendas,total viviendas evaluadas,2015-08-01,133,133
COTAGAITA,chagas viviendas,total viviendas evaluadas,2015-08-01,751,751
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-08-01,121,121
EL VILLAR,chagas viviendas,total viviendas evaluadas,2015-08-01,428,428
HUACARETA,chagas viviendas,total viviendas evaluadas,2015-08-01,80,80
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas evaluadas,2015-08-01,74,74
ICLA,chagas viviendas,total viviendas evaluadas,2015-08-01,200,200
INCAHUASI,chagas viviendas,total viviendas evaluadas,2015-08-01,231,231
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-08-01,154,154
LURIBAY,chagas viviendas,total viviendas evaluadas,2015-08-01,187,187
MOJOCOYA,chagas viviendas,total viviendas evaluadas,2015-08-01,322,322
MONTEAGUDO,chagas viviendas,total viviendas evaluadas,2015-08-01,269,269
MONTERO,chagas viviendas,total viviendas evaluadas,2015-08-01,0,0
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-08-01,287,287
PADILLA,chagas viviendas,total viviendas evaluadas,2015-08-01,786,786
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-08-01,98,98
POCOATA,chagas viviendas,total viviendas evaluadas,2015-08-01,46,46
POCONA,chagas viviendas,total viviendas evaluadas,2015-08-01,138,138
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-08-01,81,81
POROMA,chagas viviendas,total viviendas evaluadas,2015-08-01,580,580
POSTRER VALLE,chagas viviendas,total viviendas evaluadas,2015-08-01,21,21
PRESTO,chagas viviendas,total viviendas evaluadas,2015-08-01,181,181
PUNATA,chagas viviendas,total viviendas evaluadas,2015-08-01,520,520
RAVELO,chagas viviendas,total viviendas evaluadas,2015-08-01,430,430
SACABA,chagas viviendas,total viviendas evaluadas,2015-08-01,400,400
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-08-01,171,171
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-08-01,20,20
SAN BENITO,chagas viviendas,total viviendas evaluadas,2015-08-01,304,304
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-08-01,221,221
SAN LUCAS,chagas viviendas,total viviendas evaluadas,2015-08-01,321,321
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-08-01,687,687
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-08-01,267,267
SICAYA,chagas viviendas,total viviendas evaluadas,2015-08-01,168,168
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-08-01,348,348
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-08-01,78,78
TACACHI,chagas viviendas,total viviendas evaluadas,2015-08-01,64,64
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-08-01,223,223
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-08-01,153,153
TARABUCO,chagas viviendas,total viviendas evaluadas,2015-08-01,543,543
TARATA,chagas viviendas,total viviendas evaluadas,2015-08-01,337,337
TARIJA,chagas viviendas,total viviendas evaluadas,2015-08-01,1,1
TARVITA,chagas viviendas,total viviendas evaluadas,2015-08-01,528,528
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-08-01,225,225
TOCO,chagas viviendas,total viviendas evaluadas,2015-08-01,180,180
TOLATA,chagas viviendas,total viviendas evaluadas,2015-08-01,237,237
TOMAVE,chagas viviendas,total viviendas evaluadas,2015-08-01,187,187
TOMINA,chagas viviendas,total viviendas evaluadas,2015-08-01,151,151
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-08-01,339,339
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-08-01,545,545
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-08-01,163,163
VILLA CHARCAS,chagas viviendas,total viviendas evaluadas,2015-08-01,119,119
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-08-01,17,17
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-08-01,298,298
VILLA SERRANO,chagas viviendas,total viviendas evaluadas,2015-08-01,390,390
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,total viviendas evaluadas,2015-08-01,136,136
VILLAZON,chagas viviendas,total viviendas evaluadas,2015-08-01,59,59
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-08-01,674,674
YAMPARAEZ,chagas viviendas,total viviendas evaluadas,2015-08-01,151,151
YOTALA,chagas viviendas,total viviendas evaluadas,2015-08-01,254,254
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-08-01,332,332
ACACIO,chagas viviendas,total viviendas evaluadas,2015-09-01,420,420
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-09-01,456,456
ALCALA,chagas viviendas,total viviendas evaluadas,2015-09-01,91,91
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-09-01,131,131
ARAMPAMPA,chagas viviendas,total viviendas evaluadas,2015-09-01,133,133
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-09-01,177,177
ARQUE,chagas viviendas,total viviendas evaluadas,2015-09-01,159,159
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-09-01,182,182
BETANZOS,chagas viviendas,total viviendas evaluadas,2015-09-01,391,391
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-09-01,414,414
CARAPARI,chagas viviendas,total viviendas evaluadas,2015-09-01,431,431
CLIZA,chagas viviendas,total viviendas evaluadas,2015-09-01,250,250
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-09-01,887,887
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-09-01,167,167
"COLCHA ""K""",chagas viviendas,total viviendas evaluadas,2015-09-01,13,13
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-09-01,101,101
COMARAPA,chagas viviendas,total viviendas evaluadas,2015-09-01,18,18
COTAGAITA,chagas viviendas,total viviendas evaluadas,2015-09-01,510,510
CULPINA,chagas viviendas,total viviendas evaluadas,2015-09-01,865,865
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-09-01,194,194
EL TORNO,chagas viviendas,total viviendas evaluadas,2015-09-01,16,16
EL VILLAR,chagas viviendas,total viviendas evaluadas,2015-09-01,219,219
ICLA,chagas viviendas,total viviendas evaluadas,2015-09-01,133,133
LAGUNILLAS,chagas viviendas,total viviendas evaluadas,2015-09-01,6,6
MOJOCOYA,chagas viviendas,total viviendas evaluadas,2015-09-01,45,45
MONTEAGUDO,chagas viviendas,total viviendas evaluadas,2015-09-01,136,136
MONTERO,chagas viviendas,total viviendas evaluadas,2015-09-01,6,6
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-09-01,276,276
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-09-01,682,682
PAMPA GRANDE,chagas viviendas,total viviendas evaluadas,2015-09-01,165,165
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-09-01,89,89
POCOATA,chagas viviendas,total viviendas evaluadas,2015-09-01,18,18
POCONA,chagas viviendas,total viviendas evaluadas,2015-09-01,161,161
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-09-01,748,748
POSTRER VALLE,chagas viviendas,total viviendas evaluadas,2015-09-01,100,100
PUCARA,chagas viviendas,total viviendas evaluadas,2015-09-01,52,52
PUNATA,chagas viviendas,total viviendas evaluadas,2015-09-01,360,360
RAVELO,chagas viviendas,total viviendas evaluadas,2015-09-01,692,692
SACABA,chagas viviendas,total viviendas evaluadas,2015-09-01,427,427
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-09-01,96,96
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-09-01,22,22
SAN BENITO,chagas viviendas,total viviendas evaluadas,2015-09-01,346,346
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-09-01,93,93
SAN LUCAS,chagas viviendas,total viviendas evaluadas,2015-09-01,249,249
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-09-01,1193,1193
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-09-01,14,14
SICAYA,chagas viviendas,total viviendas evaluadas,2015-09-01,104,104
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-09-01,376,376
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-09-01,122,122
SUCRE,chagas viviendas,total viviendas evaluadas,2015-09-01,345,345
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-09-01,232,232
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-09-01,141,141
TARABUCO,chagas viviendas,total viviendas evaluadas,2015-09-01,227,227
TARATA,chagas viviendas,total viviendas evaluadas,2015-09-01,264,264
TARIJA,chagas viviendas,total viviendas evaluadas,2015-09-01,339,339
TARVITA,chagas viviendas,total viviendas evaluadas,2015-09-01,401,401
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-09-01,275,275
TOCO,chagas viviendas,total viviendas evaluadas,2015-09-01,623,623
TOLATA,chagas viviendas,total viviendas evaluadas,2015-09-01,771,771
TOMAVE,chagas viviendas,total viviendas evaluadas,2015-09-01,244,244
TOMINA,chagas viviendas,total viviendas evaluadas,2015-09-01,528,528
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-09-01,412,412
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-09-01,415,415
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-09-01,370,370
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-09-01,21,21
VILLA CHARCAS,chagas viviendas,total viviendas evaluadas,2015-09-01,356,356
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-09-01,331,331
VILLA SERRANO,chagas viviendas,total viviendas evaluadas,2015-09-01,564,564
VILLAZON,chagas viviendas,total viviendas evaluadas,2015-09-01,119,119
VINTO,chagas viviendas,total viviendas evaluadas,2015-09-01,244,244
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-09-01,379,379
YOTALA,chagas viviendas,total viviendas evaluadas,2015-09-01,325,325
YUNCHARA,chagas viviendas,total viviendas evaluadas,2015-09-01,100,100
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-09-01,105,105
ACACIO,chagas viviendas,total viviendas evaluadas,2015-10-01,338,338
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-10-01,530,530
ALCALA,chagas viviendas,total viviendas evaluadas,2015-10-01,242,242
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-10-01,108,108
ARAMPAMPA,chagas viviendas,total viviendas evaluadas,2015-10-01,143,143
ARANI,chagas viviendas,total viviendas evaluadas,2015-10-01,342,342
ARQUE,chagas viviendas,total viviendas evaluadas,2015-10-01,75,75
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-10-01,114,114
CAMARGO,chagas viviendas,total viviendas evaluadas,2015-10-01,458,458
CAMIRI,chagas viviendas,total viviendas evaluadas,2015-10-01,10,10
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-10-01,245,245
CARAPARI,chagas viviendas,total viviendas evaluadas,2015-10-01,385,385
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,total viviendas evaluadas,2015-10-01,706,706
CKOCHAS,chagas viviendas,total viviendas evaluadas,2015-10-01,197,197
CLIZA,chagas viviendas,total viviendas evaluadas,2015-10-01,411,411
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-10-01,455,455
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-10-01,248,248
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-10-01,143,143
COTAGAITA,chagas viviendas,total viviendas evaluadas,2015-10-01,441,441
CUATRO CAÑADAS,chagas viviendas,total viviendas evaluadas,2015-10-01,174,174
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-10-01,147,147
EL VILLAR,chagas viviendas,total viviendas evaluadas,2015-10-01,397,397
ENTRE RIOS TRJ,chagas viviendas,total viviendas evaluadas,2015-10-01,107,107
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas evaluadas,2015-10-01,105,105
ICLA,chagas viviendas,total viviendas evaluadas,2015-10-01,283,283
IRUPANA (VILLA DE LANZA),chagas viviendas,total viviendas evaluadas,2015-10-01,20,20
LAGUNILLAS,chagas viviendas,total viviendas evaluadas,2015-10-01,15,15
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-10-01,209,209
MACHARETI,chagas viviendas,total viviendas evaluadas,2015-10-01,64,64
MIZQUE,chagas viviendas,total viviendas evaluadas,2015-10-01,489,489
MONTERO,chagas viviendas,total viviendas evaluadas,2015-10-01,0,0
OCURI,chagas viviendas,total viviendas evaluadas,2015-10-01,20,20
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-10-01,248,248
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-10-01,111,111
PADILLA,chagas viviendas,total viviendas evaluadas,2015-10-01,91,91
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-10-01,35,35
POCONA,chagas viviendas,total viviendas evaluadas,2015-10-01,151,151
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-10-01,271,271
POROMA,chagas viviendas,total viviendas evaluadas,2015-10-01,511,511
POSTRER VALLE,chagas viviendas,total viviendas evaluadas,2015-10-01,12,12
PUNATA,chagas viviendas,total viviendas evaluadas,2015-10-01,445,445
RAVELO,chagas viviendas,total viviendas evaluadas,2015-10-01,463,463
SACABA,chagas viviendas,total viviendas evaluadas,2015-10-01,532,532
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-10-01,163,163
SAN BENITO,chagas viviendas,total viviendas evaluadas,2015-10-01,215,215
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-10-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-10-01,401,401
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-10-01,22,22
SICAYA,chagas viviendas,total viviendas evaluadas,2015-10-01,184,184
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-10-01,262,262
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-10-01,452,452
SUCRE,chagas viviendas,total viviendas evaluadas,2015-10-01,198,198
TACACHI,chagas viviendas,total viviendas evaluadas,2015-10-01,132,132
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-10-01,257,257
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-10-01,163,163
TARATA,chagas viviendas,total viviendas evaluadas,2015-10-01,2,2
TARIJA,chagas viviendas,total viviendas evaluadas,2015-10-01,97,97
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-10-01,330,330
TOCO,chagas viviendas,total viviendas evaluadas,2015-10-01,137,137
TOMAVE,chagas viviendas,total viviendas evaluadas,2015-10-01,217,217
TOMINA,chagas viviendas,total viviendas evaluadas,2015-10-01,191,191
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-10-01,281,281
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-10-01,90,90
TUPIZA,chagas viviendas,total viviendas evaluadas,2015-10-01,991,991
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-10-01,254,254
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-10-01,234,234
VILLA SERRANO,chagas viviendas,total viviendas evaluadas,2015-10-01,337,337
VILLAZON,chagas viviendas,total viviendas evaluadas,2015-10-01,229,229
VINTO,chagas viviendas,total viviendas evaluadas,2015-10-01,269,269
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-10-01,1367,1367
YOTALA,chagas viviendas,total viviendas evaluadas,2015-10-01,574,574
YUNCHARA,chagas viviendas,total viviendas evaluadas,2015-10-01,79,79
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-10-01,55,55
ACACIO,chagas viviendas,total viviendas evaluadas,2015-11-01,165,165
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-11-01,363,363
ALCALA,chagas viviendas,total viviendas evaluadas,2015-11-01,93,93
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-11-01,116,116
ARAMPAMPA,chagas viviendas,total viviendas evaluadas,2015-11-01,110,110
ARANI,chagas viviendas,total viviendas evaluadas,2015-11-01,316,316
ARQUE,chagas viviendas,total viviendas evaluadas,2015-11-01,189,189
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-11-01,50,50
CAMARGO,chagas viviendas,total viviendas evaluadas,2015-11-01,446,446
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-11-01,301,301
CKOCHAS,chagas viviendas,total viviendas evaluadas,2015-11-01,166,166
CLIZA,chagas viviendas,total viviendas evaluadas,2015-11-01,362,362
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-11-01,1635,1635
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-11-01,170,170
COTAGAITA,chagas viviendas,total viviendas evaluadas,2015-11-01,724,724
CUATRO CAÑADAS,chagas viviendas,total viviendas evaluadas,2015-11-01,151,151
CULPINA,chagas viviendas,total viviendas evaluadas,2015-11-01,240,240
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-11-01,164,164
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas evaluadas,2015-11-01,133,133
ICLA,chagas viviendas,total viviendas evaluadas,2015-11-01,114,114
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-11-01,230,230
LURIBAY,chagas viviendas,total viviendas evaluadas,2015-11-01,873,873
MACHARETI,chagas viviendas,total viviendas evaluadas,2015-11-01,116,116
MIZQUE,chagas viviendas,total viviendas evaluadas,2015-11-01,654,654
MOJOCOYA,chagas viviendas,total viviendas evaluadas,2015-11-01,49,49
MONTEAGUDO,chagas viviendas,total viviendas evaluadas,2015-11-01,241,241
MONTERO,chagas viviendas,total viviendas evaluadas,2015-11-01,0,0
OCURI,chagas viviendas,total viviendas evaluadas,2015-11-01,84,84
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-11-01,513,513
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-11-01,175,175
PADILLA,chagas viviendas,total viviendas evaluadas,2015-11-01,1261,1261
PAMPA GRANDE,chagas viviendas,total viviendas evaluadas,2015-11-01,5,5
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-11-01,71,71
POCOATA,chagas viviendas,total viviendas evaluadas,2015-11-01,11,11
POCONA,chagas viviendas,total viviendas evaluadas,2015-11-01,114,114
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-11-01,420,420
PUCARA,chagas viviendas,total viviendas evaluadas,2015-11-01,20,20
PUNATA,chagas viviendas,total viviendas evaluadas,2015-11-01,583,583
QUIRUSILLAS,chagas viviendas,total viviendas evaluadas,2015-11-01,37,37
RAVELO,chagas viviendas,total viviendas evaluadas,2015-11-01,406,406
SACABA,chagas viviendas,total viviendas evaluadas,2015-11-01,361,361
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-11-01,158,158
SAN BENITO,chagas viviendas,total viviendas evaluadas,2015-11-01,205,205
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-11-01,20,20
SAN LUCAS,chagas viviendas,total viviendas evaluadas,2015-11-01,221,221
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-11-01,982,982
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-11-01,118,118
SAPAHAQUI,chagas viviendas,total viviendas evaluadas,2015-11-01,394,394
SICAYA,chagas viviendas,total viviendas evaluadas,2015-11-01,198,198
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-11-01,318,318
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-11-01,232,232
SUCRE,chagas viviendas,total viviendas evaluadas,2015-11-01,843,843
TACACHI,chagas viviendas,total viviendas evaluadas,2015-11-01,111,111
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-11-01,229,229
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-11-01,138,138
TARABUCO,chagas viviendas,total viviendas evaluadas,2015-11-01,180,180
TARATA,chagas viviendas,total viviendas evaluadas,2015-11-01,165,165
TARIJA,chagas viviendas,total viviendas evaluadas,2015-11-01,254,254
TARVITA,chagas viviendas,total viviendas evaluadas,2015-11-01,962,962
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-11-01,300,300
TOCO,chagas viviendas,total viviendas evaluadas,2015-11-01,120,120
TOLATA,chagas viviendas,total viviendas evaluadas,2015-11-01,259,259
TOMINA,chagas viviendas,total viviendas evaluadas,2015-11-01,144,144
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-11-01,369,369
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-11-01,273,273
TUPIZA,chagas viviendas,total viviendas evaluadas,2015-11-01,913,913
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-11-01,765,765
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-11-01,28,28
VILLA CHARCAS,chagas viviendas,total viviendas evaluadas,2015-11-01,198,198
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-11-01,256,256
VILLA SERRANO,chagas viviendas,total viviendas evaluadas,2015-11-01,792,792
VILLAZON,chagas viviendas,total viviendas evaluadas,2015-11-01,324,324
VINTO,chagas viviendas,total viviendas evaluadas,2015-11-01,200,200
