municipality,group,variable,month,7. Viviendas Positivas,TOTAL
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-09-01,4,4
VILLA RIVERO,chagas viviendas,viviendas positivas,2024-09-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas positivas,2024-09-01,26,26
YACUIBA,chagas viviendas,viviendas positivas,2024-09-01,5,5
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-09-01,17,17
YOTALA,chagas viviendas,viviendas positivas,2024-09-01,17,17
ZUDAÑEZ,chagas viviendas,viviendas positivas,2024-09-01,4,4
AIQUILE,chagas viviendas,viviendas positivas,2024-10-01,20,20
ALCALA,chagas viviendas,viviendas positivas,2024-10-01,4,4
ANZALDO,chagas viviendas,viviendas positivas,2024-10-01,8,8
ARAMPAMPA,chagas viviendas,viviendas positivas,2024-10-01,3,3
ARANI,chagas viviendas,viviendas positivas,2024-10-01,5,5
ARQUE,chagas viviendas,viviendas positivas,2024-10-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2024-10-01,2,2
BETANZOS,chagas viviendas,viviendas positivas,2024-10-01,25,25
"CAIZA ""D""",chagas viviendas,viviendas positivas,2024-10-01,9,9
CAMARGO,chagas viviendas,viviendas positivas,2024-10-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-10-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2024-10-01,12,12
CARAPARI,chagas viviendas,viviendas positivas,2024-10-01,4,4
CKOCHAS,chagas viviendas,viviendas positivas,2024-10-01,10,10
CLIZA,chagas viviendas,viviendas positivas,2024-10-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2024-10-01,8,8
COLQUIRI,chagas viviendas,viviendas positivas,2024-10-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2024-10-01,13,13
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2024-10-01,1,1
CULPINA,chagas viviendas,viviendas positivas,2024-10-01,7,7
EL TORNO,chagas viviendas,viviendas positivas,2024-10-01,2,2
OCURI,chagas viviendas,viviendas positivas,2024-10-01,1,1
PASORAPA,chagas viviendas,viviendas positivas,2024-10-01,1,1
POJO (CBBA),chagas viviendas,viviendas positivas,2024-10-01,1,1
PUNA,chagas viviendas,viviendas positivas,2024-10-01,15,15
PUNATA,chagas viviendas,viviendas positivas,2024-10-01,13,13
RAVELO,chagas viviendas,viviendas positivas,2024-10-01,5,5
SACABA,chagas viviendas,viviendas positivas,2024-10-01,3,3
SAN BENITO,chagas viviendas,viviendas positivas,2024-10-01,1,1
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-10-01,7,7
SIPE SIPE,chagas viviendas,viviendas positivas,2024-10-01,10,10
SOPACHUY,chagas viviendas,viviendas positivas,2024-10-01,1,1
SUCRE,chagas viviendas,viviendas positivas,2024-10-01,25,25
TACACHI,chagas viviendas,viviendas positivas,2024-10-01,4,4
TARIJA,chagas viviendas,viviendas positivas,2024-10-01,8,8
TORO TORO,chagas viviendas,viviendas positivas,2024-10-01,9,9
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-10-01,9,9
TUPIZA,chagas viviendas,viviendas positivas,2024-10-01,5,5
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-10-01,4,4
VILLA MONTES,chagas viviendas,viviendas positivas,2024-10-01,3,3
VITICHI,chagas viviendas,viviendas positivas,2024-10-01,6,6
YACUIBA,chagas viviendas,viviendas positivas,2024-10-01,7,7
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-10-01,13,13
ACACIO,chagas viviendas,viviendas positivas,2024-11-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2024-11-01,8,8
ALCALA,chagas viviendas,viviendas positivas,2024-11-01,3,3
ARANI,chagas viviendas,viviendas positivas,2024-11-01,4,4
ARBIETO,chagas viviendas,viviendas positivas,2024-11-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2024-11-01,1,1
BETANZOS,chagas viviendas,viviendas positivas,2024-11-01,26,26
"CAIZA ""D""",chagas viviendas,viviendas positivas,2024-11-01,8,8
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-11-01,5,5
CAPINOTA,chagas viviendas,viviendas positivas,2024-11-01,14,14
CKOCHAS,chagas viviendas,viviendas positivas,2024-11-01,1,1
CLIZA,chagas viviendas,viviendas positivas,2024-11-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2024-11-01,5,5
CORIPATA,chagas viviendas,viviendas positivas,2024-11-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2024-11-01,6,6
CULPINA,chagas viviendas,viviendas positivas,2024-11-01,13,13
HUACARETA,chagas viviendas,viviendas positivas,2024-11-01,22,22
LAS CARRERAS,chagas viviendas,viviendas positivas,2024-11-01,5,5
LURIBAY,chagas viviendas,viviendas positivas,2024-11-01,28,28
MACHARETI,chagas viviendas,viviendas positivas,2024-11-01,9,9
MONTEAGUDO,chagas viviendas,viviendas positivas,2024-11-01,3,3
OCURI,chagas viviendas,viviendas positivas,2024-11-01,1,1
OMEREQUE,chagas viviendas,viviendas positivas,2024-11-01,1,1
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-11-01,14,14
PASORAPA,chagas viviendas,viviendas positivas,2024-11-01,2,2
POROMA,chagas viviendas,viviendas positivas,2024-11-01,36,36
PRESTO,chagas viviendas,viviendas positivas,2024-11-01,4,4
PUCARA,chagas viviendas,viviendas positivas,2024-11-01,1,1
PUNA,chagas viviendas,viviendas positivas,2024-11-01,2,2
PUNATA,chagas viviendas,viviendas positivas,2024-11-01,5,5
RAVELO,chagas viviendas,viviendas positivas,2024-11-01,4,4
SACABA,chagas viviendas,viviendas positivas,2024-11-01,3,3
SAN BENITO,chagas viviendas,viviendas positivas,2024-11-01,1,1
SAN LUCAS,chagas viviendas,viviendas positivas,2024-11-01,15,15
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-11-01,5,5
SAPAHAQUI,chagas viviendas,viviendas positivas,2024-11-01,18,18
SICAYA,chagas viviendas,viviendas positivas,2024-11-01,2,2
SIPE SIPE,chagas viviendas,viviendas positivas,2024-11-01,31,31
SOPACHUY,chagas viviendas,viviendas positivas,2024-11-01,3,3
SUCRE,chagas viviendas,viviendas positivas,2024-11-01,12,12
TACACHI,chagas viviendas,viviendas positivas,2024-11-01,1,1
TACOBAMBA,chagas viviendas,viviendas positivas,2024-11-01,11,11
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-11-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2024-11-01,11,11
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2024-11-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-11-01,2,2
VILLA MONTES,chagas viviendas,viviendas positivas,2024-11-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas positivas,2024-11-01,5,5
VITICHI,chagas viviendas,viviendas positivas,2024-11-01,5,5
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-11-01,7,7
YOTALA,chagas viviendas,viviendas positivas,2024-11-01,2,2
ZUDAÑEZ,chagas viviendas,viviendas positivas,2024-11-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2024-12-01,5,5
ARAMPAMPA,chagas viviendas,viviendas positivas,2024-12-01,1,1
ARANI,chagas viviendas,viviendas positivas,2024-12-01,1,1
ARQUE,chagas viviendas,viviendas positivas,2024-12-01,1,1
BETANZOS,chagas viviendas,viviendas positivas,2024-12-01,7,7
"CAIZA ""D""",chagas viviendas,viviendas positivas,2024-12-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-12-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2024-12-01,2,2
CARAPARI,chagas viviendas,viviendas positivas,2024-12-01,3,3
CKOCHAS,chagas viviendas,viviendas positivas,2024-12-01,1,1
CLIZA,chagas viviendas,viviendas positivas,2024-12-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2024-12-01,2,2
EL TORNO,chagas viviendas,viviendas positivas,2024-12-01,9,9
LURIBAY,chagas viviendas,viviendas positivas,2024-12-01,2,2
MIZQUE,chagas viviendas,viviendas positivas,2024-12-01,2,2
PASORAPA,chagas viviendas,viviendas positivas,2024-12-01,1,1
POJO (CBBA),chagas viviendas,viviendas positivas,2024-12-01,5,5
PUNATA,chagas viviendas,viviendas positivas,2024-12-01,4,4
SAN BENITO,chagas viviendas,viviendas positivas,2024-12-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2024-12-01,6,6
SAPAHAQUI,chagas viviendas,viviendas positivas,2024-12-01,15,15
SIPE SIPE,chagas viviendas,viviendas positivas,2024-12-01,1,1
TACACHI,chagas viviendas,viviendas positivas,2024-12-01,1,1
TACOBAMBA,chagas viviendas,viviendas positivas,2024-12-01,12,12
TORO TORO,chagas viviendas,viviendas positivas,2024-12-01,11,11
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-12-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2024-12-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2024-12-01,8,8
