municipality,group,variable,month,6. Viviendas Evaluadas,TOTAL
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-06-01,490,490
SOPACHUY,chagas viviendas,viviendas evaluadas,2024-06-01,111,111
SUCRE,chagas viviendas,viviendas evaluadas,2024-06-01,210,210
TACACHI,chagas viviendas,viviendas evaluadas,2024-06-01,112,112
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-06-01,231,231
TAPACARI,chagas viviendas,viviendas evaluadas,2024-06-01,217,217
TARABUCO,chagas viviendas,viviendas evaluadas,2024-06-01,79,79
TARATA,chagas viviendas,viviendas evaluadas,2024-06-01,233,233
TARIJA,chagas viviendas,viviendas evaluadas,2024-06-01,844,844
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-06-01,331,331
TOCO,chagas viviendas,viviendas evaluadas,2024-06-01,169,169
TOLATA,chagas viviendas,viviendas evaluadas,2024-06-01,100,100
TORO TORO,chagas viviendas,viviendas evaluadas,2024-06-01,66,66
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-06-01,245,245
TUPIZA,chagas viviendas,viviendas evaluadas,2024-06-01,709,709
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-06-01,250,250
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-06-01,197,197
VILA VILA,chagas viviendas,viviendas evaluadas,2024-06-01,391,391
VILLA MONTES,chagas viviendas,viviendas evaluadas,2024-06-01,258,258
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-06-01,343,343
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-06-01,170,170
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas evaluadas,2024-06-01,134,134
VINTO,chagas viviendas,viviendas evaluadas,2024-06-01,424,424
VITICHI,chagas viviendas,viviendas evaluadas,2024-06-01,276,276
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-06-01,281,281
YOTALA,chagas viviendas,viviendas evaluadas,2024-06-01,54,54
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-06-01,147,147
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2024-06-01,132,132
ACACIO,chagas viviendas,viviendas evaluadas,2024-07-01,118,118
AIQUILE,chagas viviendas,viviendas evaluadas,2024-07-01,714,714
ALCALA,chagas viviendas,viviendas evaluadas,2024-07-01,138,138
ANZALDO,chagas viviendas,viviendas evaluadas,2024-07-01,272,272
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-07-01,148,148
ARANI,chagas viviendas,viviendas evaluadas,2024-07-01,352,352
ARBIETO,chagas viviendas,viviendas evaluadas,2024-07-01,201,201
ARQUE,chagas viviendas,viviendas evaluadas,2024-07-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2024-07-01,189,189
BETANZOS,chagas viviendas,viviendas evaluadas,2024-07-01,265,265
CAMARGO,chagas viviendas,viviendas evaluadas,2024-07-01,413,413
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-07-01,83,83
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-07-01,656,656
CARAPARI,chagas viviendas,viviendas evaluadas,2024-07-01,417,417
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-07-01,471,471
CLIZA,chagas viviendas,viviendas evaluadas,2024-07-01,241,241
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-07-01,2871,2871
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-07-01,554,554
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-07-01,243,243
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-07-01,168,168
EL TORNO,chagas viviendas,viviendas evaluadas,2024-07-01,50,50
EL VILLAR,chagas viviendas,viviendas evaluadas,2024-07-01,233,233
ENTRE RIOS TRJ,chagas viviendas,viviendas evaluadas,2024-07-01,167,167
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-07-01,207,207
HUACARETA,chagas viviendas,viviendas evaluadas,2024-07-01,436,436
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2024-07-01,22,22
ICLA,chagas viviendas,viviendas evaluadas,2024-07-01,103,103
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2024-07-01,102,102
LURIBAY,chagas viviendas,viviendas evaluadas,2024-07-01,187,187
MACHARETI,chagas viviendas,viviendas evaluadas,2024-07-01,237,237
MAIRANA,chagas viviendas,viviendas evaluadas,2024-07-01,151,151
MIZQUE,chagas viviendas,viviendas evaluadas,2024-07-01,1144,1144
MOJOCOYA,chagas viviendas,viviendas evaluadas,2024-07-01,83,83
MOROCHATA,chagas viviendas,viviendas evaluadas,2024-07-01,313,313
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-07-01,358,358
PADCAYA,chagas viviendas,viviendas evaluadas,2024-07-01,528,528
PADILLA,chagas viviendas,viviendas evaluadas,2024-07-01,303,303
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-07-01,97,97
PASORAPA,chagas viviendas,viviendas evaluadas,2024-07-01,418,418
POCONA,chagas viviendas,viviendas evaluadas,2024-07-01,310,310
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-07-01,373,373
POROMA,chagas viviendas,viviendas evaluadas,2024-07-01,259,259
PRESTO,chagas viviendas,viviendas evaluadas,2024-07-01,80,80
PUCARA,chagas viviendas,viviendas evaluadas,2024-07-01,17,17
PUNA,chagas viviendas,viviendas evaluadas,2024-07-01,295,295
PUNATA,chagas viviendas,viviendas evaluadas,2024-07-01,334,334
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-07-01,1022,1022
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-07-01,23,23
RAVELO,chagas viviendas,viviendas evaluadas,2024-07-01,118,118
SACABA,chagas viviendas,viviendas evaluadas,2024-07-01,1408,1408
SAMAIPATA,chagas viviendas,viviendas evaluadas,2024-07-01,51,51
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-07-01,396,396
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-07-01,190,190
SAN LUCAS,chagas viviendas,viviendas evaluadas,2024-07-01,153,153
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2024-07-01,387,387
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2024-07-01,1,1
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-07-01,252,252
SICAYA,chagas viviendas,viviendas evaluadas,2024-07-01,132,132
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-07-01,265,265
SOPACHUY,chagas viviendas,viviendas evaluadas,2024-07-01,25,25
SUCRE,chagas viviendas,viviendas evaluadas,2024-07-01,374,374
TACACHI,chagas viviendas,viviendas evaluadas,2024-07-01,199,199
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-07-01,398,398
TAPACARI,chagas viviendas,viviendas evaluadas,2024-07-01,571,571
TARABUCO,chagas viviendas,viviendas evaluadas,2024-07-01,51,51
TARATA,chagas viviendas,viviendas evaluadas,2024-07-01,168,168
TARIJA,chagas viviendas,viviendas evaluadas,2024-07-01,323,323
TOCO,chagas viviendas,viviendas evaluadas,2024-07-01,302,302
TOLATA,chagas viviendas,viviendas evaluadas,2024-07-01,225,225
TORO TORO,chagas viviendas,viviendas evaluadas,2024-07-01,192,192
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-07-01,333,333
TUPIZA,chagas viviendas,viviendas evaluadas,2024-07-01,734,734
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-07-01,217,217
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-07-01,179,179
VILA VILA,chagas viviendas,viviendas evaluadas,2024-07-01,180,180
VILLA MONTES,chagas viviendas,viviendas evaluadas,2024-07-01,261,261
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-07-01,346,346
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-07-01,501,501
VINTO,chagas viviendas,viviendas evaluadas,2024-07-01,446,446
VITICHI,chagas viviendas,viviendas evaluadas,2024-07-01,320,320
YACUIBA,chagas viviendas,viviendas evaluadas,2024-07-01,2,2
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-07-01,338,338
YOTALA,chagas viviendas,viviendas evaluadas,2024-07-01,137,137
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-07-01,132,132
ACACIO,chagas viviendas,viviendas evaluadas,2024-08-01,225,225
AIQUILE,chagas viviendas,viviendas evaluadas,2024-08-01,636,636
ALCALA,chagas viviendas,viviendas evaluadas,2024-08-01,116,116
ANZALDO,chagas viviendas,viviendas evaluadas,2024-08-01,354,354
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-08-01,121,121
ARANI,chagas viviendas,viviendas evaluadas,2024-08-01,316,316
ARBIETO,chagas viviendas,viviendas evaluadas,2024-08-01,168,168
AZURDUY,chagas viviendas,viviendas evaluadas,2024-08-01,24,24
BETANZOS,chagas viviendas,viviendas evaluadas,2024-08-01,456,456
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2024-08-01,343,343
CAMARGO,chagas viviendas,viviendas evaluadas,2024-08-01,227,227
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-08-01,67,67
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-08-01,404,404
CARAPARI,chagas viviendas,viviendas evaluadas,2024-08-01,436,436
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-08-01,743,743
CLIZA,chagas viviendas,viviendas evaluadas,2024-08-01,219,219
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-08-01,2993,2993
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-08-01,393,393
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-08-01,916,916
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-08-01,253,253
CULPINA,chagas viviendas,viviendas evaluadas,2024-08-01,168,168
EL TORNO,chagas viviendas,viviendas evaluadas,2024-08-01,4,4
EL VILLAR,chagas viviendas,viviendas evaluadas,2024-08-01,85,85
ENTRE RIOS TRJ,chagas viviendas,viviendas evaluadas,2024-08-01,83,83
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-08-01,186,186
HUACARETA,chagas viviendas,viviendas evaluadas,2024-08-01,188,188
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2024-08-01,43,43
ICLA,chagas viviendas,viviendas evaluadas,2024-08-01,244,244
LA ASUNTA,chagas viviendas,viviendas evaluadas,2024-08-01,255,255
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2024-08-01,82,82
LURIBAY,chagas viviendas,viviendas evaluadas,2024-08-01,731,731
MAIRANA,chagas viviendas,viviendas evaluadas,2024-08-01,116,116
MIZQUE,chagas viviendas,viviendas evaluadas,2024-08-01,474,474
OCURI,chagas viviendas,viviendas evaluadas,2024-08-01,129,129
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-08-01,275,275
PADCAYA,chagas viviendas,viviendas evaluadas,2024-08-01,73,73
PADILLA,chagas viviendas,viviendas evaluadas,2024-08-01,67,67
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-08-01,119,119
PASORAPA,chagas viviendas,viviendas evaluadas,2024-08-01,27,27
POCONA,chagas viviendas,viviendas evaluadas,2024-08-01,274,274
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-08-01,375,375
POROMA,chagas viviendas,viviendas evaluadas,2024-08-01,890,890
PRESTO,chagas viviendas,viviendas evaluadas,2024-08-01,154,154
PUNA,chagas viviendas,viviendas evaluadas,2024-08-01,193,193
PUNATA,chagas viviendas,viviendas evaluadas,2024-08-01,327,327
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-08-01,909,909
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-08-01,28,28
RAQAYPAMPA(ETA),chagas viviendas,viviendas evaluadas,2024-08-01,449,449
RAVELO,chagas viviendas,viviendas evaluadas,2024-08-01,86,86
SACABA,chagas viviendas,viviendas evaluadas,2024-08-01,839,839
SAMAIPATA,chagas viviendas,viviendas evaluadas,2024-08-01,106,106
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-08-01,378,378
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-08-01,351,351
SAN LUCAS,chagas viviendas,viviendas evaluadas,2024-08-01,308,308
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2024-08-01,264,264
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2024-08-01,1,1
SAPAHAQUI,chagas viviendas,viviendas evaluadas,2024-08-01,562,562
SICAYA,chagas viviendas,viviendas evaluadas,2024-08-01,48,48
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-08-01,421,421
SOPACHUY,chagas viviendas,viviendas evaluadas,2024-08-01,50,50
SUCRE,chagas viviendas,viviendas evaluadas,2024-08-01,265,265
TACACHI,chagas viviendas,viviendas evaluadas,2024-08-01,167,167
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-08-01,279,279
TAPACARI,chagas viviendas,viviendas evaluadas,2024-08-01,329,329
TARABUCO,chagas viviendas,viviendas evaluadas,2024-08-01,102,102
TARATA,chagas viviendas,viviendas evaluadas,2024-08-01,210,210
TARIJA,chagas viviendas,viviendas evaluadas,2024-08-01,757,757
TOCO,chagas viviendas,viviendas evaluadas,2024-08-01,234,234
TORO TORO,chagas viviendas,viviendas evaluadas,2024-08-01,191,191
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-08-01,278,278
TUPIZA,chagas viviendas,viviendas evaluadas,2024-08-01,698,698
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-08-01,266,266
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-08-01,315,315
VILA VILA,chagas viviendas,viviendas evaluadas,2024-08-01,103,103
VILLA MONTES,chagas viviendas,viviendas evaluadas,2024-08-01,50,50
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-08-01,325,325
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-08-01,237,237
VINTO,chagas viviendas,viviendas evaluadas,2024-08-01,412,412
VITICHI,chagas viviendas,viviendas evaluadas,2024-08-01,162,162
YOTALA,chagas viviendas,viviendas evaluadas,2024-08-01,56,56
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-08-01,113,113
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2024-08-01,55,55
ACACIO,chagas viviendas,viviendas evaluadas,2024-09-01,292,292
AIQUILE,chagas viviendas,viviendas evaluadas,2024-09-01,682,682
ALCALA,chagas viviendas,viviendas evaluadas,2024-09-01,147,147
ANZALDO,chagas viviendas,viviendas evaluadas,2024-09-01,56,56
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-09-01,153,153
ARANI,chagas viviendas,viviendas evaluadas,2024-09-01,296,296
ARBIETO,chagas viviendas,viviendas evaluadas,2024-09-01,224,224
ARQUE,chagas viviendas,viviendas evaluadas,2024-09-01,101,101
BETANZOS,chagas viviendas,viviendas evaluadas,2024-09-01,439,439
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2024-09-01,323,323
CAMARGO,chagas viviendas,viviendas evaluadas,2024-09-01,522,522
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-09-01,152,152
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-09-01,431,431
CARAPARI,chagas viviendas,viviendas evaluadas,2024-09-01,255,255
CHUMA,chagas viviendas,viviendas evaluadas,2024-09-01,272,272
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-09-01,344,344
CLIZA,chagas viviendas,viviendas evaluadas,2024-09-01,186,186
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-09-01,3233,3233
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-09-01,360,360
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-09-01,159,159
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-09-01,250,250
CULPINA,chagas viviendas,viviendas evaluadas,2024-09-01,45,45
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-09-01,110,110
EL TORNO,chagas viviendas,viviendas evaluadas,2024-09-01,15,15
ENTRE RIOS TRJ,chagas viviendas,viviendas evaluadas,2024-09-01,52,52
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-09-01,171,171
HUACARETA,chagas viviendas,viviendas evaluadas,2024-09-01,83,83
LA GUARDIA,chagas viviendas,viviendas evaluadas,2024-09-01,84,84
MIZQUE,chagas viviendas,viviendas evaluadas,2024-09-01,736,736
MOJOCOYA,chagas viviendas,viviendas evaluadas,2024-09-01,25,25
MONTEAGUDO,chagas viviendas,viviendas evaluadas,2024-09-01,1061,1061
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-09-01,317,317
PADCAYA,chagas viviendas,viviendas evaluadas,2024-09-01,51,51
PADILLA,chagas viviendas,viviendas evaluadas,2024-09-01,69,69
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-09-01,38,38
PASORAPA,chagas viviendas,viviendas evaluadas,2024-09-01,107,107
POCONA,chagas viviendas,viviendas evaluadas,2024-09-01,252,252
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-09-01,294,294
PRESTO,chagas viviendas,viviendas evaluadas,2024-09-01,235,235
PUNA,chagas viviendas,viviendas evaluadas,2024-09-01,186,186
PUNATA,chagas viviendas,viviendas evaluadas,2024-09-01,405,405
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-09-01,383,383
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-09-01,45,45
SACABA,chagas viviendas,viviendas evaluadas,2024-09-01,1398,1398
SAMAIPATA,chagas viviendas,viviendas evaluadas,2024-09-01,112,112
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-09-01,572,572
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-09-01,202,202
SAN LUCAS,chagas viviendas,viviendas evaluadas,2024-09-01,138,138
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2024-09-01,460,460
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2024-09-01,1,1
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-09-01,302,302
SICAYA,chagas viviendas,viviendas evaluadas,2024-09-01,72,72
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-09-01,296,296
SOPACHUY,chagas viviendas,viviendas evaluadas,2024-09-01,105,105
SUCRE,chagas viviendas,viviendas evaluadas,2024-09-01,392,392
TACACHI,chagas viviendas,viviendas evaluadas,2024-09-01,150,150
TACOBAMBA,chagas viviendas,viviendas evaluadas,2024-09-01,9,9
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-09-01,253,253
TAPACARI,chagas viviendas,viviendas evaluadas,2024-09-01,339,339
TARATA,chagas viviendas,viviendas evaluadas,2024-09-01,166,166
TARIJA,chagas viviendas,viviendas evaluadas,2024-09-01,746,746
TOCO,chagas viviendas,viviendas evaluadas,2024-09-01,238,238
TOLATA,chagas viviendas,viviendas evaluadas,2024-09-01,12,12
TORO TORO,chagas viviendas,viviendas evaluadas,2024-09-01,126,126
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-09-01,228,228
TUPIZA,chagas viviendas,viviendas evaluadas,2024-09-01,7870,7870
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-09-01,321,321
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-09-01,172,172
VILA VILA,chagas viviendas,viviendas evaluadas,2024-09-01,141,141
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-09-01,255,255
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-09-01,553,553
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas evaluadas,2024-09-01,153,153
VILLAZON,chagas viviendas,viviendas evaluadas,2024-09-01,93,93
VINTO,chagas viviendas,viviendas evaluadas,2024-09-01,400,400
YACUIBA,chagas viviendas,viviendas evaluadas,2024-09-01,86,86
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-09-01,183,183
YOTALA,chagas viviendas,viviendas evaluadas,2024-09-01,180,180
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-09-01,126,126
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2024-09-01,172,172
ACACIO,chagas viviendas,viviendas evaluadas,2024-10-01,34,34
AIQUILE,chagas viviendas,viviendas evaluadas,2024-10-01,595,595
ALCALA,chagas viviendas,viviendas evaluadas,2024-10-01,160,160
ANZALDO,chagas viviendas,viviendas evaluadas,2024-10-01,289,289
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-10-01,125,125
ARANI,chagas viviendas,viviendas evaluadas,2024-10-01,280,280
ARBIETO,chagas viviendas,viviendas evaluadas,2024-10-01,238,238
ARQUE,chagas viviendas,viviendas evaluadas,2024-10-01,252,252
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2024-10-01,357,357
BETANZOS,chagas viviendas,viviendas evaluadas,2024-10-01,423,423
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2024-10-01,505,505
CAMARGO,chagas viviendas,viviendas evaluadas,2024-10-01,190,190
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-10-01,114,114
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-10-01,604,604
CARAPARI,chagas viviendas,viviendas evaluadas,2024-10-01,99,99
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-10-01,424,424
CLIZA,chagas viviendas,viviendas evaluadas,2024-10-01,197,197
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-10-01,3111,3111
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-10-01,284,284
COLQUIRI,chagas viviendas,viviendas evaluadas,2024-10-01,199,199
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-10-01,558,558
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-10-01,291,291
CULPINA,chagas viviendas,viviendas evaluadas,2024-10-01,122,122
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-10-01,140,140
EL TORNO,chagas viviendas,viviendas evaluadas,2024-10-01,7,7
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-10-01,222,222
ICLA,chagas viviendas,viviendas evaluadas,2024-10-01,66,66
OCURI,chagas viviendas,viviendas evaluadas,2024-10-01,115,115
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-10-01,329,329
PADCAYA,chagas viviendas,viviendas evaluadas,2024-10-01,182,182
PADILLA,chagas viviendas,viviendas evaluadas,2024-10-01,177,177
PAILON,chagas viviendas,viviendas evaluadas,2024-10-01,1,1
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-10-01,37,37
PASORAPA,chagas viviendas,viviendas evaluadas,2024-10-01,152,152
POCONA,chagas viviendas,viviendas evaluadas,2024-10-01,304,304
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-10-01,406,406
PRESTO,chagas viviendas,viviendas evaluadas,2024-10-01,74,74
PUNA,chagas viviendas,viviendas evaluadas,2024-10-01,239,239
PUNATA,chagas viviendas,viviendas evaluadas,2024-10-01,292,292
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-10-01,545,545
RAVELO,chagas viviendas,viviendas evaluadas,2024-10-01,163,163
SACABA,chagas viviendas,viviendas evaluadas,2024-10-01,1484,1484
SAMAIPATA,chagas viviendas,viviendas evaluadas,2024-10-01,15,15
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-10-01,406,406
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2024-10-01,205,205
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2024-10-01,1,1
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-10-01,284,284
SICAYA,chagas viviendas,viviendas evaluadas,2024-10-01,72,72
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-10-01,318,318
SOPACHUY,chagas viviendas,viviendas evaluadas,2024-10-01,91,91
SUCRE,chagas viviendas,viviendas evaluadas,2024-10-01,1669,1669
TACACHI,chagas viviendas,viviendas evaluadas,2024-10-01,161,161
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-10-01,318,318
TAPACARI,chagas viviendas,viviendas evaluadas,2024-10-01,713,713
TARATA,chagas viviendas,viviendas evaluadas,2024-10-01,128,128
TARIJA,chagas viviendas,viviendas evaluadas,2024-10-01,385,385
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-10-01,203,203
TOCO,chagas viviendas,viviendas evaluadas,2024-10-01,250,250
TOLATA,chagas viviendas,viviendas evaluadas,2024-10-01,70,70
TORO TORO,chagas viviendas,viviendas evaluadas,2024-10-01,135,135
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-10-01,282,282
TUPIZA,chagas viviendas,viviendas evaluadas,2024-10-01,1089,1089
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-10-01,277,277
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-10-01,173,173
VILA VILA,chagas viviendas,viviendas evaluadas,2024-10-01,160,160
VILLA MONTES,chagas viviendas,viviendas evaluadas,2024-10-01,237,237
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-10-01,394,394
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-10-01,126,126
VINTO,chagas viviendas,viviendas evaluadas,2024-10-01,291,291
VITICHI,chagas viviendas,viviendas evaluadas,2024-10-01,374,374
YACUIBA,chagas viviendas,viviendas evaluadas,2024-10-01,212,212
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-10-01,256,256
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-10-01,130,130
ACACIO,chagas viviendas,viviendas evaluadas,2024-11-01,308,308
AIQUILE,chagas viviendas,viviendas evaluadas,2024-11-01,622,622
ALCALA,chagas viviendas,viviendas evaluadas,2024-11-01,72,72
ANZALDO,chagas viviendas,viviendas evaluadas,2024-11-01,202,202
APOLO,chagas viviendas,viviendas evaluadas,2024-11-01,106,106
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-11-01,44,44
ARANI,chagas viviendas,viviendas evaluadas,2024-11-01,274,274
ARBIETO,chagas viviendas,viviendas evaluadas,2024-11-01,196,196
ARQUE,chagas viviendas,viviendas evaluadas,2024-11-01,68,68
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2024-11-01,15,15
BETANZOS,chagas viviendas,viviendas evaluadas,2024-11-01,447,447
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2024-11-01,299,299
CAMARGO,chagas viviendas,viviendas evaluadas,2024-11-01,175,175
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-11-01,124,124
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-11-01,494,494
CARAPARI,chagas viviendas,viviendas evaluadas,2024-11-01,114,114
CHIMORE,chagas viviendas,viviendas evaluadas,2024-11-01,1,1
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-11-01,299,299
CLIZA,chagas viviendas,viviendas evaluadas,2024-11-01,209,209
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-11-01,2142,2142
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-11-01,325,325
CORIPATA,chagas viviendas,viviendas evaluadas,2024-11-01,1,1
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-11-01,456,456
