municipality,group,variable,month,8. Viviendas Rociadas,TOTAL
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-08-01,6,6
SAPAHAQUI,chagas viviendas,viviendas rociadas,2024-08-01,139,139
SICAYA,chagas viviendas,viviendas rociadas,2024-08-01,17,17
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-08-01,15,15
SUCRE,chagas viviendas,viviendas rociadas,2024-08-01,4,4
TAPACARI,chagas viviendas,viviendas rociadas,2024-08-01,18,18
TARATA,chagas viviendas,viviendas rociadas,2024-08-01,2,2
TARIJA,chagas viviendas,viviendas rociadas,2024-08-01,14,14
TOLATA,chagas viviendas,viviendas rociadas,2024-08-01,4,4
TORO TORO,chagas viviendas,viviendas rociadas,2024-08-01,12,12
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-08-01,6,6
TUPIZA,chagas viviendas,viviendas rociadas,2024-08-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-08-01,3,3
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-08-01,3,3
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-08-01,6,6
VILLA SERRANO,chagas viviendas,viviendas rociadas,2024-08-01,22,22
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-08-01,134,134
VINTO,chagas viviendas,viviendas rociadas,2024-08-01,2,2
ACACIO,chagas viviendas,viviendas rociadas,2024-09-01,2,2
AIQUILE,chagas viviendas,viviendas rociadas,2024-09-01,30,30
ANZALDO,chagas viviendas,viviendas rociadas,2024-09-01,56,56
ARAMPAMPA,chagas viviendas,viviendas rociadas,2024-09-01,1,1
ARANI,chagas viviendas,viviendas rociadas,2024-09-01,8,8
ARBIETO,chagas viviendas,viviendas rociadas,2024-09-01,10,10
ARQUE,chagas viviendas,viviendas rociadas,2024-09-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas rociadas,2024-09-01,3,3
BETANZOS,chagas viviendas,viviendas rociadas,2024-09-01,2,2
CAMARGO,chagas viviendas,viviendas rociadas,2024-09-01,10,10
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-09-01,4,4
CAPINOTA,chagas viviendas,viviendas rociadas,2024-09-01,14,14
CARAPARI,chagas viviendas,viviendas rociadas,2024-09-01,15,15
CHUMA,chagas viviendas,viviendas rociadas,2024-09-01,118,118
CKOCHAS,chagas viviendas,viviendas rociadas,2024-09-01,7,7
CLIZA,chagas viviendas,viviendas rociadas,2024-09-01,2,2
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-09-01,94,94
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-09-01,2,2
COTAGAITA,chagas viviendas,viviendas rociadas,2024-09-01,2,2
CULPINA,chagas viviendas,viviendas rociadas,2024-09-01,376,376
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-09-01,8,8
EL TORNO,chagas viviendas,viviendas rociadas,2024-09-01,5,5
ENTRE RIOS TRJ,chagas viviendas,viviendas rociadas,2024-09-01,13,13
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas rociadas,2024-09-01,1,1
ICLA,chagas viviendas,viviendas rociadas,2024-09-01,4,4
LA GUARDIA,chagas viviendas,viviendas rociadas,2024-09-01,50,50
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-09-01,9,9
MACHARETI,chagas viviendas,viviendas rociadas,2024-09-01,452,452
MIZQUE,chagas viviendas,viviendas rociadas,2024-09-01,43,43
MOJOCOYA,chagas viviendas,viviendas rociadas,2024-09-01,12,12
MONTEAGUDO,chagas viviendas,viviendas rociadas,2024-09-01,144,144
OMEREQUE,chagas viviendas,viviendas rociadas,2024-09-01,11,11
PASORAPA,chagas viviendas,viviendas rociadas,2024-09-01,8,8
POROMA,chagas viviendas,viviendas rociadas,2024-09-01,37,37
PRESTO,chagas viviendas,viviendas rociadas,2024-09-01,4,4
PUNA,chagas viviendas,viviendas rociadas,2024-09-01,9,9
PUNATA,chagas viviendas,viviendas rociadas,2024-09-01,5,5
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-09-01,11,11
SACABA,chagas viviendas,viviendas rociadas,2024-09-01,11,11
SAN LORENZO(TJA),chagas viviendas,viviendas rociadas,2024-09-01,17,17
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-09-01,14,14
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas rociadas,2024-09-01,460,460
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-09-01,21,21
SICAYA,chagas viviendas,viviendas rociadas,2024-09-01,20,20
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-09-01,78,78
TACOBAMBA,chagas viviendas,viviendas rociadas,2024-09-01,7,7
TAPACARI,chagas viviendas,viviendas rociadas,2024-09-01,19,19
TARABUCO,chagas viviendas,viviendas rociadas,2024-09-01,25,25
TARATA,chagas viviendas,viviendas rociadas,2024-09-01,8,8
TARIJA,chagas viviendas,viviendas rociadas,2024-09-01,10,10
TIQUIPAYA,chagas viviendas,viviendas rociadas,2024-09-01,1,1
TOLATA,chagas viviendas,viviendas rociadas,2024-09-01,2,2
TORO TORO,chagas viviendas,viviendas rociadas,2024-09-01,10,10
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-09-01,6,6
TUPIZA,chagas viviendas,viviendas rociadas,2024-09-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-09-01,4,4
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-09-01,6,6
VILLA RIVERO,chagas viviendas,viviendas rociadas,2024-09-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-09-01,69,69
VINTO,chagas viviendas,viviendas rociadas,2024-09-01,4,4
YACUIBA,chagas viviendas,viviendas rociadas,2024-09-01,5,5
YOTALA,chagas viviendas,viviendas rociadas,2024-09-01,17,17
ZUDAÑEZ,chagas viviendas,viviendas rociadas,2024-09-01,19,19
AIQUILE,chagas viviendas,viviendas rociadas,2024-10-01,32,32
ALCALA,chagas viviendas,viviendas rociadas,2024-10-01,5,5
ANZALDO,chagas viviendas,viviendas rociadas,2024-10-01,15,15
ARAMPAMPA,chagas viviendas,viviendas rociadas,2024-10-01,6,6
ARANI,chagas viviendas,viviendas rociadas,2024-10-01,9,9
ARBIETO,chagas viviendas,viviendas rociadas,2024-10-01,4,4
ARQUE,chagas viviendas,viviendas rociadas,2024-10-01,382,382
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas rociadas,2024-10-01,10,10
BETANZOS,chagas viviendas,viviendas rociadas,2024-10-01,25,25
"CAIZA ""D""",chagas viviendas,viviendas rociadas,2024-10-01,9,9
CAMARGO,chagas viviendas,viviendas rociadas,2024-10-01,4,4
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-10-01,4,4
CAPINOTA,chagas viviendas,viviendas rociadas,2024-10-01,22,22
CARAPARI,chagas viviendas,viviendas rociadas,2024-10-01,9,9
CKOCHAS,chagas viviendas,viviendas rociadas,2024-10-01,17,17
CLIZA,chagas viviendas,viviendas rociadas,2024-10-01,2,2
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-10-01,49,49
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-10-01,4,4
COLQUIRI,chagas viviendas,viviendas rociadas,2024-10-01,199,199
COTAGAITA,chagas viviendas,viviendas rociadas,2024-10-01,13,13
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas rociadas,2024-10-01,4,4
CULPINA,chagas viviendas,viviendas rociadas,2024-10-01,23,23
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-10-01,7,7
EL TORNO,chagas viviendas,viviendas rociadas,2024-10-01,2,2
EL VILLAR,chagas viviendas,viviendas rociadas,2024-10-01,40,40
ENTRE RIOS TRJ,chagas viviendas,viviendas rociadas,2024-10-01,21,21
ICLA,chagas viviendas,viviendas rociadas,2024-10-01,7,7
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-10-01,2,2
MACHARETI,chagas viviendas,viviendas rociadas,2024-10-01,49,49
MIZQUE,chagas viviendas,viviendas rociadas,2024-10-01,10,10
MOJOCOYA,chagas viviendas,viviendas rociadas,2024-10-01,13,13
OCURI,chagas viviendas,viviendas rociadas,2024-10-01,4,4
OMEREQUE,chagas viviendas,viviendas rociadas,2024-10-01,22,22
PADCAYA,chagas viviendas,viviendas rociadas,2024-10-01,4,4
PASORAPA,chagas viviendas,viviendas rociadas,2024-10-01,8,8
POJO (CBBA),chagas viviendas,viviendas rociadas,2024-10-01,1,1
PUNA,chagas viviendas,viviendas rociadas,2024-10-01,15,15
PUNATA,chagas viviendas,viviendas rociadas,2024-10-01,15,15
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-10-01,12,12
RAVELO,chagas viviendas,viviendas rociadas,2024-10-01,15,15
SACABA,chagas viviendas,viviendas rociadas,2024-10-01,9,9
SAN LORENZO(TJA),chagas viviendas,viviendas rociadas,2024-10-01,12,12
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-10-01,86,86
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas rociadas,2024-10-01,205,205
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-10-01,17,17
SICAYA,chagas viviendas,viviendas rociadas,2024-10-01,19,19
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-10-01,21,21
SOPACHUY,chagas viviendas,viviendas rociadas,2024-10-01,1,1
SUCRE,chagas viviendas,viviendas rociadas,2024-10-01,96,96
TACACHI,chagas viviendas,viviendas rociadas,2024-10-01,6,6
TAPACARI,chagas viviendas,viviendas rociadas,2024-10-01,16,16
TARABUCO,chagas viviendas,viviendas rociadas,2024-10-01,22,22
TARATA,chagas viviendas,viviendas rociadas,2024-10-01,2,2
TARIJA,chagas viviendas,viviendas rociadas,2024-10-01,12,12
TIQUIPAYA,chagas viviendas,viviendas rociadas,2024-10-01,1,1
TOLATA,chagas viviendas,viviendas rociadas,2024-10-01,2,2
TORO TORO,chagas viviendas,viviendas rociadas,2024-10-01,9,9
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-10-01,11,11
TUPIZA,chagas viviendas,viviendas rociadas,2024-10-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-10-01,12,12
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-10-01,8,8
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-10-01,18,18
VILLA SERRANO,chagas viviendas,viviendas rociadas,2024-10-01,25,25
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-10-01,92,92
VINTO,chagas viviendas,viviendas rociadas,2024-10-01,4,4
VITICHI,chagas viviendas,viviendas rociadas,2024-10-01,6,6
YACUIBA,chagas viviendas,viviendas rociadas,2024-10-01,12,12
YAMPARAEZ,chagas viviendas,viviendas rociadas,2024-10-01,62,62
YOTALA,chagas viviendas,viviendas rociadas,2024-10-01,29,29
YUNCHARA,chagas viviendas,viviendas rociadas,2024-10-01,2,2
ZUDAÑEZ,chagas viviendas,viviendas rociadas,2024-10-01,4,4
ACACIO,chagas viviendas,viviendas rociadas,2024-11-01,1,1
AIQUILE,chagas viviendas,viviendas rociadas,2024-11-01,66,66
ALCALA,chagas viviendas,viviendas rociadas,2024-11-01,7,7
ANZALDO,chagas viviendas,viviendas rociadas,2024-11-01,18,18
APOLO,chagas viviendas,viviendas rociadas,2024-11-01,106,106
ARANI,chagas viviendas,viviendas rociadas,2024-11-01,10,10
ARBIETO,chagas viviendas,viviendas rociadas,2024-11-01,12,12
ARQUE,chagas viviendas,viviendas rociadas,2024-11-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas rociadas,2024-11-01,8,8
BETANZOS,chagas viviendas,viviendas rociadas,2024-11-01,31,31
"CAIZA ""D""",chagas viviendas,viviendas rociadas,2024-11-01,9,9
CAMARGO,chagas viviendas,viviendas rociadas,2024-11-01,4,4
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-11-01,5,5
CAPINOTA,chagas viviendas,viviendas rociadas,2024-11-01,29,29
CKOCHAS,chagas viviendas,viviendas rociadas,2024-11-01,1,1
CLIZA,chagas viviendas,viviendas rociadas,2024-11-01,4,4
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-11-01,47,47
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-11-01,6,6
CORIPATA,chagas viviendas,viviendas rociadas,2024-11-01,1,1
COTAGAITA,chagas viviendas,viviendas rociadas,2024-11-01,7,7
CUEVO,chagas viviendas,viviendas rociadas,2024-11-01,96,96
CULPINA,chagas viviendas,viviendas rociadas,2024-11-01,57,57
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-11-01,3,3
EL VILLAR,chagas viviendas,viviendas rociadas,2024-11-01,7,7
ENTRE RIOS TRJ,chagas viviendas,viviendas rociadas,2024-11-01,3,3
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas rociadas,2024-11-01,21,21
ICLA,chagas viviendas,viviendas rociadas,2024-11-01,6,6
LA GUARDIA,chagas viviendas,viviendas rociadas,2024-11-01,25,25
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-11-01,3,3
LURIBAY,chagas viviendas,viviendas rociadas,2024-11-01,31,31
MIZQUE,chagas viviendas,viviendas rociadas,2024-11-01,13,13
MONTEAGUDO,chagas viviendas,viviendas rociadas,2024-11-01,10,10
OCURI,chagas viviendas,viviendas rociadas,2024-11-01,33,33
OMEREQUE,chagas viviendas,viviendas rociadas,2024-11-01,5,5
PADCAYA,chagas viviendas,viviendas rociadas,2024-11-01,3,3
PADILLA,chagas viviendas,viviendas rociadas,2024-11-01,2,2
PASORAPA,chagas viviendas,viviendas rociadas,2024-11-01,8,8
POCONA,chagas viviendas,viviendas rociadas,2024-11-01,1,1
POROMA,chagas viviendas,viviendas rociadas,2024-11-01,32,32
PRESTO,chagas viviendas,viviendas rociadas,2024-11-01,4,4
PUCARA,chagas viviendas,viviendas rociadas,2024-11-01,1,1
PUNA,chagas viviendas,viviendas rociadas,2024-11-01,2,2
PUNATA,chagas viviendas,viviendas rociadas,2024-11-01,5,5
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-11-01,11,11
QUIRUSILLAS,chagas viviendas,viviendas rociadas,2024-11-01,2,2
RAVELO,chagas viviendas,viviendas rociadas,2024-11-01,10,10
SACABA,chagas viviendas,viviendas rociadas,2024-11-01,5,5
SAN BENITO,chagas viviendas,viviendas rociadas,2024-11-01,4,4
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-11-01,35,35
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas rociadas,2024-11-01,189,189
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-11-01,12,12
SAPAHAQUI,chagas viviendas,viviendas rociadas,2024-11-01,69,69
SICAYA,chagas viviendas,viviendas rociadas,2024-11-01,22,22
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-11-01,62,62
SOPACHUY,chagas viviendas,viviendas rociadas,2024-11-01,2,2
SUCRE,chagas viviendas,viviendas rociadas,2024-11-01,3,3
TACACHI,chagas viviendas,viviendas rociadas,2024-11-01,2,2
TACOBAMBA,chagas viviendas,viviendas rociadas,2024-11-01,11,11
TAPACARI,chagas viviendas,viviendas rociadas,2024-11-01,7,7
TARABUCO,chagas viviendas,viviendas rociadas,2024-11-01,26,26
TARATA,chagas viviendas,viviendas rociadas,2024-11-01,1,1
TARIJA,chagas viviendas,viviendas rociadas,2024-11-01,18,18
TIQUIPAYA,chagas viviendas,viviendas rociadas,2024-11-01,3,3
TOLATA,chagas viviendas,viviendas rociadas,2024-11-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-11-01,1,1
TUPIZA,chagas viviendas,viviendas rociadas,2024-11-01,13,13
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-11-01,4,4
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-11-01,2,2
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-11-01,11,11
VILLA SERRANO,chagas viviendas,viviendas rociadas,2024-11-01,11,11
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-11-01,9,9
VINTO,chagas viviendas,viviendas rociadas,2024-11-01,2,2
VITICHI,chagas viviendas,viviendas rociadas,2024-11-01,8,8
YOTALA,chagas viviendas,viviendas rociadas,2024-11-01,21,21
ZUDAÑEZ,chagas viviendas,viviendas rociadas,2024-11-01,2,2
AIQUILE,chagas viviendas,viviendas rociadas,2024-12-01,31,31
ALCALA,chagas viviendas,viviendas rociadas,2024-12-01,11,11
ANZALDO,chagas viviendas,viviendas rociadas,2024-12-01,4,4
APOLO,chagas viviendas,viviendas rociadas,2024-12-01,82,82
ARAMPAMPA,chagas viviendas,viviendas rociadas,2024-12-01,1,1
ARANI,chagas viviendas,viviendas rociadas,2024-12-01,1,1
ARBIETO,chagas viviendas,viviendas rociadas,2024-12-01,9,9
ARQUE,chagas viviendas,viviendas rociadas,2024-12-01,3,3
BETANZOS,chagas viviendas,viviendas rociadas,2024-12-01,17,17
"CAIZA ""D""",chagas viviendas,viviendas rociadas,2024-12-01,2,2
CAMARGO,chagas viviendas,viviendas rociadas,2024-12-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-12-01,4,4
CAPINOTA,chagas viviendas,viviendas rociadas,2024-12-01,17,17
CARAPARI,chagas viviendas,viviendas rociadas,2024-12-01,2,2
CLIZA,chagas viviendas,viviendas rociadas,2024-12-01,3,3
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-12-01,16,16
COTAGAITA,chagas viviendas,viviendas rociadas,2024-12-01,2,2
EL TORNO,chagas viviendas,viviendas rociadas,2024-12-01,3,3
EL VILLAR,chagas viviendas,viviendas rociadas,2024-12-01,2,2
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-12-01,5,5
LURIBAY,chagas viviendas,viviendas rociadas,2024-12-01,21,21
MACHARETI,chagas viviendas,viviendas rociadas,2024-12-01,5,5
MIZQUE,chagas viviendas,viviendas rociadas,2024-12-01,7,7
PADCAYA,chagas viviendas,viviendas rociadas,2024-12-01,2,2
PASORAPA,chagas viviendas,viviendas rociadas,2024-12-01,5,5
POJO (CBBA),chagas viviendas,viviendas rociadas,2024-12-01,9,9
POROMA,chagas viviendas,viviendas rociadas,2024-12-01,3,3
PUNATA,chagas viviendas,viviendas rociadas,2024-12-01,5,5
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-12-01,3,3
SACABA,chagas viviendas,viviendas rociadas,2024-12-01,6,6
SAN BENITO,chagas viviendas,viviendas rociadas,2024-12-01,3,3
SAN LORENZO(TJA),chagas viviendas,viviendas rociadas,2024-12-01,8,8
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-12-01,15,15
SAPAHAQUI,chagas viviendas,viviendas rociadas,2024-12-01,57,57
SICAYA,chagas viviendas,viviendas rociadas,2024-12-01,17,17
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-12-01,49,49
TACACHI,chagas viviendas,viviendas rociadas,2024-12-01,2,2
TACOBAMBA,chagas viviendas,viviendas rociadas,2024-12-01,12,12
TAPACARI,chagas viviendas,viviendas rociadas,2024-12-01,13,13
TARABUCO,chagas viviendas,viviendas rociadas,2024-12-01,1,1
TARIJA,chagas viviendas,viviendas rociadas,2024-12-01,105,105
TORO TORO,chagas viviendas,viviendas rociadas,2024-12-01,11,11
TUPIZA,chagas viviendas,viviendas rociadas,2024-12-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-12-01,7,7
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-12-01,4,4
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-12-01,9,9
VILLA RIVERO,chagas viviendas,viviendas rociadas,2024-12-01,3,3
VILLA SERRANO,chagas viviendas,viviendas rociadas,2024-12-01,1,1
VINTO,chagas viviendas,viviendas rociadas,2024-12-01,3,3
VITICHI,chagas viviendas,viviendas rociadas,2024-12-01,5,5
YACUIBA,chagas viviendas,viviendas rociadas,2024-12-01,2,2
YAMPARAEZ,chagas viviendas,viviendas rociadas,2024-12-01,28,28
YOTALA,chagas viviendas,viviendas rociadas,2024-12-01,11,11
ZUDAÑEZ,chagas viviendas,viviendas rociadas,2024-12-01,5,5
